,Accounting___Auditing,Acting___Theater,Advertising___Marketing,Agricultural_Equipment,Agriculture___Forestry,Agrochemicals,Alcoholic_Beverages,Animal_Products___Services,Apartments___Residential_Rentals,Apparel,Aquaculture,Architecture,Auto_Financing,Autos___Vehicles,Aviation,Boats___Watercraft,Book_Retailers,Building_Materials___Supplies,Business___Industrial,Business_News,Business_Operations,Business_Services,CAD___CAM,Car_Electronics,Car_Rental___Taxi_Services,Carpooling___Ridesharing,Chemicals_Industry,Civil_Engineering,Coatings___Adhesives,College_Financing,Commercial_Lending,Commercial_Vehicles,Computer_Hardware,Computer_Security,Computer_Servers,Computers___Electronics,Construction___Maintenance,Construction_Consulting___Contracting,Consulting,Consumer_Electronics,Corporate_Events,Credit___Lending,Cruises___Charters,Customer_Relationship_Management__CRM_,Data_Management,Developer_Jobs,Development_Tools,Distribution___Logistics,Doctors__Offices,Dyes___Pigments,Economy_News,Education,Emergency_Services,Energy___Utilities,Enterprise_Resource_Planning__ERP_,Enterprise_Technology,Entertainment_Industry,Entertainment_Media,Events___Listings,Fashion___Style,Fast_Food,Finance,Financial_Planning,Fire___Security_Services,Fitness,Flooring,Food___Drink,Food_Production,Footwear,Forestry,Freight___Trucking,Fuel_Economy___Gas_Prices,Gifts___Special_Event_Items,Government,GPS___Navigation,Grocery___Food_Retailers,Health,Health_Insurance,Home___Garden,Home_Appliances,Home_Financing,Home_Furnishings,Home_Improvement,Hospitals___Treatment_Centers,Hotels___Accommodations,Import___Export,Industrial_Materials___Equipment,Insurance,Internet___Telecom,Investing,Job_Listings,Jobs,Legal_Services,Luggage___Travel_Accessories,Luxury_Goods,Mail___Package_Delivery,Manufacturing,Maritime_Transport,Mass_Merchants___Department_Stores,Medical_Facilities___Services,Mental_Health,Newspapers,Office_Supplies,Outsourcing,Performing_Arts,Pharmaceuticals___Biotech,Pharmacy,Politics,Printing___Publishing,Professional___Trade_Associations,Programming,Rail_Transport,Real_Estate,Real_Estate_Agencies,Recruitment___Staffing,Restaurants,Resumes___Portfolios,Retail_Trade,Shopping,Social_Services,Spas___Beauty_Services,Sports,Swimming_Pools___Spas,Textiles___Nonwovens,Timeshares___Vacation_Properties,Tobacco_Products,Tourist_Destinations,Transportation___Logistics,Travel,Travel_Agencies___Services,Trucks___SUVs,Unwanted_Body___Facial_Hair_Removal,Vehicle_Brands,Vehicle_Licensing___Registration,Vehicle_Shopping,Veterinarians,Web_Hosting___Domain_Registration,Weddings,Welfare___Unemployment,World_News,Affordable_housing,Bank,Bankruptcy,Birthday,Commercial_Building,Crisis,Economic_crisis,Exportation,Financial_crisis,Foreclosure,Housing_bubble,House_moving,House_price_index,Interest,Investment,Job,Job_search,Loan,Luggage,Mortgage,Office_space,Private_employment_agency,Public_debt,Lawyer,Student_loan,Temporary_jobs,Unemployment,Unemployment_benefits,Recession,Recruitment
2014-12-28,20.0,38.0,33.0,23.0,23.0,47.0,26.0,22.0,30.0,41.0,31.0,35.0,25.0,42.0,34.0,48.0,2.0,28.0,67.0,38.0,63.0,45.0,54.0,36.0,34.0,35.0,36.0,32.0,18.0,27.0,34.0,17.0,53.0,51.0,67.0,59.0,36.0,31.0,60.0,38.0,34.0,39.0,25.0,34.0,59.0,70.0,56.0,45.0,22.0,37.0,27.0,24.0,32.0,40.0,38.0,62.0,27.0,21.0,43.0,64.0,54.0,46.0,44.0,42.0,27.0,26.0,42.0,39.0,43.0,30.0,35.0,27.0,43.0,43.0,31.0,34.0,36.0,34.0,33.0,23.0,38.0,29.0,24.0,29.0,37.0,52.0,32.0,50.0,86.0,34.0,22.0,30.0,13.0,34.0,25.0,49.0,50.0,38.0,42.0,30.0,31.0,50.0,28.0,15.0,47.0,51.0,31.0,2.0,35.0,9.0,62.0,75.0,38.0,25.0,0.0,41.0,46.0,81.0,42.0,19.0,34.0,12.0,23.0,39.0,27.0,11.0,38.0,65.0,47.0,41.0,55.0,2.0,28.0,20.0,48.0,18.0,71.0,43.0,28.0,8.0,0.0,37.0,0.0,44.0,0.0,,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,,34.0,31.0,,,0.0,0.0,18.0,0.0,0.0,0.0,,0.0,51.0
2015-01-04,22.0,39.0,35.0,21.0,24.0,44.0,19.0,22.0,31.0,39.0,31.0,41.0,27.0,37.0,29.0,46.0,2.0,27.0,65.0,41.0,64.0,45.0,58.0,32.0,27.0,39.0,37.0,35.0,20.0,28.0,37.0,19.0,54.0,50.0,63.0,56.0,36.0,27.0,67.0,35.0,41.0,36.0,21.0,41.0,72.0,70.0,59.0,46.0,23.0,37.0,28.0,26.0,33.0,42.0,45.0,64.0,25.0,20.0,34.0,57.0,40.0,46.0,47.0,41.0,26.0,23.0,36.0,44.0,41.0,32.0,36.0,19.0,29.0,42.0,30.0,33.0,35.0,43.0,30.0,21.0,38.0,30.0,22.0,29.0,34.0,50.0,35.0,54.0,76.0,34.0,24.0,32.0,13.0,33.0,24.0,47.0,49.0,36.0,35.0,30.0,32.0,46.0,27.0,16.0,45.0,54.0,30.0,3.0,33.0,9.0,68.0,70.0,36.0,25.0,0.0,30.0,52.0,76.0,38.0,20.0,31.0,13.0,18.0,41.0,23.0,9.0,34.0,63.0,38.0,35.0,50.0,2.0,23.0,22.0,44.0,18.0,65.0,40.0,28.0,7.0,0.0,23.0,0.0,44.0,0.0,,0.0,65.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,48.0,,0.0,35.0,,,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,45.0
2015-01-11,19.0,39.0,34.0,21.0,23.0,47.0,19.0,22.0,30.0,35.0,38.0,38.0,28.0,38.0,28.0,42.0,2.0,27.0,60.0,40.0,55.0,43.0,53.0,31.0,29.0,39.0,34.0,30.0,20.0,25.0,35.0,17.0,49.0,46.0,66.0,55.0,33.0,28.0,62.0,36.0,36.0,31.0,22.0,37.0,61.0,64.0,52.0,44.0,21.0,33.0,26.0,25.0,30.0,39.0,40.0,60.0,36.0,19.0,45.0,59.0,40.0,44.0,33.0,35.0,26.0,21.0,36.0,39.0,40.0,28.0,36.0,25.0,34.0,42.0,28.0,30.0,35.0,39.0,30.0,20.0,37.0,27.0,20.0,27.0,32.0,46.0,30.0,56.0,75.0,33.0,22.0,29.0,12.0,33.0,23.0,49.0,47.0,35.0,35.0,29.0,32.0,42.0,27.0,15.0,42.0,48.0,28.0,3.0,31.0,9.0,63.0,64.0,36.0,25.0,0.0,30.0,48.0,72.0,38.0,18.0,27.0,9.0,20.0,37.0,23.0,10.0,33.0,59.0,39.0,35.0,52.0,1.0,24.0,20.0,44.0,18.0,57.0,38.0,26.0,6.0,0.0,23.0,0.0,42.0,0.0,,0.0,76.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,61.0,,0.0,33.0,,,0.0,0.0,27.0,0.0,0.0,0.0,,0.0,61.0
2015-01-18,22.0,38.0,35.0,21.0,22.0,40.0,18.0,23.0,28.0,37.0,25.0,39.0,28.0,37.0,28.0,43.0,3.0,27.0,61.0,42.0,53.0,47.0,58.0,31.0,33.0,38.0,37.0,32.0,20.0,26.0,38.0,17.0,54.0,49.0,71.0,56.0,33.0,30.0,67.0,37.0,36.0,34.0,21.0,42.0,70.0,73.0,56.0,46.0,21.0,36.0,26.0,27.0,30.0,40.0,45.0,63.0,28.0,19.0,34.0,51.0,35.0,42.0,39.0,40.0,26.0,20.0,35.0,39.0,39.0,29.0,35.0,22.0,31.0,47.0,29.0,31.0,33.0,43.0,30.0,21.0,36.0,27.0,20.0,28.0,34.0,46.0,31.0,47.0,73.0,33.0,21.0,31.0,13.0,31.0,22.0,45.0,49.0,35.0,39.0,30.0,33.0,48.0,28.0,17.0,42.0,53.0,30.0,2.0,33.0,9.0,70.0,69.0,39.0,27.0,0.0,28.0,52.0,75.0,39.0,19.0,31.0,12.0,26.0,42.0,25.0,10.0,34.0,62.0,38.0,34.0,54.0,1.0,26.0,20.0,44.0,19.0,67.0,42.0,28.0,6.0,0.0,50.0,0.0,43.0,0.0,,0.0,81.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,72.0,,59.0,34.0,,,0.0,0.0,28.0,54.0,0.0,0.0,,0.0,72.0
2015-01-25,18.0,37.0,33.0,20.0,21.0,39.0,18.0,22.0,28.0,36.0,24.0,39.0,25.0,35.0,28.0,42.0,3.0,25.0,58.0,38.0,52.0,43.0,52.0,30.0,32.0,35.0,35.0,30.0,19.0,25.0,34.0,18.0,51.0,47.0,59.0,54.0,32.0,27.0,60.0,35.0,34.0,33.0,21.0,36.0,64.0,72.0,52.0,42.0,21.0,36.0,25.0,25.0,30.0,38.0,39.0,55.0,32.0,19.0,32.0,53.0,39.0,39.0,33.0,38.0,25.0,21.0,35.0,37.0,39.0,28.0,33.0,18.0,30.0,49.0,27.0,29.0,35.0,38.0,29.0,20.0,33.0,27.0,20.0,27.0,32.0,41.0,32.0,47.0,68.0,31.0,22.0,31.0,13.0,30.0,24.0,44.0,44.0,34.0,36.0,29.0,34.0,44.0,28.0,15.0,42.0,52.0,29.0,3.0,33.0,9.0,65.0,66.0,38.0,27.0,0.0,30.0,51.0,74.0,36.0,19.0,30.0,12.0,26.0,37.0,21.0,10.0,32.0,59.0,37.0,31.0,51.0,1.0,24.0,18.0,43.0,19.0,57.0,47.0,27.0,7.0,0.0,0.0,0.0,40.0,0.0,,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,,51.0,38.0,,,0.0,0.0,27.0,0.0,0.0,36.0,,0.0,65.0
2015-02-01,21.0,38.0,37.0,23.0,24.0,40.0,20.0,25.0,32.0,36.0,25.0,42.0,30.0,39.0,28.0,42.0,3.0,28.0,61.0,42.0,53.0,48.0,63.0,31.0,31.0,41.0,39.0,33.0,21.0,27.0,37.0,18.0,53.0,51.0,61.0,60.0,34.0,30.0,66.0,35.0,38.0,36.0,22.0,44.0,70.0,73.0,58.0,45.0,23.0,41.0,28.0,26.0,29.0,44.0,50.0,65.0,32.0,19.0,32.0,52.0,38.0,51.0,43.0,42.0,25.0,21.0,39.0,39.0,36.0,27.0,37.0,28.0,44.0,44.0,27.0,32.0,36.0,38.0,31.0,20.0,38.0,29.0,22.0,29.0,34.0,49.0,33.0,45.0,76.0,34.0,24.0,33.0,13.0,31.0,25.0,47.0,49.0,35.0,35.0,32.0,36.0,47.0,29.0,18.0,42.0,55.0,31.0,4.0,34.0,10.0,72.0,66.0,40.0,29.0,0.0,29.0,56.0,70.0,39.0,18.0,33.0,8.0,27.0,43.0,23.0,11.0,33.0,63.0,38.0,33.0,52.0,1.0,25.0,20.0,46.0,19.0,64.0,45.0,27.0,6.0,0.0,40.0,0.0,40.0,0.0,,0.0,69.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,70.0,,0.0,34.0,,,0.0,0.0,27.0,0.0,0.0,34.0,,0.0,40.0
2015-02-08,21.0,38.0,36.0,21.0,22.0,47.0,18.0,24.0,28.0,36.0,24.0,42.0,28.0,36.0,27.0,43.0,5.0,28.0,60.0,40.0,52.0,45.0,64.0,30.0,32.0,41.0,36.0,32.0,20.0,27.0,37.0,19.0,51.0,52.0,60.0,57.0,35.0,29.0,62.0,36.0,37.0,34.0,22.0,42.0,71.0,68.0,54.0,45.0,25.0,37.0,26.0,26.0,32.0,41.0,47.0,60.0,40.0,20.0,41.0,52.0,37.0,39.0,41.0,43.0,26.0,21.0,42.0,38.0,37.0,28.0,37.0,19.0,41.0,44.0,27.0,33.0,38.0,39.0,32.0,20.0,35.0,29.0,23.0,31.0,34.0,46.0,33.0,42.0,77.0,33.0,22.0,31.0,14.0,30.0,25.0,49.0,50.0,37.0,34.0,31.0,31.0,54.0,29.0,16.0,42.0,55.0,31.0,9.0,34.0,10.0,71.0,68.0,40.0,35.0,0.0,31.0,54.0,70.0,42.0,20.0,32.0,13.0,29.0,39.0,22.0,12.0,32.0,60.0,41.0,34.0,49.0,2.0,25.0,19.0,44.0,20.0,65.0,43.0,27.0,8.0,0.0,40.0,0.0,43.0,0.0,,0.0,78.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,65.0,,39.0,66.0,,,0.0,0.0,35.0,0.0,0.0,0.0,,0.0,69.0
2015-02-15,23.0,38.0,37.0,22.0,23.0,44.0,20.0,24.0,31.0,36.0,24.0,45.0,26.0,39.0,29.0,41.0,3.0,31.0,66.0,40.0,53.0,46.0,64.0,32.0,30.0,40.0,39.0,33.0,21.0,28.0,37.0,19.0,54.0,52.0,61.0,59.0,39.0,35.0,68.0,37.0,38.0,32.0,24.0,45.0,69.0,73.0,59.0,48.0,26.0,37.0,27.0,28.0,32.0,42.0,49.0,64.0,31.0,20.0,34.0,55.0,37.0,40.0,40.0,41.0,27.0,21.0,39.0,40.0,36.0,28.0,39.0,17.0,33.0,44.0,28.0,34.0,41.0,43.0,33.0,22.0,36.0,30.0,26.0,33.0,36.0,48.0,36.0,44.0,76.0,33.0,24.0,34.0,13.0,32.0,25.0,45.0,52.0,38.0,36.0,33.0,36.0,50.0,29.0,16.0,40.0,56.0,35.0,3.0,36.0,9.0,70.0,73.0,49.0,34.0,0.0,30.0,55.0,69.0,37.0,19.0,31.0,19.0,25.0,41.0,24.0,11.0,34.0,67.0,38.0,38.0,52.0,3.0,27.0,19.0,44.0,20.0,66.0,43.0,28.0,11.0,0.0,53.0,0.0,40.0,0.0,,0.0,78.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,68.0,,54.0,44.0,,,0.0,0.0,27.0,0.0,0.0,0.0,,0.0,72.0
2015-02-22,23.0,38.0,35.0,22.0,23.0,45.0,20.0,23.0,31.0,37.0,23.0,44.0,29.0,37.0,28.0,48.0,3.0,31.0,62.0,47.0,54.0,45.0,66.0,30.0,30.0,35.0,38.0,38.0,21.0,26.0,36.0,18.0,52.0,49.0,61.0,58.0,38.0,30.0,65.0,34.0,35.0,33.0,23.0,41.0,73.0,87.0,59.0,45.0,24.0,42.0,27.0,26.0,35.0,40.0,53.0,63.0,51.0,19.0,31.0,53.0,38.0,42.0,35.0,38.0,26.0,20.0,38.0,40.0,33.0,28.0,36.0,19.0,32.0,51.0,28.0,31.0,39.0,42.0,33.0,21.0,36.0,29.0,27.0,31.0,35.0,56.0,37.0,42.0,70.0,35.0,24.0,33.0,13.0,31.0,26.0,45.0,50.0,41.0,34.0,33.0,33.0,47.0,30.0,16.0,38.0,55.0,31.0,2.0,36.0,9.0,68.0,71.0,49.0,35.0,0.0,30.0,53.0,69.0,35.0,20.0,30.0,21.0,23.0,40.0,23.0,11.0,33.0,64.0,37.0,33.0,47.0,2.0,26.0,19.0,41.0,20.0,65.0,41.0,30.0,7.0,0.0,25.0,0.0,42.0,0.0,,0.0,64.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,68.0,,60.0,41.0,,,0.0,0.0,28.0,0.0,0.0,0.0,,0.0,66.0
2015-03-01,20.0,36.0,33.0,21.0,22.0,41.0,20.0,24.0,26.0,35.0,22.0,41.0,28.0,35.0,27.0,50.0,2.0,28.0,64.0,40.0,50.0,43.0,55.0,27.0,31.0,34.0,34.0,30.0,21.0,25.0,34.0,18.0,53.0,48.0,58.0,54.0,36.0,30.0,61.0,35.0,33.0,37.0,22.0,38.0,66.0,71.0,51.0,41.0,23.0,35.0,26.0,25.0,32.0,39.0,41.0,59.0,25.0,19.0,28.0,48.0,43.0,43.0,37.0,34.0,25.0,19.0,40.0,38.0,32.0,25.0,36.0,16.0,33.0,46.0,24.0,30.0,37.0,42.0,32.0,21.0,35.0,27.0,25.0,29.0,35.0,53.0,34.0,44.0,73.0,32.0,22.0,30.0,13.0,29.0,22.0,42.0,47.0,37.0,35.0,31.0,33.0,42.0,27.0,16.0,37.0,51.0,29.0,2.0,38.0,9.0,64.0,71.0,42.0,28.0,0.0,29.0,48.0,68.0,38.0,18.0,30.0,18.0,23.0,36.0,22.0,11.0,32.0,61.0,36.0,34.0,47.0,2.0,24.0,18.0,43.0,20.0,62.0,39.0,26.0,7.0,0.0,28.0,0.0,49.0,0.0,,0.0,86.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,71.0,,42.0,46.0,,,0.0,0.0,18.0,0.0,0.0,0.0,,0.0,69.0
