Date,GDP_Growth
2016-03-31,6.7
2016-06-30,4.4
2016-09-30,2.9
2016-12-31,6.2
2017-03-31,7.3
2017-06-30,4.3
2017-09-30,6.0
2017-12-31,8.0
2018-03-31,3.7
2018-06-30,5.2
2018-09-30,4.4
2018-12-31,-3.5
2019-03-31,-0.1
2019-06-30,-1.8
2019-09-30,1.2
2019-12-31,-0.3
2020-03-31,-0.9
2020-06-30,-17.1
2020-09-30,-1.1
2020-12-31,-0.5
2021-03-31,5.2
2021-06-30,13.2
2021-09-30,-2.1
2021-12-31,2.7
2022-03-31,-0.7
2022-06-30,-5.3
2022-09-30,-11.1
2022-12-31,-12.4
2023-03-31,-10.7
2023-06-30,-3.1
2023-09-30,1.8
2023-12-31,4.3
2024-03-31,5.1
2024-06-30,4.1
2024-09-30,5.3
2024-12-31,5.4
2025-03-31,4.8
2025-06-30,4.9
2025-09-30,5.4
