,Actual,Predicted
2016-03-31,11.3,4.677400955766217
2016-06-30,0.9,4.232276852779917
2016-09-30,0.9,3.6834312748222198
2016-12-31,5.1,5.005766153277969
2017-03-31,0.8,4.5852972224964645
2017-06-30,1.6,2.4331976858304434
2017-09-30,3.5,2.961710017582872
2017-12-31,5.7,-0.5538367402169619
2018-03-31,3.4,0.8495607272024219
2018-06-30,0.4,0.8486034501108914
2018-09-30,1.3,0.10022042989550428
2018-12-31,0.5,0.8152366241196494
2019-03-31,4.4,0.15565528328335532
2019-06-30,0.1,-1.9205382889252705
2019-09-30,0.8,1.1921232162358932
2019-12-31,2.4,3.7046769445397185
2020-03-31,1.4,5.39778821067234
2020-06-30,33.4,0.41854334297426665
2020-09-30,1.3,9.318800487777057
2020-12-31,1.4,3.385001014928073
2021-03-31,1.6,0.8823761956037317
2021-06-30,6.8,-7.84815918036565
2021-09-30,3.7,-1.6179184966399744
2021-12-31,1.1,1.4519968595028612
2022-03-31,3.6,6.4069229232337355
2022-06-30,0.4,0.4024872516872211
2022-09-30,0.0,3.913064395809395
2022-12-31,4.8,1.8142003082657951
2023-03-31,0.7,2.7136132811344242
2023-06-30,0.3,3.78832688809229
2023-09-30,0.0,1.8482096530706462
2023-12-31,0.1,3.123763365110733
2024-03-31,1.3,1.6690937679217346
2024-06-30,0.8,2.1862603100446116
2024-09-30,1.5,3.985872885741072
2024-12-31,2.0,5.47274613843123
2025-03-31,0.7,4.947971366587492
2025-06-30,1.2,5.1896242765036025
2025-09-30,1.3,4.88418498799701
