,Accounting___Auditing,Acting___Theater,Advertising___Marketing,Agricultural_Equipment,Agriculture___Forestry,Agrochemicals,Alcoholic_Beverages,Animal_Products___Services,Apartments___Residential_Rentals,Apparel,Aquaculture,Architecture,Auto_Financing,Autos___Vehicles,Aviation,Boats___Watercraft,Book_Retailers,Building_Materials___Supplies,Business___Industrial,Business_News,Business_Operations,Business_Services,CAD___CAM,Car_Electronics,Car_Rental___Taxi_Services,Carpooling___Ridesharing,Chemicals_Industry,Civil_Engineering,Coatings___Adhesives,College_Financing,Commercial_Lending,Commercial_Vehicles,Computer_Hardware,Computer_Security,Computer_Servers,Computers___Electronics,Construction___Maintenance,Construction_Consulting___Contracting,Consulting,Consumer_Electronics,Corporate_Events,Credit___Lending,Cruises___Charters,Customer_Relationship_Management__CRM_,Data_Management
2015-12-27,-1.2540478482734971,-1.288371726977346,-1.2015517192352623,-0.3833381496278254,-0.8534927336628879,-1.363628464334941,-0.9692397998341731,-0.7213209605544053,-0.8453345459614252,-0.879310416688829,-0.8029009475468283,-1.1598278758638627,-0.7791609602437548,-1.026044498861038,-1.5560400387347486,-1.1755762328320016,-1.318677076472675,-0.9562134043576984,-1.1378359048491542,-1.19359473833468,-1.0967953549788878,-1.2187484046972101,-1.2228291176825468,-1.0928845169868882,-0.7001525361169265,-1.1755762328320016,-0.9330145956606906,-1.1755762328320016,-1.0324753891913283,-1.1755762328320016,-1.2374516365500892,-0.5936546873822803,-1.274016305645254,-1.214290745012692,-1.4632583052837833,-1.233395803720828,-1.0492825075077095,-1.0214255530047431,-0.8434423978093868,-1.1383048380347698,-1.1474053558653052,-1.0771361600187492,-1.3454752696273986,-1.2991901887991784,-1.2033557969390771
2016-01-03,-0.8498892737863635,-1.1703611690611355,-1.011756138884497,-0.29489243170723567,-0.6548951657386426,-0.42592069411363953,-0.8136862251224031,-0.8770133590736768,-0.5025317964854801,-0.8099197423269264,-0.6375566385763696,-0.8718681805051389,-0.7734798046443627,-0.9581866491174997,-1.1877529117730043,-0.9552497894441898,-0.5743777369548382,-0.6640913618310056,-0.868080297188202,-0.9261642085490935,-0.7521570351755416,-1.0348156770649117,-0.6107453811257124,-1.0417437912390421,-0.8161893553405215,-1.1703611690611355,-0.78736891680503,-0.5471725771081002,-0.7148856403783097,-0.5642253654908198,-0.8265896299583106,-0.7077376471130226,-1.1703611690611355,-1.1417877966170797,-1.1703611690611355,-1.1074473436505663,-0.6695858811486466,-0.5491874881262797,-0.7648960609529714,-1.0858037810330723,-0.8602062407572961,-0.8274164179343053,-0.9056686148340534,2.8369720161713357,-0.7592622432347156
2016-01-10,-1.221113726234456,-0.7810653566962111,-0.9483532227748199,-0.5642503991544823,-0.7532895384616531,-1.1948772227330937,-0.8246984536462092,-0.7748266236060366,-0.7741579508964005,-0.8548693312795734,-0.8063904511593472,-0.8773421871316311,-1.1650242595834124,-0.8336671236289703,-1.0798664512431055,-0.8285520229621994,-0.8917309245837308,-0.886820931086175,-1.0108735797561543,-0.9793071137883191,-0.9746705310921939,-1.0767316524377337,-1.0007212082921368,-1.036406881761319,-0.8707847865854723,-1.1650242595834124,-0.893090544099771,-0.5506579568765813,-1.2573975797144277,-1.0472412239270286,-1.0252623172082531,-0.7024007376352994,-1.1277528647861805,-1.2947020828919458,-1.068397423894341,-1.1650242595834124,-0.840784591397834,-0.8827917918991961,-1.2985556522079356,-1.108671323032281,-0.569040827477115,-0.9418807082692027,-1.2356418267973655,-1.1650242595834124,-1.0596637439255865
2016-01-17,-0.9772450957836574,-0.6116014818621647,-1.1869656267657267,-1.1836642041566723,-0.834144252142984,-0.8028917086388794,-0.9638220754515165,-0.9843625635525206,-0.8444856059377162,-0.8230944159563989,-0.7800770308727083,-0.7848732031362013,-1.0936086847858144,-0.8132904158597776,-1.0437348370524906,-0.7242485813197663,-1.3266207372407783,-0.8957520615324741,-1.0192092948826894,-1.143566311231171,-1.0032205821869176,-1.1881400250216676,-1.0173921637970689,-1.0881076885954672,-0.8494117242737724,-1.1595666525776118,-0.8520819528296508,-1.0285383901712075,-0.9877163956509527,-1.0054159727503535,-1.4960388891988248,-0.6895630233318761,-1.1711274749786882,-1.1877375295443078,-0.9575400247043242,-1.2095770731522735,-0.9284549316142252,-0.7115419300506516,-1.210859946965162,-1.1047584160826172,-1.017916135514585,-1.0905737810906602,-0.7642539159334656,-0.7000343231991719,-1.0374639557767122
2016-01-24,-1.0548998583538975,-1.0654373636566832,-1.0868514581604996,-0.380800872764647,-0.951753894503232,-1.061617440867113,-0.9889110106386796,-0.7645259942364051,-1.1232191023313747,-0.8285683605635006,-1.3420429925010677,-0.7059660384711681,-1.0027597912742046,-0.8828379904975585,-1.1329373518002956,-0.6211862305133624,-0.7203547759232674,-1.0226547589370418,-1.0392152464057003,-1.2327716388512422,-1.0167896394846436,-1.1403851089423491,-0.8105173289179324,-1.0418734628774229,-0.9586820086773624,-1.1539907609981284,-0.9088683029651432,-1.391662412875248,-0.6278976651013495,-1.2875221536226509,-1.0548998583538975,-0.9404166607000692,-1.2618797230093137,-1.2270158960130186,-1.2185292821356994,-1.1662608535899426,-1.0798827888444062,-1.176463616850187,-0.5121368748257336,-1.09683234715818,-0.8820570455144865,-1.1539907609981284,-1.0142288186229695,-0.9971482895051587,-1.1796331916114657
2016-01-31,-0.9879571710204997,-0.894850920286141,-1.1038480585248447,-0.911911043031449,-0.8657328493106689,-1.2595254562059033,-0.7916248771569467,-0.912985734161214,-0.894850920286141,-0.928671211888914,-0.8923664469584787,-0.9171881001322926,-1.0932400439126515,-0.8327829496504542,-1.4810055749214155,-0.5351953482092702,-1.519863377528162,-0.9395450072335692,-0.9541438066547219,-0.9041028605836372,-0.8563894125343774,-1.0147684284711564,-1.133484735310538,-1.0016963469038043,-0.9021667515567704,-1.1482998210956792,-0.8706680844974,-1.052989641291354,-0.8969853928147731,-0.9941491412684209,-1.1247693236854852,-0.9251562697814695,-1.231187480901447,-1.1753284934835984,-1.2224077932494017,-1.160421181628024,-0.9212423704603334,-1.1306002439962786,-0.9832200707362304,-1.0516729854066078,-1.1209008469075648,-1.1105594931128322,-1.355939185873924,-0.8728878412357126,-0.8327829496504542
2016-02-07,-1.2019202830553484,-1.0211360055802796,-0.9721514968373084,-0.7205024525251722,-0.8633254798006753,-0.8758681993305988,-0.9812287149884251,-0.9436460038393819,-1.0389561836437071,-0.9258258257759548,-0.9883461827572892,-0.7084583820323269,-1.0912035681969972,-0.7892175076469536,-0.8498272486217275,-0.6724932333388116,-1.4908035568527631,-1.0402180134641288,-0.9061080845203167,-1.0903111094139772,-0.9193533112703376,-0.9777416295084915,-1.1780035510414564,-1.126236341712767,-0.883635228668258,-5.642306532914812,-0.9655661544254688,-0.7438577195467828,-0.9501249699370913,-1.430178935036328,-1.684094145017292,-0.621199938951261,-1.1668883157087064,-1.1294247810171942,-0.9838918324079087,-1.108207789105915,-0.94834084814359,-1.3015615572142352,-0.8148094555190668,-1.1424968625845473,-0.7858219186458149,-1.2050172195658813,-0.8487357440563841,-0.5253355890025242,-1.2431403883642345
2016-02-14,-1.1542843066480453,-0.9892600147917863,-0.9705995920743833,-0.6059564784864739,-0.9372518269281533,-0.820731780130167,-0.8823505911644038,-0.898173706103647,-0.9908729183672507,-0.8942712621267148,-1.0520273415205819,-1.1109422989353073,-1.3318934818694106,-0.934558101675357,-1.1365847295486446,-0.7592904984071769,-1.300214153330447,-0.9892600147917863,-1.020174377704234,-1.0244674314279392,-0.9863025264993075,-0.9616432800523125,-1.2907354093759027,-1.0397349035587276,-0.8161128342738726,-1.1365847295486446,-1.003053336924122,-1.1896945548625926,-1.212570636526567,-1.1365847295486446,-1.2831882037405196,-0.9289453647704002,-1.1485609205953597,-1.1639837037367595,-1.3745433666479956,-1.216627437222181,-0.9424287151076873,-0.6642253866104499,-0.838091740992648,-1.1233395027986237,-1.296927379623824,-1.2055776010355963,-0.6628003774630029,-0.7012666582907987,-1.1022956560700123
2016-02-21,-1.1877234399969248,-0.9402112976657575,-1.090824697507462,-0.7524988922369258,-0.9596072280133363,-0.437417845597031,-0.9908030837818171,-0.8635022409079309,-0.9924146876761588,-0.8773691297763646,-1.24497537733472,-0.9680460966592013,-0.9635109414938103,-0.8756727765281864,-1.1125465206542975,-0.7250999180488118,-1.130565026156976,-0.9344501472306854,-0.9839615519651002,-0.9715003315272881,-1.02379705073127,-1.1027854620499005,-1.1934788515675452,-1.130565026156976,-1.0127819905005926,-1.130565026156976,-0.820410097853137,-1.248348061813359,-0.9269660709157366,-0.9970336335324534,-1.105247218172686,-0.9924146876761588,-1.2904137270988727,-1.059613290184692,-1.28878903137187,-1.17819307514623,-0.9512240975011599,-0.5915685254242891,-1.3449748975024312,-1.059613290184692,-1.219512512173472,-1.1644665778326573,-0.9970336335324532,-0.8854425681239908,-1.2270252923445382
2016-02-28,-0.9732074000036546,-0.7553409057902889,-0.8921063923589618,-0.9167990049493335,-0.8658643814338682,-0.6389305539458774,-0.9846764273524196,-1.1827072778515544,-0.8317687557647586,-0.9138736006202284,-0.9943852414793803,-0.7698933520466711,-1.180527836378622,-0.904376484950776,-0.8490263898676118,-0.6319618846297845,-0.6136127459615879,-0.8620741052600871,-0.9150881405457043,-0.9203430133840635,-0.8864797326282274,-0.9421168129336235,-1.1641786983770923,-0.9787265585461844,-1.0089254826057337,-1.1244383697275784,-0.8452669869437064,-0.9862880312467612,-0.6499803901324626,-1.1244383697275784,-0.6506540176419366,-1.0836163752073236,-1.195897333709723,-1.0717946362421569,-1.2224187780877815,-1.112603912080575,-0.8832763129106902,-1.2114497467172076,-0.9383360900937174,-1.1647122688655185,-1.1244383697275784,-1.1583399214032597,-0.981337526086905,-0.8808162870698273,-0.8097276248878775
