,Actual,Predicted
2016-03-31,11.3,1.5298463174017745
2016-06-30,0.9,3.891689768961571
2016-09-30,0.9,2.9091865882149017
2016-12-31,5.1,2.3260370288285155
2017-03-31,0.8,2.452163391572094
2017-06-30,1.6,2.2635523322848305
2017-09-30,3.5,2.0831976849777454
2017-12-31,5.7,1.8366468035502201
2018-03-31,3.4,1.6939218933784805
2018-06-30,0.4,1.8836587194218308
2018-09-30,1.3,1.8258042184529193
2018-12-31,0.5,1.5308600455336598
2019-03-31,4.4,1.3391838074939044
2019-06-30,0.1,2.495631323623221
2019-09-30,0.8,1.3399400719536487
2019-12-31,2.4,0.9631105928014958
2021-03-31,1.6,2.9991801908130085
2021-06-30,6.8,1.2474675140020084
2021-09-30,3.7,3.924049777087405
2021-12-31,1.1,3.3842233942805526
2022-03-31,3.6,1.8532568139400623
2022-06-30,0.4,2.46103287633979
2022-09-30,0.0,2.207160172803098
2022-12-31,4.8,1.4245915783454404
2023-03-31,0.7,2.515944575933926
2023-06-30,0.3,3.3019116063333476
2023-09-30,0.0,1.8435804628920351
2023-12-31,0.1,1.9668997740047118
2024-03-31,1.3,2.0827002755725395
2024-06-30,0.8,1.7951183681883203
2024-09-30,1.5,1.9226397918046825
2024-12-31,2.0,1.5527353110480382
2025-03-31,0.7,1.7273191565414496
2025-06-30,1.2,1.6970952902234226
2025-09-30,1.3,1.9382615505799368
