,Advertising & Marketing
2014-12-28,77.0
2015-01-04,63.0
2015-01-11,61.0
2015-01-18,73.0
2015-01-25,71.0
2015-02-01,65.0
2015-02-08,69.0
2015-02-15,71.0
2015-02-22,73.0
2015-03-01,64.0
2015-03-08,68.0
2015-03-15,70.0
2015-03-22,73.0
2015-03-29,70.0
2015-04-05,66.0
2015-04-12,50.0
2015-04-19,77.0
2015-04-26,67.0
2015-05-03,65.0
2015-05-10,74.0
2015-05-17,84.0
2015-05-24,69.0
2015-05-31,75.0
2015-06-07,79.0
2015-06-14,77.0
2015-06-21,77.0
2015-06-28,71.0
2015-07-05,68.0
2015-07-12,72.0
2015-07-19,69.0
2015-07-26,74.0
2015-08-02,73.0
2015-08-09,71.0
2015-08-16,67.0
2015-08-23,74.0
2015-08-30,73.0
2015-09-06,73.0
2015-09-13,74.0
2015-09-20,73.0
2015-09-27,74.0
2015-10-04,70.0
2015-10-11,75.0
2015-10-18,69.0
2015-10-25,65.0
2015-11-01,80.0
2015-11-08,72.0
2015-11-15,77.0
2015-11-22,78.0
2015-11-29,77.0
2015-12-06,72.0
2015-12-13,73.0
2015-12-20,70.0
2015-12-27,75.0
2016-01-03,74.0
2016-01-10,76.0
2016-01-17,71.0
2016-01-24,76.0
2016-01-31,68.0
2016-02-07,82.0
2016-02-14,84.0
2016-02-21,76.0
2016-02-28,81.0
2016-03-06,75.0
2016-03-13,78.0
2016-03-20,83.0
2016-03-27,78.0
2016-04-03,72.0
2016-04-10,57.0
2016-04-17,73.0
2016-04-24,76.0
2016-05-01,81.0
2016-05-08,80.0
2016-05-15,69.0
2016-05-22,82.0
2016-05-29,86.0
2016-06-05,75.0
2016-06-12,83.0
2016-06-19,82.0
2016-06-26,83.0
2016-07-03,81.0
2016-07-10,81.0
2016-07-17,78.0
2016-07-24,81.0
2016-07-31,85.0
2016-08-07,84.0
2016-08-14,75.0
2016-08-21,83.0
2016-08-28,84.0
2016-09-04,81.0
2016-09-11,73.0
2016-09-18,82.0
2016-09-25,85.0
2016-10-02,81.0
2016-10-09,77.0
2016-10-16,86.0
2016-10-23,81.0
2016-10-30,85.0
2016-11-06,76.0
2016-11-13,84.0
2016-11-20,100.0
2016-11-27,88.0
2016-12-04,82.0
2016-12-11,74.0
2016-12-18,90.0
2016-12-25,83.0
2017-01-01,87.0
2017-01-08,80.0
2017-01-15,85.0
2017-01-22,84.0
2017-01-29,83.0
2017-02-05,78.0
2017-02-12,84.0
2017-02-19,81.0
2017-02-26,90.0
2017-03-05,86.0
2017-03-12,78.0
2017-03-19,82.0
2017-03-26,79.0
2017-04-02,80.0
2017-04-09,60.0
