,Agriculture & Forestry
2014-12-28,58.0
2015-01-04,46.0
2015-01-11,61.0
2015-01-18,62.0
2015-01-25,57.0
2015-02-01,68.0
2015-02-08,64.0
2015-02-15,70.0
2015-02-22,61.0
2015-03-01,48.0
2015-03-08,73.0
2015-03-15,71.0
2015-03-22,64.0
2015-03-29,75.0
2015-04-05,80.0
2015-04-12,62.0
2015-04-19,57.0
2015-04-26,58.0
2015-05-03,64.0
2015-05-10,85.0
2015-05-17,71.0
2015-05-24,61.0
2015-05-31,60.0
2015-06-07,42.0
2015-06-14,48.0
2015-06-21,64.0
2015-06-28,62.0
2015-07-05,61.0
2015-07-12,66.0
2015-07-19,68.0
2015-07-26,72.0
2015-08-02,85.0
2015-08-09,71.0
2015-08-16,82.0
2015-08-23,75.0
2015-08-30,71.0
2015-09-06,75.0
2015-09-13,82.0
2015-09-20,59.0
2015-09-27,77.0
2015-10-04,70.0
2015-10-11,81.0
2015-10-18,72.0
2015-10-25,89.0
2015-11-01,83.0
2015-11-08,69.0
2015-11-15,62.0
2015-11-22,59.0
2015-11-29,61.0
2015-12-06,57.0
2015-12-13,72.0
2015-12-20,74.0
2015-12-27,73.0
2016-01-03,57.0
2016-01-10,71.0
2016-01-17,90.0
2016-01-24,62.0
2016-01-31,72.0
2016-02-07,81.0
2016-02-14,61.0
2016-02-21,87.0
2016-02-28,67.0
2016-03-06,85.0
2016-03-13,92.0
2016-03-20,75.0
2016-03-27,78.0
2016-04-03,90.0
2016-04-10,64.0
2016-04-17,67.0
2016-04-24,88.0
2016-05-01,83.0
2016-05-08,88.0
2016-05-15,92.0
2016-05-22,72.0
2016-05-29,59.0
2016-06-05,52.0
2016-06-12,71.0
2016-06-19,73.0
2016-06-26,73.0
2016-07-03,60.0
2016-07-10,87.0
2016-07-17,82.0
2016-07-24,85.0
2016-07-31,74.0
2016-08-07,52.0
2016-08-14,70.0
2016-08-21,77.0
2016-08-28,50.0
2016-09-04,65.0
2016-09-11,52.0
2016-09-18,53.0
2016-09-25,26.0
2016-10-02,22.0
2016-10-09,34.0
2016-10-16,16.0
2016-10-23,34.0
2016-10-30,26.0
2016-11-06,29.0
2016-11-13,20.0
2016-11-20,15.0
2016-11-27,20.0
2016-12-04,15.0
2016-12-11,24.0
2016-12-18,17.0
2016-12-25,27.0
2017-01-01,15.0
2017-01-08,29.0
2017-01-15,39.0
2017-01-22,26.0
2017-01-29,55.0
2017-02-05,77.0
2017-02-12,87.0
2017-02-19,93.0
2017-02-26,75.0
2017-03-05,80.0
2017-03-12,66.0
2017-03-19,72.0
2017-03-26,74.0
2017-04-02,67.0
2017-04-09,74.0
2017-04-16,69.0
2017-04-23,72.0
2017-04-30,83.0
2017-05-07,72.0
2017-05-14,70.0
2017-05-21,54.0
2017-05-28,52.0
2017-06-04,49.0
2017-06-11,52.0
2017-06-18,42.0
2017-06-25,41.0
2017-07-02,64.0
2017-07-09,59.0
2017-07-16,73.0
2017-07-23,66.0
2017-07-30,53.0
2017-08-06,83.0
2017-08-13,61.0
2017-08-20,75.0
2017-08-27,49.0
2017-09-03,71.0
2017-09-10,68.0
2017-09-17,63.0
2017-09-24,59.0
2017-10-01,58.0
2017-10-08,70.0
2017-10-15,62.0
2017-10-22,60.0
2017-10-29,60.0
2017-11-05,56.0
2017-11-12,67.0
2017-11-19,62.0
