,Alcoholic Beverages
2014-12-28,51.0
2015-01-04,38.0
2015-01-11,43.0
2015-01-18,45.0
2015-01-25,47.0
2015-02-01,46.0
2015-02-08,48.0
2015-02-15,42.0
2015-02-22,48.0
2015-03-01,53.0
2015-03-08,38.0
2015-03-15,39.0
2015-03-22,48.0
2015-03-29,48.0
2015-04-05,47.0
2015-04-12,46.0
2015-04-19,46.0
2015-04-26,47.0
2015-05-03,45.0
2015-05-10,43.0
2015-05-17,47.0
2015-05-24,37.0
2015-05-31,45.0
2015-06-07,36.0
2015-06-14,37.0
2015-06-21,43.0
2015-06-28,42.0
2015-07-05,61.0
2015-07-12,50.0
2015-07-19,57.0
2015-07-26,55.0
2015-08-02,47.0
2015-08-09,67.0
2015-08-16,49.0
2015-08-23,42.0
2015-08-30,51.0
2015-09-06,47.0
2015-09-13,49.0
2015-09-20,45.0
2015-09-27,45.0
2015-10-04,51.0
2015-10-11,54.0
2015-10-18,36.0
2015-10-25,54.0
2015-11-01,46.0
2015-11-08,64.0
2015-11-15,51.0
2015-11-22,69.0
2015-11-29,51.0
2015-12-06,47.0
2015-12-13,55.0
2015-12-20,55.0
2015-12-27,57.0
2016-01-03,62.0
2016-01-10,43.0
2016-01-17,50.0
2016-01-24,57.0
2016-01-31,53.0
2016-02-07,55.0
2016-02-14,58.0
2016-02-21,47.0
2016-02-28,43.0
2016-03-06,53.0
2016-03-13,48.0
2016-03-20,46.0
2016-03-27,46.0
2016-04-03,48.0
2016-04-10,66.0
2016-04-17,46.0
2016-04-24,45.0
2016-05-01,46.0
2016-05-08,54.0
2016-05-15,61.0
2016-05-22,56.0
2016-05-29,45.0
2016-06-05,50.0
2016-06-12,55.0
2016-06-19,65.0
2016-06-26,69.0
2016-07-03,41.0
2016-07-10,50.0
2016-07-17,68.0
2016-07-24,62.0
2016-07-31,53.0
2016-08-07,32.0
2016-08-14,49.0
2016-08-21,67.0
2016-08-28,45.0
2016-09-04,81.0
2016-09-11,60.0
2016-09-18,30.0
2016-09-25,21.0
2016-10-02,16.0
2016-10-09,16.0
2016-10-16,22.0
2016-10-23,14.0
2016-10-30,20.0
