,Animal Products & Services
2014-12-28,39.0
2015-01-04,43.0
2015-01-11,43.0
2015-01-18,46.0
2015-01-25,41.0
2015-02-01,48.0
2015-02-08,49.0
2015-02-15,51.0
2015-02-22,48.0
2015-03-01,52.0
2015-03-08,66.0
2015-03-15,52.0
2015-03-22,50.0
2015-03-29,50.0
2015-04-05,55.0
2015-04-12,39.0
2015-04-19,45.0
2015-04-26,49.0
2015-05-03,49.0
2015-05-10,65.0
2015-05-17,62.0
2015-05-24,56.0
2015-05-31,58.0
2015-06-07,53.0
2015-06-14,59.0
2015-06-21,48.0
2015-06-28,54.0
2015-07-05,54.0
2015-07-12,46.0
2015-07-19,59.0
2015-07-26,57.0
2015-08-02,67.0
2015-08-09,59.0
2015-08-16,52.0
2015-08-23,55.0
2015-08-30,54.0
2015-09-06,59.0
2015-09-13,50.0
2015-09-20,56.0
2015-09-27,49.0
2015-10-04,57.0
2015-10-11,57.0
2015-10-18,53.0
2015-10-25,54.0
2015-11-01,52.0
2015-11-08,55.0
2015-11-15,51.0
2015-11-22,51.0
2015-11-29,56.0
2015-12-06,55.0
2015-12-13,68.0
2015-12-20,54.0
2015-12-27,62.0
2016-01-03,58.0
2016-01-10,64.0
2016-01-17,55.0
2016-01-24,61.0
2016-01-31,61.0
2016-02-07,60.0
2016-02-14,65.0
2016-02-21,63.0
2016-02-28,49.0
2016-03-06,64.0
2016-03-13,52.0
2016-03-20,67.0
2016-03-27,56.0
2016-04-03,67.0
2016-04-10,54.0
2016-04-17,62.0
2016-04-24,55.0
2016-05-01,62.0
2016-05-08,63.0
2016-05-15,53.0
2016-05-22,61.0
2016-05-29,58.0
2016-06-05,60.0
2016-06-12,63.0
2016-06-19,64.0
2016-06-26,65.0
2016-07-03,66.0
2016-07-10,70.0
2016-07-17,64.0
2016-07-24,63.0
2016-07-31,69.0
2016-08-07,70.0
2016-08-14,73.0
2016-08-21,68.0
2016-08-28,72.0
2016-09-04,67.0
2016-09-11,75.0
2016-09-18,62.0
2016-09-25,71.0
2016-10-02,71.0
2016-10-09,67.0
2016-10-16,68.0
2016-10-23,63.0
2016-10-30,66.0
2016-11-06,68.0
2016-11-13,65.0
2016-11-20,63.0
2016-11-27,66.0
2016-12-04,65.0
2016-12-11,62.0
2016-12-18,65.0
2016-12-25,65.0
2017-01-01,67.0
2017-01-08,74.0
2017-01-15,91.0
2017-01-22,67.0
2017-01-29,79.0
2017-02-05,65.0
2017-02-12,74.0
2017-02-19,74.0
2017-02-26,72.0
2017-03-05,69.0
2017-03-12,72.0
2017-03-19,69.0
2017-03-26,69.0
2017-04-02,64.0
2017-04-09,62.0
2017-04-16,72.0
2017-04-23,72.0
2017-04-30,70.0
2017-05-07,72.0
2017-05-14,66.0
2017-05-21,69.0
2017-05-28,53.0
2017-06-04,69.0
2017-06-11,59.0
2017-06-18,70.0
2017-06-25,70.0
2017-07-02,68.0
2017-07-09,66.0
2017-07-16,78.0
2017-07-23,75.0
2017-07-30,69.0
2017-08-06,79.0
2017-08-13,65.0
2017-08-20,65.0
2017-08-27,65.0
2017-09-03,65.0
2017-09-10,68.0
2017-09-17,65.0
2017-09-24,74.0
2017-10-01,62.0
2017-10-08,71.0
2017-10-15,66.0
2017-10-22,68.0
2017-10-29,70.0
2017-11-05,70.0
2017-11-12,67.0
2017-11-19,57.0
2017-11-26,65.0
2017-12-03,65.0
2017-12-10,61.0
2017-12-17,70.0
2017-12-24,73.0
2017-12-31,67.0
2018-01-07,67.0
2018-01-14,72.0
2018-01-21,56.0
2018-01-28,67.0
2018-02-04,73.0
2018-02-11,67.0
2018-02-18,75.0
2018-02-25,69.0
2018-03-04,61.0
2018-03-11,66.0
2018-03-18,73.0
2018-03-25,70.0
2018-04-01,66.0
2018-04-08,61.0
2018-04-15,74.0
2018-04-22,60.0
2018-04-29,73.0
2018-05-06,79.0
2018-05-13,75.0
2018-05-20,70.0
2018-05-27,67.0
2018-06-03,69.0
2018-06-10,72.0
2018-06-17,70.0
2018-06-24,74.0
2018-07-01,72.0
2018-07-08,78.0
2018-07-15,80.0
2018-07-22,73.0
2018-07-29,77.0
2018-08-05,71.0
2018-08-12,82.0
2018-08-19,84.0
2018-08-26,78.0
2018-09-02,79.0
2018-09-09,80.0
2018-09-16,81.0
2018-09-23,79.0
2018-09-30,82.0
2018-10-07,79.0
2018-10-14,86.0
2018-10-21,77.0
2018-10-28,76.0
2018-11-04,80.0
2018-11-11,74.0
2018-11-18,70.0
2018-11-25,72.0
2018-12-02,79.0
2018-12-09,80.0
2018-12-16,84.0
