,Autos & Vehicles
2014-12-28,42.0
2015-01-04,37.0
2015-01-11,38.0
2015-01-18,37.0
2015-01-25,35.0
2015-02-01,39.0
2015-02-08,36.0
2015-02-15,39.0
2015-02-22,37.0
2015-03-01,35.0
2015-03-08,38.0
2015-03-15,42.0
2015-03-22,39.0
2015-03-29,42.0
2015-04-05,39.0
2015-04-12,39.0
2015-04-19,37.0
2015-04-26,38.0
2015-05-03,38.0
2015-05-10,41.0
2015-05-17,43.0
2015-05-24,43.0
2015-05-31,42.0
2015-06-07,42.0
2015-06-14,43.0
2015-06-21,47.0
2015-06-28,55.0
2015-07-05,60.0
2015-07-12,59.0
2015-07-19,55.0
2015-07-26,58.0
2015-08-02,54.0
2015-08-09,53.0
2015-08-16,53.0
2015-08-23,51.0
2015-08-30,53.0
2015-09-06,52.0
2015-09-13,50.0
2015-09-20,51.0
2015-09-27,49.0
2015-10-04,50.0
2015-10-11,52.0
2015-10-18,50.0
2015-10-25,52.0
2015-11-01,49.0
2015-11-08,44.0
2015-11-15,45.0
2015-11-22,46.0
2015-11-29,44.0
2015-12-06,46.0
2015-12-13,49.0
2015-12-20,51.0
2015-12-27,46.0
2016-01-03,44.0
2016-01-10,44.0
2016-01-17,46.0
2016-01-24,47.0
2016-01-31,54.0
2016-02-07,47.0
2016-02-14,46.0
2016-02-21,46.0
2016-02-28,46.0
2016-03-06,48.0
2016-03-13,51.0
2016-03-20,46.0
2016-03-27,45.0
2016-04-03,47.0
2016-04-10,44.0
2016-04-17,44.0
2016-04-24,46.0
2016-05-01,47.0
2016-05-08,49.0
2016-05-15,49.0
2016-05-22,51.0
2016-05-29,50.0
2016-06-05,54.0
2016-06-12,52.0
2016-06-19,52.0
2016-06-26,54.0
2016-07-03,54.0
2016-07-10,57.0
2016-07-17,60.0
2016-07-24,58.0
2016-07-31,57.0
2016-08-07,55.0
2016-08-14,53.0
2016-08-21,55.0
2016-08-28,58.0
2016-09-04,57.0
2016-09-11,56.0
2016-09-18,59.0
2016-09-25,58.0
2016-10-02,59.0
2016-10-09,58.0
2016-10-16,64.0
2016-10-23,54.0
2016-10-30,56.0
2016-11-06,56.0
2016-11-13,51.0
2016-11-20,57.0
2016-11-27,54.0
2016-12-04,53.0
2016-12-11,58.0
2016-12-18,61.0
2016-12-25,63.0
2017-01-01,61.0
2017-01-08,54.0
2017-01-15,58.0
2017-01-22,61.0
2017-01-29,57.0
2017-02-05,55.0
2017-02-12,56.0
2017-02-19,53.0
2017-02-26,57.0
2017-03-05,57.0
2017-03-12,54.0
2017-03-19,57.0
2017-03-26,70.0
2017-04-02,57.0
2017-04-09,57.0
2017-04-16,57.0
2017-04-23,55.0
2017-04-30,55.0
2017-05-07,57.0
2017-05-14,59.0
2017-05-21,63.0
2017-05-28,62.0
2017-06-04,63.0
2017-06-11,66.0
2017-06-18,67.0
2017-06-25,64.0
2017-07-02,71.0
2017-07-09,67.0
2017-07-16,68.0
2017-07-23,65.0
2017-07-30,69.0
2017-08-06,67.0
2017-08-13,66.0
2017-08-20,63.0
2017-08-27,61.0
2017-09-03,65.0
2017-09-10,64.0
2017-09-17,64.0
2017-09-24,60.0
2017-10-01,63.0
2017-10-08,67.0
2017-10-15,61.0
2017-10-22,61.0
2017-10-29,61.0
2017-11-05,69.0
2017-11-12,64.0
2017-11-19,66.0
2017-11-26,62.0
2017-12-03,69.0
2017-12-10,68.0
2017-12-17,69.0
2017-12-24,74.0
2017-12-31,66.0
2018-01-07,65.0
2018-01-14,67.0
2018-01-21,68.0
2018-01-28,66.0
2018-02-04,71.0
2018-02-11,68.0
2018-02-18,66.0
2018-02-25,63.0
2018-03-04,69.0
2018-03-11,69.0
2018-03-18,70.0
2018-03-25,72.0
2018-04-01,67.0
2018-04-08,67.0
2018-04-15,68.0
2018-04-22,67.0
2018-04-29,69.0
2018-05-06,71.0
2018-05-13,73.0
2018-05-20,78.0
2018-05-27,79.0
2018-06-03,75.0
2018-06-10,72.0
2018-06-17,69.0
2018-06-24,73.0
2018-07-01,71.0
2018-07-08,75.0
2018-07-15,75.0
2018-07-22,78.0
2018-07-29,76.0
2018-08-05,76.0
2018-08-12,80.0
2018-08-19,81.0
2018-08-26,77.0
2018-09-02,84.0
2018-09-09,82.0
2018-09-16,85.0
2018-09-23,82.0
2018-09-30,83.0
2018-10-07,88.0
2018-10-14,81.0
2018-10-21,90.0
2018-10-28,91.0
2018-11-04,77.0
2018-11-11,82.0
2018-11-18,80.0
2018-11-25,83.0
2018-12-02,75.0
2018-12-09,81.0
2018-12-16,83.0
2018-12-23,90.0
2018-12-30,81.0
2019-01-06,75.0
2019-01-13,76.0
2019-01-20,78.0
2019-01-27,77.0
2019-02-03,74.0
2019-02-10,77.0
2019-02-17,77.0
2019-02-24,71.0
2019-03-03,76.0
2019-03-10,80.0
2019-03-17,79.0
2019-03-24,82.0
2019-03-31,77.0
2019-04-07,74.0
2019-04-14,81.0
2019-04-21,74.0
2019-04-28,73.0
2019-05-05,77.0
2019-05-12,78.0
