,Birthday
2014-12-28,44.0
2015-01-04,44.0
2015-01-11,42.0
2015-01-18,43.0
2015-01-25,40.0
2015-02-01,40.0
2015-02-08,43.0
2015-02-15,40.0
2015-02-22,42.0
2015-03-01,49.0
2015-03-08,45.0
2015-03-15,45.0
2015-03-22,48.0
2015-03-29,43.0
2015-04-05,43.0
2015-04-12,42.0
2015-04-19,43.0
2015-04-26,45.0
2015-05-03,47.0
2015-05-10,49.0
2015-05-17,45.0
2015-05-24,47.0
2015-05-31,47.0
2015-06-07,47.0
2015-06-14,47.0
2015-06-21,50.0
2015-06-28,48.0
2015-07-05,44.0
2015-07-12,46.0
2015-07-19,47.0
2015-07-26,47.0
2015-08-02,49.0
2015-08-09,51.0
2015-08-16,44.0
2015-08-23,49.0
2015-08-30,51.0
2015-09-06,53.0
2015-09-13,54.0
2015-09-20,51.0
2015-09-27,55.0
2015-10-04,53.0
2015-10-11,55.0
2015-10-18,55.0
2015-10-25,55.0
2015-11-01,58.0
2015-11-08,54.0
2015-11-15,60.0
2015-11-22,59.0
2015-11-29,57.0
2015-12-06,55.0
2015-12-13,55.0
2015-12-20,57.0
2015-12-27,55.0
2016-01-03,54.0
2016-01-10,54.0
2016-01-17,53.0
2016-01-24,52.0
2016-01-31,56.0
2016-02-07,54.0
2016-02-14,52.0
2016-02-21,51.0
2016-02-28,56.0
2016-03-06,56.0
2016-03-13,51.0
2016-03-20,51.0
2016-03-27,52.0
2016-04-03,55.0
2016-04-10,52.0
2016-04-17,56.0
2016-04-24,60.0
2016-05-01,62.0
2016-05-08,54.0
2016-05-15,55.0
2016-05-22,56.0
2016-05-29,56.0
2016-06-05,55.0
2016-06-12,61.0
2016-06-19,60.0
2016-06-26,63.0
2016-07-03,56.0
2016-07-10,55.0
2016-07-17,59.0
2016-07-24,55.0
2016-07-31,57.0
2016-08-07,65.0
2016-08-14,57.0
2016-08-21,57.0
2016-08-28,57.0
2016-09-04,65.0
2016-09-11,62.0
2016-09-18,60.0
2016-09-25,67.0
2016-10-02,66.0
2016-10-09,65.0
2016-10-16,66.0
2016-10-23,69.0
2016-10-30,70.0
2016-11-06,68.0
2016-11-13,64.0
2016-11-20,61.0
2016-11-27,64.0
2016-12-04,61.0
2016-12-11,61.0
2016-12-18,60.0
2016-12-25,60.0
2017-01-01,64.0
2017-01-08,64.0
2017-01-15,59.0
2017-01-22,64.0
2017-01-29,59.0
2017-02-05,54.0
2017-02-12,60.0
2017-02-19,56.0
2017-02-26,65.0
2017-03-05,61.0
2017-03-12,60.0
2017-03-19,56.0
2017-03-26,60.0
2017-04-02,56.0
2017-04-09,55.0
2017-04-16,55.0
2017-04-23,54.0
2017-04-30,64.0
2017-05-07,60.0
2017-05-14,60.0
2017-05-21,60.0
2017-05-28,59.0
2017-06-04,57.0
2017-06-11,56.0
2017-06-18,59.0
2017-06-25,56.0
2017-07-02,58.0
2017-07-09,57.0
2017-07-16,56.0
2017-07-23,58.0
2017-07-30,58.0
2017-08-06,61.0
2017-08-13,56.0
2017-08-20,56.0
2017-08-27,56.0
2017-09-03,59.0
2017-09-10,62.0
2017-09-17,60.0
2017-09-24,64.0
2017-10-01,61.0
2017-10-08,63.0
2017-10-15,64.0
2017-10-22,62.0
2017-10-29,66.0
2017-11-05,66.0
2017-11-12,61.0
2017-11-19,48.0
2017-11-26,50.0
2017-12-03,60.0
2017-12-10,56.0
2017-12-17,56.0
2017-12-24,54.0
2017-12-31,60.0
2018-01-07,62.0
2018-01-14,54.0
2018-01-21,55.0
2018-01-28,59.0
2018-02-04,51.0
2018-02-11,52.0
2018-02-18,53.0
2018-02-25,56.0
2018-03-04,47.0
2018-03-11,47.0
2018-03-18,62.0
2018-03-25,52.0
2018-04-01,56.0
2018-04-08,56.0
2018-04-15,58.0
2018-04-22,59.0
2018-04-29,66.0
2018-05-06,56.0
2018-05-13,64.0
2018-05-20,63.0
2018-05-27,64.0
2018-06-03,100.0
2018-06-10,66.0
2018-06-17,57.0
2018-06-24,56.0
2018-07-01,61.0
2018-07-08,57.0
2018-07-15,58.0
2018-07-22,58.0
2018-07-29,57.0
2018-08-05,57.0
2018-08-12,56.0
2018-08-19,53.0
2018-08-26,59.0
2018-09-02,56.0
2018-09-09,56.0
2018-09-16,58.0
2018-09-23,62.0
2018-09-30,63.0
2018-10-07,59.0
2018-10-14,61.0
2018-10-21,56.0
2018-10-28,60.0
2018-11-04,58.0
2018-11-11,57.0
2018-11-18,65.0
2018-11-25,60.0
2018-12-02,59.0
2018-12-09,58.0
2018-12-16,52.0
2018-12-23,51.0
2018-12-30,55.0
2019-01-06,58.0
2019-01-13,56.0
2019-01-20,54.0
2019-01-27,55.0
2019-02-03,52.0
2019-02-10,56.0
2019-02-17,51.0
2019-02-24,54.0
2019-03-03,53.0
2019-03-10,52.0
2019-03-17,60.0
2019-03-24,53.0
2019-03-31,53.0
2019-04-07,53.0
2019-04-14,48.0
2019-04-21,28.0
2019-04-28,48.0
2019-05-05,59.0
2019-05-12,48.0
2019-05-19,54.0
2019-05-26,54.0
2019-06-02,52.0
2019-06-09,52.0
2019-06-16,54.0
2019-06-23,49.0
2019-06-30,52.0
2019-07-07,53.0
2019-07-14,55.0
2019-07-21,54.0
2019-07-28,62.0
2019-08-04,62.0
2019-08-11,54.0
2019-08-18,55.0
2019-08-25,56.0
2019-09-01,54.0
2019-09-08,60.0
2019-09-15,54.0
2019-09-22,57.0
2019-09-29,59.0
2019-10-06,58.0
2019-10-13,59.0
2019-10-20,61.0
2019-10-27,55.0
2019-11-03,61.0
2019-11-10,56.0
2019-11-17,56.0
2019-11-24,60.0
2019-12-01,59.0
2019-12-08,59.0
2019-12-15,55.0
2019-12-22,53.0
2019-12-29,51.0
2020-01-05,52.99226804123711
2020-01-12,51.16494845360825
2020-01-19,51.16494845360825
2020-01-26,51.16494845360825
2020-02-02,54.819587628865975
2020-02-09,50.251288659793815
2020-02-16,52.07860824742268
2020-02-23,47.51030927835051
2020-03-01,52.99226804123711
2020-03-08,48.423969072164944
2020-03-15,47.51030927835051
2020-03-22,50.251288659793815
2020-03-29,53.90592783505154
2020-04-05,59.38788659793814
2020-04-12,54.819587628865975
2020-04-19,59.38788659793814
2020-04-26,61.215206185567006
2020-05-03,63.04252577319588
2020-05-10,74.9201030927835
2020-05-17,72.17912371134021
2020-05-24,63.95618556701031
2020-05-31,75.83376288659794
2020-06-07,71.26546391752576
2020-06-14,74.9201030927835
2020-06-21,78.57474226804123
2020-06-28,63.95618556701031
2020-07-05,69.4381443298969
2020-07-12,64.86984536082474
2020-07-19,68.52448453608247
2020-07-26,62.128865979381445
2020-08-02,61.215206185567006
