,Boats & Watercraft
2014-12-28,32.0
2015-01-04,24.0
2015-01-11,24.0
2015-01-18,21.0
2015-01-25,26.0
2015-02-01,25.0
2015-02-08,24.0
2015-02-15,23.0
2015-02-22,23.0
2015-03-01,21.0
2015-03-08,25.0
2015-03-15,27.0
2015-03-22,24.0
2015-03-29,22.0
2015-04-05,29.0
2015-04-12,23.0
2015-04-19,26.0
2015-04-26,27.0
2015-05-03,32.0
2015-05-10,34.0
2015-05-17,31.0
2015-05-24,35.0
2015-05-31,32.0
2015-06-07,25.0
2015-06-14,22.0
2015-06-21,28.0
2015-06-28,26.0
2015-07-05,30.0
2015-07-12,28.0
2015-07-19,28.0
2015-07-26,34.0
2015-08-02,28.0
2015-08-09,26.0
2015-08-16,30.0
2015-08-23,26.0
2015-08-30,25.0
2015-09-06,27.0
2015-09-13,29.0
2015-09-20,26.0
2015-09-27,30.0
2015-10-04,26.0
2015-10-11,23.0
2015-10-18,30.0
2015-10-25,20.0
2015-11-01,27.0
2015-11-08,24.0
2015-11-15,26.0
2015-11-22,32.0
2015-11-29,35.0
2015-12-06,33.0
2015-12-13,31.0
2015-12-20,30.0
2015-12-27,32.0
2016-01-03,30.0
2016-01-10,34.0
2016-01-17,33.0
2016-01-24,45.0
2016-01-31,47.0
2016-02-07,39.0
2016-02-14,34.0
2016-02-21,35.0
2016-02-28,35.0
2016-03-06,33.0
2016-03-13,34.0
2016-03-20,72.0
2016-03-27,44.0
2016-04-03,45.0
2016-04-10,97.0
2016-04-17,100.0
2016-04-24,73.0
2016-05-01,53.0
2016-05-08,46.0
2016-05-15,40.0
2016-05-22,29.0
2016-05-29,40.0
2016-06-05,39.0
2016-06-12,38.0
2016-06-19,41.0
2016-06-26,37.0
2016-07-03,44.0
2016-07-10,33.0
2016-07-17,45.0
2016-07-24,37.0
2016-07-31,38.0
2016-08-07,35.0
2016-08-14,41.0
2016-08-21,35.0
2016-08-28,37.0
2016-09-04,39.0
2016-09-11,34.0
2016-09-18,34.0
2016-09-25,26.0
2016-10-02,36.0
2016-10-09,34.0
2016-10-16,31.0
2016-10-23,32.0
2016-10-30,38.0
2016-11-06,33.0
2016-11-13,28.0
2016-11-20,32.0
2016-11-27,31.0
2016-12-04,32.0
2016-12-11,31.0
2016-12-18,33.0
2016-12-25,28.0
2017-01-01,39.0
