,Building Materials & Supplies
2014-12-28,28.0
2015-01-04,27.0
2015-01-11,27.0
2015-01-18,27.0
2015-01-25,25.0
2015-02-01,28.0
2015-02-08,28.0
2015-02-15,31.0
2015-02-22,31.0
2015-03-01,28.0
2015-03-08,32.0
2015-03-15,34.0
2015-03-22,45.0
2015-03-29,43.0
2015-04-05,40.0
2015-04-12,35.0
2015-04-19,46.0
2015-04-26,42.0
2015-05-03,42.0
2015-05-10,40.0
2015-05-17,42.0
2015-05-24,42.0
2015-05-31,35.0
2015-06-07,34.0
2015-06-14,34.0
2015-06-21,36.0
2015-06-28,38.0
2015-07-05,42.0
2015-07-12,41.0
2015-07-19,41.0
2015-07-26,41.0
2015-08-02,40.0
2015-08-09,38.0
2015-08-16,38.0
2015-08-23,36.0
2015-08-30,38.0
2015-09-06,39.0
2015-09-13,39.0
2015-09-20,39.0
2015-09-27,37.0
2015-10-04,38.0
2015-10-11,40.0
2015-10-18,35.0
2015-10-25,37.0
2015-11-01,35.0
2015-11-08,27.0
2015-11-15,33.0
2015-11-22,35.0
2015-11-29,33.0
2015-12-06,34.0
2015-12-13,35.0
2015-12-20,36.0
2015-12-27,33.0
2016-01-03,34.0
2016-01-10,31.0
2016-01-17,33.0
2016-01-24,32.0
2016-01-31,34.0
2016-02-07,37.0
2016-02-14,36.0
2016-02-21,41.0
2016-02-28,41.0
2016-03-06,41.0
2016-03-13,44.0
2016-03-20,45.0
2016-03-27,47.0
2016-04-03,56.0
2016-04-10,61.0
2016-04-17,58.0
2016-04-24,54.0
2016-05-01,52.0
2016-05-08,48.0
2016-05-15,53.0
2016-05-22,48.0
2016-05-29,44.0
2016-06-05,45.0
2016-06-12,44.0
2016-06-19,43.0
2016-06-26,45.0
2016-07-03,42.0
2016-07-10,42.0
2016-07-17,46.0
2016-07-24,45.0
2016-07-31,42.0
2016-08-07,43.0
2016-08-14,41.0
2016-08-21,43.0
2016-08-28,43.0
2016-09-04,41.0
2016-09-11,40.0
2016-09-18,41.0
2016-09-25,41.0
2016-10-02,41.0
2016-10-09,39.0
2016-10-16,42.0
2016-10-23,41.0
2016-10-30,37.0
2016-11-06,37.0
2016-11-13,35.0
2016-11-20,39.0
2016-11-27,40.0
2016-12-04,38.0
2016-12-11,39.0
2016-12-18,42.0
2016-12-25,45.0
2017-01-01,44.0
2017-01-08,39.0
2017-01-15,39.0
2017-01-22,40.0
2017-01-29,46.0
2017-02-05,46.0
2017-02-12,45.0
2017-02-19,50.0
2017-02-26,49.0
2017-03-05,49.0
2017-03-12,46.0
2017-03-19,59.0
2017-03-26,70.0
2017-04-02,67.0
2017-04-09,66.0
2017-04-16,74.0
2017-04-23,64.0
2017-04-30,54.0
2017-05-07,61.0
2017-05-14,63.0
2017-05-21,60.0
2017-05-28,54.0
2017-06-04,57.0
2017-06-11,54.0
2017-06-18,54.0
2017-06-25,57.0
2017-07-02,54.0
2017-07-09,52.0
2017-07-16,54.0
2017-07-23,51.0
2017-07-30,51.0
2017-08-06,48.0
2017-08-13,50.0
2017-08-20,53.0
2017-08-27,47.0
2017-09-03,49.0
2017-09-10,50.0
2017-09-17,52.0
2017-09-24,45.0
2017-10-01,50.0
2017-10-08,50.0
2017-10-15,40.0
2017-10-22,47.0
2017-10-29,46.0
2017-11-05,46.0
2017-11-12,48.0
2017-11-19,48.0
2017-11-26,46.0
2017-12-03,50.0
2017-12-10,46.0
2017-12-17,50.0
2017-12-24,48.0
2017-12-31,44.0
2018-01-07,47.0
2018-01-14,46.0
2018-01-21,46.0
2018-01-28,48.0
2018-02-04,50.0
2018-02-11,50.0
2018-02-18,51.0
2018-02-25,51.0
2018-03-04,57.0
2018-03-11,64.0
2018-03-18,62.0
2018-03-25,73.0
2018-04-01,69.0
2018-04-08,66.0
2018-04-15,76.0
2018-04-22,77.0
2018-04-29,74.0
2018-05-06,65.0
2018-05-13,68.0
2018-05-20,73.0
2018-05-27,73.0
2018-06-03,68.0
2018-06-10,68.0
2018-06-17,62.0
2018-06-24,60.0
2018-07-01,62.0
2018-07-08,63.0
2018-07-15,62.0
2018-07-22,61.0
2018-07-29,67.0
2018-08-05,65.0
2018-08-12,62.0
2018-08-19,61.0
2018-08-26,67.0
2018-09-02,75.0
2018-09-09,71.0
2018-09-16,74.0
2018-09-23,74.0
2018-09-30,76.0
2018-10-07,80.0
2018-10-14,70.0
2018-10-21,80.0
2018-10-28,76.0
2018-11-04,58.0
2018-11-11,69.0
2018-11-18,73.0
2018-11-25,73.0
2018-12-02,68.0
2018-12-09,69.0
2018-12-16,75.0
2018-12-23,76.0
2018-12-30,66.0
2019-01-06,65.0
2019-01-13,61.0
2019-01-20,65.0
2019-01-27,74.0
2019-02-03,74.0
2019-02-10,71.0
2019-02-17,76.0
2019-02-24,69.0
2019-03-03,74.0
2019-03-10,78.0
2019-03-17,78.0
2019-03-24,90.0
2019-03-31,93.0
2019-04-07,97.0
2019-04-14,86.0
2019-04-21,91.0
2019-04-28,100.0
2019-05-05,89.0
2019-05-12,84.0
2019-05-19,84.0
2019-05-26,89.0
2019-06-02,91.0
2019-06-09,90.0
2019-06-16,76.0
2019-06-23,78.0
2019-06-30,71.0
2019-07-07,66.0
2019-07-14,76.0
2019-07-21,76.0
2019-07-28,71.0
2019-08-04,69.0
2019-08-11,57.0
2019-08-18,71.0
2019-08-25,72.0
2019-09-01,65.0
2019-09-08,73.0
2019-09-15,70.0
2019-09-22,69.0
2019-09-29,65.0
2019-10-06,59.0
2019-10-13,65.0
2019-10-20,59.0
2019-10-27,54.0
2019-11-03,60.0
2019-11-10,61.0
2019-11-17,67.0
2019-11-24,58.0
2019-12-01,61.0
2019-12-08,59.0
2019-12-15,59.0
2019-12-22,64.0
2019-12-29,63.0
2020-01-05,63.60898807704066
2020-01-12,55.5132986854173
2020-01-19,58.98287985325588
2020-01-26,61.29593396514827
2020-02-02,57.82635279730969
2020-02-09,57.82635279730969
2020-02-16,61.29593396514827
2020-02-23,62.452461021094464
2020-03-01,61.29593396514827
2020-03-08,60.13940690920207
2020-03-15,63.60898807704066
2020-03-22,42.79150107000917
2020-03-29,40.478446958116784
2020-04-05,40.478446958116784
2020-04-12,43.94802812595536
2020-04-19,43.94802812595536
2020-04-26,45.10455518190156
2020-05-03,52.04371751757872
2020-05-10,60.13940690920207
2020-05-17,72.8612045246102
2020-05-24,95.99174564353409
2020-05-31,69.39162335677163
2020-06-07,74.0177315805564
2020-06-14,72.8612045246102
