,Car Electronics
2014-12-28,49.0
2015-01-04,38.0
2015-01-11,60.0
2015-01-18,58.0
2015-01-25,63.0
2015-02-01,52.0
2015-02-08,80.0
2015-02-15,53.0
2015-02-22,0.0
2015-03-01,54.0
2015-03-08,67.0
2015-03-15,41.0
2015-03-22,46.0
2015-03-29,69.0
2015-04-05,66.0
2015-04-12,37.0
2015-04-19,39.0
2015-04-26,39.0
2015-05-03,50.0
2015-05-10,57.0
2015-05-17,50.0
2015-05-24,63.0
2015-05-31,50.0
2015-06-07,0.0
2015-06-14,33.0
2015-06-21,0.0
2015-06-28,63.0
2015-07-05,58.0
2015-07-12,51.0
2015-07-19,34.0
2015-07-26,56.0
2015-08-02,49.0
2015-08-09,70.0
2015-08-16,38.0
2015-08-23,41.0
2015-08-30,51.0
2015-09-06,72.0
2015-09-13,70.0
2015-09-20,50.0
2015-09-27,38.0
2015-10-04,54.0
2015-10-11,60.0
2015-10-18,44.0
2015-10-25,62.0
2015-11-01,44.0
2015-11-08,71.0
2015-11-15,51.0
2015-11-22,0.0
2015-11-29,45.0
2015-12-06,48.0
2015-12-13,55.0
2015-12-20,40.0
2015-12-27,47.0
2016-01-03,79.0
2016-01-10,33.0
2016-01-17,56.0
2016-01-24,41.0
2016-01-31,53.0
2016-02-07,67.0
2016-02-14,84.0
2016-02-21,0.0
2016-02-28,35.0
2016-03-06,48.0
2016-03-13,57.0
2016-03-20,37.0
2016-03-27,46.0
2016-04-03,54.0
2016-04-10,76.0
2016-04-17,74.0
2016-04-24,36.0
2016-05-01,46.0
2016-05-08,63.0
2016-05-15,60.0
2016-05-22,49.0
2016-05-29,62.0
2016-06-05,54.0
2016-06-12,39.0
2016-06-19,47.0
2016-06-26,30.0
2016-07-03,56.0
2016-07-10,100.0
2016-07-17,66.0
2016-07-24,55.0
2016-07-31,71.0
2016-08-07,35.0
2016-08-14,61.0
2016-08-21,78.0
2016-08-28,36.0
2016-09-04,57.0
2016-09-11,49.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,26.0
2016-10-09,0.0
2016-10-16,0.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,26.0
2016-12-11,31.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,31.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,26.0
2017-02-05,65.0
2017-02-12,40.0
2017-02-19,52.0
2017-02-26,68.0
2017-03-05,56.0
2017-03-12,42.0
2017-03-19,57.0
2017-03-26,62.0
2017-04-02,49.0
2017-04-09,54.0
2017-04-16,64.0
2017-04-23,35.0
2017-04-30,52.0
2017-05-07,42.0
2017-05-14,36.0
2017-05-21,30.0
2017-05-28,38.0
2017-06-04,38.0
2017-06-11,42.0
2017-06-18,33.0
2017-06-25,65.0
2017-07-02,57.0
2017-07-09,36.0
2017-07-16,57.0
2017-07-23,47.0
2017-07-30,52.0
2017-08-06,47.0
2017-08-13,77.0
2017-08-20,35.0
2017-08-27,0.0
2017-09-03,38.0
2017-09-10,33.0
2017-09-17,28.0
2017-09-24,32.0
2017-10-01,65.0
2017-10-08,56.0
2017-10-15,42.0
2017-10-22,48.0
2017-10-29,33.0
2017-11-05,58.0
2017-11-12,62.0
2017-11-19,68.0
2017-11-26,71.0
2017-12-03,72.0
2017-12-10,43.0
2017-12-17,72.0
2017-12-24,79.0
2017-12-31,50.0
2018-01-07,46.0
2018-01-14,65.0
2018-01-21,66.0
2018-01-28,48.0
2018-02-04,50.0
2018-02-11,55.0
2018-02-18,68.0
2018-02-25,58.0
2018-03-04,54.0
2018-03-11,32.0
2018-03-18,50.0
2018-03-25,51.0
2018-04-01,58.0
2018-04-08,74.0
2018-04-15,59.0
2018-04-22,57.0
2018-04-29,49.0
2018-05-06,70.0
2018-05-13,42.0
2018-05-20,62.0
2018-05-27,47.0
2018-06-03,27.0
2018-06-10,42.0
2018-06-17,43.0
2018-06-24,45.0
2018-07-01,37.0
2018-07-08,58.0
2018-07-15,47.0
2018-07-22,43.0
2018-07-29,34.0
2018-08-05,69.0
2018-08-12,54.0
2018-08-19,40.0
2018-08-26,48.0
2018-09-02,64.0
2018-09-09,56.0
2018-09-16,56.0
2018-09-23,54.0
2018-09-30,64.0
2018-10-07,72.0
2018-10-14,77.0
2018-10-21,63.0
2018-10-28,56.0
2018-11-04,59.0
2018-11-11,71.0
