,Civil Engineering
2014-12-28,56.0
2015-01-04,36.0
2015-01-11,32.0
2015-01-18,49.0
2015-01-25,51.0
2015-02-01,49.0
2015-02-08,48.0
2015-02-15,57.0
2015-02-22,62.0
2015-03-01,53.0
2015-03-08,61.0
2015-03-15,70.0
2015-03-22,47.0
2015-03-29,52.0
2015-04-05,42.0
2015-04-12,29.0
2015-04-19,46.0
2015-04-26,49.0
2015-05-03,51.0
2015-05-10,60.0
2015-05-17,49.0
2015-05-24,65.0
2015-05-31,61.0
2015-06-07,58.0
2015-06-14,53.0
2015-06-21,55.0
2015-06-28,48.0
2015-07-05,72.0
2015-07-12,46.0
2015-07-19,64.0
2015-07-26,53.0
2015-08-02,61.0
2015-08-09,50.0
2015-08-16,37.0
2015-08-23,60.0
2015-08-30,67.0
2015-09-06,57.0
2015-09-13,49.0
2015-09-20,54.0
2015-09-27,54.0
2015-10-04,52.0
2015-10-11,43.0
2015-10-18,42.0
2015-10-25,51.0
2015-11-01,52.0
2015-11-08,61.0
2015-11-15,53.0
2015-11-22,49.0
2015-11-29,51.0
2015-12-06,44.0
2015-12-13,46.0
2015-12-20,41.0
2015-12-27,56.0
2016-01-03,68.0
2016-01-10,60.0
2016-01-17,56.0
2016-01-24,40.0
2016-01-31,54.0
2016-02-07,72.0
2016-02-14,54.0
2016-02-21,55.0
2016-02-28,61.0
2016-03-06,67.0
2016-03-13,67.0
2016-03-20,75.0
2016-03-27,62.0
2016-04-03,65.0
2016-04-10,36.0
2016-04-17,49.0
2016-04-24,62.0
2016-05-01,62.0
2016-05-08,65.0
2016-05-15,53.0
2016-05-22,61.0
2016-05-29,63.0
2016-06-05,81.0
2016-06-12,73.0
2016-06-19,69.0
2016-06-26,63.0
2016-07-03,61.0
2016-07-10,59.0
2016-07-17,60.0
2016-07-24,53.0
2016-07-31,52.0
2016-08-07,61.0
2016-08-14,66.0
2016-08-21,53.0
2016-08-28,61.0
2016-09-04,75.0
2016-09-11,54.0
2016-09-18,84.0
2016-09-25,66.0
2016-10-02,60.0
2016-10-09,71.0
2016-10-16,88.0
2016-10-23,73.0
2016-10-30,71.0
2016-11-06,60.0
2016-11-13,60.0
2016-11-20,73.0
2016-11-27,66.0
2016-12-04,77.0
2016-12-11,50.0
2016-12-18,49.0
2016-12-25,58.0
2017-01-01,57.0
2017-01-08,63.0
2017-01-15,59.0
2017-01-22,71.0
2017-01-29,72.0
2017-02-05,59.0
2017-02-12,57.0
2017-02-19,72.0
2017-02-26,87.0
2017-03-05,62.0
2017-03-12,74.0
2017-03-19,65.0
2017-03-26,59.0
2017-04-02,67.0
2017-04-09,35.0
2017-04-16,78.0
2017-04-23,77.0
2017-04-30,56.0
2017-05-07,59.0
2017-05-14,73.0
2017-05-21,62.0
2017-05-28,63.0
2017-06-04,52.0
2017-06-11,74.0
2017-06-18,59.0
2017-06-25,53.0
2017-07-02,68.0
2017-07-09,67.0
2017-07-16,79.0
2017-07-23,66.0
2017-07-30,74.0
2017-08-06,64.0
2017-08-13,80.0
2017-08-20,76.0
2017-08-27,67.0
2017-09-03,59.0
2017-09-10,82.0
2017-09-17,54.0
2017-09-24,61.0
2017-10-01,66.0
2017-10-08,62.0
2017-10-15,68.0
2017-10-22,62.0
2017-10-29,59.0
2017-11-05,91.0
2017-11-12,65.0
2017-11-19,76.0
2017-11-26,66.0
2017-12-03,70.0
2017-12-10,54.0
2017-12-17,66.0
2017-12-24,100.0
2017-12-31,70.0
2018-01-07,64.0
2018-01-14,59.0
2018-01-21,60.0
2018-01-28,66.0
2018-02-04,70.0
2018-02-11,61.0
2018-02-18,72.0
2018-02-25,97.0
2018-03-04,52.0
2018-03-11,59.0
2018-03-18,73.0
2018-03-25,49.0
2018-04-01,55.0
2018-04-08,44.0
2018-04-15,45.0
2018-04-22,66.0
2018-04-29,60.0
2018-05-06,66.0
2018-05-13,72.0
2018-05-20,55.0
2018-05-27,74.0
2018-06-03,66.0
2018-06-10,80.0
2018-06-17,74.0
2018-06-24,74.0
2018-07-01,69.0
2018-07-08,66.0
2018-07-15,73.0
2018-07-22,53.0
2018-07-29,91.0
2018-08-05,82.0
2018-08-12,97.0
2018-08-19,59.0
2018-08-26,77.0
2018-09-02,68.0
2018-09-09,75.0
2018-09-16,66.0
2018-09-23,65.0
2018-09-30,66.0
2018-10-07,83.0
2018-10-14,78.0
2018-10-21,76.0
2018-10-28,76.0
2018-11-04,64.0
2018-11-11,67.0
2018-11-18,85.0
2018-11-25,91.0
2018-12-02,75.0
2018-12-09,60.0
2018-12-16,73.0
2018-12-23,87.0
2018-12-30,61.0
2019-01-06,76.0
2019-01-13,65.0
2019-01-20,70.0
2019-01-27,78.0
2019-02-03,78.0
2019-02-10,67.0
2019-02-17,78.0
2019-02-24,78.0
2019-03-03,70.0
2019-03-10,80.0
2019-03-17,66.0
2019-03-24,80.0
2019-03-31,76.0
2019-04-07,56.0
2019-04-14,64.0
2019-04-21,43.0
2019-04-28,41.0
2019-05-05,48.0
2019-05-12,41.0
2019-05-19,50.0
2019-05-26,54.0
2019-06-02,60.0
2019-06-09,75.0
2019-06-16,58.0
2019-06-23,80.0
2019-06-30,82.0
2019-07-07,78.0
2019-07-14,72.0
2019-07-21,72.0
2019-07-28,63.0
2019-08-04,75.0
2019-08-11,77.0
2019-08-18,75.0
2019-08-25,87.0
2019-09-01,88.0
2019-09-08,73.0
2019-09-15,65.0
2019-09-22,52.0
2019-09-29,55.0
2019-10-06,50.0
2019-10-13,61.0
2019-10-20,62.0
2019-10-27,69.0
2019-11-03,68.0
2019-11-10,51.0
2019-11-17,72.0
2019-11-24,76.0
2019-12-01,78.0
2019-12-08,63.0
2019-12-15,61.0
2019-12-22,62.0
2019-12-29,75.0
2020-01-05,65.86341161928306
2020-01-12,69.10259579728059
2020-01-19,80.97960444993818
2020-01-26,73.42150803461062
2020-02-02,75.58096415327564
2020-02-09,76.66069221260815
2020-02-16,84.21878862793571
2020-02-23,85.29851668726822
2020-03-01,83.1390605686032
2020-03-08,66.94313967861557
2020-03-15,37.79048207663782
2020-03-22,39.94993819530284
2020-03-29,28.072929542645237
2020-04-05,33.47156983930778
2020-04-12,33.47156983930778
2020-04-19,43.189122373300364
2020-04-26,35.6310259579728
2020-05-03,41.029666254635345
2020-05-10,49.66749072929542
2020-05-17,47.5080346106304
2020-05-24,52.906674907292945
2020-05-31,47.5080346106304
2020-06-07,51.82694684796044
2020-06-14,44.268850432632874
2020-06-21,56.145859085290475
2020-06-28,49.66749072929542
2020-07-05,61.544499381953024
2020-07-12,51.82694684796044
2020-07-19,55.066131025957965
2020-07-26,65.86341161928306
2020-08-02,48.58776266996291
2020-08-09,59.385043263288004
2020-08-16,64.78368355995055
2020-08-23,60.464771322620514
2020-08-30,66.94313967861557
2020-09-06,58.305315203955494
2020-09-13,69.10259579728059
2020-09-20,65.86341161928306
2020-09-27,52.906674907292945
2020-10-04,53.986402966625455
2020-10-11,60.464771322620514
2020-10-18,45.348578491965384
2020-10-25,35.6310259579728
2020-11-01,42.109394313967854
2020-11-08,46.428306551297894
2020-11-15,51.82694684796044
2020-11-22,44.268850432632874
2020-11-29,50.74721878862793
2020-12-06,49.66749072929542
2020-12-13,46.428306551297894
2020-12-20,49.66749072929542
2020-12-27,41.029666254635345
2021-01-03,38.87021013597033
2021-01-10,46.428306551297894
2021-01-17,49.66749072929542
2021-01-24,47.5080346106304
2021-01-31,69.10259579728059
2021-02-07,49.66749072929542
2021-02-14,55.066131025957965
2021-02-21,58.305315203955494
2021-02-28,58.305315203955494
2021-03-07,62.624227441285534
2021-03-14,58.305315203955494
2021-03-21,60.464771322620514
2021-03-28,59.385043263288004
2021-04-04,50.74721878862793
2021-04-11,51.82694684796044
2021-04-18,58.305315203955494
2021-04-25,46.428306551297894
2021-05-02,49.66749072929542
2021-05-09,35.6310259579728
2021-05-16,45.348578491965384
2021-05-23,43.189122373300364
2021-05-30,43.189122373300364
2021-06-06,53.986402966625455
2021-06-13,61.544499381953024
2021-06-20,52.906674907292945
2021-06-27,50.74721878862793
2021-07-04,62.624227441285534
2021-07-11,58.305315203955494
2021-07-18,60.464771322620514
2021-07-25,55.066131025957965
2021-08-01,57.225587144622985
2021-08-08,56.145859085290475
2021-08-15,55.066131025957965
2021-08-22,46.428306551297894
2021-08-29,42.109394313967854
2021-09-05,50.74721878862793
2021-09-12,62.624227441285534
2021-09-19,53.986402966625455
2021-09-26,53.986402966625455
2021-10-03,55.066131025957965
2021-10-10,51.82694684796044
2021-10-17,52.906674907292945
2021-10-24,44.268850432632874
2021-10-31,43.189122373300364
2021-11-07,52.906674907292945
2021-11-14,48.58776266996291
2021-11-21,60.464771322620514
2021-11-28,60.464771322620514
2021-12-05,51.82694684796044
2021-12-12,55.066131025957965
2021-12-19,59.385043263288004
2021-12-26,69.10259579728059
2022-01-02,107.97280593325091
2022-01-09,92.85661310259579
2022-01-16,90.69715698393077
2022-01-23,82.05933250927069
2022-01-30,95.0160692212608
2022-02-06,95.0160692212608
2022-02-13,95.0160692212608
2022-02-20,97.17552533992583
2022-02-27,96.09579728059332
