,Cleaning Supplies & Services
2014-12-28,51.0
2015-01-04,35.0
2015-01-11,58.0
2015-01-18,43.0
2015-01-25,64.0
2015-02-01,50.0
2015-02-08,52.0
2015-02-15,55.0
2015-02-22,57.0
2015-03-01,51.0
2015-03-08,60.0
2015-03-15,58.0
2015-03-22,54.0
2015-03-29,48.0
2015-04-05,41.0
2015-04-12,34.0
2015-04-19,49.0
2015-04-26,54.0
2015-05-03,51.0
2015-05-10,61.0
2015-05-17,56.0
2015-05-24,45.0
2015-05-31,58.0
2015-06-07,56.0
2015-06-14,57.0
2015-06-21,54.0
2015-06-28,63.0
2015-07-05,57.0
2015-07-12,53.0
2015-07-19,52.0
2015-07-26,62.0
2015-08-02,58.0
2015-08-09,60.0
2015-08-16,50.0
2015-08-23,51.0
2015-08-30,51.0
2015-09-06,53.0
2015-09-13,57.0
2015-09-20,54.0
2015-09-27,57.0
2015-10-04,51.0
2015-10-11,50.0
2015-10-18,52.0
2015-10-25,47.0
2015-11-01,55.0
2015-11-08,51.0
2015-11-15,42.0
2015-11-22,63.0
2015-11-29,57.0
2015-12-06,56.0
2015-12-13,61.0
2015-12-20,55.0
2015-12-27,67.0
2016-01-03,56.0
2016-01-10,63.0
2016-01-17,74.0
2016-01-24,51.0
2016-01-31,57.0
2016-02-07,58.0
2016-02-14,50.0
2016-02-21,69.0
2016-02-28,63.0
2016-03-06,63.0
2016-03-13,52.0
2016-03-20,60.0
2016-03-27,59.0
2016-04-03,66.0
2016-04-10,43.0
2016-04-17,57.0
2016-04-24,59.0
2016-05-01,74.0
2016-05-08,63.0
2016-05-15,53.0
2016-05-22,62.0
2016-05-29,67.0
2016-06-05,76.0
2016-06-12,62.0
2016-06-19,59.0
2016-06-26,65.0
2016-07-03,67.0
2016-07-10,57.0
2016-07-17,62.0
2016-07-24,70.0
2016-07-31,56.0
2016-08-07,66.0
2016-08-14,65.0
2016-08-21,62.0
2016-08-28,55.0
2016-09-04,80.0
2016-09-11,59.0
2016-09-18,79.0
2016-09-25,48.0
2016-10-02,55.0
2016-10-09,58.0
2016-10-16,71.0
2016-10-23,61.0
2016-10-30,68.0
2016-11-06,63.0
2016-11-13,62.0
2016-11-20,65.0
2016-11-27,59.0
2016-12-04,57.0
2016-12-11,59.0
2016-12-18,66.0
2016-12-25,70.0
2017-01-01,67.0
2017-01-08,68.0
2017-01-15,77.0
2017-01-22,72.0
2017-01-29,68.0
2017-02-05,60.0
2017-02-12,65.0
2017-02-19,66.0
2017-02-26,66.0
2017-03-05,61.0
2017-03-12,64.0
2017-03-19,81.0
2017-03-26,56.0
2017-04-02,69.0
2017-04-09,43.0
2017-04-16,67.0
2017-04-23,78.0
2017-04-30,66.0
2017-05-07,59.0
2017-05-14,61.0
2017-05-21,81.0
2017-05-28,58.0
2017-06-04,65.0
2017-06-11,70.0
2017-06-18,89.0
2017-06-25,63.0
2017-07-02,66.0
2017-07-09,69.0
2017-07-16,85.0
2017-07-23,72.0
2017-07-30,93.0
2017-08-06,64.0
2017-08-13,70.0
2017-08-20,76.0
2017-08-27,72.0
2017-09-03,62.0
2017-09-10,65.0
2017-09-17,68.0
2017-09-24,76.0
2017-10-01,57.0
2017-10-08,66.0
2017-10-15,55.0
2017-10-22,69.0
2017-10-29,64.0
2017-11-05,63.0
2017-11-12,73.0
2017-11-19,65.0
2017-11-26,69.0
2017-12-03,68.0
2017-12-10,63.0
2017-12-17,71.0
2017-12-24,59.0
2017-12-31,83.0
2018-01-07,81.0
2018-01-14,81.0
2018-01-21,65.0
2018-01-28,61.0
2018-02-04,67.0
2018-02-11,64.0
2018-02-18,77.0
2018-02-25,59.0
2018-03-04,65.0
2018-03-11,57.0
2018-03-18,59.0
2018-03-25,71.0
2018-04-01,59.0
2018-04-08,50.0
2018-04-15,68.0
2018-04-22,60.0
2018-04-29,59.0
2018-05-06,75.0
2018-05-13,77.0
2018-05-20,73.0
2018-05-27,65.0
2018-06-03,70.0
2018-06-10,58.0
2018-06-17,65.0
2018-06-24,61.0
2018-07-01,66.0
2018-07-08,75.0
2018-07-15,67.0
2018-07-22,68.0
2018-07-29,66.0
2018-08-05,70.0
2018-08-12,68.0
2018-08-19,62.0
2018-08-26,68.0
2018-09-02,67.0
2018-09-09,69.0
2018-09-16,77.0
2018-09-23,72.0
2018-09-30,60.0
2018-10-07,73.0
2018-10-14,82.0
2018-10-21,80.0
2018-10-28,82.0
2018-11-04,67.0
2018-11-11,66.0
2018-11-18,58.0
2018-11-25,83.0
2018-12-02,77.0
2018-12-09,93.0
2018-12-16,83.0
2018-12-23,69.0
2018-12-30,82.0
2019-01-06,87.0
2019-01-13,64.0
2019-01-20,100.0
2019-01-27,72.0
2019-02-03,82.0
2019-02-10,79.0
2019-02-17,77.0
2019-02-24,78.0
2019-03-03,88.0
2019-03-10,81.0
2019-03-17,84.0
2019-03-24,87.0
2019-03-31,64.0
2019-04-07,68.0
2019-04-14,65.0
2019-04-21,50.0
2019-04-28,66.0
2019-05-05,60.0
2019-05-12,67.0
2019-05-19,63.0
2019-05-26,79.0
2019-06-02,73.0
2019-06-09,85.0
2019-06-16,87.0
2019-06-23,87.0
2019-06-30,79.0
2019-07-07,82.0
2019-07-14,78.0
2019-07-21,86.0
2019-07-28,88.0
2019-08-04,87.0
2019-08-11,63.0
2019-08-18,77.0
2019-08-25,77.0
2019-09-01,78.0
2019-09-08,70.0
2019-09-15,79.0
2019-09-22,86.0
2019-09-29,85.0
2019-10-06,84.0
2019-10-13,83.0
2019-10-20,68.0
2019-10-27,68.0
2019-11-03,96.0
2019-11-10,71.0
2019-11-17,64.0
2019-11-24,87.0
2019-12-01,88.0
2019-12-08,71.0
2019-12-15,77.0
2019-12-22,79.0
2019-12-29,75.0
2020-01-05,97.67911236350827
2020-01-12,79.27580133849946
