,Computer Security
2014-12-28,78.0
2015-01-04,68.0
2015-01-11,73.0
2015-01-18,71.0
2015-01-25,70.0
2015-02-01,74.0
2015-02-08,75.0
2015-02-15,73.0
2015-02-22,67.0
2015-03-01,73.0
2015-03-08,76.0
2015-03-15,72.0
2015-03-22,73.0
2015-03-29,76.0
2015-04-05,75.0
2015-04-12,65.0
2015-04-19,74.0
2015-04-26,70.0
2015-05-03,75.0
2015-05-10,77.0
2015-05-17,77.0
2015-05-24,71.0
2015-05-31,72.0
2015-06-07,74.0
2015-06-14,76.0
2015-06-21,75.0
2015-06-28,78.0
2015-07-05,77.0
2015-07-12,79.0
2015-07-19,78.0
2015-07-26,80.0
2015-08-02,86.0
2015-08-09,85.0
2015-08-16,73.0
2015-08-23,76.0
2015-08-30,83.0
2015-09-06,76.0
2015-09-13,76.0
2015-09-20,74.0
2015-09-27,77.0
2015-10-04,81.0
2015-10-11,73.0
2015-10-18,76.0
2015-10-25,70.0
2015-11-01,77.0
2015-11-08,70.0
2015-11-15,78.0
2015-11-22,70.0
2015-11-29,75.0
2015-12-06,79.0
2015-12-13,73.0
2015-12-20,69.0
2015-12-27,75.0
2016-01-03,70.0
2016-01-10,64.0
2016-01-17,69.0
2016-01-24,65.0
2016-01-31,72.0
2016-02-07,76.0
2016-02-14,71.0
2016-02-21,72.0
2016-02-28,77.0
2016-03-06,74.0
2016-03-13,64.0
2016-03-20,70.0
2016-03-27,73.0
2016-04-03,71.0
2016-04-10,63.0
2016-04-17,70.0
2016-04-24,70.0
2016-05-01,74.0
2016-05-08,72.0
2016-05-15,69.0
2016-05-22,72.0
2016-05-29,71.0
2016-06-05,72.0
2016-06-12,70.0
2016-06-19,71.0
2016-06-26,70.0
2016-07-03,77.0
2016-07-10,71.0
2016-07-17,75.0
2016-07-24,76.0
2016-07-31,77.0
2016-08-07,79.0
2016-08-14,78.0
2016-08-21,74.0
2016-08-28,84.0
2016-09-04,83.0
2016-09-11,77.0
2016-09-18,80.0
2016-09-25,73.0
2016-10-02,83.0
2016-10-09,79.0
2016-10-16,76.0
2016-10-23,77.0
2016-10-30,77.0
2016-11-06,70.0
2016-11-13,75.0
2016-11-20,70.0
2016-11-27,75.0
2016-12-04,76.0
2016-12-11,73.0
2016-12-18,80.0
2016-12-25,84.0
2017-01-01,82.0
2017-01-08,68.0
2017-01-15,76.0
2017-01-22,73.0
2017-01-29,71.0
2017-02-05,70.0
2017-02-12,76.0
2017-02-19,76.0
2017-02-26,73.0
2017-03-05,71.0
2017-03-12,75.0
2017-03-19,76.0
2017-03-26,74.0
2017-04-02,76.0
2017-04-09,61.0
2017-04-16,68.0
2017-04-23,70.0
2017-04-30,74.0
2017-05-07,65.0
2017-05-14,100.0
2017-05-21,71.0
2017-05-28,72.0
2017-06-04,67.0
2017-06-11,67.0
2017-06-18,67.0
2017-06-25,65.0
2017-07-02,72.0
2017-07-09,69.0
2017-07-16,72.0
2017-07-23,79.0
2017-07-30,77.0
2017-08-06,77.0
2017-08-13,78.0
2017-08-20,71.0
2017-08-27,79.0
2017-09-03,68.0
2017-09-10,68.0
2017-09-17,76.0
2017-09-24,73.0
2017-10-01,70.0
2017-10-08,77.0
2017-10-15,75.0
2017-10-22,68.0
2017-10-29,74.0
2017-11-05,73.0
2017-11-12,74.0
2017-11-19,65.0
2017-11-26,76.0
2017-12-03,74.0
2017-12-10,72.0
2017-12-17,70.0
2017-12-24,72.0
2017-12-31,79.0
2018-01-07,75.0
2018-01-14,71.0
2018-01-21,63.0
2018-01-28,67.0
2018-02-04,69.0
2018-02-11,73.0
2018-02-18,74.0
2018-02-25,65.0
2018-03-04,72.0
2018-03-11,72.0
2018-03-18,71.0
2018-03-25,73.0
2018-04-01,73.0
2018-04-08,61.0
2018-04-15,65.0
2018-04-22,70.0
2018-04-29,72.0
2018-05-06,77.0
2018-05-13,73.0
2018-05-20,72.0
2018-05-27,74.0
2018-06-03,71.0
2018-06-10,71.0
2018-06-17,70.0
2018-06-24,66.0
2018-07-01,78.0
2018-07-08,75.0
2018-07-15,72.0
2018-07-22,70.0
2018-07-29,75.0
2018-08-05,78.0
2018-08-12,79.0
2018-08-19,74.0
2018-08-26,79.0
2018-09-02,72.0
2018-09-09,75.0
2018-09-16,76.0
2018-09-23,69.0
2018-09-30,72.0
2018-10-07,79.0
2018-10-14,78.0
2018-10-21,69.0
2018-10-28,72.0
2018-11-04,70.0
2018-11-11,65.0
2018-11-18,69.0
2018-11-25,70.0
2018-12-02,73.0
2018-12-09,75.0
2018-12-16,69.0
2018-12-23,72.0
2018-12-30,66.0
2019-01-06,70.0
2019-01-13,71.0
2019-01-20,65.0
2019-01-27,71.0
2019-02-03,64.0
2019-02-10,73.0
2019-02-17,72.0
2019-02-24,69.0
2019-03-03,69.0
2019-03-10,72.0
2019-03-17,73.0
2019-03-24,72.0
2019-03-31,68.0
2019-04-07,64.0
2019-04-14,59.0
2019-04-21,80.0
2019-04-28,74.0
2019-05-05,74.0
2019-05-12,74.0
2019-05-19,77.0
2019-05-26,74.0
2019-06-02,71.0
2019-06-09,78.0
2019-06-16,77.0
2019-06-23,73.0
2019-06-30,77.0
2019-07-07,71.0
2019-07-14,76.0
2019-07-21,72.0
2019-07-28,74.0
2019-08-04,74.0
2019-08-11,73.0
2019-08-18,75.0
2019-08-25,70.0
2019-09-01,68.0
2019-09-08,69.0
2019-09-15,70.0
2019-09-22,68.0
2019-09-29,67.0
2019-10-06,65.0
2019-10-13,66.0
2019-10-20,66.0
2019-10-27,63.0
2019-11-03,58.0
2019-11-10,64.0
2019-11-17,65.0
2019-11-24,63.0
2019-12-01,63.0
2019-12-08,60.0
2019-12-15,68.0
2019-12-22,59.0
2019-12-29,67.0
2020-01-05,61.38265615524561
2020-01-12,55.902061855670105
2020-01-19,63.57489387507581
2020-01-26,69.05548817465132
2020-02-02,61.38265615524561
2020-02-09,67.95936931473621
2020-02-16,66.86325045482111
2020-02-23,61.38265615524561
2020-03-01,62.47877501516071
2020-03-08,60.28653729533051
2020-03-15,60.28653729533051
2020-03-22,61.38265615524561
2020-03-29,67.95936931473621
2020-04-05,74.53608247422682
2020-04-12,61.38265615524561
2020-04-19,69.05548817465132
2020-04-26,66.86325045482111
2020-05-03,59.19041843541541
2020-05-10,64.67101273499091
2020-05-17,72.34384475439661
2020-05-24,66.86325045482111
2020-05-31,65.767131594906
2020-06-07,65.767131594906
2020-06-14,64.67101273499091
2020-06-21,62.47877501516071
2020-06-28,59.19041843541541
2020-07-05,62.47877501516071
2020-07-12,65.767131594906
2020-07-19,65.767131594906
2020-07-26,64.67101273499091
2020-08-02,62.47877501516071
2020-08-09,63.57489387507581
2020-08-16,64.67101273499091
2020-08-23,61.38265615524561
2020-08-30,59.19041843541541
2020-09-06,62.47877501516071
2020-09-13,64.67101273499091
2020-09-20,60.28653729533051
2020-09-27,64.67101273499091
2020-10-04,74.53608247422682
2020-10-11,71.2477258944815
2020-10-18,69.05548817465132
2020-10-25,66.86325045482111
2020-11-01,63.57489387507581
2020-11-08,71.2477258944815
2020-11-15,70.15160703456641
2020-11-22,71.2477258944815
2020-11-29,69.05548817465132
2020-12-06,66.86325045482111
2020-12-13,65.767131594906
2020-12-20,72.34384475439661
2020-12-27,64.67101273499091
2021-01-03,64.67101273499091
2021-01-10,62.47877501516071
2021-01-17,59.19041843541541
2021-01-24,61.38265615524561
2021-01-31,60.28653729533051
2021-02-07,62.47877501516071
2021-02-14,62.47877501516071
2021-02-21,59.19041843541541
2021-02-28,59.19041843541541
2021-03-07,58.09429957550031
2021-03-14,60.28653729533051
2021-03-21,61.38265615524561
2021-03-28,61.38265615524561
2021-04-04,61.38265615524561
2021-04-11,46.036992116434206
2021-04-18,55.902061855670105
2021-04-25,63.57489387507581
2021-05-02,69.05548817465132
2021-05-09,69.05548817465132
2021-05-16,72.34384475439661
2021-05-23,69.05548817465132
2021-05-30,80.01667677380232
2021-06-06,86.59338993329291
2021-06-13,78.92055791388721
2021-06-20,76.728320194057
2021-06-27,80.01667677380232
2021-07-04,74.53608247422682
2021-07-11,72.34384475439661
2021-07-18,72.34384475439661
2021-07-25,71.2477258944815
2021-08-01,70.15160703456641
2021-08-08,66.86325045482111
2021-08-15,70.15160703456641
2021-08-22,69.05548817465132
2021-08-29,77.82443905397211
2021-09-05,73.43996361431171
2021-09-12,77.82443905397211
2021-09-19,71.2477258944815
2021-09-26,71.2477258944815
2021-10-03,73.43996361431171
2021-10-10,70.15160703456641
2021-10-17,70.15160703456641
2021-10-24,67.95936931473621
2021-10-31,64.67101273499091
2021-11-07,65.767131594906
2021-11-14,65.767131594906
2021-11-21,65.767131594906
2021-11-28,64.67101273499091
2021-12-05,61.38265615524561
2021-12-12,60.28653729533051
2021-12-19,61.38265615524561
2021-12-26,63.57489387507581
2022-01-02,84.40115221346271
2022-01-09,76.728320194057
2022-01-16,70.15160703456641
2022-01-23,71.2477258944815
2022-01-30,73.43996361431171
2022-02-06,77.82443905397211
2022-02-13,78.92055791388721
2022-02-20,80.01667677380232
2022-02-27,78.92055791388721
2022-03-06,76.728320194057
2022-03-13,78.92055791388721
