,Computer Servers
2014-12-28,87.0
2015-01-04,69.0
2015-01-11,68.0
2015-01-18,66.0
2015-01-25,79.0
2015-02-01,69.0
2015-02-08,63.0
2015-02-15,84.0
2015-02-22,81.0
2015-03-01,74.0
2015-03-08,72.0
2015-03-15,75.0
2015-03-22,72.0
2015-03-29,81.0
2015-04-05,74.0
2015-04-12,65.0
2015-04-19,85.0
2015-04-26,76.0
2015-05-03,91.0
2015-05-10,80.0
2015-05-17,70.0
2015-05-24,86.0
2015-05-31,74.0
2015-06-07,89.0
2015-06-14,78.0
2015-06-21,86.0
2015-06-28,74.0
2015-07-05,99.0
2015-07-12,73.0
2015-07-19,100.0
2015-07-26,64.0
2015-08-02,81.0
2015-08-09,81.0
2015-08-16,71.0
2015-08-23,72.0
2015-08-30,77.0
2015-09-06,85.0
2015-09-13,68.0
2015-09-20,74.0
2015-09-27,87.0
2015-10-04,84.0
2015-10-11,90.0
2015-10-18,85.0
2015-10-25,71.0
2015-11-01,82.0
2015-11-08,82.0
2015-11-15,82.0
2015-11-22,65.0
2015-11-29,76.0
2015-12-06,76.0
2015-12-13,79.0
2015-12-20,68.0
2015-12-27,65.0
2016-01-03,69.0
2016-01-10,75.0
2016-01-17,81.0
2016-01-24,74.0
2016-01-31,64.0
2016-02-07,74.0
2016-02-14,66.0
2016-02-21,69.0
2016-02-28,67.0
2016-03-06,73.0
2016-03-13,65.0
2016-03-20,59.0
2016-03-27,67.0
2016-04-03,56.0
2016-04-10,59.0
2016-04-17,69.0
2016-04-24,63.0
2016-05-01,72.0
2016-05-08,71.0
2016-05-15,60.0
2016-05-22,76.0
2016-05-29,75.0
2016-06-05,88.0
2016-06-12,73.0
2016-06-19,71.0
2016-06-26,65.0
2016-07-03,57.0
2016-07-10,78.0
2016-07-17,58.0
2016-07-24,77.0
2016-07-31,80.0
2016-08-07,80.0
2016-08-14,68.0
2016-08-21,75.0
2016-08-28,79.0
2016-09-04,68.0
2016-09-11,66.0
2016-09-18,61.0
2016-09-25,74.0
2016-10-02,71.0
2016-10-09,75.0
2016-10-16,82.0
2016-10-23,69.0
2016-10-30,62.0
2016-11-06,69.0
2016-11-13,67.0
2016-11-20,72.0
2016-11-27,65.0
2016-12-04,69.0
2016-12-11,56.0
2016-12-18,66.0
2016-12-25,50.0
2017-01-01,61.0
2017-01-08,71.0
2017-01-15,66.0
2017-01-22,73.0
2017-01-29,61.0
2017-02-05,57.0
2017-02-12,62.0
2017-02-19,63.0
2017-02-26,64.0
2017-03-05,64.0
2017-03-12,63.0
2017-03-19,65.0
2017-03-26,68.0
2017-04-02,71.0
2017-04-09,42.0
2017-04-16,56.0
2017-04-23,67.0
2017-04-30,68.0
2017-05-07,61.0
2017-05-14,67.0
2017-05-21,75.0
2017-05-28,68.0
2017-06-04,63.0
2017-06-11,61.0
2017-06-18,70.0
2017-06-25,62.0
2017-07-02,64.0
2017-07-09,60.0
2017-07-16,79.0
2017-07-23,62.0
2017-07-30,55.0
2017-08-06,60.0
2017-08-13,76.0
2017-08-20,65.0
2017-08-27,66.0
2017-09-03,56.0
2017-09-10,72.0
2017-09-17,66.0
2017-09-24,62.0
2017-10-01,62.0
2017-10-08,64.0
2017-10-15,63.0
2017-10-22,67.0
2017-10-29,58.0
2017-11-05,70.0
2017-11-12,71.0
2017-11-19,62.0
2017-11-26,59.0
2017-12-03,55.0
2017-12-10,51.0
2017-12-17,68.0
2017-12-24,34.0
2017-12-31,52.0
2018-01-07,64.0
2018-01-14,65.0
2018-01-21,58.0
2018-01-28,56.0
2018-02-04,63.0
2018-02-11,62.0
2018-02-18,54.0
2018-02-25,70.0
2018-03-04,60.0
2018-03-11,67.0
2018-03-18,55.0
2018-03-25,59.0
2018-04-01,68.0
2018-04-08,50.0
2018-04-15,54.0
2018-04-22,57.0
2018-04-29,61.0
2018-05-06,57.0
2018-05-13,75.0
2018-05-20,60.0
2018-05-27,53.0
2018-06-03,62.0
2018-06-10,62.0
2018-06-17,64.0
2018-06-24,52.0
2018-07-01,67.0
2018-07-08,69.0
2018-07-15,56.0
2018-07-22,59.0
2018-07-29,57.0
2018-08-05,61.0
2018-08-12,53.0
2018-08-19,54.0
2018-08-26,62.0
2018-09-02,59.0
2018-09-09,62.0
2018-09-16,62.0
2018-09-23,50.0
2018-09-30,47.0
2018-10-07,69.0
2018-10-14,60.0
2018-10-21,44.0
2018-10-28,57.0
2018-11-04,45.0
2018-11-11,47.0
2018-11-18,50.0
2018-11-25,54.0
2018-12-02,57.0
2018-12-09,65.0
2018-12-16,55.0
2018-12-23,48.0
2018-12-30,54.0
2019-01-06,61.0
2019-01-13,55.0
2019-01-20,61.0
2019-01-27,61.0
2019-02-03,64.0
2019-02-10,55.0
2019-02-17,59.0
2019-02-24,53.0
2019-03-03,69.0
2019-03-10,61.0
2019-03-17,54.0
2019-03-24,50.0
2019-03-31,56.0
2019-04-07,42.0
2019-04-14,36.0
2019-04-21,48.0
2019-04-28,50.0
2019-05-05,62.0
2019-05-12,54.0
