,Construction Consulting & Contracting
2014-12-28,47.0
2015-01-04,35.0
2015-01-11,45.0
2015-01-18,45.0
2015-01-25,44.0
2015-02-01,55.0
2015-02-08,67.0
2015-02-15,52.0
2015-02-22,41.0
2015-03-01,59.0
2015-03-08,59.0
2015-03-15,62.0
2015-03-22,48.0
2015-03-29,36.0
2015-04-05,39.0
2015-04-12,0.0
2015-04-19,67.0
2015-04-26,65.0
2015-05-03,28.0
2015-05-10,65.0
2015-05-17,57.0
2015-05-24,38.0
2015-05-31,51.0
2015-06-07,57.0
2015-06-14,74.0
2015-06-21,59.0
2015-06-28,57.0
2015-07-05,64.0
2015-07-12,73.0
2015-07-19,71.0
2015-07-26,46.0
2015-08-02,67.0
2015-08-09,78.0
2015-08-16,62.0
2015-08-23,68.0
2015-08-30,80.0
2015-09-06,59.0
2015-09-13,68.0
2015-09-20,44.0
2015-09-27,61.0
2015-10-04,55.0
2015-10-11,40.0
2015-10-18,73.0
2015-10-25,67.0
2015-11-01,82.0
2015-11-08,54.0
2015-11-15,70.0
2015-11-22,71.0
2015-11-29,64.0
2015-12-06,55.0
2015-12-13,68.0
2015-12-20,55.0
2015-12-27,55.0
2016-01-03,66.0
2016-01-10,60.0
2016-01-17,71.0
2016-01-24,43.0
2016-01-31,56.0
2016-02-07,57.0
2016-02-14,84.0
2016-02-21,71.0
2016-02-28,54.0
2016-03-06,63.0
2016-03-13,58.0
2016-03-20,50.0
2016-03-27,62.0
2016-04-03,66.0
2016-04-10,36.0
2016-04-17,35.0
2016-04-24,63.0
2016-05-01,77.0
2016-05-08,71.0
2016-05-15,56.0
2016-05-22,58.0
2016-05-29,58.0
2016-06-05,72.0
2016-06-12,64.0
2016-06-19,47.0
2016-06-26,66.0
2016-07-03,76.0
2016-07-10,59.0
2016-07-17,50.0
2016-07-24,71.0
2016-07-31,84.0
2016-08-07,68.0
2016-08-14,69.0
2016-08-21,88.0
2016-08-28,86.0
2016-09-04,86.0
2016-09-11,54.0
2016-09-18,89.0
2016-09-25,67.0
2016-10-02,72.0
2016-10-09,52.0
2016-10-16,62.0
2016-10-23,56.0
2016-10-30,72.0
2016-11-06,67.0
2016-11-13,64.0
2016-11-20,78.0
2016-11-27,77.0
2016-12-04,71.0
2016-12-11,56.0
2016-12-18,48.0
2016-12-25,78.0
2017-01-01,53.0
2017-01-08,82.0
2017-01-15,58.0
2017-01-22,73.0
2017-01-29,75.0
2017-02-05,69.0
2017-02-12,59.0
2017-02-19,60.0
2017-02-26,72.0
2017-03-05,50.0
2017-03-12,84.0
2017-03-19,55.0
2017-03-26,80.0
2017-04-02,62.0
2017-04-09,43.0
2017-04-16,62.0
2017-04-23,78.0
2017-04-30,50.0
2017-05-07,51.0
2017-05-14,69.0
2017-05-21,56.0
2017-05-28,69.0
2017-06-04,61.0
2017-06-11,63.0
2017-06-18,46.0
2017-06-25,74.0
2017-07-02,45.0
2017-07-09,70.0
2017-07-16,74.0
2017-07-23,67.0
2017-07-30,82.0
2017-08-06,69.0
2017-08-13,79.0
2017-08-20,68.0
2017-08-27,52.0
2017-09-03,59.0
2017-09-10,59.0
2017-09-17,58.0
2017-09-24,76.0
2017-10-01,53.0
2017-10-08,76.0
2017-10-15,70.0
2017-10-22,73.0
2017-10-29,88.0
2017-11-05,70.0
2017-11-12,69.0
2017-11-19,82.0
2017-11-26,81.0
2017-12-03,60.0
2017-12-10,54.0
2017-12-17,64.0
2017-12-24,85.0
2017-12-31,71.0
2018-01-07,72.0
2018-01-14,68.0
2018-01-21,67.0
2018-01-28,62.0
2018-02-04,60.0
2018-02-11,61.0
2018-02-18,72.0
2018-02-25,66.0
2018-03-04,58.0
2018-03-11,65.0
2018-03-18,63.0
2018-03-25,71.0
2018-04-01,80.0
2018-04-08,48.0
2018-04-15,73.0
2018-04-22,69.0
2018-04-29,65.0
2018-05-06,78.0
2018-05-13,74.0
2018-05-20,64.0
2018-05-27,56.0
2018-06-03,76.0
2018-06-10,59.0
2018-06-17,63.0
2018-06-24,67.0
2018-07-01,64.0
2018-07-08,76.0
2018-07-15,84.0
2018-07-22,73.0
2018-07-29,69.0
2018-08-05,74.0
2018-08-12,71.0
2018-08-19,71.0
2018-08-26,67.0
2018-09-02,79.0
2018-09-09,70.0
2018-09-16,62.0
2018-09-23,62.0
2018-09-30,100.0
2018-10-07,63.0
2018-10-14,76.0
2018-10-21,91.0
2018-10-28,85.0
2018-11-04,65.0
2018-11-11,72.0
2018-11-18,70.0
2018-11-25,61.0
2018-12-02,93.0
2018-12-09,79.0
2018-12-16,77.0
2018-12-23,69.0
2018-12-30,78.0
2019-01-06,73.0
2019-01-13,79.0
2019-01-20,51.0
2019-01-27,65.0
2019-02-03,63.0
2019-02-10,77.0
2019-02-17,64.0
2019-02-24,62.0
2019-03-03,67.0
2019-03-10,91.0
2019-03-17,64.0
2019-03-24,51.0
2019-03-31,69.0
2019-04-07,57.0
2019-04-14,36.0
2019-04-21,64.0
2019-04-28,72.0
2019-05-05,84.0
2019-05-12,51.0
2019-05-19,65.0
2019-05-26,86.0
2019-06-02,66.0
2019-06-09,88.0
2019-06-16,71.0
2019-06-23,52.0
2019-06-30,99.0
2019-07-07,82.0
2019-07-14,63.0
2019-07-21,84.0
2019-07-28,77.0
2019-08-04,69.0
2019-08-11,72.0
2019-08-18,77.0
2019-08-25,69.0
2019-09-01,63.0
2019-09-08,71.0
2019-09-15,69.0
2019-09-22,74.0
2019-09-29,69.0
2019-10-06,62.0
2019-10-13,77.0
2019-10-20,67.0
2019-10-27,97.0
2019-11-03,73.0
2019-11-10,52.0
2019-11-17,79.0
2019-11-24,78.0
2019-12-01,58.0
2019-12-08,64.0
2019-12-15,67.0
2019-12-22,71.0
2019-12-29,73.0
2020-01-05,93.33791208791209
2020-01-12,59.73626373626374
2020-01-19,80.89285714285714
2020-01-26,64.71428571428572
2020-02-02,59.73626373626374
2020-02-09,54.75824175824176
2020-02-16,64.71428571428572
2020-02-23,72.18131868131869
2020-03-01,77.15934065934066
2020-03-08,54.75824175824176
2020-03-15,46.0467032967033
2020-03-22,41.06868131868132
2020-03-29,37.33516483516483
2020-04-05,33.60164835164835
2020-04-12,43.55769230769231
2020-04-19,41.06868131868132
2020-04-26,14.934065934065934
2020-05-03,42.31318681318682
2020-05-10,42.31318681318682
2020-05-17,51.02472527472528
2020-05-24,59.73626373626374
2020-05-31,60.98076923076923
2020-06-07,56.002747252747255
2020-06-14,54.75824175824176
2020-06-21,63.46978021978022
2020-06-28,60.98076923076923
2020-07-05,56.002747252747255
2020-07-12,64.71428571428572
2020-07-19,67.2032967032967
2020-07-26,63.46978021978022
2020-08-02,59.73626373626374
2020-08-09,84.62637362637363
2020-08-16,70.93681318681318
2020-08-23,73.42582417582418
2020-08-30,62.22527472527473
2020-09-06,83.38186813186813
2020-09-13,73.42582417582418
2020-09-20,73.42582417582418
2020-09-27,68.4478021978022
2020-10-04,82.13736263736264
2020-10-11,65.95879120879121
2020-10-18,68.4478021978022
2020-10-25,68.4478021978022
2020-11-01,46.0467032967033
2020-11-08,51.02472527472528
2020-11-15,59.73626373626374
2020-11-22,70.93681318681318
2020-11-29,85.87087912087912
2020-12-06,60.98076923076923
2020-12-13,65.95879120879121
2020-12-20,67.2032967032967
2020-12-27,70.93681318681318
2021-01-03,60.98076923076923
2021-01-10,58.49175824175824
2021-01-17,59.73626373626374
2021-01-24,77.15934065934066
2021-01-31,77.15934065934066
2021-02-07,68.4478021978022
2021-02-14,80.89285714285714
2021-02-21,65.95879120879121
2021-02-28,64.71428571428572
2021-03-07,68.4478021978022
2021-03-14,95.82692307692308
2021-03-21,80.89285714285714
2021-03-28,77.15934065934066
2021-04-04,73.42582417582418
2021-04-11,73.42582417582418
2021-04-18,72.18131868131869
2021-04-25,97.07142857142857
2021-05-02,102.04945054945055
2021-05-09,78.40384615384616
2021-05-16,95.82692307692308
2021-05-23,69.6923076923077
2021-05-30,87.11538461538461
2021-06-06,82.13736263736264
2021-06-13,87.11538461538461
2021-06-20,109.51648351648352
2021-06-27,73.42582417582418
2021-07-04,95.82692307692308
2021-07-11,112.00549450549451
2021-07-18,124.45054945054946
2021-07-25,113.25
2021-08-01,87.11538461538461
2021-08-08,79.64835164835165
2021-08-15,95.82692307692308
2021-08-22,102.04945054945055
2021-08-29,65.95879120879121
2021-09-05,79.64835164835165
2021-09-12,88.35989010989012
2021-09-19,92.0934065934066
2021-09-26,107.02747252747253
2021-10-03,98.31593406593407
2021-10-10,89.6043956043956
2021-10-17,87.11538461538461
2021-10-24,95.82692307692308
2021-10-31,90.8489010989011
