,Credit & Lending
2014-12-28,32.0
2015-01-04,40.0
2015-01-11,22.0
2015-01-18,39.0
2015-01-25,41.0
2015-02-01,31.0
2015-02-08,37.0
2015-02-15,35.0
2015-02-22,27.0
2015-03-01,36.0
2015-03-08,31.0
2015-03-15,36.0
2015-03-22,36.0
2015-03-29,36.0
2015-04-05,34.0
2015-04-12,39.0
2015-04-19,29.0
2015-04-26,33.0
2015-05-03,30.0
2015-05-10,29.0
2015-05-17,32.0
2015-05-24,22.0
2015-05-31,35.0
2015-06-07,33.0
2015-06-14,21.0
2015-06-21,29.0
2015-06-28,34.0
2015-07-05,32.0
2015-07-12,36.0
2015-07-19,32.0
2015-07-26,26.0
2015-08-02,35.0
2015-08-09,33.0
2015-08-16,41.0
2015-08-23,43.0
2015-08-30,24.0
2015-09-06,32.0
2015-09-13,36.0
2015-09-20,27.0
2015-09-27,35.0
2015-10-04,37.0
2015-10-11,39.0
2015-10-18,32.0
2015-10-25,42.0
2015-11-01,45.0
2015-11-08,34.0
2015-11-15,42.0
2015-11-22,40.0
2015-11-29,43.0
2015-12-06,36.0
2015-12-13,27.0
2015-12-20,27.0
2015-12-27,40.0
2016-01-03,32.0
2016-01-10,31.0
2016-01-17,41.0
2016-01-24,39.0
2016-01-31,36.0
2016-02-07,42.0
2016-02-14,34.0
2016-02-21,35.0
2016-02-28,32.0
2016-03-06,34.0
2016-03-13,40.0
2016-03-20,41.0
2016-03-27,42.0
2016-04-03,34.0
2016-04-10,29.0
2016-04-17,30.0
2016-04-24,42.0
2016-05-01,33.0
2016-05-08,35.0
2016-05-15,44.0
2016-05-22,37.0
2016-05-29,27.0
2016-06-05,40.0
2016-06-12,29.0
2016-06-19,37.0
2016-06-26,42.0
2016-07-03,29.0
2016-07-10,39.0
2016-07-17,49.0
2016-07-24,45.0
2016-07-31,49.0
2016-08-07,39.0
2016-08-14,35.0
2016-08-21,48.0
2016-08-28,24.0
2016-09-04,34.0
2016-09-11,37.0
2016-09-18,21.0
2016-09-25,0.0
2016-10-02,18.0
2016-10-09,21.0
2016-10-16,10.0
2016-10-23,16.0
2016-10-30,13.0
2016-11-06,16.0
2016-11-13,22.0
2016-11-20,13.0
2016-11-27,12.0
2016-12-04,14.0
2016-12-11,12.0
2016-12-18,16.0
2016-12-25,26.0
2017-01-01,0.0
2017-01-08,14.0
2017-01-15,16.0
2017-01-22,14.0
2017-01-29,22.0
2017-02-05,32.0
2017-02-12,42.0
2017-02-19,26.0
2017-02-26,36.0
2017-03-05,43.0
2017-03-12,47.0
2017-03-19,39.0
2017-03-26,34.0
2017-04-02,47.0
2017-04-09,32.0
2017-04-16,41.0
2017-04-23,29.0
2017-04-30,39.0
2017-05-07,37.0
2017-05-14,38.0
2017-05-21,38.0
2017-05-28,35.0
2017-06-04,28.0
2017-06-11,24.0
2017-06-18,26.0
2017-06-25,32.0
2017-07-02,32.0
2017-07-09,43.0
2017-07-16,34.0
2017-07-23,23.0
2017-07-30,33.0
2017-08-06,38.0
2017-08-13,33.0
2017-08-20,37.0
2017-08-27,25.0
2017-09-03,24.0
2017-09-10,40.0
2017-09-17,40.0
2017-09-24,36.0
2017-10-01,40.0
2017-10-08,38.0
2017-10-15,24.0
2017-10-22,32.0
2017-10-29,35.0
2017-11-05,44.0
2017-11-12,39.0
2017-11-19,32.0
2017-11-26,37.0
2017-12-03,39.0
2017-12-10,27.0
2017-12-17,50.0
2017-12-24,42.0
2017-12-31,38.0
2018-01-07,38.0
2018-01-14,39.0
2018-01-21,40.0
2018-01-28,45.0
2018-02-04,50.0
2018-02-11,40.0
2018-02-18,39.0
2018-02-25,56.0
2018-03-04,51.0
2018-03-11,36.0
2018-03-18,43.0
2018-03-25,41.0
2018-04-01,44.0
2018-04-08,47.0
2018-04-15,38.0
2018-04-22,40.0
2018-04-29,41.0
2018-05-06,44.0
2018-05-13,37.0
2018-05-20,42.0
2018-05-27,40.0
2018-06-03,43.0
2018-06-10,34.0
2018-06-17,27.0
2018-06-24,51.0
2018-07-01,44.0
2018-07-08,44.0
2018-07-15,55.0
2018-07-22,40.0
2018-07-29,44.0
2018-08-05,42.0
2018-08-12,52.0
2018-08-19,33.0
2018-08-26,48.0
2018-09-02,57.0
2018-09-09,39.0
2018-09-16,35.0
2018-09-23,47.0
2018-09-30,50.0
2018-10-07,51.0
2018-10-14,54.0
2018-10-21,56.0
2018-10-28,53.0
2018-11-04,57.0
2018-11-11,47.0
2018-11-18,36.0
2018-11-25,66.0
2018-12-02,47.0
2018-12-09,58.0
2018-12-16,52.0
2018-12-23,41.0
2018-12-30,42.0
2019-01-06,74.0
2019-01-13,71.0
2019-01-20,46.0
2019-01-27,62.0
2019-02-03,53.0
2019-02-10,77.0
2019-02-17,54.0
2019-02-24,71.0
2019-03-03,47.0
2019-03-10,49.0
2019-03-17,63.0
2019-03-24,70.0
2019-03-31,48.0
2019-04-07,42.0
2019-04-14,49.0
2019-04-21,49.0
2019-04-28,57.0
2019-05-05,42.0
2019-05-12,50.0
2019-05-19,46.0
2019-05-26,49.0
2019-06-02,53.0
2019-06-09,64.0
2019-06-16,61.0
2019-06-23,67.0
2019-06-30,59.0
2019-07-07,61.0
2019-07-14,61.0
2019-07-21,59.0
2019-07-28,48.0
2019-08-04,50.0
2019-08-11,44.0
2019-08-18,54.0
2019-08-25,54.0
2019-09-01,85.0
2019-09-08,97.0
2019-09-15,100.0
2019-09-22,85.0
2019-09-29,68.0
2019-10-06,55.0
2019-10-13,60.0
2019-10-20,61.0
2019-10-27,53.0
2019-11-03,61.0
2019-11-10,68.0
2019-11-17,52.0
2019-11-24,57.0
2019-12-01,47.0
2019-12-08,48.0
2019-12-15,56.0
2019-12-22,62.0
2019-12-29,55.0
2020-01-05,63.0
2020-01-12,73.0
2020-01-19,56.0
2020-01-26,63.0
2020-02-02,65.0
