,Cruises & Charters
2014-12-28,0.0
2015-01-04,56.0
2015-01-11,36.0
2015-01-18,49.0
2015-01-25,45.0
2015-02-01,37.0
2015-02-08,43.0
2015-02-15,0.0
2015-02-22,0.0
2015-03-01,0.0
2015-03-08,36.0
2015-03-15,42.0
2015-03-22,0.0
2015-03-29,63.0
2015-04-05,0.0
2015-04-12,0.0
2015-04-19,0.0
2015-04-26,58.0
2015-05-03,0.0
2015-05-10,58.0
2015-05-17,50.0
2015-05-24,46.0
2015-05-31,71.0
2015-06-07,47.0
2015-06-14,41.0
2015-06-21,48.0
2015-06-28,0.0
2015-07-05,0.0
2015-07-12,0.0
2015-07-19,0.0
2015-07-26,0.0
2015-08-02,0.0
2015-08-09,0.0
2015-08-16,0.0
2015-08-23,0.0
2015-08-30,36.0
2015-09-06,43.0
2015-09-13,0.0
2015-09-20,0.0
2015-09-27,0.0
2015-10-04,40.0
2015-10-11,37.0
2015-10-18,0.0
2015-10-25,0.0
2015-11-01,0.0
2015-11-08,0.0
2015-11-15,39.0
2015-11-22,0.0
2015-11-29,49.0
2015-12-06,0.0
2015-12-13,75.0
2015-12-20,0.0
2015-12-27,49.0
2016-01-03,36.0
2016-01-10,0.0
2016-01-17,70.0
2016-01-24,54.0
2016-01-31,0.0
2016-02-07,43.0
2016-02-14,37.0
2016-02-21,0.0
2016-02-28,51.0
2016-03-06,0.0
2016-03-13,38.0
2016-03-20,0.0
2016-03-27,36.0
2016-04-03,53.0
2016-04-10,41.0
2016-04-17,42.0
2016-04-24,0.0
2016-05-01,0.0
2016-05-08,38.0
2016-05-15,40.0
2016-05-22,50.0
2016-05-29,0.0
2016-06-05,0.0
2016-06-12,43.0
2016-06-19,0.0
2016-06-26,62.0
2016-07-03,62.0
2016-07-10,39.0
2016-07-17,0.0
2016-07-24,49.0
2016-07-31,52.0
2016-08-07,0.0
2016-08-14,0.0
2016-08-21,45.0
2016-08-28,0.0
2016-09-04,52.0
2016-09-11,0.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,0.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,38.0
2016-12-04,0.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,32.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,34.0
2017-02-05,50.0
2017-02-12,36.0
2017-02-19,43.0
2017-02-26,38.0
2017-03-05,52.0
2017-03-12,0.0
2017-03-19,34.0
2017-03-26,39.0
2017-04-02,0.0
2017-04-09,44.0
