,Developer Jobs
2014-12-28,22.0
2015-01-04,16.0
2015-01-11,24.0
2015-01-18,31.0
2015-01-25,32.0
2015-02-01,33.0
2015-02-08,31.0
2015-02-15,29.0
2015-02-22,31.0
2015-03-01,27.0
2015-03-08,34.0
2015-03-15,29.0
2015-03-22,32.0
2015-03-29,30.0
2015-04-05,24.0
2015-04-12,16.0
2015-04-19,35.0
2015-04-26,33.0
2015-05-03,30.0
2015-05-10,43.0
2015-05-17,38.0
2015-05-24,33.0
2015-05-31,36.0
2015-06-07,36.0
2015-06-14,34.0
2015-06-21,37.0
2015-06-28,34.0
2015-07-05,41.0
2015-07-12,33.0
2015-07-19,33.0
2015-07-26,27.0
2015-08-02,34.0
2015-08-09,30.0
2015-08-16,27.0
2015-08-23,33.0
2015-08-30,39.0
2015-09-06,30.0
2015-09-13,37.0
2015-09-20,39.0
2015-09-27,32.0
2015-10-04,38.0
2015-10-11,37.0
2015-10-18,33.0
2015-10-25,33.0
2015-11-01,42.0
2015-11-08,39.0
2015-11-15,38.0
2015-11-22,32.0
2015-11-29,35.0
2015-12-06,40.0
2015-12-13,39.0
2015-12-20,32.0
2015-12-27,36.0
2016-01-03,51.0
2016-01-10,42.0
2016-01-17,45.0
2016-01-24,39.0
2016-01-31,42.0
2016-02-07,44.0
2016-02-14,39.0
2016-02-21,33.0
2016-02-28,38.0
2016-03-06,40.0
2016-03-13,37.0
2016-03-20,37.0
2016-03-27,40.0
2016-04-03,35.0
2016-04-10,23.0
2016-04-17,41.0
2016-04-24,50.0
2016-05-01,53.0
2016-05-08,44.0
2016-05-15,39.0
2016-05-22,50.0
2016-05-29,49.0
2016-06-05,54.0
2016-06-12,43.0
2016-06-19,45.0
2016-06-26,51.0
2016-07-03,52.0
2016-07-10,40.0
2016-07-17,48.0
2016-07-24,44.0
2016-07-31,41.0
2016-08-07,45.0
2016-08-14,38.0
2016-08-21,50.0
2016-08-28,52.0
2016-09-04,55.0
2016-09-11,46.0
2016-09-18,55.0
2016-09-25,55.0
2016-10-02,57.0
2016-10-09,53.0
2016-10-16,56.0
2016-10-23,53.0
2016-10-30,54.0
2016-11-06,63.0
2016-11-13,63.0
2016-11-20,59.0
2016-11-27,47.0
2016-12-04,43.0
2016-12-11,45.0
2016-12-18,52.0
2016-12-25,46.0
2017-01-01,56.0
2017-01-08,55.0
2017-01-15,53.0
2017-01-22,46.0
2017-01-29,46.0
2017-02-05,43.0
2017-02-12,48.0
2017-02-19,45.0
2017-02-26,40.0
2017-03-05,44.0
2017-03-12,43.0
2017-03-19,43.0
2017-03-26,40.0
2017-04-02,41.0
2017-04-09,21.0
2017-04-16,47.0
2017-04-23,47.0
2017-04-30,47.0
2017-05-07,32.0
2017-05-14,42.0
2017-05-21,51.0
2017-05-28,47.0
2017-06-04,48.0
2017-06-11,44.0
2017-06-18,53.0
2017-06-25,40.0
2017-07-02,55.0
2017-07-09,50.0
2017-07-16,53.0
2017-07-23,46.0
2017-07-30,46.0
2017-08-06,53.0
