,Distribution & Logistics
2014-12-28,45.0
2015-01-04,46.0
2015-01-11,44.0
2015-01-18,46.0
2015-01-25,42.0
2015-02-01,45.0
2015-02-08,45.0
2015-02-15,48.0
2015-02-22,45.0
2015-03-01,41.0
2015-03-08,45.0
2015-03-15,44.0
2015-03-22,46.0
2015-03-29,45.0
2015-04-05,53.0
2015-04-12,84.0
2015-04-19,61.0
2015-04-26,76.0
2015-05-03,58.0
2015-05-10,53.0
2015-05-17,55.0
2015-05-24,56.0
2015-05-31,53.0
2015-06-07,54.0
2015-06-14,52.0
2015-06-21,57.0
2015-06-28,62.0
2015-07-05,67.0
2015-07-12,61.0
2015-07-19,63.0
2015-07-26,66.0
2015-08-02,64.0
2015-08-09,58.0
2015-08-16,59.0
2015-08-23,57.0
2015-08-30,55.0
2015-09-06,60.0
2015-09-13,53.0
2015-09-20,53.0
2015-09-27,53.0
2015-10-04,56.0
2015-10-11,60.0
2015-10-18,49.0
2015-10-25,59.0
2015-11-01,60.0
2015-11-08,40.0
2015-11-15,53.0
2015-11-22,52.0
2015-11-29,52.0
2015-12-06,54.0
2015-12-13,56.0
2015-12-20,55.0
2015-12-27,53.0
2016-01-03,48.0
2016-01-10,43.0
2016-01-17,49.0
2016-01-24,44.0
2016-01-31,51.0
2016-02-07,52.0
2016-02-14,53.0
2016-02-21,54.0
2016-02-28,54.0
2016-03-06,50.0
2016-03-13,52.0
2016-03-20,45.0
2016-03-27,51.0
2016-04-03,49.0
2016-04-10,52.0
2016-04-17,50.0
2016-04-24,51.0
2016-05-01,54.0
2016-05-08,54.0
2016-05-15,53.0
2016-05-22,63.0
2016-05-29,62.0
2016-06-05,59.0
2016-06-12,61.0
2016-06-19,59.0
2016-06-26,63.0
2016-07-03,59.0
2016-07-10,61.0
2016-07-17,69.0
2016-07-24,66.0
2016-07-31,67.0
2016-08-07,66.0
2016-08-14,55.0
2016-08-21,61.0
2016-08-28,61.0
2016-09-04,59.0
2016-09-11,56.0
2016-09-18,64.0
2016-09-25,64.0
2016-10-02,65.0
2016-10-09,52.0
2016-10-16,68.0
2016-10-23,56.0
2016-10-30,52.0
2016-11-06,53.0
2016-11-13,51.0
2016-11-20,52.0
2016-11-27,53.0
2016-12-04,56.0
2016-12-11,53.0
2016-12-18,57.0
2016-12-25,63.0
2017-01-01,58.0
2017-01-08,53.0
2017-01-15,54.0
2017-01-22,51.0
2017-01-29,55.0
2017-02-05,55.0
2017-02-12,59.0
2017-02-19,56.0
2017-02-26,56.0
2017-03-05,57.0
2017-03-12,53.0
2017-03-19,61.0
2017-03-26,64.0
2017-04-02,64.0
2017-04-09,63.0
2017-04-16,65.0
2017-04-23,64.0
2017-04-30,61.0
2017-05-07,60.0
2017-05-14,61.0
2017-05-21,66.0
2017-05-28,61.0
2017-06-04,61.0
2017-06-11,63.0
2017-06-18,65.0
2017-06-25,64.0
2017-07-02,62.0
2017-07-09,59.0
2017-07-16,64.0
2017-07-23,64.0
2017-07-30,64.0
2017-08-06,63.0
2017-08-13,60.0
2017-08-20,61.0
2017-08-27,61.0
2017-09-03,64.0
2017-09-10,75.0
2017-09-17,68.0
2017-09-24,64.0
2017-10-01,66.0
2017-10-08,70.0
