,Education
2014-12-28,47.0
2015-01-04,57.0
2015-01-11,75.0
2015-01-18,83.0
2015-01-25,72.0
2015-02-01,70.0
2015-02-08,74.0
2015-02-15,72.0
2015-02-22,75.0
2015-03-01,75.0
2015-03-08,72.0
2015-03-15,70.0
2015-03-22,66.0
2015-03-29,81.0
2015-04-05,84.0
2015-04-12,83.0
2015-04-19,76.0
2015-04-26,78.0
2015-05-03,78.0
2015-05-10,85.0
2015-05-17,86.0
2015-05-24,65.0
2015-05-31,60.0
2015-06-07,54.0
2015-06-14,50.0
2015-06-21,57.0
2015-06-28,58.0
2015-07-05,63.0
2015-07-12,57.0
2015-07-19,63.0
2015-07-26,57.0
2015-08-02,78.0
2015-08-09,87.0
2015-08-16,87.0
2015-08-23,74.0
2015-08-30,66.0
2015-09-06,81.0
2015-09-13,72.0
2015-09-20,46.0
2015-09-27,69.0
2015-10-04,79.0
2015-10-11,72.0
2015-10-18,80.0
2015-10-25,87.0
2015-11-01,80.0
2015-11-08,70.0
2015-11-15,56.0
2015-11-22,50.0
2015-11-29,48.0
2015-12-06,44.0
2015-12-13,48.0
2015-12-20,46.0
2015-12-27,50.0
2016-01-03,59.0
2016-01-10,75.0
2016-01-17,83.0
2016-01-24,78.0
2016-01-31,85.0
2016-02-07,84.0
2016-02-14,82.0
2016-02-21,78.0
2016-02-28,84.0
2016-03-06,75.0
2016-03-13,77.0
2016-03-20,72.0
2016-03-27,90.0
2016-04-03,90.0
2016-04-10,85.0
2016-04-17,91.0
2016-04-24,88.0
2016-05-01,86.0
2016-05-08,90.0
2016-05-15,92.0
2016-05-22,90.0
2016-05-29,68.0
2016-06-05,61.0
2016-06-12,63.0
2016-06-19,69.0
2016-06-26,64.0
2016-07-03,57.0
2016-07-10,75.0
2016-07-17,91.0
2016-07-24,71.0
2016-07-31,84.0
2016-08-07,72.0
2016-08-14,96.0
2016-08-21,93.0
2016-08-28,53.0
2016-09-04,75.0
2016-09-11,49.0
2016-09-18,47.0
2016-09-25,29.0
2016-10-02,30.0
2016-10-09,34.0
2016-10-16,34.0
2016-10-23,31.0
2016-10-30,30.0
2016-11-06,32.0
2016-11-13,24.0
2016-11-20,24.0
2016-11-27,24.0
2016-12-04,21.0
2016-12-11,23.0
2016-12-18,22.0
2016-12-25,25.0
2017-01-01,27.0
2017-01-08,37.0
2017-01-15,37.0
2017-01-22,36.0
2017-01-29,43.0
2017-02-05,79.0
2017-02-12,76.0
2017-02-19,81.0
2017-02-26,83.0
2017-03-05,79.0
2017-03-12,81.0
2017-03-19,64.0
2017-03-26,83.0
2017-04-02,80.0
2017-04-09,89.0
2017-04-16,89.0
2017-04-23,77.0
2017-04-30,77.0
2017-05-07,74.0
2017-05-14,76.0
2017-05-21,59.0
2017-05-28,52.0
2017-06-04,51.0
2017-06-11,48.0
2017-06-18,49.0
2017-06-25,38.0
2017-07-02,71.0
2017-07-09,76.0
2017-07-16,72.0
2017-07-23,61.0
2017-07-30,74.0
2017-08-06,73.0
2017-08-13,77.0
2017-08-20,75.0
2017-08-27,59.0
2017-09-03,47.0
2017-09-10,71.0
2017-09-17,69.0
2017-09-24,74.0
2017-10-01,70.0
2017-10-08,86.0
2017-10-15,76.0
2017-10-22,78.0
2017-10-29,77.0
2017-11-05,67.0
2017-11-12,69.0
2017-11-19,59.0
2017-11-26,46.0
2017-12-03,47.0
2017-12-10,45.0
2017-12-17,50.0
2017-12-24,55.0
2017-12-31,48.0
2018-01-07,63.0
2018-01-14,81.0
2018-01-21,73.0
2018-01-28,73.0
2018-02-04,74.0
2018-02-11,81.0
2018-02-18,76.0
2018-02-25,83.0
2018-03-04,77.0
2018-03-11,78.0
2018-03-18,74.0
2018-03-25,72.0
2018-04-01,78.0
2018-04-08,81.0
2018-04-15,76.0
2018-04-22,81.0
2018-04-29,77.0
2018-05-06,69.0
2018-05-13,61.0
2018-05-20,64.0
2018-05-27,58.0
2018-06-03,49.0
2018-06-10,47.0
2018-06-17,60.0
2018-06-24,74.0
2018-07-01,68.0
2018-07-08,65.0
2018-07-15,79.0
2018-07-22,69.0
2018-07-29,71.0
2018-08-05,76.0
2018-08-12,76.0
2018-08-19,43.0
2018-08-26,74.0
2018-09-02,74.0
2018-09-09,66.0
2018-09-16,63.0
2018-09-23,65.0
2018-09-30,81.0
2018-10-07,73.0
2018-10-14,79.0
2018-10-21,83.0
2018-10-28,75.0
2018-11-04,72.0
2018-11-11,59.0
2018-11-18,51.0
2018-11-25,53.0
2018-12-02,50.0
2018-12-09,45.0
2018-12-16,44.0
2018-12-23,50.0
2018-12-30,50.0
2019-01-06,64.0
2019-01-13,82.0
2019-01-20,82.0
2019-01-27,100.0
2019-02-03,81.0
2019-02-10,88.0
2019-02-17,91.0
2019-02-24,79.0
2019-03-03,74.0
2019-03-10,67.0
2019-03-17,93.0
2019-03-24,79.0
2019-03-31,75.0
2019-04-07,78.0
2019-04-14,95.0
2019-04-21,75.0
2019-04-28,68.0
2019-05-05,59.0
2019-05-12,58.0
2019-05-19,53.0
2019-05-26,51.0
2019-06-02,51.0
2019-06-09,74.0
2019-06-16,80.0
2019-06-23,80.0
2019-06-30,75.0
2019-07-07,74.0
2019-07-14,77.0
2019-07-21,77.0
2019-07-28,70.0
2019-08-04,74.0
2019-08-11,47.0
2019-08-18,76.0
2019-08-25,77.0
2019-09-01,66.0
2019-09-08,76.0
2019-09-15,85.0
2019-09-22,77.0
2019-09-29,75.0
2019-10-06,78.0
2019-10-13,76.0
2019-10-20,90.0
2019-10-27,74.0
2019-11-03,73.0
2019-11-10,61.0
2019-11-17,68.0
2019-11-24,58.0
2019-12-01,61.0
2019-12-08,55.0
2019-12-15,57.0
2019-12-22,65.0
2019-12-29,51.0
2020-01-05,68.2115518441197
2020-01-12,91.8232428670842
2020-01-19,87.88796102992346
2020-01-26,86.57620041753654
2020-02-02,82.64091858037578
2020-02-09,87.88796102992346
2020-02-16,87.88796102992346
2020-02-23,94.44676409185804
2020-03-01,74.77035490605428
2020-03-08,62.964509394572026
2020-03-15,95.75852470424496
2020-03-22,55.093945720250524
2020-03-29,60.340988169798194
2020-04-05,62.964509394572026
2020-04-12,56.40570633263744
2020-04-19,36.72929714683368
2020-04-26,34.10577592205985
2020-05-03,31.482254697286013
2020-05-10,45.9116214335421
2020-05-17,49.84690327070285
2020-05-24,44.59986082115518
2020-05-31,66.89979123173278
2020-06-07,62.964509394572026
2020-06-14,87.88796102992346
2020-06-21,81.32915796798886
2020-06-28,77.39387613082812
2020-07-05,81.32915796798886
2020-07-12,81.32915796798886
2020-07-19,72.14683368128044
2020-07-26,51.15866388308977
2020-08-02,64.27627000695894
2020-08-09,81.32915796798886
2020-08-16,68.2115518441197
