,Enterprise Technology
2014-12-28,51.0
2015-01-04,45.0
2015-01-11,53.0
2015-01-18,52.0
2015-01-25,50.0
2015-02-01,37.0
2015-02-08,55.0
2015-02-15,59.0
2015-02-22,58.0
2015-03-01,47.0
2015-03-08,46.0
2015-03-15,49.0
2015-03-22,42.0
2015-03-29,74.0
2015-04-05,58.0
2015-04-12,73.0
2015-04-19,59.0
2015-04-26,70.0
2015-05-03,43.0
2015-05-10,51.0
2015-05-17,51.0
2015-05-24,50.0
2015-05-31,64.0
2015-06-07,48.0
2015-06-14,49.0
2015-06-21,55.0
2015-06-28,64.0
2015-07-05,43.0
2015-07-12,63.0
2015-07-19,62.0
2015-07-26,60.0
2015-08-02,77.0
2015-08-09,76.0
2015-08-16,51.0
2015-08-23,57.0
2015-08-30,55.0
2015-09-06,65.0
2015-09-13,50.0
2015-09-20,45.0
2015-09-27,74.0
2015-10-04,60.0
2015-10-11,52.0
2015-10-18,60.0
2015-10-25,68.0
2015-11-01,49.0
2015-11-08,63.0
2015-11-15,61.0
2015-11-22,52.0
2015-11-29,75.0
2015-12-06,60.0
2015-12-13,64.0
2015-12-20,70.0
2015-12-27,68.0
2016-01-03,65.0
2016-01-10,55.0
2016-01-17,56.0
2016-01-24,67.0
2016-01-31,67.0
2016-02-07,51.0
2016-02-14,62.0
2016-02-21,68.0
2016-02-28,69.0
2016-03-06,85.0
2016-03-13,68.0
2016-03-20,51.0
2016-03-27,48.0
2016-04-03,71.0
2016-04-10,60.0
2016-04-17,57.0
2016-04-24,75.0
2016-05-01,73.0
2016-05-08,78.0
2016-05-15,69.0
2016-05-22,45.0
2016-05-29,65.0
2016-06-05,68.0
2016-06-12,67.0
2016-06-19,53.0
2016-06-26,67.0
2016-07-03,44.0
2016-07-10,70.0
2016-07-17,69.0
2016-07-24,74.0
2016-07-31,100.0
2016-08-07,49.0
2016-08-14,95.0
2016-08-21,61.0
2016-08-28,44.0
2016-09-04,66.0
2016-09-11,36.0
2016-09-18,43.0
2016-09-25,38.0
2016-10-02,32.0
2016-10-09,34.0
2016-10-16,28.0
2016-10-23,37.0
2016-10-30,32.0
2016-11-06,34.0
2016-11-13,36.0
2016-11-20,23.0
2016-11-27,30.0
2016-12-04,21.0
2016-12-11,32.0
2016-12-18,22.0
2016-12-25,28.0
2017-01-01,42.0
2017-01-08,32.0
2017-01-15,27.0
2017-01-22,24.0
2017-01-29,40.0
2017-02-05,72.0
2017-02-12,70.0
2017-02-19,52.0
2017-02-26,77.0
2017-03-05,66.0
2017-03-12,68.0
2017-03-19,62.0
2017-03-26,84.0
2017-04-02,82.0
2017-04-09,57.0
2017-04-16,77.0
2017-04-23,67.0
2017-04-30,81.0
2017-05-07,64.0
2017-05-14,48.0
2017-05-21,61.0
2017-05-28,48.0
2017-06-04,67.0
2017-06-11,38.0
2017-06-18,60.0
2017-06-25,37.0
2017-07-02,66.0
2017-07-09,48.0
2017-07-16,40.0
2017-07-23,43.0
2017-07-30,55.0
2017-08-06,55.0
2017-08-13,65.0
2017-08-20,51.0
2017-08-27,68.0
2017-09-03,46.0
2017-09-10,71.0
2017-09-17,55.0
2017-09-24,78.0
2017-10-01,65.0
2017-10-08,58.0
2017-10-15,78.0
2017-10-22,69.0
2017-10-29,79.0
2017-11-05,69.0
2017-11-12,53.0
2017-11-19,69.0
2017-11-26,83.0
2017-12-03,69.0
2017-12-10,59.0
2017-12-17,54.0
2017-12-24,74.0
2017-12-31,69.0
2018-01-07,63.0
2018-01-14,65.0
2018-01-21,68.0
2018-01-28,75.0
2018-02-04,62.0
2018-02-11,64.0
2018-02-18,67.0
2018-02-25,74.0
2018-03-04,79.0
2018-03-11,63.0
2018-03-18,59.0
2018-03-25,70.0
2018-04-01,79.0
2018-04-08,68.0
2018-04-15,62.0
2018-04-22,64.0
2018-04-29,79.0
2018-05-06,55.0
2018-05-13,57.0
2018-05-20,66.0
2018-05-27,88.0
2018-06-03,66.0
2018-06-10,53.0
2018-06-17,52.0
2018-06-24,72.0
2018-07-01,96.0
2018-07-08,58.0
2018-07-15,64.0
2018-07-22,38.0
2018-07-29,65.0
2018-08-05,77.0
2018-08-12,59.0
2018-08-19,37.0
2018-08-26,69.0
2018-09-02,74.0
2018-09-09,66.0
2018-09-16,57.0
2018-09-23,59.0
2018-09-30,73.0
2018-10-07,55.0
2018-10-14,63.0
2018-10-21,75.0
2018-10-28,68.0
2018-11-04,65.0
2018-11-11,64.0
2018-11-18,51.0
2018-11-25,70.0
2018-12-02,70.0
2018-12-09,68.0
2018-12-16,64.0
2018-12-23,59.0
2018-12-30,66.0
2019-01-06,67.0
2019-01-13,62.0
2019-01-20,64.0
2019-01-27,62.0
2019-02-03,91.0
2019-02-10,71.0
2019-02-17,54.0
2019-02-24,66.0
2019-03-03,79.0
2019-03-10,53.0
2019-03-17,77.0
2019-03-24,68.0
2019-03-31,73.0
2019-04-07,63.0
2019-04-14,57.0
2019-04-21,62.0
2019-04-28,61.0
2019-05-05,62.0
2019-05-12,55.0
2019-05-19,73.0
2019-05-26,72.0
2019-06-02,69.0
2019-06-09,84.0
2019-06-16,62.0
2019-06-23,70.0
2019-06-30,84.0
2019-07-07,51.0
2019-07-14,79.0
2019-07-21,60.0
2019-07-28,75.0
2019-08-04,66.0
2019-08-11,48.0
2019-08-18,72.0
2019-08-25,78.0
2019-09-01,78.0
2019-09-08,78.0
2019-09-15,61.0
2019-09-22,68.0
2019-09-29,75.0
2019-10-06,72.0
2019-10-13,70.0
2019-10-20,71.0
2019-10-27,73.0
2019-11-03,73.0
2019-11-10,74.0
2019-11-17,69.0
2019-11-24,75.0
2019-12-01,100.0
2019-12-08,58.0
2019-12-15,79.0
2019-12-22,69.0
2019-12-29,79.0
2020-01-05,97.27109515260325
2020-01-12,75.22298025134651
2020-01-19,79.11382405745064
2020-01-26,73.92603231597847
2020-02-02,84.30161579892281
2020-02-09,83.00466786355477
2020-02-16,71.33213644524238
2020-02-23,76.51992818671455
2020-03-01,85.59856373429086
2020-03-08,63.550448833034125
2020-03-15,63.550448833034125
2020-03-22,59.659605026929995
2020-03-29,71.33213644524238
2020-04-05,66.14434470377022
2020-04-12,76.51992818671455
2020-04-19,72.62908438061042
2020-04-26,60.95655296229803
2020-05-03,64.84739676840216
2020-05-10,75.22298025134651
2020-05-17,62.25350089766608
2020-05-24,51.877917414721736
2020-05-31,86.8955116696589
2020-06-07,71.33213644524238
2020-06-14,67.44129263913825
2020-06-21,66.14434470377022
2020-06-28,94.67719928186716
2020-07-05,79.11382405745064
2020-07-12,72.62908438061042
2020-07-19,70.03518850987435
2020-07-26,68.73824057450629
2020-08-02,84.30161579892281
2020-08-09,67.44129263913825
2020-08-16,54.47181328545782
2020-08-23,58.36265709156195
2020-08-30,64.84739676840216
2020-09-06,70.03518850987435
2020-09-13,54.47181328545782
2020-09-20,72.62908438061042
2020-09-27,83.00466786355477
2020-10-04,88.19245960502694
2020-10-11,57.065709156193904
2020-10-18,85.59856373429086
2020-10-25,90.78635547576303
2020-11-01,88.19245960502694
2020-11-08,64.84739676840216
2020-11-15,57.065709156193904
2020-11-22,72.62908438061042
2020-11-29,70.03518850987435
2020-12-06,79.11382405745064
2020-12-13,71.33213644524238
2020-12-20,72.62908438061042
2020-12-27,73.92603231597847
2021-01-03,81.70771992818673
2021-01-10,77.8168761220826
2021-01-17,76.51992818671455
2021-01-24,80.41077199281868
2021-01-31,123.21005385996412
2021-02-07,72.62908438061042
2021-02-14,73.92603231597847
2021-02-21,101.16193895870738
2021-02-28,129.69479353680433
2021-03-07,106.34973070017955
2021-03-14,75.22298025134651
2021-03-21,72.62908438061042
2021-03-28,81.70771992818673
2021-04-04,90.78635547576303
2021-04-11,81.70771992818673
2021-04-18,77.8168761220826
2021-04-25,79.11382405745064
2021-05-02,108.94362657091564
2021-05-09,83.00466786355477
2021-05-16,90.78635547576303
2021-05-23,89.48940754039499
2021-05-30,108.94362657091564
2021-06-06,95.9741472172352
2021-06-13,103.75583482944347
2021-06-20,76.51992818671455
2021-06-27,94.67719928186716
2021-07-04,94.67719928186716
2021-07-11,81.70771992818673
2021-07-18,57.065709156193904
2021-07-25,67.44129263913825
2021-08-01,116.7253141831239
2021-08-08,76.51992818671455
2021-08-15,81.70771992818673
2021-08-22,84.30161579892281
2021-08-29,88.19245960502694
2021-09-05,89.48940754039499
2021-09-12,80.41077199281868
2021-09-19,71.33213644524238
2021-09-26,103.75583482944347
2021-10-03,67.44129263913825
