,Entertainment Industry
2014-12-28,0.0
2015-01-04,36.0
2015-01-11,65.0
2015-01-18,34.0
2015-01-25,27.0
2015-02-01,38.0
2015-02-08,70.0
2015-02-15,30.0
2015-02-22,58.0
2015-03-01,27.0
2015-03-08,20.0
2015-03-15,25.0
2015-03-22,27.0
2015-03-29,39.0
2015-04-05,19.0
2015-04-12,25.0
2015-04-19,36.0
2015-04-26,29.0
2015-05-03,32.0
2015-05-10,31.0
2015-05-17,28.0
2015-05-24,21.0
2015-05-31,28.0
2015-06-07,43.0
2015-06-14,33.0
2015-06-21,25.0
2015-06-28,19.0
2015-07-05,39.0
2015-07-12,26.0
2015-07-19,30.0
2015-07-26,0.0
2015-08-02,22.0
2015-08-09,32.0
2015-08-16,39.0
2015-08-23,28.0
2015-08-30,46.0
2015-09-06,0.0
2015-09-13,27.0
2015-09-20,31.0
2015-09-27,24.0
2015-10-04,15.0
2015-10-11,30.0
2015-10-18,19.0
2015-10-25,38.0
2015-11-01,47.0
2015-11-08,18.0
2015-11-15,27.0
2015-11-22,28.0
2015-11-29,29.0
2015-12-06,44.0
2015-12-13,28.0
2015-12-20,38.0
2015-12-27,23.0
2016-01-03,37.0
2016-01-10,71.0
2016-01-17,48.0
2016-01-24,48.0
2016-01-31,36.0
2016-02-07,50.0
2016-02-14,85.0
2016-02-21,25.0
2016-02-28,100.0
2016-03-06,39.0
2016-03-13,30.0
2016-03-20,33.0
2016-03-27,29.0
2016-04-03,29.0
2016-04-10,26.0
2016-04-17,38.0
2016-04-24,23.0
2016-05-01,40.0
2016-05-08,32.0
2016-05-15,20.0
2016-05-22,45.0
2016-05-29,26.0
2016-06-05,38.0
2016-06-12,25.0
2016-06-19,28.0
2016-06-26,34.0
2016-07-03,33.0
2016-07-10,32.0
2016-07-17,29.0
2016-07-24,33.0
2016-07-31,28.0
2016-08-07,0.0
2016-08-14,28.0
2016-08-21,0.0
2016-08-28,17.0
2016-09-04,27.0
2016-09-11,37.0
2016-09-18,20.0
2016-09-25,0.0
2016-10-02,24.0
2016-10-09,0.0
2016-10-16,21.0
2016-10-23,0.0
2016-10-30,21.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,20.0
2016-11-27,0.0
2016-12-04,20.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,22.0
2017-01-01,22.0
2017-01-08,26.0
2017-01-15,19.0
2017-01-22,26.0
2017-01-29,0.0
2017-02-05,45.0
2017-02-12,51.0
2017-02-19,43.0
2017-02-26,83.0
2017-03-05,31.0
2017-03-12,18.0
2017-03-19,38.0
2017-03-26,30.0
2017-04-02,26.0
2017-04-09,32.0
2017-04-16,39.0
2017-04-23,35.0
2017-04-30,19.0
2017-05-07,29.0
2017-05-14,43.0
2017-05-21,27.0
2017-05-28,32.0
2017-06-04,18.0
2017-06-11,31.0
2017-06-18,34.0
2017-06-25,28.0
2017-07-02,28.0
2017-07-09,28.0
2017-07-16,44.0
2017-07-23,29.0
2017-07-30,38.0
2017-08-06,41.0
2017-08-13,45.0
2017-08-20,35.0
2017-08-27,34.0
2017-09-03,31.0
2017-09-10,33.0
2017-09-17,36.0
2017-09-24,37.0
2017-10-01,43.0
2017-10-08,43.0
2017-10-15,46.0
2017-10-22,30.0
2017-10-29,51.0
2017-11-05,36.0
2017-11-12,30.0
2017-11-19,40.0
2017-11-26,30.0
2017-12-03,17.0
2017-12-10,24.0
2017-12-17,35.0
2017-12-24,40.0
2017-12-31,49.0
2018-01-07,47.0
2018-01-14,42.0
2018-01-21,34.0
2018-01-28,48.0
2018-02-04,43.0
2018-02-11,36.0
2018-02-18,44.0
2018-02-25,47.0
2018-03-04,68.0
2018-03-11,28.0
2018-03-18,43.0
2018-03-25,36.0
2018-04-01,44.0
2018-04-08,34.0
2018-04-15,22.0
2018-04-22,31.0
2018-04-29,45.0
2018-05-06,51.0
2018-05-13,24.0
2018-05-20,41.0
2018-05-27,27.0
2018-06-03,28.0
2018-06-10,26.0
2018-06-17,28.0
2018-06-24,15.0
2018-07-01,40.0
2018-07-08,44.0
2018-07-15,38.0
2018-07-22,35.0
2018-07-29,42.0
2018-08-05,39.0
2018-08-12,39.0
2018-08-19,41.0
2018-08-26,47.0
2018-09-02,38.0
2018-09-09,41.0
2018-09-16,30.0
2018-09-23,48.0
2018-09-30,33.0
2018-10-07,42.0
2018-10-14,39.0
2018-10-21,39.0
2018-10-28,39.0
2018-11-04,31.0
2018-11-11,37.0
2018-11-18,34.0
2018-11-25,36.0
2018-12-02,51.0
2018-12-09,34.0
2018-12-16,39.0
2018-12-23,45.0
2018-12-30,60.0
2019-01-06,65.0
2019-01-13,30.0
2019-01-20,39.0
2019-01-27,38.0
2019-02-03,42.0
2019-02-10,57.0
2019-02-17,38.0
2019-02-24,67.0
2019-03-03,43.0
2019-03-10,42.0
2019-03-17,39.0
2019-03-24,50.0
2019-03-31,42.0
2019-04-07,39.0
2019-04-14,30.0
2019-04-21,33.0
2019-04-28,28.0
2019-05-05,41.0
2019-05-12,28.0
2019-05-19,29.0
2019-05-26,27.0
2019-06-02,32.0
2019-06-09,34.0
2019-06-16,40.0
2019-06-23,39.0
2019-06-30,34.0
2019-07-07,28.0
2019-07-14,31.0
2019-07-21,37.0
2019-07-28,18.0
2019-08-04,34.0
2019-08-11,18.0
2019-08-18,30.0
2019-08-25,35.0
2019-09-01,29.0
2019-09-08,27.0
2019-09-15,33.0
2019-09-22,26.0
2019-09-29,37.0
2019-10-06,41.0
2019-10-13,32.0
2019-10-20,24.0
2019-10-27,31.0
2019-11-03,24.0
2019-11-10,40.0
2019-11-17,32.0
2019-11-24,32.0
2019-12-01,28.0
2019-12-08,35.0
2019-12-15,33.0
2019-12-22,45.0
2019-12-29,35.0
2020-01-05,51.304119547657514
2020-01-12,42.38166397415186
2020-01-19,37.17689822294023
2020-01-26,52.047657512116324
2020-02-02,37.17689822294023
2020-02-09,70.63610662358644
2020-02-16,49.07350565428111
2020-02-23,33.459208400646204
2020-03-01,44.61227786752828
2020-03-08,31.9721324717286
2020-03-15,26.767366720516964
2020-03-22,28.254442649434576
2020-03-29,34.202746365105014
2020-04-05,26.023828756058162
2020-04-12,26.767366720516964
2020-04-19,20.81906300484653
2020-04-26,26.023828756058162
2020-05-03,27.51090468497577
2020-05-10,27.51090468497577
2020-05-17,17.84491114701131
2020-05-24,25.280290791599356
2020-05-31,24.536752827140553
2020-06-07,33.459208400646204
2020-06-14,33.459208400646204
2020-06-21,26.023828756058162
2020-06-28,26.023828756058162
2020-07-05,12.640145395799678
2020-07-12,23.793214862681747
2020-07-19,22.30613893376414
2020-07-26,19.331987075928918
2020-08-02,36.43336025848143
2020-08-09,18.588449111470116
2020-08-16,28.254442649434576
2020-08-23,17.101373182552507
2020-08-30,31.9721324717286
2020-09-06,24.536752827140553
2020-09-13,19.331987075928918
2020-09-20,31.9721324717286
2020-09-27,24.536752827140553
2020-10-04,27.51090468497577
2020-10-11,17.84491114701131
2020-10-18,0.0
2020-10-25,34.94628432956382
2020-11-01,33.459208400646204
2020-11-08,28.99798061389338
2020-11-15,27.51090468497577
2020-11-22,42.38166397415186
2020-11-29,24.536752827140553
2020-12-06,30.485056542810987
2020-12-13,25.280290791599356
2020-12-20,36.43336025848143
2020-12-27,41.63812600969306
2021-01-03,31.228594507269793
2021-01-10,31.9721324717286
2021-01-17,26.023828756058162
2021-01-24,28.99798061389338
2021-01-31,34.202746365105014
2021-02-07,25.280290791599356
2021-02-14,35.68982229402262
2021-02-21,37.17689822294023
2021-02-28,31.228594507269793
2021-03-07,42.38166397415186
2021-03-14,72.12318255250405
2021-03-21,30.485056542810987
2021-03-28,47.586429725363494
2021-04-04,33.459208400646204
2021-04-11,46.09935379644588
2021-04-18,39.407512116316646
2021-04-25,56.50888529886915
2021-05-02,49.07350565428111
2021-05-09,40.89458804523425
2021-05-16,32.7156704361874
2021-05-23,41.63812600969306
2021-05-30,45.35581583198708
2021-06-06,33.459208400646204
2021-06-13,39.407512116316646
2021-06-20,40.15105008077545
2021-06-27,40.89458804523425
2021-07-04,34.94628432956382
2021-07-11,39.407512116316646
2021-07-18,35.68982229402262
2021-07-25,40.15105008077545
2021-08-01,37.17689822294023
2021-08-08,37.920436187399034
2021-08-15,41.63812600969306
2021-08-22,34.94628432956382
2021-08-29,51.304119547657514
2021-09-05,32.7156704361874
2021-09-12,32.7156704361874
2021-09-19,41.63812600969306
2021-09-26,34.94628432956382
2021-10-03,34.202746365105014
2021-10-10,35.68982229402262
2021-10-17,36.43336025848143
2021-10-24,41.63812600969306
2021-10-31,46.09935379644588
2021-11-07,44.61227786752828
2021-11-14,28.99798061389338
2021-11-21,43.125201938610665
2021-11-28,36.43336025848143
2021-12-05,26.023828756058162
2021-12-12,34.94628432956382
2021-12-19,37.920436187399034
2021-12-26,45.35581583198708
2022-01-02,31.228594507269793
2022-01-09,33.459208400646204
2022-01-16,34.202746365105014
2022-01-23,35.68982229402262
2022-01-30,44.61227786752828
2022-02-06,37.920436187399034
2022-02-13,32.7156704361874
2022-02-20,29.741518578352185
2022-02-27,43.868739903069475
2022-03-06,40.15105008077545
2022-03-13,49.07350565428111
2022-03-20,28.254442649434576
2022-03-27,74.35379644588046
2022-04-03,62.45718901453959
2022-04-10,55.02180936995154
2022-04-17,40.15105008077545
2022-04-24,33.459208400646204
2022-05-01,44.61227786752828
2022-05-08,29.741518578352185
2022-05-15,30.485056542810987
2022-05-22,35.68982229402262
2022-05-29,35.68982229402262
2022-06-05,36.43336025848143
2022-06-12,43.868739903069475
2022-06-19,37.920436187399034
2022-06-26,26.023828756058162
2022-07-03,42.38166397415186
2022-07-10,37.920436187399034
2022-07-17,34.202746365105014
2022-07-24,35.68982229402262
2022-07-31,40.89458804523425
2022-08-07,28.254442649434576
2022-08-14,41.63812600969306
2022-08-21,40.89458804523425
2022-08-28,52.791195476575126
2022-09-04,37.17689822294023
2022-09-11,35.68982229402262
2022-09-18,31.9721324717286
2022-09-25,31.9721324717286
2022-10-02,31.228594507269793
2022-10-09,31.228594507269793
2022-10-16,43.868739903069475
2022-10-23,30.485056542810987
2022-10-30,39.407512116316646
2022-11-06,44.61227786752828
2022-11-13,33.459208400646204
2022-11-20,55.02180936995154
2022-11-27,45.35581583198708
2022-12-04,43.125201938610665
2022-12-11,35.68982229402262
2022-12-18,40.89458804523425
2022-12-25,57.252423263327955
2023-01-01,32.7156704361874
2023-01-08,48.3299676898223
2023-01-15,37.920436187399034
2023-01-22,46.09935379644588
2023-01-29,61.713651050080784
2023-02-05,49.07350565428111
2023-02-12,46.84289176090469
2023-02-19,43.868739903069475
2023-02-26,40.89458804523425
2023-03-05,35.68982229402262
2023-03-12,58.73949919224556
2023-03-19,57.252423263327955
2023-03-26,39.407512116316646
2023-04-02,49.07350565428111
2023-04-09,36.43336025848143
2023-04-16,31.9721324717286
2023-04-23,42.38166397415186
2023-04-30,43.125201938610665
2023-05-07,31.9721324717286
2023-05-14,33.459208400646204
2023-05-21,39.407512116316646
2023-05-28,37.17689822294023
2023-06-04,34.202746365105014
2023-06-11,28.254442649434576
2023-06-18,38.663974151857836
2023-06-25,34.94628432956382
2023-07-02,42.38166397415186
2023-07-09,28.99798061389338
2023-07-16,28.99798061389338
2023-07-23,38.663974151857836
2023-07-30,37.920436187399034
2023-08-06,49.07350565428111
2023-08-13,46.09935379644588
2023-08-20,46.84289176090469
