,Events & Listings
2014-12-28,14.0
2015-01-04,14.0
2015-01-11,11.0
2015-01-18,13.0
2015-01-25,10.0
2015-02-01,13.0
2015-02-08,12.0
2015-02-15,13.0
2015-02-22,13.0
2015-03-01,11.0
2015-03-08,15.0
2015-03-15,11.0
2015-03-22,10.0
2015-03-29,14.0
2015-04-05,19.0
2015-04-12,17.0
2015-04-19,14.0
2015-04-26,14.0
2015-05-03,14.0
2015-05-10,13.0
2015-05-17,17.0
2015-05-24,12.0
2015-05-31,13.0
2015-06-07,12.0
2015-06-14,13.0
2015-06-21,17.0
2015-06-28,17.0
2015-07-05,15.0
2015-07-12,16.0
2015-07-19,15.0
2015-07-26,16.0
2015-08-02,12.0
2015-08-09,12.0
2015-08-16,16.0
2015-08-23,13.0
2015-08-30,9.0
2015-09-06,13.0
2015-09-13,10.0
2015-09-20,11.0
2015-09-27,7.0
2015-10-04,12.0
2015-10-11,11.0
2015-10-18,13.0
2015-10-25,12.0
2015-11-01,14.0
2015-11-08,21.0
2015-11-15,15.0
2015-11-22,17.0
2015-11-29,10.0
2015-12-06,11.0
2015-12-13,21.0
2015-12-20,18.0
2015-12-27,17.0
2016-01-03,15.0
2016-01-10,10.0
2016-01-17,13.0
2016-01-24,15.0
2016-01-31,15.0
2016-02-07,17.0
2016-02-14,17.0
2016-02-21,14.0
2016-02-28,17.0
2016-03-06,16.0
2016-03-13,20.0
2016-03-20,15.0
2016-03-27,17.0
2016-04-03,19.0
2016-04-10,17.0
2016-04-17,18.0
2016-04-24,17.0
2016-05-01,19.0
2016-05-08,19.0
2016-05-15,19.0
2016-05-22,16.0
2016-05-29,13.0
2016-06-05,57.0
2016-06-12,100.0
2016-06-19,92.0
2016-06-26,81.0
2016-07-03,50.0
2016-07-10,29.0
2016-07-17,19.0
2016-07-24,13.0
2016-07-31,21.0
2016-08-07,16.0
2016-08-14,20.0
2016-08-21,22.0
2016-08-28,10.0
2016-09-04,14.0
2016-09-11,14.0
2016-09-18,7.0
2016-09-25,4.0
2016-10-02,6.0
2016-10-09,8.0
2016-10-16,7.0
2016-10-23,6.0
2016-10-30,8.0
2016-11-06,5.0
2016-11-13,4.0
2016-11-20,6.0
2016-11-27,7.0
2016-12-04,7.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,6.0
2017-01-01,8.0
2017-01-08,5.0
2017-01-15,6.0
2017-01-22,10.0
2017-01-29,13.0
2017-02-05,16.0
2017-02-12,17.0
2017-02-19,15.0
2017-02-26,14.0
2017-03-05,18.0
2017-03-12,17.0
2017-03-19,16.0
2017-03-26,16.0
2017-04-02,17.0
2017-04-09,19.0
2017-04-16,16.0
2017-04-23,20.0
2017-04-30,21.0
2017-05-07,15.0
2017-05-14,13.0
2017-05-21,17.0
2017-05-28,15.0
2017-06-04,13.0
2017-06-11,17.0
2017-06-18,13.0
2017-06-25,13.0
2017-07-02,16.0
2017-07-09,15.0
2017-07-16,19.0
2017-07-23,15.0
2017-07-30,14.0
2017-08-06,18.0
2017-08-13,15.0
2017-08-20,13.0
2017-08-27,12.0
2017-09-03,14.0
2017-09-10,15.0
2017-09-17,12.0
2017-09-24,14.0
2017-10-01,16.0
2017-10-08,15.0
2017-10-15,17.0
2017-10-22,16.0
2017-10-29,21.0
2017-11-05,20.0
2017-11-12,19.0
2017-11-19,21.0
2017-11-26,22.0
2017-12-03,18.0
2017-12-10,18.0
2017-12-17,24.0
2017-12-24,21.0
2017-12-31,20.0
2018-01-07,21.0
2018-01-14,15.0
2018-01-21,21.0
2018-01-28,21.0
2018-02-04,22.0
2018-02-11,26.0
2018-02-18,23.0
2018-02-25,18.0
2018-03-04,16.0
2018-03-11,19.0
2018-03-18,17.0
2018-03-25,20.0
2018-04-01,13.0
2018-04-08,23.0
2018-04-15,24.0
2018-04-22,23.0
2018-04-29,25.0
2018-05-06,22.0
2018-05-13,24.0
2018-05-20,17.0
2018-05-27,15.0
2018-06-03,15.0
2018-06-10,17.0
2018-06-17,23.0
2018-06-24,27.0
2018-07-01,24.0
2018-07-08,23.0
2018-07-15,20.0
2018-07-22,20.0
2018-07-29,20.0
2018-08-05,18.0
2018-08-12,19.0
2018-08-19,16.0
2018-08-26,17.0
2018-09-02,24.0
2018-09-09,18.0
2018-09-16,19.0
2018-09-23,17.0
2018-09-30,20.0
2018-10-07,20.0
2018-10-14,17.0
2018-10-21,22.0
2018-10-28,20.0
2018-11-04,21.0
2018-11-11,19.0
2018-11-18,17.0
2018-11-25,19.0
2018-12-02,16.0
2018-12-09,20.0
2018-12-16,18.0
2018-12-23,28.0
2018-12-30,22.0
2019-01-06,23.0
2019-01-13,20.0
2019-01-20,16.0
2019-01-27,18.0
2019-02-03,26.0
2019-02-10,29.0
2019-02-17,24.0
2019-02-24,35.0
2019-03-03,28.0
2019-03-10,18.0
2019-03-17,26.0
2019-03-24,20.0
2019-03-31,18.0
2019-04-07,26.0
2019-04-14,34.0
2019-04-21,24.0
2019-04-28,23.0
2019-05-05,20.0
2019-05-12,24.0
2019-05-19,26.0
2019-05-26,21.0
2019-06-02,20.0
2019-06-09,22.0
2019-06-16,19.0
2019-06-23,28.0
2019-06-30,23.0
2019-07-07,26.0
2019-07-14,20.0
2019-07-21,23.0
2019-07-28,20.0
2019-08-04,24.0
2019-08-11,19.0
2019-08-18,18.0
2019-08-25,24.0
2019-09-01,17.0
2019-09-08,16.0
2019-09-15,18.0
2019-09-22,14.0
2019-09-29,18.0
2019-10-06,21.0
2019-10-13,21.0
2019-10-20,20.0
2019-10-27,22.0
2019-11-03,18.0
2019-11-10,18.0
2019-11-17,20.0
2019-11-24,19.0
2019-12-01,25.0
2019-12-08,17.0
2019-12-15,21.0
2019-12-22,23.0
2019-12-29,22.0
2020-01-05,19.117280099812852
2020-01-12,19.82532751091703
2020-01-19,20.179351216469122
2020-01-26,21.241422333125392
2020-02-02,20.53337492202121
2020-02-09,24.073611977542107
2020-02-16,20.179351216469122
2020-02-23,16.993137866500312
2020-03-01,17.70118527760449
2020-03-08,15.931066749844042
2020-03-15,11.682782283218964
2020-03-22,8.142545227698067
2020-03-29,7.7885215221459765
2020-04-05,10.266687461010605
2020-04-12,5.310355583281348
2020-04-19,7.080474111041797
2020-04-26,6.018402994385527
2020-05-03,5.310355583281348
2020-05-10,6.726450405489707
2020-05-17,9.204616344354335
2020-05-24,6.372426699937617
2020-05-31,8.496568933250156
2020-06-07,9.204616344354335
2020-06-14,8.496568933250156
2020-06-21,7.7885215221459765
2020-06-28,6.372426699937617
2020-07-05,8.142545227698067
2020-07-12,8.850592638802246
2020-07-19,8.142545227698067
2020-07-26,7.7885215221459765
2020-08-02,12.390829694323145
2020-08-09,11.328758577666875
2020-08-16,10.266687461010605
2020-08-23,8.850592638802246
2020-08-30,8.496568933250156
2020-09-06,9.558640049906426
2020-09-13,6.726450405489707
2020-09-20,8.850592638802246
2020-09-27,8.496568933250156
2020-10-04,8.850592638802246
2020-10-11,5.664379288833437
2020-10-18,9.558640049906426
2020-10-25,13.806924516531504
2020-11-01,9.912663755458516
2020-11-08,10.974734872114785
2020-11-15,9.558640049906426
2020-11-22,9.558640049906426
2020-11-29,13.098877105427324
2020-12-06,9.558640049906426
2020-12-13,11.682782283218964
2020-12-20,14.160948222083594
2020-12-27,13.806924516531504
2021-01-03,11.328758577666875
2021-01-10,14.868995633187772
2021-01-17,11.328758577666875
2021-01-24,13.806924516531504
2021-01-31,12.744853399875234
2021-02-07,13.806924516531504
2021-02-14,14.514971927635683
2021-02-21,14.514971927635683
2021-02-28,16.993137866500312
2021-03-07,15.577043044291953
2021-03-14,8.850592638802246
2021-03-21,14.514971927635683
2021-03-28,11.328758577666875
2021-04-04,15.223019338739864
2021-04-11,13.452900810979415
2021-04-18,14.514971927635683
2021-04-25,16.993137866500312
2021-05-02,14.868995633187772
2021-05-09,11.328758577666875
2021-05-16,14.160948222083594
2021-05-23,16.993137866500312
2021-05-30,15.223019338739864
2021-06-06,14.160948222083594
2021-06-13,24.073611977542107
2021-06-20,19.47130380536494
2021-06-27,25.84373050530256
2021-07-04,22.65751715533375
2021-07-11,24.78165938864629
2021-07-18,13.098877105427324
2021-07-25,16.63911416094822
2021-08-01,17.347161572052403
2021-08-08,12.744853399875234
2021-08-15,20.179351216469122
2021-08-22,13.452900810979415
2021-08-29,16.63911416094822
2021-09-05,16.63911416094822
2021-09-12,19.117280099812852
2021-09-19,16.63911416094822
2021-09-26,18.055208983156582
2021-10-03,18.40923268870867
2021-10-10,24.073611977542107
2021-10-17,23.36556456643793
2021-10-24,24.4276356830942
2021-10-31,23.01154086088584
2021-11-07,30.092014971927636
2021-11-14,23.71958827199002
2021-11-21,23.01154086088584
2021-11-28,21.241422333125392
2021-12-05,20.179351216469122
2021-12-12,25.48970679975047
2021-12-19,30.446038677479727
2021-12-26,25.135683094198377
2022-01-02,23.71958827199002
2022-01-09,26.197754210854647
2022-01-16,18.76325639426076
2022-01-23,19.47130380536494
2022-01-30,22.30349344978166
2022-02-06,22.30349344978166
2022-02-13,20.53337492202121
2022-02-20,22.65751715533375
2022-02-27,21.59544603867748
2022-03-06,18.40923268870867
2022-03-13,19.117280099812852
2022-03-20,18.76325639426076
2022-03-27,15.223019338739864
2022-04-03,19.117280099812852
2022-04-10,22.65751715533375
2022-04-17,22.65751715533375
2022-04-24,20.53337492202121
2022-05-01,23.01154086088584
2022-05-08,20.53337492202121
2022-05-15,19.117280099812852
2022-05-22,18.40923268870867
2022-05-29,18.055208983156582
2022-06-05,19.117280099812852
2022-06-12,23.01154086088584
2022-06-19,16.993137866500312
2022-06-26,17.70118527760449
2022-07-03,21.59544603867748
2022-07-10,18.76325639426076
2022-07-17,20.53337492202121
2022-07-24,19.47130380536494
2022-07-31,22.30349344978166
2022-08-07,23.71958827199002
2022-08-14,18.055208983156582
2022-08-21,19.117280099812852
2022-08-28,19.47130380536494
2022-09-04,17.347161572052403
2022-09-11,21.241422333125392
2022-09-18,19.47130380536494
2022-09-25,21.59544603867748
2022-10-02,21.241422333125392
2022-10-09,19.47130380536494
2022-10-16,15.577043044291953
2022-10-23,21.59544603867748
2022-10-30,18.76325639426076
2022-11-06,19.47130380536494
2022-11-13,24.073611977542107
2022-11-20,33.63225202744854
2022-11-27,30.092014971927636
2022-12-04,35.048346849656895
2022-12-11,27.967872738615096
2022-12-18,29.383967560823457
2022-12-25,23.36556456643793
2023-01-01,30.446038677479727
2023-01-08,21.59544603867748
2023-01-15,29.029943855271366
2023-01-22,25.84373050530256
2023-01-29,29.737991266375545
2023-02-05,29.383967560823457
2023-02-12,28.321896444167187
2023-02-19,24.073611977542107
2023-02-26,21.241422333125392
2023-03-05,23.71958827199002
2023-03-12,18.40923268870867
2023-03-19,24.073611977542107
2023-03-26,19.82532751091703
2023-04-02,19.82532751091703
2023-04-09,23.36556456643793
2023-04-16,15.577043044291953
2023-04-23,19.117280099812852
2023-04-30,22.30349344978166
2023-05-07,21.94946974422957
2023-05-14,20.179351216469122
2023-05-21,21.59544603867748
2023-05-28,23.36556456643793
2023-06-04,22.30349344978166
2023-06-11,20.53337492202121
2023-06-18,19.117280099812852
2023-06-25,19.117280099812852
2023-07-02,19.117280099812852
2023-07-09,21.241422333125392
2023-07-16,27.61384903306301
2023-07-23,30.800062383031815
2023-07-30,25.84373050530256
2023-08-06,26.197754210854647
2023-08-13,30.092014971927636
2023-08-20,23.36556456643793
2023-08-27,26.55177791640674
2023-09-03,26.197754210854647
2023-09-10,27.61384903306301
2023-09-17,21.94946974422957
2023-09-24,23.71958827199002
2023-10-01,26.90580162195883
2023-10-08,28.67592014971928
2023-10-15,27.259825327510917
2023-10-22,29.029943855271366
2023-10-29,21.94946974422957
2023-11-05,25.135683094198377
2023-11-12,25.84373050530256
2023-11-19,24.073611977542107
2023-11-26,23.36556456643793
2023-12-03,29.737991266375545
2023-12-10,30.092014971927636
2023-12-17,26.55177791640674
2023-12-24,27.259825327510917
2023-12-31,28.321896444167187
2024-01-07,21.959846989262665
2024-01-14,24.88782658783102
2024-01-21,24.521829138009977
2024-01-28,21.59384953944162
2024-02-04,34.769757732999224
2024-02-11,30.74378578496773
2024-02-18,26.3518163871152
2024-02-25,27.08381128675729
2024-03-03,21.59384953944162
2024-03-10,24.88782658783102
2024-03-17,24.155831688188933
2024-03-24,29.279795985683556
2024-03-31,26.3518163871152
2024-04-07,23.423836788546843
2024-04-14,28.547801086041467
2024-04-21,24.521829138009977
2024-04-28,27.449808736578333
2024-05-05,22.32584443908371
2024-05-12,20.495857189978487
2024-05-19,23.423836788546843
2024-05-26,24.88782658783102
2024-06-02,20.86185463979953
2024-06-09,25.61982148747311
2024-06-16,30.01179088532564
2024-06-23,33.305767933715046
2024-06-30,36.59974498210444
2024-07-07,31.841778134430864
2024-07-14,26.717813836936244
2024-07-21,25.253824037652066
2024-07-28,25.253824037652066
2024-08-04,30.74378578496773
2024-08-11,31.47578068460982
2024-08-18,25.61982148747311
2024-08-25,28.181803636220423
2024-09-01,28.547801086041467
2024-09-08,26.717813836936244
2024-09-15,25.985818937294155
2024-09-22,25.61982148747311
2024-09-29,26.3518163871152
2024-10-06,27.08381128675729
2024-10-13,23.789834238367888
2024-10-20,24.88782658783102
2024-10-27,29.645793435504597
2024-11-03,27.449808736578333
2024-11-10,28.181803636220423
2024-11-17,26.717813836936244
2024-11-24,31.109783234788775
2024-12-01,24.155831688188933
2024-12-08,23.789834238367888
2024-12-15,36.233747532283395
2024-12-22,26.3518163871152
2024-12-29,35.501752632641306
2025-01-05,28.91379853586251
2025-01-12,27.449808736578333
2025-01-19,24.88782658783102
2025-01-26,27.815806186399378
2025-02-02,23.789834238367888
2025-02-09,29.645793435504597
2025-02-16,29.279795985683556
2025-02-23,27.815806186399378
2025-03-02,27.449808736578333
2025-03-09,24.521829138009977
2025-03-16,23.789834238367888
2025-03-23,25.985818937294155
2025-03-30,25.61982148747311
2025-04-06,24.521829138009977
2025-04-13,29.645793435504597
2025-04-20,24.88782658783102
2025-04-27,29.645793435504597
2025-05-04,25.985818937294155
2025-05-11,27.815806186399378
2025-05-18,23.423836788546843
2025-05-25,27.08381128675729
2025-06-01,23.789834238367888
2025-06-08,27.449808736578333
2025-06-15,28.91379853586251
2025-06-22,31.841778134430864
2025-06-29,29.279795985683556
2025-07-06,28.91379853586251
2025-07-13,33.67176538353609
2025-07-20,34.037762833357135
2025-07-27,33.305767933715046
2025-08-03,36.59974498210444
2025-08-10,30.01179088532564
2025-08-17,30.01179088532564
2025-08-24,26.717813836936244
2025-08-31,28.181803636220423
2025-09-07,32.57377303407296
2025-09-14,25.61982148747311
2025-09-21,21.227852089620576
2025-09-28,26.3518163871152
2025-10-05,23.0578393387258
2025-10-12,23.423836788546843
2025-10-19,27.449808736578333
2025-10-26,25.985818937294155
2025-11-02,26.717813836936244
2025-11-09,23.423836788546843
2025-11-16,31.47578068460982
