,Exportation
2014-12-28,56.0
2015-01-04,58.0
2015-01-11,74.0
2015-01-18,79.0
2015-01-25,76.0
2015-02-01,69.0
2015-02-08,74.0
2015-02-15,78.0
2015-02-22,66.0
2015-03-01,79.0
2015-03-08,83.0
2015-03-15,87.0
2015-03-22,83.0
2015-03-29,72.0
2015-04-05,55.0
2015-04-12,61.0
2015-04-19,73.0
2015-04-26,72.0
2015-05-03,79.0
2015-05-10,68.0
2015-05-17,65.0
2015-05-24,83.0
2015-05-31,75.0
2015-06-07,76.0
2015-06-14,73.0
2015-06-21,93.0
2015-06-28,62.0
2015-07-05,73.0
2015-07-12,74.0
2015-07-19,75.0
2015-07-26,75.0
2015-08-02,80.0
2015-08-09,69.0
2015-08-16,58.0
2015-08-23,85.0
2015-08-30,85.0
2015-09-06,81.0
2015-09-13,82.0
2015-09-20,76.0
2015-09-27,69.0
2015-10-04,75.0
2015-10-11,87.0
2015-10-18,81.0
2015-10-25,74.0
2015-11-01,75.0
2015-11-08,66.0
2015-11-15,89.0
2015-11-22,76.0
2015-11-29,68.0
2015-12-06,66.0
2015-12-13,79.0
2015-12-20,50.0
2015-12-27,57.0
2016-01-03,74.0
2016-01-10,69.0
2016-01-17,67.0
2016-01-24,80.0
2016-01-31,56.0
2016-02-07,86.0
2016-02-14,82.0
2016-02-21,76.0
2016-02-28,73.0
2016-03-06,69.0
2016-03-13,68.0
2016-03-20,57.0
2016-03-27,56.0
2016-04-03,52.0
2016-04-10,43.0
2016-04-17,69.0
2016-04-24,85.0
2016-05-01,71.0
2016-05-08,88.0
2016-05-15,79.0
2016-05-22,63.0
2016-05-29,78.0
2016-06-05,79.0
2016-06-12,73.0
2016-06-19,73.0
2016-06-26,91.0
2016-07-03,76.0
2016-07-10,76.0
2016-07-17,58.0
2016-07-24,72.0
2016-07-31,72.0
2016-08-07,58.0
2016-08-14,61.0
2016-08-21,65.0
2016-08-28,61.0
2016-09-04,64.0
2016-09-11,58.0
2016-09-18,64.0
2016-09-25,59.0
2016-10-02,61.0
2016-10-09,59.0
2016-10-16,71.0
2016-10-23,67.0
2016-10-30,61.0
2016-11-06,71.0
2016-11-13,65.0
2016-11-20,72.0
2016-11-27,71.0
2016-12-04,66.0
2016-12-11,65.0
2016-12-18,70.0
2016-12-25,55.0
2017-01-01,74.0
2017-01-08,67.0
2017-01-15,80.0
2017-01-22,65.0
2017-01-29,73.0
2017-02-05,73.0
2017-02-12,80.0
2017-02-19,88.0
2017-02-26,100.0
2017-03-05,94.0
2017-03-12,84.0
2017-03-19,88.0
2017-03-26,83.0
2017-04-02,66.0
2017-04-09,42.0
2017-04-16,74.0
2017-04-23,84.0
2017-04-30,91.0
2017-05-07,66.0
2017-05-14,82.0
2017-05-21,79.0
2017-05-28,83.0
2017-06-04,73.0
2017-06-11,74.0
2017-06-18,73.0
2017-06-25,81.0
2017-07-02,59.0
2017-07-09,85.0
2017-07-16,75.0
2017-07-23,62.0
2017-07-30,65.0
2017-08-06,62.0
2017-08-13,71.0
2017-08-20,77.0
2017-08-27,69.0
2017-09-03,70.0
2017-09-10,84.0
2017-09-17,97.0
2017-09-24,69.0
2017-10-01,74.0
2017-10-08,66.0
2017-10-15,66.0
2017-10-22,78.0
2017-10-29,60.0
2017-11-05,66.0
