,Fast Food
2014-12-28,39.0
2015-01-04,33.0
2015-01-11,27.0
2015-01-18,26.0
2015-01-25,29.0
2015-02-01,31.0
2015-02-08,37.0
2015-02-15,33.0
2015-02-22,32.0
2015-03-01,33.0
2015-03-08,33.0
2015-03-15,37.0
2015-03-22,33.0
2015-03-29,37.0
2015-04-05,33.0
2015-04-12,37.0
2015-04-19,31.0
2015-04-26,34.0
2015-05-03,37.0
2015-05-10,31.0
2015-05-17,37.0
2015-05-24,35.0
2015-05-31,31.0
2015-06-07,34.0
2015-06-14,36.0
2015-06-21,36.0
2015-06-28,41.0
2015-07-05,34.0
2015-07-12,40.0
2015-07-19,39.0
2015-07-26,39.0
2015-08-02,41.0
2015-08-09,44.0
2015-08-16,45.0
2015-08-23,45.0
2015-08-30,38.0
2015-09-06,42.0
2015-09-13,42.0
2015-09-20,41.0
2015-09-27,42.0
2015-10-04,33.0
2015-10-11,39.0
2015-10-18,34.0
2015-10-25,35.0
2015-11-01,38.0
2015-11-08,44.0
2015-11-15,39.0
2015-11-22,46.0
2015-11-29,40.0
2015-12-06,44.0
2015-12-13,47.0
2015-12-20,53.0
2015-12-27,51.0
2016-01-03,40.0
2016-01-10,40.0
2016-01-17,42.0
2016-01-24,42.0
2016-01-31,42.0
2016-02-07,38.0
2016-02-14,37.0
2016-02-21,43.0
2016-02-28,39.0
2016-03-06,39.0
2016-03-13,37.0
2016-03-20,44.0
2016-03-27,50.0
2016-04-03,47.0
2016-04-10,46.0
2016-04-17,45.0
2016-04-24,43.0
2016-05-01,49.0
2016-05-08,51.0
2016-05-15,39.0
2016-05-22,45.0
2016-05-29,49.0
2016-06-05,47.0
2016-06-12,46.0
2016-06-19,55.0
2016-06-26,57.0
2016-07-03,49.0
2016-07-10,49.0
2016-07-17,49.0
2016-07-24,51.0
2016-07-31,53.0
2016-08-07,44.0
2016-08-14,56.0
2016-08-21,62.0
2016-08-28,56.0
2016-09-04,50.0
2016-09-11,51.0
2016-09-18,52.0
2016-09-25,65.0
2016-10-02,46.0
2016-10-09,55.0
2016-10-16,51.0
2016-10-23,53.0
2016-10-30,48.0
2016-11-06,48.0
2016-11-13,58.0
2016-11-20,53.0
2016-11-27,56.0
2016-12-04,54.0
2016-12-11,54.0
2016-12-18,60.0
2016-12-25,74.0
2017-01-01,51.0
2017-01-08,48.0
2017-01-15,50.0
2017-01-22,53.0
2017-01-29,52.0
2017-02-05,45.0
2017-02-12,54.0
2017-02-19,51.0
2017-02-26,52.0
2017-03-05,48.0
2017-03-12,51.0
2017-03-19,56.0
2017-03-26,58.0
2017-04-02,59.0
2017-04-09,65.0
2017-04-16,62.0
2017-04-23,58.0
2017-04-30,51.0
2017-05-07,55.0
2017-05-14,51.0
2017-05-21,55.0
2017-05-28,58.0
2017-06-04,56.0
2017-06-11,56.0
2017-06-18,59.0
2017-06-25,56.0
2017-07-02,63.0
2017-07-09,73.0
2017-07-16,83.0
2017-07-23,76.0
2017-07-30,71.0
2017-08-06,69.0
2017-08-13,70.0
2017-08-20,77.0
2017-08-27,78.0
2017-09-03,74.0
2017-09-10,69.0
2017-09-17,65.0
2017-09-24,68.0
2017-10-01,80.0
2017-10-08,64.0
2017-10-15,60.0
2017-10-22,60.0
2017-10-29,68.0
2017-11-05,62.0
2017-11-12,62.0
2017-11-19,62.0
2017-11-26,72.0
2017-12-03,64.0
2017-12-10,68.0
2017-12-17,70.0
2017-12-24,78.0
2017-12-31,68.0
2018-01-07,60.0
2018-01-14,56.0
2018-01-21,56.0
2018-01-28,60.0
2018-02-04,65.0
2018-02-11,66.0
2018-02-18,62.0
2018-02-25,60.0
2018-03-04,57.0
2018-03-11,57.0
2018-03-18,57.0
2018-03-25,68.0
2018-04-01,60.0
2018-04-08,65.0
2018-04-15,67.0
2018-04-22,61.0
2018-04-29,67.0
2018-05-06,68.0
2018-05-13,69.0
2018-05-20,77.0
2018-05-27,71.0
2018-06-03,58.0
2018-06-10,73.0
2018-06-17,60.0
2018-06-24,67.0
2018-07-01,65.0
2018-07-08,70.0
2018-07-15,70.0
2018-07-22,70.0
2018-07-29,72.0
2018-08-05,71.0
2018-08-12,74.0
2018-08-19,81.0
2018-08-26,73.0
2018-09-02,65.0
2018-09-09,69.0
2018-09-16,70.0
2018-09-23,72.0
2018-09-30,82.0
2018-10-07,67.0
2018-10-14,70.0
2018-10-21,83.0
2018-10-28,73.0
2018-11-04,70.0
2018-11-11,71.0
2018-11-18,78.0
2018-11-25,78.0
2018-12-02,85.0
2018-12-09,83.0
2018-12-16,85.0
2018-12-23,100.0
2018-12-30,89.0
2019-01-06,65.0
2019-01-13,67.0
2019-01-20,75.0
2019-01-27,72.0
2019-02-03,77.0
2019-02-10,75.0
2019-02-17,77.0
2019-02-24,74.0
2019-03-03,68.0
2019-03-10,71.0
2019-03-17,70.0
2019-03-24,77.0
2019-03-31,76.0
2019-04-07,79.0
2019-04-14,90.0
2019-04-21,57.0
2019-04-28,66.0
2019-05-05,66.0
2019-05-12,59.0
2019-05-19,70.0
2019-05-26,77.0
2019-06-02,79.0
2019-06-09,79.0
2019-06-16,84.0
2019-06-23,81.0
2019-06-30,84.0
2019-07-07,78.0
2019-07-14,84.0
2019-07-21,88.0
2019-07-28,86.0
2019-08-04,88.0
2019-08-11,86.0
2019-08-18,83.0
2019-08-25,85.0
2019-09-01,79.0
2019-09-08,83.0
2019-09-15,72.0
2019-09-22,85.0
2019-09-29,84.0
2019-10-06,76.0
2019-10-13,76.0
2019-10-20,78.0
2019-10-27,75.0
2019-11-03,75.0
2019-11-10,78.0
2019-11-17,80.0
2019-11-24,78.0
2019-12-01,94.0
2019-12-08,92.0
2019-12-15,94.0
2019-12-22,100.0
2019-12-29,96.0
