,Fitness
2014-12-28,68.0
2015-01-04,71.0
2015-01-11,76.0
2015-01-18,64.0
2015-01-25,71.0
2015-02-01,68.0
2015-02-08,58.0
2015-02-15,72.0
2015-02-22,52.0
2015-03-01,78.0
2015-03-08,82.0
2015-03-15,59.0
2015-03-22,67.0
2015-03-29,55.0
2015-04-05,84.0
2015-04-12,75.0
2015-04-19,67.0
2015-04-26,57.0
2015-05-03,67.0
2015-05-10,75.0
2015-05-17,61.0
2015-05-24,69.0
2015-05-31,50.0
2015-06-07,57.0
2015-06-14,64.0
2015-06-21,56.0
2015-06-28,58.0
2015-07-05,64.0
2015-07-12,61.0
2015-07-19,62.0
2015-07-26,62.0
2015-08-02,91.0
2015-08-09,68.0
2015-08-16,70.0
2015-08-23,67.0
2015-08-30,76.0
2015-09-06,67.0
2015-09-13,67.0
2015-09-20,65.0
2015-09-27,70.0
2015-10-04,78.0
2015-10-11,78.0
2015-10-18,65.0
2015-10-25,65.0
2015-11-01,66.0
2015-11-08,66.0
2015-11-15,63.0
2015-11-22,68.0
2015-11-29,73.0
2015-12-06,52.0
2015-12-13,62.0
2015-12-20,77.0
2015-12-27,80.0
2016-01-03,79.0
2016-01-10,78.0
2016-01-17,68.0
2016-01-24,63.0
2016-01-31,70.0
2016-02-07,66.0
2016-02-14,63.0
2016-02-21,63.0
2016-02-28,61.0
2016-03-06,58.0
2016-03-13,75.0
2016-03-20,84.0
2016-03-27,71.0
2016-04-03,75.0
2016-04-10,82.0
2016-04-17,91.0
2016-04-24,71.0
2016-05-01,78.0
2016-05-08,70.0
2016-05-15,66.0
2016-05-22,66.0
2016-05-29,56.0
2016-06-05,74.0
2016-06-12,56.0
2016-06-19,63.0
2016-06-26,61.0
2016-07-03,52.0
2016-07-10,65.0
2016-07-17,81.0
2016-07-24,85.0
2016-07-31,100.0
2016-08-07,62.0
2016-08-14,74.0
2016-08-21,88.0
2016-08-28,60.0
2016-09-04,81.0
2016-09-11,70.0
2016-09-18,38.0
2016-09-25,31.0
2016-10-02,34.0
2016-10-09,30.0
2016-10-16,30.0
2016-10-23,28.0
2016-10-30,24.0
2016-11-06,19.0
2016-11-13,38.0
2016-11-20,25.0
2016-11-27,27.0
2016-12-04,20.0
2016-12-11,27.0
2016-12-18,32.0
2016-12-25,31.0
2017-01-01,29.0
2017-01-08,34.0
2017-01-15,34.0
2017-01-22,36.0
2017-01-29,46.0
2017-02-05,69.0
2017-02-12,78.0
2017-02-19,79.0
2017-02-26,67.0
2017-03-05,53.0
2017-03-12,63.0
2017-03-19,70.0
2017-03-26,63.0
2017-04-02,69.0
2017-04-09,100.0
2017-04-16,70.0
2017-04-23,76.0
2017-04-30,64.0
2017-05-07,67.0
2017-05-14,54.0
2017-05-21,47.0
2017-05-28,44.0
2017-06-04,61.0
2017-06-11,58.0
2017-06-18,47.0
2017-06-25,67.0
2017-07-02,58.0
2017-07-09,68.0
2017-07-16,67.0
2017-07-23,66.0
2017-07-30,78.0
2017-08-06,82.0
2017-08-13,80.0
2017-08-20,67.0
2017-08-27,66.0
2017-09-03,59.0
2017-09-10,58.0
2017-09-17,65.0
2017-09-24,78.0
2017-10-01,67.0
2017-10-08,77.0
2017-10-15,72.0
2017-10-22,69.0
2017-10-29,58.0
2017-11-05,81.0
2017-11-12,78.0
2017-11-19,57.0
2017-11-26,52.0
2017-12-03,69.0
2017-12-10,65.0
2017-12-17,77.0
2017-12-24,67.0
2017-12-31,59.0
2018-01-07,60.0
2018-01-14,73.0
2018-01-21,58.0
2018-01-28,62.0
2018-02-04,68.0
2018-02-11,80.0
2018-02-18,75.0
2018-02-25,75.0
2018-03-04,63.0
2018-03-11,56.0
2018-03-18,90.0
2018-03-25,81.0
2018-04-01,72.0
2018-04-08,74.0
2018-04-15,80.0
2018-04-22,58.0
2018-04-29,60.0
2018-05-06,62.0
2018-05-13,54.0
2018-05-20,62.0
2018-05-27,60.0
2018-06-03,62.0
2018-06-10,44.0
2018-06-17,52.0
2018-06-24,59.0
2018-07-01,60.0
2018-07-08,75.0
2018-07-15,62.0
2018-07-22,69.0
2018-07-29,80.0
2018-08-05,73.0
2018-08-12,65.0
2018-08-19,49.0
2018-08-26,63.0
2018-09-02,63.0
2018-09-09,85.0
2018-09-16,77.0
2018-09-23,59.0
2018-09-30,81.0
2018-10-07,76.0
2018-10-14,91.0
2018-10-21,81.0
2018-10-28,78.0
2018-11-04,66.0
2018-11-11,65.0
2018-11-18,56.0
2018-11-25,78.0
2018-12-02,67.0
2018-12-09,62.0
2018-12-16,66.0
2018-12-23,71.0
2018-12-30,61.0
2019-01-06,76.0
2019-01-13,79.0
2019-01-20,75.0
2019-01-27,88.0
2019-02-03,92.0
2019-02-10,77.0
2019-02-17,90.0
2019-02-24,78.0
2019-03-03,81.0
2019-03-10,83.0
2019-03-17,91.0
2019-03-24,78.0
2019-03-31,69.0
2019-04-07,72.0
2019-04-14,85.0
2019-04-21,70.0
2019-04-28,54.0
2019-05-05,63.0
2019-05-12,63.0
2019-05-19,54.0
2019-05-26,50.0
2019-06-02,62.0
2019-06-09,82.0
2019-06-16,82.0
2019-06-23,91.0
2019-06-30,87.0
2019-07-07,64.0
2019-07-14,100.0
2019-07-21,74.0
2019-07-28,74.0
2019-08-04,66.0
2019-08-11,71.0
2019-08-18,71.0
2019-08-25,78.0
2019-09-01,67.0
2019-09-08,76.0
2019-09-15,72.0
2019-09-22,59.0
2019-09-29,80.0
2019-10-06,71.0
2019-10-13,77.0
2019-10-20,74.0
2019-10-27,69.0
2019-11-03,67.0
2019-11-10,67.0
2019-11-17,61.0
2019-11-24,65.0
2019-12-01,54.0
2019-12-08,58.0
2019-12-15,68.0
2019-12-22,86.0
2019-12-29,75.0
2020-01-05,75.73537604456824
2020-01-12,78.39275766016712
2020-01-19,77.06406685236769
2020-01-26,78.39275766016712
2020-02-02,75.73537604456824
2020-02-09,90.35097493036211
2020-02-16,86.36490250696379
2020-02-23,78.39275766016712
2020-03-01,75.73537604456824
2020-03-08,78.39275766016712
2020-03-15,93.00835654596099
2020-03-22,85.03621169916434
2020-03-29,70.42061281337047
2020-04-05,73.07799442896936
2020-04-12,54.476323119777156
2020-04-19,65.1058495821727
2020-04-26,59.79108635097493
2020-05-03,65.1058495821727
2020-05-10,70.42061281337047
2020-05-17,70.42061281337047
2020-05-24,81.05013927576601
2020-05-31,74.4066852367688
2020-06-07,78.39275766016712
2020-06-14,73.07799442896936
2020-06-21,75.73537604456824
2020-06-28,74.4066852367688
2020-07-05,62.448467966573816
2020-07-12,77.06406685236769
2020-07-19,62.448467966573816
2020-07-26,42.51810584958217
2020-08-02,82.37883008356546
2020-08-09,79.72144846796657
2020-08-16,74.4066852367688
2020-08-23,62.448467966573816
2020-08-30,58.46239554317548
2020-09-06,62.448467966573816
2020-09-13,74.4066852367688
2020-09-20,53.147632311977716
2020-09-27,66.43454038997214
2020-10-04,70.42061281337047
2020-10-11,66.43454038997214
2020-10-18,65.1058495821727
2020-10-25,96.99442896935932
2020-11-01,71.74930362116991
2020-11-08,69.09192200557102
2020-11-15,74.4066852367688
2020-11-22,78.39275766016712
2020-11-29,79.72144846796657
2020-12-06,71.74930362116991
2020-12-13,67.76323119777159
2020-12-20,87.69359331476322
2020-12-27,83.7075208913649
2021-01-03,75.73537604456824
2021-01-10,91.67966573816156
2021-01-17,82.37883008356546
2021-01-24,75.73537604456824
2021-01-31,78.39275766016712
2021-02-07,83.7075208913649
2021-02-14,73.07799442896936
2021-02-21,78.39275766016712
2021-02-28,86.36490250696379
2021-03-07,71.74930362116991
2021-03-14,85.03621169916434
2021-03-21,78.39275766016712
2021-03-28,83.7075208913649
2021-04-04,79.72144846796657
2021-04-11,70.42061281337047
2021-04-18,69.09192200557102
2021-04-25,57.13370473537604
2021-05-02,63.777158774373255
2021-05-09,71.74930362116991
2021-05-16,65.1058495821727
2021-05-23,87.69359331476322
2021-05-30,71.74930362116991
2021-06-06,85.03621169916434
2021-06-13,77.06406685236769
2021-06-20,94.33704735376044
2021-06-27,83.7075208913649
2021-07-04,83.7075208913649
2021-07-11,66.43454038997214
