,Food & Drink
2014-12-28,55.0
2015-01-04,45.0
2015-01-11,45.0
2015-01-18,47.0
2015-01-25,46.0
2015-02-01,46.0
2015-02-08,48.0
2015-02-15,52.0
2015-02-22,51.0
2015-03-01,52.0
2015-03-08,51.0
2015-03-15,51.0
2015-03-22,55.0
2015-03-29,58.0
2015-04-05,55.0
2015-04-12,52.0
2015-04-19,51.0
2015-04-26,52.0
2015-05-03,51.0
2015-05-10,58.0
2015-05-17,58.0
2015-05-24,55.0
2015-05-31,56.0
2015-06-07,54.0
2015-06-14,56.0
2015-06-21,57.0
2015-06-28,57.0
2015-07-05,58.0
2015-07-12,62.0
2015-07-19,63.0
2015-07-26,59.0
2015-08-02,61.0
2015-08-09,62.0
2015-08-16,62.0
2015-08-23,59.0
2015-08-30,62.0
2015-09-06,61.0
2015-09-13,60.0
2015-09-20,59.0
2015-09-27,60.0
2015-10-04,58.0
2015-10-11,57.0
2015-10-18,58.0
2015-10-25,58.0
2015-11-01,60.0
2015-11-08,64.0
2015-11-15,62.0
2015-11-22,59.0
2015-11-29,64.0
2015-12-06,61.0
2015-12-13,64.0
2015-12-20,70.0
2015-12-27,70.0
2016-01-03,64.0
2016-01-10,61.0
2016-01-17,62.0
2016-01-24,62.0
2016-01-31,64.0
2016-02-07,67.0
2016-02-14,64.0
2016-02-21,63.0
2016-02-28,64.0
2016-03-06,65.0
2016-03-13,61.0
2016-03-20,68.0
2016-03-27,63.0
2016-04-03,65.0
2016-04-10,59.0
2016-04-17,63.0
2016-04-24,62.0
2016-05-01,66.0
2016-05-08,65.0
2016-05-15,59.0
2016-05-22,64.0
2016-05-29,67.0
2016-06-05,67.0
2016-06-12,67.0
2016-06-19,69.0
2016-06-26,69.0
2016-07-03,74.0
2016-07-10,69.0
2016-07-17,72.0
2016-07-24,73.0
2016-07-31,76.0
2016-08-07,77.0
2016-08-14,74.0
2016-08-21,75.0
2016-08-28,76.0
2016-09-04,75.0
2016-09-11,76.0
2016-09-18,73.0
2016-09-25,76.0
2016-10-02,72.0
2016-10-09,74.0
2016-10-16,76.0
2016-10-23,72.0
2016-10-30,75.0
2016-11-06,71.0
2016-11-13,75.0
2016-11-20,73.0
2016-11-27,70.0
2016-12-04,75.0
2016-12-11,73.0
2016-12-18,83.0
2016-12-25,85.0
2017-01-01,78.0
2017-01-08,72.0
2017-01-15,74.0
2017-01-22,73.0
2017-01-29,72.0
2017-02-05,72.0
2017-02-12,76.0
2017-02-19,76.0
2017-02-26,74.0
2017-03-05,75.0
2017-03-12,72.0
2017-03-19,71.0
2017-03-26,74.0
2017-04-02,71.0
2017-04-09,76.0
2017-04-16,77.0
2017-04-23,72.0
2017-04-30,71.0
2017-05-07,69.0
2017-05-14,68.0
2017-05-21,69.0
2017-05-28,74.0
2017-06-04,70.0
2017-06-11,73.0
2017-06-18,75.0
2017-06-25,74.0
2017-07-02,78.0
2017-07-09,76.0
2017-07-16,79.0
2017-07-23,78.0
2017-07-30,77.0
2017-08-06,79.0
2017-08-13,82.0
2017-08-20,78.0
2017-08-27,73.0
2017-09-03,79.0
2017-09-10,80.0
2017-09-17,76.0
2017-09-24,76.0
2017-10-01,80.0
2017-10-08,80.0
2017-10-15,77.0
2017-10-22,76.0
2017-10-29,80.0
2017-11-05,76.0
2017-11-12,76.0
2017-11-19,75.0
2017-11-26,77.0
2017-12-03,76.0
2017-12-10,75.0
2017-12-17,84.0
2017-12-24,90.0
2017-12-31,81.0
2018-01-07,78.0
2018-01-14,74.0
2018-01-21,76.0
2018-01-28,74.0
2018-02-04,75.0
2018-02-11,79.0
2018-02-18,77.0
2018-02-25,78.0
2018-03-04,73.0
2018-03-11,72.0
2018-03-18,75.0
2018-03-25,77.0
2018-04-01,73.0
2018-04-08,76.0
2018-04-15,69.0
2018-04-22,72.0
2018-04-29,73.0
2018-05-06,76.0
2018-05-13,78.0
2018-05-20,76.0
2018-05-27,76.0
2018-06-03,74.0
2018-06-10,81.0
2018-06-17,71.0
2018-06-24,75.0
2018-07-01,76.0
2018-07-08,80.0
2018-07-15,80.0
2018-07-22,76.0
2018-07-29,80.0
2018-08-05,82.0
2018-08-12,86.0
2018-08-19,82.0
2018-08-26,78.0
2018-09-02,80.0
2018-09-09,77.0
2018-09-16,77.0
2018-09-23,79.0
2018-09-30,76.0
2018-10-07,84.0
2018-10-14,76.0
2018-10-21,77.0
2018-10-28,80.0
2018-11-04,75.0
2018-11-11,75.0
2018-11-18,79.0
2018-11-25,79.0
2018-12-02,83.0
2018-12-09,83.0
2018-12-16,89.0
2018-12-23,100.0
2018-12-30,92.0
2019-01-06,88.0
2019-01-13,83.0
2019-01-20,82.0
2019-01-27,79.0
2019-02-03,88.0
2019-02-10,89.0
2019-02-17,87.0
2019-02-24,81.0
2019-03-03,81.0
2019-03-10,79.0
2019-03-17,86.0
2019-03-24,82.0
2019-03-31,79.0
2019-04-07,86.0
2019-04-14,83.0
2019-04-21,64.0
2019-04-28,70.0
2019-05-05,74.0
2019-05-12,69.0
2019-05-19,73.0
2019-05-26,79.0
2019-06-02,79.0
2019-06-09,82.0
2019-06-16,80.0
2019-06-23,92.0
2019-06-30,88.0
2019-07-07,83.0
2019-07-14,85.0
2019-07-21,90.0
2019-07-28,87.0
2019-08-04,90.0
2019-08-11,87.0
2019-08-18,88.0
2019-08-25,83.0
2019-09-01,83.0
2019-09-08,85.0
2019-09-15,84.0
2019-09-22,84.0
2019-09-29,82.0
2019-10-06,82.0
2019-10-13,79.0
2019-10-20,79.0
2019-10-27,79.0
2019-11-03,83.0
2019-11-10,79.0
2019-11-17,79.0
2019-11-24,77.0
2019-12-01,84.0
2019-12-08,84.0
2019-12-15,93.0
2019-12-22,98.0
2019-12-29,98.0
2020-01-05,85.68543451652387
2020-01-12,87.00367197062424
2020-01-19,92.2766217870257
2020-01-26,87.00367197062424
2020-02-02,90.95838433292533
2020-02-09,87.00367197062424
2020-02-16,87.00367197062424
2020-02-23,81.73072215422276
2020-03-01,81.73072215422276
2020-03-08,75.13953488372093
2020-03-15,76.4577723378213
2020-03-22,88.3219094247246
2020-03-29,109.41370869033048
2020-04-05,113.36842105263158
2020-04-12,105.45899632802937
2020-04-19,98.86780905752754
2020-04-26,101.50428396572828
2020-05-03,97.54957160342717
2020-05-10,92.2766217870257
2020-05-17,89.64014687882496
2020-05-24,89.64014687882496
2020-05-31,90.95838433292533
2020-06-07,85.68543451652387
2020-06-14,84.3671970624235
2020-06-21,84.3671970624235
2020-06-28,85.68543451652387
2020-07-05,84.3671970624235
2020-07-12,90.95838433292533
2020-07-19,90.95838433292533
2020-07-26,92.2766217870257
2020-08-02,90.95838433292533
2020-08-09,83.04895960832313
2020-08-16,80.4124847001224
2020-08-23,77.77600979192167
2020-08-30,79.09424724602204
2020-09-06,84.3671970624235
2020-09-13,80.4124847001224
2020-09-20,79.09424724602204
2020-09-27,76.4577723378213
2020-10-04,83.04895960832313
2020-10-11,85.68543451652387
2020-10-18,88.3219094247246
2020-10-25,85.68543451652387
2020-11-01,84.3671970624235
2020-11-08,93.59485924112607
2020-11-15,88.3219094247246
2020-11-22,89.64014687882496
2020-11-29,89.64014687882496
2020-12-06,92.2766217870257
2020-12-13,90.95838433292533
2020-12-20,101.50428396572828
2020-12-27,97.54957160342717
2021-01-03,88.3219094247246
2021-01-10,84.3671970624235
2021-01-17,84.3671970624235
2021-01-24,83.04895960832313
2021-01-31,83.04895960832313
2021-02-07,77.77600979192167
2021-02-14,89.64014687882496
2021-02-21,84.3671970624235
2021-02-28,84.3671970624235
2021-03-07,87.00367197062424
2021-03-14,85.68543451652387
2021-03-21,85.68543451652387
2021-03-28,90.95838433292533
2021-04-04,84.3671970624235
2021-04-11,79.09424724602204
2021-04-18,87.00367197062424
2021-04-25,89.64014687882496
2021-05-02,94.91309669522644
2021-05-09,94.91309669522644
2021-05-16,97.54957160342717
2021-05-23,94.91309669522644
2021-05-30,106.77723378212974
2021-06-06,110.73194614443085
2021-06-13,113.36842105263158
2021-06-20,98.86780905752754
2021-06-27,101.50428396572828
2021-07-04,98.86780905752754
2021-07-11,96.2313341493268
2021-07-18,98.86780905752754
2021-07-25,96.2313341493268
