,Gifts & Special Event Items
2014-12-28,66.0
2015-01-04,44.0
2015-01-11,48.0
2015-01-18,50.0
2015-01-25,46.0
2015-02-01,48.0
2015-02-08,68.0
2015-02-15,52.0
2015-02-22,50.0
2015-03-01,45.0
2015-03-08,46.0
2015-03-15,50.0
2015-03-22,47.0
2015-03-29,49.0
2015-04-05,53.0
2015-04-12,75.0
2015-04-19,51.0
2015-04-26,52.0
2015-05-03,57.0
2015-05-10,64.0
2015-05-17,55.0
2015-05-24,52.0
2015-05-31,52.0
2015-06-07,53.0
2015-06-14,56.0
2015-06-21,59.0
2015-06-28,52.0
2015-07-05,53.0
2015-07-12,56.0
2015-07-19,58.0
2015-07-26,52.0
2015-08-02,55.0
2015-08-09,55.0
2015-08-16,56.0
2015-08-23,57.0
2015-08-30,56.0
2015-09-06,56.0
2015-09-13,55.0
2015-09-20,57.0
2015-09-27,58.0
2015-10-04,76.0
2015-10-11,60.0
2015-10-18,54.0
2015-10-25,57.0
2015-11-01,57.0
2015-11-08,66.0
2015-11-15,61.0
2015-11-22,59.0
2015-11-29,63.0
2015-12-06,62.0
2015-12-13,65.0
2015-12-20,70.0
2015-12-27,89.0
2016-01-03,57.0
2016-01-10,62.0
2016-01-17,56.0
2016-01-24,60.0
2016-01-31,64.0
2016-02-07,75.0
2016-02-14,66.0
2016-02-21,58.0
2016-02-28,60.0
2016-03-06,61.0
2016-03-13,53.0
2016-03-20,55.0
2016-03-27,57.0
2016-04-03,60.0
2016-04-10,100.0
2016-04-17,55.0
2016-04-24,59.0
2016-05-01,72.0
2016-05-08,76.0
2016-05-15,66.0
2016-05-22,57.0
2016-05-29,62.0
2016-06-05,63.0
2016-06-12,67.0
2016-06-19,66.0
2016-06-26,64.0
2016-07-03,71.0
2016-07-10,62.0
2016-07-17,66.0
2016-07-24,67.0
2016-07-31,68.0
2016-08-07,68.0
2016-08-14,66.0
2016-08-21,67.0
2016-08-28,67.0
2016-09-04,68.0
2016-09-11,68.0
2016-09-18,69.0
2016-09-25,72.0
2016-10-02,87.0
2016-10-09,71.0
2016-10-16,73.0
2016-10-23,84.0
2016-10-30,80.0
2016-11-06,73.0
2016-11-13,70.0
2016-11-20,73.0
2016-11-27,69.0
2016-12-04,74.0
2016-12-11,75.0
2016-12-18,79.0
2016-12-25,83.0
2017-01-01,76.0
2017-01-08,68.0
2017-01-15,67.0
2017-01-22,69.0
2017-01-29,68.0
