,Health
2014-12-28,36.0
2015-01-04,35.0
2015-01-11,35.0
2015-01-18,33.0
2015-01-25,35.0
2015-02-01,36.0
2015-02-08,38.0
2015-02-15,41.0
2015-02-22,39.0
2015-03-01,37.0
2015-03-08,39.0
2015-03-15,37.0
2015-03-22,39.0
2015-03-29,38.0
2015-04-05,40.0
2015-04-12,36.0
2015-04-19,38.0
2015-04-26,37.0
2015-05-03,38.0
2015-05-10,41.0
2015-05-17,39.0
2015-05-24,37.0
2015-05-31,39.0
2015-06-07,40.0
2015-06-14,38.0
2015-06-21,45.0
2015-06-28,50.0
2015-07-05,52.0
2015-07-12,52.0
2015-07-19,54.0
2015-07-26,51.0
2015-08-02,53.0
2015-08-09,53.0
2015-08-16,51.0
2015-08-23,49.0
2015-08-30,50.0
2015-09-06,53.0
2015-09-13,49.0
2015-09-20,50.0
2015-09-27,53.0
2015-10-04,51.0
2015-10-11,50.0
2015-10-18,45.0
2015-10-25,47.0
2015-11-01,47.0
2015-11-08,39.0
2015-11-15,44.0
2015-11-22,45.0
2015-11-29,43.0
2015-12-06,46.0
2015-12-13,48.0
2015-12-20,47.0
2015-12-27,45.0
2016-01-03,44.0
2016-01-10,42.0
2016-01-17,42.0
2016-01-24,43.0
2016-01-31,43.0
2016-02-07,47.0
2016-02-14,44.0
2016-02-21,47.0
2016-02-28,44.0
2016-03-06,47.0
2016-03-13,48.0
2016-03-20,42.0
2016-03-27,47.0
2016-04-03,45.0
2016-04-10,45.0
2016-04-17,45.0
2016-04-24,45.0
2016-05-01,47.0
2016-05-08,48.0
2016-05-15,45.0
2016-05-22,50.0
2016-05-29,49.0
2016-06-05,50.0
2016-06-12,52.0
2016-06-19,54.0
2016-06-26,53.0
2016-07-03,51.0
2016-07-10,54.0
2016-07-17,55.0
2016-07-24,58.0
2016-07-31,57.0
2016-08-07,54.0
2016-08-14,50.0
2016-08-21,56.0
2016-08-28,58.0
2016-09-04,54.0
2016-09-11,57.0
2016-09-18,59.0
2016-09-25,56.0
2016-10-02,52.0
2016-10-09,48.0
2016-10-16,54.0
2016-10-23,47.0
2016-10-30,51.0
2016-11-06,51.0
2016-11-13,48.0
2016-11-20,52.0
2016-11-27,53.0
2016-12-04,53.0
2016-12-11,54.0
2016-12-18,57.0
2016-12-25,55.0
2017-01-01,56.0
2017-01-08,53.0
2017-01-15,54.0
2017-01-22,51.0
2017-01-29,56.0
2017-02-05,56.0
2017-02-12,57.0
2017-02-19,57.0
2017-02-26,56.0
2017-03-05,56.0
2017-03-12,56.0
2017-03-19,62.0
2017-03-26,61.0
2017-04-02,57.0
2017-04-09,55.0
2017-04-16,58.0
2017-04-23,56.0
2017-04-30,57.0
2017-05-07,59.0
2017-05-14,60.0
2017-05-21,61.0
2017-05-28,70.0
2017-06-04,60.0
2017-06-11,67.0
2017-06-18,67.0
2017-06-25,64.0
2017-07-02,67.0
2017-07-09,68.0
2017-07-16,69.0
2017-07-23,69.0
2017-07-30,68.0
2017-08-06,64.0
2017-08-13,70.0
2017-08-20,66.0
2017-08-27,63.0
2017-09-03,64.0
2017-09-10,68.0
2017-09-17,67.0
2017-09-24,59.0
2017-10-01,59.0
2017-10-08,66.0
2017-10-15,55.0
2017-10-22,66.0
2017-10-29,67.0
2017-11-05,67.0
2017-11-12,67.0
2017-11-19,67.0
2017-11-26,65.0
2017-12-03,65.0
2017-12-10,66.0
2017-12-17,67.0
2017-12-24,69.0
2017-12-31,64.0
2018-01-07,63.0
2018-01-14,65.0
2018-01-21,62.0
2018-01-28,68.0
2018-02-04,68.0
2018-02-11,67.0
2018-02-18,69.0
2018-02-25,69.0
2018-03-04,71.0
2018-03-11,72.0
2018-03-18,72.0
2018-03-25,76.0
2018-04-01,74.0
2018-04-08,69.0
2018-04-15,70.0
2018-04-22,69.0
2018-04-29,71.0
2018-05-06,73.0
2018-05-13,74.0
2018-05-20,75.0
2018-05-27,72.0
2018-06-03,79.0
