,Home Financing
2014-12-28,54.0
2015-01-04,32.0
2015-01-11,43.0
2015-01-18,46.0
2015-01-25,47.0
2015-02-01,49.0
2015-02-08,57.0
2015-02-15,57.0
2015-02-22,46.0
2015-03-01,52.0
2015-03-08,54.0
2015-03-15,57.0
2015-03-22,59.0
2015-03-29,45.0
2015-04-05,44.0
2015-04-12,33.0
2015-04-19,59.0
2015-04-26,45.0
2015-05-03,62.0
2015-05-10,47.0
2015-05-17,51.0
2015-05-24,53.0
2015-05-31,52.0
2015-06-07,67.0
2015-06-14,61.0
2015-06-21,52.0
2015-06-28,46.0
2015-07-05,57.0
2015-07-12,46.0
2015-07-19,57.0
2015-07-26,55.0
2015-08-02,53.0
2015-08-09,57.0
2015-08-16,47.0
2015-08-23,51.0
2015-08-30,52.0
2015-09-06,38.0
2015-09-13,55.0
2015-09-20,51.0
2015-09-27,53.0
2015-10-04,43.0
2015-10-11,51.0
2015-10-18,40.0
2015-10-25,53.0
2015-11-01,44.0
2015-11-08,40.0
2015-11-15,45.0
2015-11-22,57.0
2015-11-29,47.0
2015-12-06,44.0
2015-12-13,57.0
2015-12-20,44.0
2015-12-27,51.0
2016-01-03,41.0
2016-01-10,52.0
2016-01-17,63.0
2016-01-24,48.0
2016-01-31,47.0
2016-02-07,58.0
2016-02-14,55.0
2016-02-21,52.0
2016-02-28,42.0
2016-03-06,52.0
2016-03-13,49.0
2016-03-20,48.0
2016-03-27,47.0
2016-04-03,43.0
2016-04-10,30.0
2016-04-17,43.0
2016-04-24,44.0
2016-05-01,50.0
2016-05-08,58.0
2016-05-15,50.0
2016-05-22,52.0
2016-05-29,55.0
2016-06-05,49.0
2016-06-12,58.0
2016-06-19,64.0
2016-06-26,44.0
2016-07-03,69.0
2016-07-10,66.0
2016-07-17,51.0
2016-07-24,63.0
2016-07-31,65.0
2016-08-07,70.0
2016-08-14,49.0
2016-08-21,65.0
2016-08-28,68.0
2016-09-04,61.0
2016-09-11,61.0
2016-09-18,68.0
2016-09-25,63.0
2016-10-02,54.0
2016-10-09,48.0
2016-10-16,56.0
2016-10-23,54.0
2016-10-30,65.0
2016-11-06,56.0
2016-11-13,57.0
2016-11-20,44.0
2016-11-27,61.0
2016-12-04,46.0
2016-12-11,44.0
2016-12-18,51.0
2016-12-25,48.0
2017-01-01,55.0
2017-01-08,56.0
2017-01-15,60.0
2017-01-22,65.0
2017-01-29,51.0
2017-02-05,58.0
2017-02-12,58.0
2017-02-19,58.0
2017-02-26,62.0
2017-03-05,52.0
2017-03-12,69.0
2017-03-19,67.0
2017-03-26,73.0
2017-04-02,59.0
2017-04-09,36.0
