,Hotels & Accommodations
2014-12-28,43.0
2015-01-04,36.0
2015-01-11,37.0
2015-01-18,40.0
2015-01-25,42.0
2015-02-01,40.0
2015-02-08,39.0
2015-02-15,40.0
2015-02-22,36.0
2015-03-01,38.0
2015-03-08,43.0
2015-03-15,43.0
2015-03-22,41.0
2015-03-29,46.0
2015-04-05,49.0
2015-04-12,45.0
2015-04-19,46.0
2015-04-26,48.0
2015-05-03,42.0
2015-05-10,46.0
2015-05-17,40.0
2015-05-24,41.0
2015-05-31,40.0
2015-06-07,42.0
2015-06-14,39.0
2015-06-21,40.0
2015-06-28,41.0
2015-07-05,45.0
2015-07-12,47.0
2015-07-19,51.0
2015-07-26,53.0
2015-08-02,58.0
2015-08-09,55.0
2015-08-16,46.0
2015-08-23,55.0
2015-08-30,48.0
2015-09-06,47.0
2015-09-13,45.0
2015-09-20,48.0
2015-09-27,43.0
2015-10-04,42.0
2015-10-11,44.0
2015-10-18,45.0
2015-10-25,42.0
2015-11-01,43.0
2015-11-08,45.0
2015-11-15,46.0
2015-11-22,45.0
2015-11-29,48.0
2015-12-06,51.0
2015-12-13,58.0
2015-12-20,67.0
2015-12-27,58.0
2016-01-03,58.0
2016-01-10,55.0
2016-01-17,52.0
2016-01-24,52.0
2016-01-31,52.0
2016-02-07,53.0
2016-02-14,56.0
2016-02-21,48.0
2016-02-28,48.0
2016-03-06,51.0
2016-03-13,50.0
2016-03-20,63.0
2016-03-27,55.0
2016-04-03,60.0
2016-04-10,59.0
2016-04-17,59.0
2016-04-24,54.0
2016-05-01,56.0
2016-05-08,55.0
2016-05-15,42.0
2016-05-22,47.0
2016-05-29,48.0
2016-06-05,50.0
2016-06-12,52.0
2016-06-19,50.0
2016-06-26,55.0
2016-07-03,57.0
2016-07-10,59.0
2016-07-17,63.0
2016-07-24,62.0
2016-07-31,71.0
2016-08-07,73.0
2016-08-14,72.0
2016-08-21,67.0
2016-08-28,62.0
2016-09-04,64.0
2016-09-11,67.0
2016-09-18,58.0
2016-09-25,58.0
2016-10-02,60.0
2016-10-09,64.0
2016-10-16,57.0
2016-10-23,54.0
2016-10-30,55.0
2016-11-06,59.0
2016-11-13,54.0
2016-11-20,58.0
2016-11-27,58.0
2016-12-04,65.0
2016-12-11,64.0
2016-12-18,72.0
2016-12-25,68.0
2017-01-01,66.0
2017-01-08,63.0
2017-01-15,59.0
2017-01-22,59.0
2017-01-29,62.0
2017-02-05,61.0
2017-02-12,59.0
2017-02-19,58.0
2017-02-26,56.0
2017-03-05,59.0
2017-03-12,56.0
2017-03-19,59.0
2017-03-26,60.0
2017-04-02,63.0
2017-04-09,62.0
2017-04-16,68.0
2017-04-23,60.0
2017-04-30,58.0
2017-05-07,52.0
2017-05-14,55.0
2017-05-21,51.0
2017-05-28,47.0
2017-06-04,50.0
2017-06-11,54.0
2017-06-18,55.0
2017-06-25,56.0
2017-07-02,59.0
2017-07-09,61.0
2017-07-16,65.0
2017-07-23,63.0
2017-07-30,74.0
2017-08-06,70.0
2017-08-13,80.0
2017-08-20,73.0
2017-08-27,67.0
2017-09-03,61.0
2017-09-10,55.0
2017-09-17,56.0
2017-09-24,55.0
2017-10-01,69.0
2017-10-08,59.0
2017-10-15,59.0
2017-10-22,58.0
2017-10-29,63.0
2017-11-05,59.0
2017-11-12,61.0
2017-11-19,59.0
2017-11-26,59.0
2017-12-03,59.0
2017-12-10,67.0
2017-12-17,76.0
2017-12-24,77.0
2017-12-31,64.0
2018-01-07,68.0
2018-01-14,64.0
2018-01-21,65.0
2018-01-28,65.0
2018-02-04,63.0
2018-02-11,63.0
2018-02-18,62.0
2018-02-25,62.0
2018-03-04,57.0
2018-03-11,57.0
2018-03-18,63.0
2018-03-25,70.0
2018-04-01,65.0
2018-04-08,67.0
2018-04-15,70.0
2018-04-22,64.0
2018-04-29,64.0
2018-05-06,63.0
2018-05-13,59.0
2018-05-20,56.0
2018-05-27,54.0
2018-06-03,58.0
2018-06-10,65.0
2018-06-17,59.0
2018-06-24,61.0
2018-07-01,66.0
2018-07-08,69.0
2018-07-15,70.0
2018-07-22,74.0
2018-07-29,71.0
2018-08-05,82.0
2018-08-12,80.0
2018-08-19,84.0
2018-08-26,71.0
2018-09-02,67.0
2018-09-09,69.0
2018-09-16,65.0
2018-09-23,64.0
2018-09-30,65.0
2018-10-07,66.0
2018-10-14,64.0
2018-10-21,61.0
2018-10-28,57.0
2018-11-04,63.0
2018-11-11,65.0
2018-11-18,66.0
2018-11-25,71.0
2018-12-02,72.0
2018-12-09,78.0
2018-12-16,85.0
2018-12-23,85.0
2018-12-30,75.0
2019-01-06,73.0
2019-01-13,70.0
2019-01-20,70.0
2019-01-27,70.0
2019-02-03,70.0
2019-02-10,70.0
2019-02-17,69.0
2019-02-24,68.0
2019-03-03,69.0
2019-03-10,64.0
2019-03-17,69.0
2019-03-24,61.0
2019-03-31,69.0
2019-04-07,72.0
2019-04-14,82.0
2019-04-21,49.0
2019-04-28,44.0
2019-05-05,56.0
2019-05-12,52.0
2019-05-19,60.0
2019-05-26,58.0
2019-06-02,58.0
2019-06-09,64.0
2019-06-16,63.0
2019-06-23,64.0
2019-06-30,66.0
2019-07-07,68.0
2019-07-14,73.0
2019-07-21,73.0
2019-07-28,75.0
2019-08-04,86.0
2019-08-11,81.0
2019-08-18,100.0
2019-08-25,78.0
2019-09-01,71.0
2019-09-08,76.0
2019-09-15,64.0
2019-09-22,61.0
2019-09-29,60.0
2019-10-06,65.0
2019-10-13,63.0
2019-10-20,63.0
2019-10-27,62.0
2019-11-03,64.0
2019-11-10,64.0
2019-11-17,66.0
2019-11-24,67.0
2019-12-01,71.0
2019-12-08,75.0
2019-12-15,84.0
2019-12-22,91.0
2019-12-29,83.0
2020-01-05,80.0
2020-01-12,68.0
2020-01-19,72.0
2020-01-26,66.0
2020-02-02,65.0
2020-02-09,63.0
2020-02-16,68.0
2020-02-23,65.0
2020-03-01,62.0
2020-03-08,54.0
2020-03-15,38.0
2020-03-22,34.0
2020-03-29,26.0
2020-04-05,26.0
2020-04-12,24.0
2020-04-19,24.0
2020-04-26,23.0
2020-05-03,24.0
2020-05-10,24.0
2020-05-17,27.0
2020-05-24,29.0
2020-05-31,33.0
2020-06-07,41.0
2020-06-14,53.0
2020-06-21,59.0
2020-06-28,60.0
2020-07-05,60.0
2020-07-12,48.0
2020-07-19,52.0
2020-07-26,60.0
2020-08-02,56.0
2020-08-09,61.0
2020-08-16,57.0
2020-08-23,59.0
2020-08-30,57.0
2020-09-06,56.0
2020-09-13,55.0
2020-09-20,51.0
2020-09-27,59.0
2020-10-04,44.0
2020-10-11,38.0
2020-10-18,37.0
2020-10-25,30.0
2020-11-01,29.0
2020-11-08,34.0
2020-11-15,37.0
2020-11-22,39.0
2020-11-29,45.0
2020-12-06,47.0
2020-12-13,55.0
2020-12-20,56.0
2020-12-27,52.0
2021-01-03,52.0
2021-01-10,50.0
2021-01-17,50.0
2021-01-24,51.0
2021-01-31,53.0
2021-02-07,48.0
2021-02-14,49.0
2021-02-21,58.0
2021-02-28,55.0
2021-03-07,60.0
2021-03-14,58.0
2021-03-21,60.0
2021-03-28,65.0
2021-04-04,67.0
2021-04-11,70.0
2021-04-18,65.0
2021-04-25,46.0
2021-05-02,42.0
2021-05-09,37.0
2021-05-16,38.0
2021-05-23,30.0
2021-05-30,37.0
2021-06-06,36.0
2021-06-13,37.0
2021-06-20,38.0
2021-06-27,40.0
2021-07-04,38.0
2021-07-11,50.0
2021-07-18,54.0
2021-07-25,50.0
2021-08-01,47.0
2021-08-08,39.0
2021-08-15,38.0
2021-08-22,32.0
2021-08-29,36.0
2021-09-05,34.0
2021-09-12,42.0
2021-09-19,43.0
2021-09-26,46.0
2021-10-03,52.0
2021-10-10,56.0
2021-10-17,63.0
2021-10-24,60.0
2021-10-31,63.0
2021-11-07,63.0
2021-11-14,65.0
2021-11-21,64.0
2021-11-28,67.0
2021-12-05,75.0
2021-12-12,81.0
2021-12-19,91.0
2021-12-26,79.0
2022-01-02,83.0
2022-01-09,95.0
2022-01-16,84.0
2022-01-23,81.0
