,Acting & Theater
2014-12-28,38.0
2015-01-04,39.0
2015-01-11,39.0
2015-01-18,38.0
2015-01-25,37.0
2015-02-01,38.0
2015-02-08,38.0
2015-02-15,38.0
2015-02-22,38.0
2015-03-01,36.0
2015-03-08,37.0
2015-03-15,37.0
2015-03-22,37.0
2015-03-29,37.0
2015-04-05,40.0
2015-04-12,39.0
2015-04-19,38.0
2015-04-26,38.0
2015-05-03,38.0
2015-05-10,39.0
2015-05-17,38.0
2015-05-24,37.0
2015-05-31,38.0
2015-06-07,36.0
2015-06-14,39.0
2015-06-21,45.0
2015-06-28,52.0
2015-07-05,53.0
2015-07-12,54.0
2015-07-19,54.0
2015-07-26,55.0
2015-08-02,59.0
2015-08-09,57.0
2015-08-16,56.0
2015-08-23,57.0
2015-08-30,55.0
2015-09-06,56.0
2015-09-13,53.0
2015-09-20,54.0
2015-09-27,56.0
2015-10-04,55.0
2015-10-11,53.0
2015-10-18,46.0
2015-10-25,56.0
2015-11-01,49.0
2015-11-08,44.0
2015-11-15,48.0
2015-11-22,46.0
2015-11-29,45.0
2015-12-06,48.0
2015-12-13,52.0
2015-12-20,47.0
2015-12-27,45.0
2016-01-03,43.0
2016-01-10,46.0
2016-01-17,45.0
2016-01-24,55.0
2016-01-31,46.0
2016-02-07,44.0
2016-02-14,45.0
2016-02-21,46.0
2016-02-28,43.0
2016-03-06,42.0
2016-03-13,45.0
2016-03-20,40.0
2016-03-27,42.0
2016-04-03,43.0
2016-04-10,46.0
2016-04-17,44.0
2016-04-24,42.0
2016-05-01,46.0
2016-05-08,47.0
2016-05-15,43.0
2016-05-22,44.0
2016-05-29,43.0
2016-06-05,41.0
2016-06-12,51.0
2016-06-19,46.0
2016-06-26,47.0
2016-07-03,48.0
2016-07-10,48.0
2016-07-17,51.0
2016-07-24,52.0
2016-07-31,53.0
2016-08-07,58.0
2016-08-14,50.0
2016-08-21,53.0
2016-08-28,52.0
2016-09-04,51.0
2016-09-11,50.0
2016-09-18,55.0
2016-09-25,53.0
2016-10-02,50.0
2016-10-09,52.0
2016-10-16,55.0
2016-10-23,50.0
2016-10-30,51.0
2016-11-06,63.0
2016-11-13,58.0
2016-11-20,54.0
2016-11-27,58.0
2016-12-04,54.0
2016-12-11,54.0
2016-12-18,58.0
2016-12-25,53.0
2017-01-01,59.0
2017-01-08,55.0
2017-01-15,57.0
2017-01-22,53.0
2017-01-29,52.0
2017-02-05,55.0
2017-02-12,55.0
2017-02-19,52.0
2017-02-26,54.0
2017-03-05,47.0
2017-03-12,51.0
2017-03-19,55.0
2017-03-26,48.0
2017-04-02,51.0
2017-04-09,54.0
2017-04-16,52.0
2017-04-23,48.0
2017-04-30,49.0
2017-05-07,50.0
2017-05-14,48.0
2017-05-21,53.0
2017-05-28,49.0
2017-06-04,54.0
2017-06-11,57.0
2017-06-18,59.0
2017-06-25,60.0
2017-07-02,65.0
2017-07-09,60.0
2017-07-16,58.0
2017-07-23,58.0
2017-07-30,57.0
2017-08-06,56.0
2017-08-13,54.0
2017-08-20,54.0
2017-08-27,55.0
2017-09-03,87.0
2017-09-10,97.0
2017-09-17,70.0
2017-09-24,63.0
2017-10-01,62.0
2017-10-08,65.0
2017-10-15,61.0
2017-10-22,61.0
2017-10-29,61.0
2017-11-05,63.0
2017-11-12,66.0
2017-11-19,72.0
2017-11-26,67.0
2017-12-03,70.0
2017-12-10,71.0
2017-12-17,71.0
2017-12-24,80.0
2017-12-31,82.0
2018-01-07,78.0
2018-01-14,80.0
2018-01-21,76.0
2018-01-28,76.0
2018-02-04,71.0
2018-02-11,77.0
2018-02-18,72.0
2018-02-25,68.0
2018-03-04,73.0
2018-03-11,74.0
2018-03-18,85.0
2018-03-25,79.0
2018-04-01,79.0
2018-04-08,72.0
2018-04-15,69.0
2018-04-22,66.0
2018-04-29,75.0
2018-05-06,79.0
2018-05-13,67.0
2018-05-20,75.0
2018-05-27,69.0
2018-06-03,71.0
2018-06-10,73.0
2018-06-17,71.0
2018-06-24,73.0
2018-07-01,76.0
2018-07-08,74.0
2018-07-15,73.0
2018-07-22,71.0
2018-07-29,75.0
2018-08-05,82.0
2018-08-12,83.0
2018-08-19,77.0
2018-08-26,92.0
2018-09-02,88.0
2018-09-09,85.0
2018-09-16,86.0
2018-09-23,86.0
2018-09-30,90.0
2018-10-07,89.0
2018-10-14,79.0
2018-10-21,92.0
2018-10-28,95.0
2018-11-04,77.0
2018-11-11,85.0
2018-11-18,81.0
2018-11-25,76.0
2018-12-02,86.0
2018-12-09,80.0
2018-12-16,81.0
2018-12-23,76.0
2018-12-30,72.0
2019-01-06,74.0
2019-01-13,69.0
2019-01-20,75.0
2019-01-27,77.0
2019-02-03,69.0
2019-02-10,73.0
2019-02-17,76.0
2019-02-24,74.0
2019-03-03,70.0
2019-03-10,100.0
2019-03-17,81.0
2019-03-24,83.0
2019-03-31,73.0
2019-04-07,94.0
2019-04-14,92.0
2019-04-21,97.0
2019-04-28,80.0
2019-05-05,67.0
2019-05-12,65.0
2019-05-19,70.0
2019-05-26,65.0
2019-06-02,57.0
2019-06-09,60.0
2019-06-16,59.0
2019-06-23,59.0
2019-06-30,59.0
2019-07-07,60.0
2019-07-14,66.0
2019-07-21,65.0
2019-07-28,68.0
2019-08-04,64.0
2019-08-11,60.0
2019-08-18,69.0
2019-08-25,69.0
2019-09-01,63.0
2019-09-08,72.0
2019-09-15,70.0
2019-09-22,85.0
2019-09-29,68.0
2019-10-06,66.0
2019-10-13,70.0
2019-10-20,70.0
2019-10-27,60.0
2019-11-03,65.0
2019-11-10,69.0
2019-11-17,67.0
2019-11-24,65.0
2019-12-01,64.0
2019-12-08,61.0
2019-12-15,59.0
2019-12-22,52.0
2019-12-29,57.0
2020-01-05,60.0
2020-01-12,57.0
2020-01-19,57.0
2020-01-26,49.0
2020-02-02,53.0
2020-02-09,45.0
2020-02-16,56.0
2020-02-23,57.0
2020-03-01,48.0
2020-03-08,44.0
2020-03-15,46.0
2020-03-22,57.0
2020-03-29,53.0
2020-04-05,48.0
2020-04-12,47.0
2020-04-19,48.0
2020-04-26,45.0
2020-05-03,46.0
2020-05-10,46.0
2020-05-17,45.0
2020-05-24,42.0
2020-05-31,45.0
2020-06-07,44.0
2020-06-14,44.0
2020-06-21,44.0
2020-06-28,47.0
2020-07-05,45.0
2020-07-12,48.0
2020-07-19,49.0
2020-07-26,50.0
2020-08-02,46.0
2020-08-09,49.0
2020-08-16,55.0
2020-08-23,52.0
2020-08-30,50.0
2020-09-06,53.0
2020-09-13,53.0
2020-09-20,55.0
2020-09-27,52.0
2020-10-04,51.0
2020-10-11,53.0
2020-10-18,47.0
2020-10-25,49.0
2020-11-01,50.0
2020-11-08,48.0
2020-11-15,49.0
2020-11-22,48.0
2020-11-29,51.0
2020-12-06,52.0
2020-12-13,54.0
2020-12-20,55.0
2020-12-27,52.0
2021-01-03,50.0
2021-01-10,44.0
2021-01-17,52.0
2021-01-24,52.0
2021-01-31,48.0
2021-02-07,49.0
2021-02-14,50.0
2021-02-21,50.0
2021-02-28,50.0
2021-03-07,50.0
2021-03-14,53.0
2021-03-21,54.0
2021-03-28,53.0
2021-04-04,83.0
2021-04-11,52.0
2021-04-18,51.0
2021-04-25,46.0
2021-05-02,51.0
2021-05-09,46.0
2021-05-16,50.0
2021-05-23,51.0
2021-05-30,49.0
2021-06-06,56.0
2021-06-13,53.0
2021-06-20,52.0
2021-06-27,56.0
2021-07-04,55.0
2021-07-11,55.0
2021-07-18,58.0
2021-07-25,55.0
2021-08-01,52.0
2021-08-08,49.0
2021-08-15,54.0
2021-08-22,49.0
2021-08-29,47.0
2021-09-05,50.0
2021-09-12,47.0
2021-09-19,49.0
2021-09-26,54.0
2021-10-03,54.0
2021-10-10,43.0
2021-10-17,47.0
2021-10-24,46.0
2021-10-31,44.0
2021-11-07,49.0
2021-11-14,55.0
2021-11-21,54.0
2021-11-28,55.0
2021-12-05,51.0
2021-12-12,58.0
2021-12-19,58.0
2021-12-26,59.0
2022-01-02,58.0
2022-01-09,55.0
2022-01-16,53.0
2022-01-23,64.0
2022-01-30,60.0
2022-02-06,66.0
2022-02-13,80.0
2022-02-20,78.0
2022-02-27,77.0
2022-03-06,73.0
2022-03-13,67.0
2022-03-20,71.0
2022-03-27,73.0
2022-04-03,73.0
2022-04-10,71.0
2022-04-17,73.0
2022-04-24,77.0
2022-05-01,67.0
2022-05-08,68.0
2022-05-15,64.0
2022-05-22,64.0
2022-05-29,66.0
2022-06-05,65.0
2022-06-12,68.0
2022-06-19,82.0
2022-06-26,70.0
2022-07-03,70.0
2022-07-10,65.0
2022-07-17,68.0
2022-07-24,70.0
2022-07-31,63.0
2022-08-07,58.0
2022-08-14,66.0
2022-08-21,67.0
2022-08-28,68.0
2022-09-04,65.0
2022-09-11,71.0
2022-09-18,72.0
2022-09-25,64.0
2022-10-02,58.0
2022-10-09,67.0
2022-10-16,65.0
2022-10-23,60.0
2022-10-30,71.0
2022-11-06,72.0
2022-11-13,81.0
2022-11-20,65.0
2022-11-27,67.0
2022-12-04,68.0
2022-12-11,69.0
2022-12-18,64.0
2022-12-25,69.0
2023-01-01,67.0
