,Advertising & Marketing
2014-12-28,33.0
2015-01-04,35.0
2015-01-11,34.0
2015-01-18,35.0
2015-01-25,33.0
2015-02-01,37.0
2015-02-08,36.0
2015-02-15,37.0
2015-02-22,35.0
2015-03-01,33.0
2015-03-08,36.0
2015-03-15,37.0
2015-03-22,36.0
2015-03-29,37.0
2015-04-05,38.0
2015-04-12,36.0
2015-04-19,34.0
2015-04-26,35.0
2015-05-03,35.0
2015-05-10,40.0
2015-05-17,41.0
2015-05-24,36.0
2015-05-31,37.0
2015-06-07,37.0
2015-06-14,40.0
2015-06-21,40.0
2015-06-28,45.0
2015-07-05,48.0
2015-07-12,48.0
2015-07-19,51.0
2015-07-26,45.0
2015-08-02,49.0
2015-08-09,47.0
2015-08-16,48.0
2015-08-23,45.0
2015-08-30,46.0
2015-09-06,47.0
2015-09-13,46.0
2015-09-20,45.0
2015-09-27,43.0
2015-10-04,48.0
2015-10-11,46.0
2015-10-18,40.0
2015-10-25,44.0
2015-11-01,43.0
2015-11-08,33.0
2015-11-15,43.0
2015-11-22,41.0
2015-11-29,42.0
2015-12-06,45.0
2015-12-13,51.0
2015-12-20,49.0
2015-12-27,47.0
2016-01-03,54.0
2016-01-10,44.0
2016-01-17,46.0
2016-01-24,41.0
2016-01-31,44.0
2016-02-07,44.0
2016-02-14,44.0
2016-02-21,45.0
2016-02-28,44.0
2016-03-06,46.0
2016-03-13,51.0
2016-03-20,40.0
2016-03-27,43.0
2016-04-03,47.0
2016-04-10,45.0
2016-04-17,45.0
2016-04-24,50.0
2016-05-01,52.0
2016-05-08,48.0
2016-05-15,46.0
2016-05-22,48.0
2016-05-29,48.0
2016-06-05,52.0
2016-06-12,50.0
2016-06-19,51.0
2016-06-26,48.0
2016-07-03,48.0
2016-07-10,50.0
2016-07-17,51.0
2016-07-24,52.0
2016-07-31,51.0
2016-08-07,53.0
2016-08-14,48.0
2016-08-21,54.0
2016-08-28,55.0
2016-09-04,52.0
2016-09-11,54.0
2016-09-18,55.0
2016-09-25,54.0
2016-10-02,51.0
2016-10-09,50.0
2016-10-16,56.0
2016-10-23,49.0
