,Aquaculture
2014-12-28,31.0
2015-01-04,31.0
2015-01-11,38.0
2015-01-18,25.0
2015-01-25,24.0
2015-02-01,25.0
2015-02-08,24.0
2015-02-15,24.0
2015-02-22,23.0
2015-03-01,22.0
2015-03-08,23.0
2015-03-15,23.0
2015-03-22,21.0
2015-03-29,23.0
2015-04-05,23.0
2015-04-12,23.0
2015-04-19,23.0
2015-04-26,23.0
2015-05-03,23.0
2015-05-10,23.0
2015-05-17,22.0
2015-05-24,22.0
2015-05-31,27.0
2015-06-07,22.0
2015-06-14,22.0
2015-06-21,26.0
2015-06-28,29.0
2015-07-05,29.0
2015-07-12,32.0
2015-07-19,31.0
2015-07-26,30.0
2015-08-02,32.0
2015-08-09,31.0
2015-08-16,32.0
2015-08-23,30.0
2015-08-30,31.0
2015-09-06,31.0
2015-09-13,33.0
2015-09-20,32.0
2015-09-27,30.0
2015-10-04,30.0
2015-10-11,30.0
2015-10-18,27.0
2015-10-25,30.0
2015-11-01,26.0
2015-11-08,23.0
2015-11-15,27.0
2015-11-22,29.0
2015-11-29,25.0
2015-12-06,25.0
2015-12-13,34.0
2015-12-20,45.0
2015-12-27,42.0
2016-01-03,41.0
2016-01-10,55.0
2016-01-17,32.0
2016-01-24,30.0
2016-01-31,28.0
2016-02-07,27.0
2016-02-14,28.0
2016-02-21,26.0
2016-02-28,27.0
2016-03-06,26.0
2016-03-13,26.0
2016-03-20,26.0
2016-03-27,27.0
2016-04-03,26.0
2016-04-10,26.0
2016-04-17,25.0
2016-04-24,24.0
2016-05-01,26.0
2016-05-08,27.0
2016-05-15,26.0
2016-05-22,25.0
2016-05-29,27.0
2016-06-05,28.0
2016-06-12,28.0
2016-06-19,29.0
2016-06-26,30.0
2016-07-03,29.0
2016-07-10,28.0
2016-07-17,30.0
2016-07-24,30.0
2016-07-31,30.0
2016-08-07,30.0
2016-08-14,28.0
2016-08-21,32.0
2016-08-28,31.0
2016-09-04,29.0
2016-09-11,30.0
2016-09-18,33.0
2016-09-25,33.0
2016-10-02,30.0
2016-10-09,32.0
2016-10-16,30.0
2016-10-23,29.0
2016-10-30,29.0
2016-11-06,28.0
2016-11-13,29.0
2016-11-20,31.0
2016-11-27,31.0
2016-12-04,28.0
2016-12-11,41.0
2016-12-18,63.0
2016-12-25,71.0
2017-01-01,65.0
2017-01-08,89.0
2017-01-15,45.0
2017-01-22,34.0
2017-01-29,33.0
2017-02-05,33.0
2017-02-12,33.0
2017-02-19,33.0
2017-02-26,30.0
2017-03-05,32.0
2017-03-12,29.0
2017-03-19,34.0
2017-03-26,32.0
2017-04-02,32.0
2017-04-09,37.0
2017-04-16,30.0
2017-04-23,32.0
2017-04-30,31.0
2017-05-07,31.0
2017-05-14,30.0
2017-05-21,29.0
2017-05-28,31.0
2017-06-04,32.0
2017-06-11,32.0
2017-06-18,32.0
2017-06-25,34.0
2017-07-02,36.0
2017-07-09,36.0
2017-07-16,36.0
2017-07-23,35.0
2017-07-30,35.0
2017-08-06,33.0
2017-08-13,35.0
2017-08-20,36.0
2017-08-27,31.0
2017-09-03,32.0
2017-09-10,32.0
2017-09-17,32.0
2017-09-24,31.0
2017-10-01,29.0
2017-10-08,32.0
2017-10-15,29.0
2017-10-22,31.0
2017-10-29,32.0
2017-11-05,34.0
2017-11-12,32.0
2017-11-19,35.0
2017-11-26,36.0
2017-12-03,39.0
2017-12-10,50.0
2017-12-17,75.0
2017-12-24,82.0
2017-12-31,79.0
2018-01-07,96.0
2018-01-14,66.0
2018-01-21,41.0
2018-01-28,43.0
2018-02-04,40.0
2018-02-11,39.0
2018-02-18,36.0
2018-02-25,34.0
2018-03-04,37.0
2018-03-11,38.0
2018-03-18,40.0
2018-03-25,40.0
2018-04-01,38.0
2018-04-08,40.0
2018-04-15,37.0
2018-04-22,40.0
2018-04-29,35.0
2018-05-06,33.0
2018-05-13,36.0
2018-05-20,40.0
2018-05-27,35.0
2018-06-03,34.0
2018-06-10,35.0
2018-06-17,34.0
2018-06-24,38.0
2018-07-01,37.0
2018-07-08,36.0
2018-07-15,39.0
2018-07-22,42.0
2018-07-29,43.0
2018-08-05,40.0
2018-08-12,38.0
2018-08-19,41.0
2018-08-26,39.0
2018-09-02,45.0
2018-09-09,45.0
2018-09-16,48.0
2018-09-23,47.0
2018-09-30,43.0
2018-10-07,49.0
2018-10-14,44.0
2018-10-21,49.0
2018-10-28,48.0
2018-11-04,44.0
2018-11-11,45.0
2018-11-18,51.0
2018-11-25,47.0
2018-12-02,45.0
2018-12-09,58.0
2018-12-16,92.0
2018-12-23,89.0
2018-12-30,94.0
2019-01-06,80.0
2019-01-13,100.0
2019-01-20,53.0
2019-01-27,53.0
2019-02-03,47.0
2019-02-10,44.0
2019-02-17,45.0
2019-02-24,41.0
2019-03-03,42.0
2019-03-10,40.0
2019-03-17,43.0
2019-03-24,42.0
2019-03-31,40.0
2019-04-07,40.0
2019-04-14,39.0
2019-04-21,38.0
2019-04-28,37.0
2019-05-05,38.0
2019-05-12,39.0
2019-05-19,39.0
2019-05-26,42.0
2019-06-02,39.0
2019-06-09,38.0
2019-06-16,38.0
2019-06-23,41.0
2019-06-30,36.0
2019-07-07,41.0
2019-07-14,46.0
2019-07-21,47.0
2019-07-28,48.0
2019-08-04,39.0
2019-08-11,38.0
2019-08-18,45.0
2019-08-25,43.0
2019-09-01,44.0
2019-09-08,43.0
2019-09-15,43.0
2019-09-22,45.0
2019-09-29,41.0
2019-10-06,42.0
2019-10-13,41.0
2019-10-20,38.0
2019-10-27,34.0
2019-11-03,41.0
2019-11-10,41.0
2019-11-17,46.0
2019-11-24,43.0
2019-12-01,41.0
2019-12-08,56.0
2019-12-15,72.0
2019-12-22,73.0
2019-12-29,70.0
2020-01-05,59.0
2020-01-12,78.0
2020-01-19,45.0
2020-01-26,43.0
2020-02-02,39.0
2020-02-09,40.0
2020-02-16,40.0
2020-02-23,39.0
2020-03-01,37.0
2020-03-08,35.0
2020-03-15,33.0
2020-03-22,24.0
2020-03-29,28.0
2020-04-05,31.0
2020-04-12,35.0
2020-04-19,33.0
2020-04-26,36.0
2020-05-03,36.0
2020-05-10,43.0
2020-05-17,39.0
2020-05-24,38.0
2020-05-31,39.0
2020-06-07,42.0
2020-06-14,39.0
2020-06-21,39.0
2020-06-28,43.0
2020-07-05,43.0
2020-07-12,43.0
2020-07-19,46.0
2020-07-26,58.0
2020-08-02,48.0
2020-08-09,59.0
2020-08-16,49.0
2020-08-23,46.0
2020-08-30,45.0
2020-09-06,46.0
2020-09-13,43.0
2020-09-20,44.0
2020-09-27,44.0
2020-10-04,41.0
2020-10-11,44.0
2020-10-18,45.0
2020-10-25,40.0
2020-11-01,37.0
2020-11-08,39.0
2020-11-15,35.0
2020-11-22,40.0
2020-11-29,49.0
2020-12-06,38.0
2020-12-13,61.0
2020-12-20,73.0
2020-12-27,67.0
2021-01-03,55.0
2021-01-10,66.0
2021-01-17,44.0
2021-01-24,45.0
2021-01-31,43.0
2021-02-07,40.0
2021-02-14,43.0
2021-02-21,42.0
2021-02-28,38.0
2021-03-07,38.0
2021-03-14,42.0
2021-03-21,39.0
2021-03-28,35.0
2021-04-04,33.0
2021-04-11,36.0
2021-04-18,33.0
2021-04-25,29.0
2021-05-02,33.0
2021-05-09,35.0
2021-05-16,36.0
2021-05-23,38.0
2021-05-30,39.0
2021-06-06,45.0
2021-06-13,42.0
2021-06-20,41.0
2021-06-27,38.0
2021-07-04,42.0
2021-07-11,41.0
2021-07-18,41.0
2021-07-25,41.0
2021-08-01,42.0
2021-08-08,40.0
2021-08-15,42.0
2021-08-22,37.0
2021-08-29,40.0
2021-09-05,36.0
2021-09-12,36.0
2021-09-19,35.0
2021-09-26,36.0
2021-10-03,30.0
2021-10-10,32.0
2021-10-17,34.0
2021-10-24,32.0
2021-10-31,25.0
2021-11-07,26.0
2021-11-14,36.0
2021-11-21,31.0
2021-11-28,31.0
2021-12-05,33.0
2021-12-12,48.0
2021-12-19,66.0
2021-12-26,61.0
2022-01-02,58.0
2022-01-09,83.0
2022-01-16,45.0
2022-01-23,46.0
2022-01-30,46.0
2022-02-06,43.0
2022-02-13,47.0
2022-02-20,48.0
2022-02-27,49.0
2022-03-06,47.0
2022-03-13,45.0
2022-03-20,49.0
2022-03-27,44.0
2022-04-03,44.0
2022-04-10,43.0
2022-04-17,47.0
2022-04-24,42.0
2022-05-01,43.0
2022-05-08,44.0
2022-05-15,41.0
2022-05-22,42.0
2022-05-29,42.0
2022-06-05,43.0
2022-06-12,46.0
2022-06-19,45.0
2022-06-26,45.0
2022-07-03,44.0
2022-07-10,47.0
2022-07-17,47.0
2022-07-24,44.0
2022-07-31,47.0
2022-08-07,42.0
2022-08-14,44.0
2022-08-21,44.0
2022-08-28,44.0
2022-09-04,42.0
2022-09-11,44.0
2022-09-18,47.0
2022-09-25,41.0
2022-10-02,44.0
2022-10-09,43.0
2022-10-16,39.0
2022-10-23,42.0
2022-10-30,39.0
2022-11-06,42.0
2022-11-13,44.0
2022-11-20,44.0
2022-11-27,43.0
2022-12-04,55.0
2022-12-11,56.0
2022-12-18,73.0
2022-12-25,75.0
2023-01-01,66.0
2023-01-08,87.0
2023-01-15,66.0
2023-01-22,47.0
2023-01-29,49.0
2023-02-05,47.0
2023-02-12,46.0
2023-02-19,48.0
2023-02-26,44.0
2023-03-05,43.0
2023-03-12,46.0
2023-03-19,42.0
2023-03-26,40.0
