,Auto Financing
2014-12-28,25.0
2015-01-04,27.0
2015-01-11,28.0
2015-01-18,28.0
2015-01-25,25.0
2015-02-01,30.0
2015-02-08,28.0
2015-02-15,26.0
2015-02-22,29.0
2015-03-01,28.0
2015-03-08,32.0
2015-03-15,31.0
2015-03-22,32.0
2015-03-29,31.0
2015-04-05,35.0
2015-04-12,32.0
2015-04-19,32.0
2015-04-26,30.0
2015-05-03,32.0
2015-05-10,34.0
2015-05-17,34.0
2015-05-24,31.0
2015-05-31,34.0
2015-06-07,31.0
2015-06-14,31.0
2015-06-21,41.0
2015-06-28,45.0
2015-07-05,44.0
2015-07-12,43.0
2015-07-19,48.0
2015-07-26,45.0
2015-08-02,47.0
2015-08-09,48.0
2015-08-16,46.0
2015-08-23,42.0
2015-08-30,44.0
2015-09-06,46.0
2015-09-13,45.0
2015-09-20,46.0
2015-09-27,46.0
2015-10-04,47.0
2015-10-11,43.0
2015-10-18,39.0
2015-10-25,43.0
2015-11-01,39.0
2015-11-08,30.0
2015-11-15,38.0
2015-11-22,34.0
2015-11-29,37.0
2015-12-06,43.0
2015-12-13,39.0
2015-12-20,37.0
2015-12-27,35.0
2016-01-03,33.0
2016-01-10,32.0
2016-01-17,33.0
2016-01-24,32.0
2016-01-31,36.0
2016-02-07,40.0
2016-02-14,34.0
2016-02-21,33.0
2016-02-28,35.0
2016-03-06,35.0
2016-03-13,35.0
2016-03-20,32.0
2016-03-27,33.0
2016-04-03,35.0
2016-04-10,40.0
2016-04-17,39.0
2016-04-24,35.0
2016-05-01,39.0
2016-05-08,37.0
2016-05-15,38.0
2016-05-22,37.0
2016-05-29,41.0
2016-06-05,42.0
2016-06-12,42.0
2016-06-19,42.0
2016-06-26,42.0
2016-07-03,44.0
2016-07-10,45.0
2016-07-17,43.0
2016-07-24,42.0
2016-07-31,42.0
2016-08-07,41.0
2016-08-14,38.0
2016-08-21,45.0
2016-08-28,44.0
2016-09-04,43.0
2016-09-11,43.0
2016-09-18,45.0
2016-09-25,43.0
2016-10-02,39.0
2016-10-09,38.0
2016-10-16,41.0
2016-10-23,36.0
2016-10-30,34.0
2016-11-06,36.0
2016-11-13,39.0
2016-11-20,35.0
2016-11-27,40.0
2016-12-04,44.0
2016-12-11,43.0
2016-12-18,45.0
2016-12-25,44.0
2017-01-01,44.0
2017-01-08,38.0
2017-01-15,40.0
2017-01-22,38.0
2017-01-29,42.0
2017-02-05,45.0
2017-02-12,42.0
2017-02-19,41.0
2017-02-26,39.0
2017-03-05,42.0
2017-03-12,42.0
2017-03-19,44.0
2017-03-26,45.0
2017-04-02,46.0
2017-04-09,43.0
2017-04-16,43.0
2017-04-23,43.0
2017-04-30,43.0
2017-05-07,42.0
2017-05-14,44.0
2017-05-21,48.0
2017-05-28,47.0
2017-06-04,48.0
2017-06-11,55.0
2017-06-18,59.0
2017-06-25,63.0
2017-07-02,57.0
2017-07-09,55.0
2017-07-16,56.0
2017-07-23,61.0
2017-07-30,55.0
2017-08-06,52.0
2017-08-13,51.0
2017-08-20,50.0
2017-08-27,47.0
2017-09-03,54.0
2017-09-10,54.0
2017-09-17,53.0
2017-09-24,45.0
2017-10-01,53.0
2017-10-08,55.0
2017-10-15,42.0
2017-10-22,50.0
2017-10-29,50.0
2017-11-05,50.0
2017-11-12,53.0
2017-11-19,53.0
2017-11-26,51.0
2017-12-03,52.0
2017-12-10,54.0
2017-12-17,53.0
2017-12-24,56.0
2017-12-31,51.0
2018-01-07,53.0
2018-01-14,49.0
2018-01-21,47.0
2018-01-28,54.0
2018-02-04,50.0
2018-02-11,51.0
2018-02-18,53.0
2018-02-25,49.0
2018-03-04,55.0
2018-03-11,59.0
2018-03-18,60.0
2018-03-25,57.0
2018-04-01,54.0
2018-04-08,53.0
2018-04-15,53.0
2018-04-22,52.0
2018-04-29,54.0
2018-05-06,53.0
2018-05-13,55.0
2018-05-20,60.0
2018-05-27,57.0
2018-06-03,59.0
2018-06-10,56.0
2018-06-17,57.0
2018-06-24,65.0
2018-07-01,66.0
2018-07-08,59.0
2018-07-15,62.0
2018-07-22,65.0
2018-07-29,71.0
2018-08-05,74.0
2018-08-12,79.0
2018-08-19,77.0
2018-08-26,93.0
2018-09-02,91.0
2018-09-09,85.0
2018-09-16,85.0
2018-09-23,94.0
2018-09-30,92.0
2018-10-07,95.0
2018-10-14,85.0
2018-10-21,84.0
2018-10-28,95.0
2018-11-04,75.0
2018-11-11,96.0
2018-11-18,94.0
2018-11-25,96.0
2018-12-02,88.0
2018-12-09,98.0
2018-12-16,97.0
2018-12-23,95.0
2018-12-30,100.0
2019-01-06,81.0
2019-01-13,82.0
2019-01-20,84.0
2019-01-27,85.0
2019-02-03,76.0
2019-02-10,81.0
2019-02-17,81.0
2019-02-24,85.0
2019-03-03,81.0
2019-03-10,83.0
2019-03-17,83.0
2019-03-24,86.0
2019-03-31,79.0
2019-04-07,73.0
2019-04-14,70.0
2019-04-21,71.0
2019-04-28,83.0
2019-05-05,87.0
2019-05-12,92.0
2019-05-19,92.0
2019-05-26,91.0
2019-06-02,84.0
2019-06-09,82.0
2019-06-16,93.0
2019-06-23,81.0
2019-06-30,78.0
2019-07-07,82.0
2019-07-14,81.0
2019-07-21,85.0
2019-07-28,86.0
2019-08-04,84.0
2019-08-11,77.0
2019-08-18,89.0
2019-08-25,91.0
2019-09-01,89.0
2019-09-08,99.0
2019-09-15,92.0
2019-09-22,84.0
