,Business News
2014-12-28,38.0
2015-01-04,41.0
2015-01-11,40.0
2015-01-18,42.0
2015-01-25,38.0
2015-02-01,42.0
2015-02-08,40.0
2015-02-15,40.0
2015-02-22,47.0
2015-03-01,40.0
2015-03-08,41.0
2015-03-15,40.0
2015-03-22,38.0
2015-03-29,35.0
2015-04-05,41.0
2015-04-12,38.0
2015-04-19,39.0
2015-04-26,36.0
2015-05-03,40.0
2015-05-10,42.0
2015-05-17,41.0
2015-05-24,41.0
2015-05-31,41.0
2015-06-07,38.0
2015-06-14,39.0
2015-06-21,40.0
2015-06-28,51.0
2015-07-05,50.0
2015-07-12,49.0
2015-07-19,53.0
2015-07-26,49.0
2015-08-02,54.0
2015-08-09,53.0
2015-08-16,51.0
2015-08-23,56.0
2015-08-30,53.0
2015-09-06,50.0
2015-09-13,44.0
2015-09-20,46.0
2015-09-27,46.0
2015-10-04,49.0
2015-10-11,47.0
2015-10-18,41.0
2015-10-25,50.0
2015-11-01,44.0
2015-11-08,33.0
2015-11-15,42.0
2015-11-22,41.0
2015-11-29,44.0
2015-12-06,44.0
2015-12-13,47.0
2015-12-20,45.0
2015-12-27,45.0
2016-01-03,50.0
2016-01-10,48.0
2016-01-17,50.0
2016-01-24,42.0
2016-01-31,47.0
2016-02-07,50.0
2016-02-14,47.0
2016-02-21,47.0
2016-02-28,56.0
2016-03-06,48.0
2016-03-13,51.0
2016-03-20,37.0
2016-03-27,45.0
2016-04-03,44.0
2016-04-10,48.0
2016-04-17,45.0
2016-04-24,47.0
2016-05-01,48.0
2016-05-08,48.0
2016-05-15,47.0
2016-05-22,49.0
2016-05-29,48.0
2016-06-05,48.0
2016-06-12,48.0
2016-06-19,53.0
2016-06-26,57.0
2016-07-03,50.0
2016-07-10,55.0
2016-07-17,59.0
2016-07-24,58.0
2016-07-31,59.0
2016-08-07,57.0
2016-08-14,45.0
2016-08-21,58.0
2016-08-28,64.0
2016-09-04,52.0
2016-09-11,50.0
2016-09-18,56.0
2016-09-25,59.0
2016-10-02,54.0
2016-10-09,47.0
2016-10-16,60.0
2016-10-23,55.0
2016-10-30,51.0
2016-11-06,63.0
2016-11-13,54.0
2016-11-20,52.0
2016-11-27,55.0
2016-12-04,53.0
2016-12-11,56.0
2016-12-18,59.0
2016-12-25,54.0
2017-01-01,57.0
2017-01-08,56.0
2017-01-15,55.0
2017-01-22,53.0
2017-01-29,83.0
2017-02-05,59.0
2017-02-12,55.0
2017-02-19,52.0
2017-02-26,54.0
2017-03-05,53.0
2017-03-12,57.0
2017-03-19,61.0
2017-03-26,57.0
2017-04-02,55.0
2017-04-09,59.0
2017-04-16,63.0
2017-04-23,64.0
2017-04-30,55.0
2017-05-07,60.0
2017-05-14,70.0
2017-05-21,65.0
2017-05-28,63.0
2017-06-04,60.0
2017-06-11,64.0
2017-06-18,66.0
2017-06-25,72.0
2017-07-02,81.0
2017-07-09,75.0
2017-07-16,72.0
2017-07-23,75.0
2017-07-30,74.0
2017-08-06,78.0
2017-08-13,63.0
2017-08-20,65.0
2017-08-27,63.0
2017-09-03,68.0
2017-09-10,77.0
2017-09-17,72.0
2017-09-24,72.0
2017-10-01,66.0
2017-10-08,79.0
2017-10-15,57.0
2017-10-22,80.0
2017-10-29,82.0
2017-11-05,78.0
2017-11-12,75.0
2017-11-19,70.0
2017-11-26,70.0
2017-12-03,69.0
2017-12-10,71.0
2017-12-17,76.0
2017-12-24,77.0
2017-12-31,76.0
2018-01-07,79.0
2018-01-14,85.0
2018-01-21,73.0
2018-01-28,92.0
2018-02-04,94.0
2018-02-11,77.0
2018-02-18,75.0
2018-02-25,63.0
2018-03-04,72.0
2018-03-11,75.0
2018-03-18,78.0
2018-03-25,75.0
2018-04-01,77.0
2018-04-08,74.0
2018-04-15,70.0
2018-04-22,71.0
2018-04-29,64.0
2018-05-06,78.0
2018-05-13,67.0
2018-05-20,70.0
2018-05-27,74.0
2018-06-03,69.0
2018-06-10,73.0
2018-06-17,70.0
2018-06-24,77.0
2018-07-01,77.0
2018-07-08,75.0
2018-07-15,74.0
2018-07-22,80.0
2018-07-29,84.0
2018-08-05,79.0
2018-08-12,73.0
2018-08-19,71.0
2018-08-26,77.0
2018-09-02,76.0
2018-09-09,74.0
2018-09-16,79.0
2018-09-23,90.0
2018-09-30,78.0
2018-10-07,93.0
2018-10-14,72.0
2018-10-21,82.0
2018-10-28,87.0
2018-11-04,61.0
2018-11-11,78.0
2018-11-18,72.0
2018-11-25,78.0
2018-12-02,78.0
2018-12-09,100.0
2018-12-16,89.0
2018-12-23,73.0
2018-12-30,75.0
2019-01-06,76.0
2019-01-13,70.0
2019-01-20,71.0
2019-01-27,83.0
2019-02-03,77.0
2019-02-10,77.0
2019-02-17,78.0
2019-02-24,71.0
2019-03-03,74.0
2019-03-10,89.0
2019-03-17,78.0
2019-03-24,86.0
2019-03-31,87.0
2019-04-07,84.0
2019-04-14,73.0
2019-04-21,76.0
2019-04-28,70.0
2019-05-05,76.0
2019-05-12,76.0
2019-05-19,84.0
2019-05-26,81.0
2019-06-02,71.0
2019-06-09,72.0
2019-06-16,73.0
2019-06-23,73.0
2019-06-30,81.0
2019-07-07,74.0
2019-07-14,79.0
2019-07-21,78.0
2019-07-28,84.0
2019-08-04,84.0
2019-08-11,68.0
2019-08-18,81.0
2019-08-25,80.0
2019-09-01,76.0
2019-09-08,71.0
2019-09-15,80.0
2019-09-22,80.0
2019-09-29,73.0
2019-10-06,75.0
2019-10-13,77.0
2019-10-20,64.0
2019-10-27,68.0
2019-11-03,75.0
2019-11-10,70.0
2019-11-17,76.0
2019-11-24,77.0
2019-12-01,75.0
2019-12-08,77.0
2019-12-15,74.0
2019-12-22,68.0
2019-12-29,74.0
2020-01-05,73.67079561696046
2020-01-12,73.67079561696046
2020-01-19,73.67079561696046
2020-01-26,86.89375893282516
2020-02-02,77.44878513577895
2020-02-09,73.67079561696046
2020-02-16,73.67079561696046
2020-02-23,81.22677465459743
2020-03-01,92.5607432110529
2020-03-08,130.34063839923775
2020-03-15,122.78465936160077
2020-03-22,96.33873272987138
2020-03-29,88.78275369223441
2020-04-05,85.00476417341592
2020-04-12,79.33777989518819
2020-04-19,90.67174845164365
2020-04-26,81.22677465459743
2020-05-03,86.89375893282516
2020-05-10,92.5607432110529
2020-05-17,86.89375893282516
2020-05-24,79.33777989518819
2020-05-31,98.22772748928062
2020-06-07,100.11672224868987
2020-06-14,92.5607432110529
2020-06-21,100.11672224868987
2020-06-28,103.89471176750834
2020-07-05,102.0057170080991
2020-07-12,109.56169604573607
2020-07-19,109.56169604573607
2020-07-26,115.2286803239638
2020-08-02,98.22772748928062
2020-08-09,107.67270128632683
2020-08-16,102.0057170080991
2020-08-23,94.44973797046214
2020-08-30,109.56169604573607
2020-09-06,107.67270128632683
2020-09-13,111.45069080514531
2020-09-20,105.78370652691758
2020-09-27,109.56169604573607
2020-10-04,111.45069080514531
2020-10-11,100.11672224868987
2020-10-18,94.44973797046214
2020-10-25,96.33873272987138
2020-11-01,86.89375893282516
2020-11-08,96.33873272987138
2020-11-15,92.5607432110529
2020-11-22,94.44973797046214
2020-11-29,96.33873272987138
2020-12-06,119.00666984278229
2020-12-13,103.89471176750834
2020-12-20,111.45069080514531
2020-12-27,107.67270128632683
2021-01-03,120.89566460219153
2021-01-10,115.2286803239638
2021-01-17,122.78465936160077
2021-01-24,126.56264888041926
2021-01-31,124.67365412101002
2021-02-07,109.56169604573607
2021-02-14,107.67270128632683
2021-02-21,120.89566460219153
2021-02-28,115.2286803239638
2021-03-07,109.56169604573607
2021-03-14,119.00666984278229
2021-03-21,111.45069080514531
2021-03-28,86.89375893282516
2021-04-04,100.11672224868987
2021-04-11,92.5607432110529
2021-04-18,88.78275369223441
2021-04-25,90.67174845164365
2021-05-02,100.11672224868987
2021-05-09,105.78370652691758
2021-05-16,111.45069080514531
2021-05-23,105.78370652691758
2021-05-30,103.89471176750834
2021-06-06,117.11767508337304
2021-06-13,124.67365412101002
2021-06-20,126.56264888041926
2021-06-27,115.2286803239638
2021-07-04,120.89566460219153
2021-07-11,130.34063839923775
2021-07-18,130.34063839923775
2021-07-25,136.00762267746546
2021-08-01,137.89661743687472
2021-08-08,136.00762267746546
2021-08-15,115.2286803239638
2021-08-22,100.11672224868987
2021-08-29,98.22772748928062
2021-09-05,90.67174845164365
2021-09-12,105.78370652691758
2021-09-19,107.67270128632683
2021-09-26,117.11767508337304
2021-10-03,117.11767508337304
2021-10-10,102.0057170080991
2021-10-17,117.11767508337304
2021-10-24,109.56169604573607
2021-10-31,85.00476417341592
2021-11-07,119.00666984278229
2021-11-14,115.2286803239638
2021-11-21,113.33968556455456
2021-11-28,111.45069080514531
2021-12-05,117.11767508337304
2021-12-12,115.2286803239638
2021-12-19,128.4516436398285
2021-12-26,109.56169604573607
2022-01-02,117.11767508337304
2022-01-09,117.11767508337304
2022-01-16,113.33968556455456
2022-01-23,134.11862791805623
2022-01-30,151.1195807527394
2022-02-06,134.11862791805623
2022-02-13,145.4525964745117
2022-02-20,139.78561219628395
2022-02-27,132.22963315864698
2022-03-06,134.11862791805623
2022-03-13,122.78465936160077
2022-03-20,124.67365412101002
2022-03-27,124.67365412101002
2022-04-03,137.89661743687472
2022-04-10,105.78370652691758
2022-04-17,130.34063839923775
2022-04-24,147.34159123392092
