,Business Operations
2014-12-28,63.0
2015-01-04,64.0
2015-01-11,55.0
2015-01-18,53.0
2015-01-25,52.0
2015-02-01,53.0
2015-02-08,52.0
2015-02-15,53.0
2015-02-22,54.0
2015-03-01,50.0
2015-03-08,61.0
2015-03-15,59.0
2015-03-22,53.0
2015-03-29,54.0
2015-04-05,54.0
2015-04-12,56.0
2015-04-19,59.0
2015-04-26,59.0
2015-05-03,52.0
2015-05-10,54.0
2015-05-17,52.0
2015-05-24,51.0
2015-05-31,52.0
2015-06-07,52.0
2015-06-14,53.0
2015-06-21,61.0
2015-06-28,67.0
2015-07-05,74.0
2015-07-12,70.0
2015-07-19,72.0
2015-07-26,71.0
2015-08-02,65.0
2015-08-09,61.0
2015-08-16,63.0
2015-08-23,59.0
2015-08-30,65.0
2015-09-06,61.0
2015-09-13,56.0
2015-09-20,60.0
2015-09-27,56.0
2015-10-04,64.0
2015-10-11,70.0
2015-10-18,52.0
2015-10-25,54.0
2015-11-01,56.0
2015-11-08,40.0
2015-11-15,59.0
2015-11-22,59.0
2015-11-29,63.0
2015-12-06,60.0
2015-12-13,61.0
2015-12-20,58.0
2015-12-27,57.0
2016-01-03,59.0
2016-01-10,55.0
2016-01-17,62.0
2016-01-24,56.0
2016-01-31,58.0
2016-02-07,57.0
2016-02-14,56.0
2016-02-21,53.0
2016-02-28,57.0
2016-03-06,53.0
2016-03-13,55.0
2016-03-20,46.0
2016-03-27,60.0
2016-04-03,59.0
2016-04-10,58.0
2016-04-17,64.0
2016-04-24,63.0
2016-05-01,66.0
2016-05-08,63.0
2016-05-15,63.0
2016-05-22,74.0
2016-05-29,61.0
2016-06-05,63.0
2016-06-12,100.0
2016-06-19,73.0
2016-06-26,71.0
2016-07-03,69.0
2016-07-10,66.0
2016-07-17,77.0
2016-07-24,78.0
2016-07-31,73.0
2016-08-07,75.0
2016-08-14,62.0
2016-08-21,67.0
2016-08-28,71.0
2016-09-04,69.0
2016-09-11,73.0
2016-09-18,69.0
2016-09-25,76.0
2016-10-02,71.0
2016-10-09,58.0
2016-10-16,77.0
2016-10-23,64.0
2016-10-30,65.0
2016-11-06,68.0
2016-11-13,63.0
2016-11-20,66.0
2016-11-27,66.0
2016-12-04,65.0
2016-12-11,67.0
2016-12-18,66.0
2016-12-25,60.0
2017-01-01,75.0
2017-01-08,61.0
2017-01-15,61.0
2017-01-22,58.0
2017-01-29,62.0
2017-02-05,66.0
2017-02-12,64.0
2017-02-19,67.0
2017-02-26,66.0
2017-03-05,61.0
2017-03-12,57.0
2017-03-19,58.0
2017-03-26,63.0
2017-04-02,62.0
2017-04-09,65.0
2017-04-16,67.0
2017-04-23,67.0
2017-04-30,66.0
2017-05-07,62.0
2017-05-14,73.0
2017-05-21,62.0
2017-05-28,61.0
2017-06-04,63.0
2017-06-11,62.0
2017-06-18,69.0
2017-06-25,71.0
2017-07-02,72.0
2017-07-09,69.0
2017-07-16,72.0
2017-07-23,71.0
2017-07-30,71.0
2017-08-06,68.0
2017-08-13,71.0
2017-08-20,68.0
2017-08-27,74.0
2017-09-03,75.0
2017-09-10,72.0
2017-09-17,73.0
2017-09-24,60.0
2017-10-01,73.0
2017-10-08,73.0
2017-10-15,46.0
2017-10-22,64.0
2017-10-29,70.0
2017-11-05,66.0
2017-11-12,68.0
2017-11-19,69.0
2017-11-26,70.0
2017-12-03,66.0
2017-12-10,65.0
2017-12-17,75.0
2017-12-24,74.0
2017-12-31,68.0
2018-01-07,65.0
2018-01-14,63.0
2018-01-21,65.0
2018-01-28,69.0
2018-02-04,74.0
2018-02-11,65.0
