,CAD & CAM
2014-12-28,54.0
2015-01-04,58.0
2015-01-11,53.0
2015-01-18,58.0
2015-01-25,52.0
2015-02-01,63.0
2015-02-08,64.0
2015-02-15,64.0
2015-02-22,66.0
2015-03-01,55.0
2015-03-08,63.0
2015-03-15,60.0
2015-03-22,67.0
2015-03-29,62.0
2015-04-05,62.0
2015-04-12,61.0
2015-04-19,58.0
2015-04-26,55.0
2015-05-03,59.0
2015-05-10,64.0
2015-05-17,60.0
2015-05-24,60.0
2015-05-31,57.0
2015-06-07,54.0
2015-06-14,62.0
2015-06-21,66.0
2015-06-28,79.0
2015-07-05,78.0
2015-07-12,74.0
2015-07-19,74.0
2015-07-26,80.0
2015-08-02,82.0
2015-08-09,80.0
2015-08-16,80.0
2015-08-23,69.0
2015-08-30,74.0
2015-09-06,81.0
2015-09-13,69.0
2015-09-20,71.0
2015-09-27,70.0
2015-10-04,76.0
2015-10-11,73.0
2015-10-18,57.0
2015-10-25,67.0
2015-11-01,65.0
2015-11-08,45.0
2015-11-15,63.0
2015-11-22,64.0
2015-11-29,64.0
2015-12-06,65.0
2015-12-13,67.0
2015-12-20,62.0
2015-12-27,57.0
2016-01-03,69.0
2016-01-10,60.0
2016-01-17,67.0
2016-01-24,63.0
2016-01-31,70.0
2016-02-07,73.0
2016-02-14,68.0
2016-02-21,70.0
2016-02-28,69.0
2016-03-06,73.0
2016-03-13,71.0
2016-03-20,61.0
2016-03-27,70.0
2016-04-03,69.0
2016-04-10,64.0
2016-04-17,66.0
2016-04-24,66.0
2016-05-01,73.0
2016-05-08,76.0
2016-05-15,62.0
2016-05-22,61.0
2016-05-29,71.0
2016-06-05,72.0
2016-06-12,74.0
2016-06-19,75.0
2016-06-26,75.0
2016-07-03,70.0
2016-07-10,79.0
2016-07-17,93.0
2016-07-24,91.0
2016-07-31,90.0
2016-08-07,80.0
2016-08-14,66.0
2016-08-21,83.0
2016-08-28,83.0
2016-09-04,69.0
2016-09-11,71.0
2016-09-18,90.0
2016-09-25,83.0
2016-10-02,77.0
2016-10-09,58.0
2016-10-16,77.0
2016-10-23,64.0
2016-10-30,62.0
2016-11-06,72.0
2016-11-13,71.0
2016-11-20,74.0
2016-11-27,75.0
2016-12-04,66.0
2016-12-11,75.0
2016-12-18,75.0
2016-12-25,70.0
2017-01-01,75.0
2017-01-08,69.0
2017-01-15,80.0
2017-01-22,71.0
2017-01-29,77.0
2017-02-05,81.0
2017-02-12,81.0
2017-02-19,78.0
2017-02-26,79.0
2017-03-05,81.0
2017-03-12,76.0
2017-03-19,88.0
2017-03-26,81.0
2017-04-02,82.0
2017-04-09,79.0
2017-04-16,84.0
2017-04-23,81.0
2017-04-30,75.0
2017-05-07,76.0
2017-05-14,72.0
2017-05-21,77.0
2017-05-28,74.0
2017-06-04,73.0
2017-06-11,81.0
2017-06-18,84.0
2017-06-25,80.0
2017-07-02,86.0
2017-07-09,87.0
2017-07-16,92.0
2017-07-23,91.0
2017-07-30,95.0
2017-08-06,80.0
2017-08-13,82.0
2017-08-20,83.0
2017-08-27,82.0
2017-09-03,84.0
2017-09-10,88.0
2017-09-17,85.0
2017-09-24,68.0
2017-10-01,93.0
2017-10-08,86.0
2017-10-15,52.0
2017-10-22,86.0
2017-10-29,88.0
2017-11-05,88.0
2017-11-12,84.0
2017-11-19,82.0
2017-11-26,88.0
2017-12-03,85.0
2017-12-10,80.0
2017-12-17,84.0
2017-12-24,77.0
2017-12-31,76.0
2018-01-07,87.0
2018-01-14,78.0
2018-01-21,78.0
2018-01-28,85.0
2018-02-04,86.0
2018-02-11,85.0
2018-02-18,86.0
2018-02-25,75.0
2018-03-04,79.0
2018-03-11,86.0
2018-03-18,90.0
2018-03-25,91.0
2018-04-01,88.0
2018-04-08,85.0
2018-04-15,84.0
2018-04-22,86.0
2018-04-29,77.0
2018-05-06,80.0
2018-05-13,79.0
2018-05-20,88.0
2018-05-27,84.0
2018-06-03,82.0
2018-06-10,82.0
2018-06-17,82.0
2018-06-24,87.0
2018-07-01,91.0
2018-07-08,88.0
2018-07-15,100.0
2018-07-22,93.0
2018-07-29,100.0
2018-08-05,98.0
2018-08-12,86.0
2018-08-19,89.0
2018-08-26,97.0
2018-09-02,97.0
2018-09-09,88.0
2018-09-16,96.0
2018-09-23,98.0
2018-09-30,91.0
2018-10-07,99.0
2018-10-14,75.0
