,Car Electronics
2014-12-28,36.0
2015-01-04,32.0
2015-01-11,31.0
2015-01-18,31.0
2015-01-25,30.0
2015-02-01,31.0
2015-02-08,30.0
2015-02-15,32.0
2015-02-22,30.0
2015-03-01,27.0
2015-03-08,31.0
2015-03-15,33.0
2015-03-22,34.0
2015-03-29,32.0
2015-04-05,32.0
2015-04-12,30.0
2015-04-19,30.0
2015-04-26,31.0
2015-05-03,31.0
2015-05-10,31.0
2015-05-17,31.0
2015-05-24,31.0
2015-05-31,32.0
2015-06-07,31.0
2015-06-14,31.0
2015-06-21,34.0
2015-06-28,38.0
2015-07-05,39.0
2015-07-12,40.0
2015-07-19,38.0
2015-07-26,40.0
2015-08-02,39.0
2015-08-09,40.0
2015-08-16,39.0
2015-08-23,36.0
2015-08-30,39.0
2015-09-06,39.0
2015-09-13,35.0
2015-09-20,36.0
2015-09-27,35.0
2015-10-04,37.0
2015-10-11,40.0
2015-10-18,34.0
2015-10-25,36.0
2015-11-01,36.0
2015-11-08,31.0
2015-11-15,33.0
2015-11-22,32.0
2015-11-29,31.0
2015-12-06,33.0
2015-12-13,35.0
2015-12-20,37.0
2015-12-27,35.0
2016-01-03,32.0
2016-01-10,30.0
2016-01-17,32.0
2016-01-24,31.0
2016-01-31,49.0
2016-02-07,37.0
2016-02-14,35.0
2016-02-21,33.0
2016-02-28,35.0
2016-03-06,34.0
2016-03-13,33.0
2016-03-20,31.0
2016-03-27,35.0
2016-04-03,33.0
2016-04-10,35.0
2016-04-17,36.0
2016-04-24,37.0
2016-05-01,38.0
2016-05-08,37.0
2016-05-15,39.0
2016-05-22,40.0
2016-05-29,43.0
2016-06-05,43.0
2016-06-12,45.0
2016-06-19,44.0
2016-06-26,46.0
2016-07-03,48.0
2016-07-10,51.0
2016-07-17,54.0
2016-07-24,53.0
2016-07-31,60.0
2016-08-07,56.0
2016-08-14,51.0
2016-08-21,52.0
2016-08-28,50.0
2016-09-04,56.0
2016-09-11,54.0
2016-09-18,53.0
2016-09-25,50.0
2016-10-02,54.0
2016-10-09,50.0
2016-10-16,57.0
2016-10-23,52.0
2016-10-30,50.0
2016-11-06,56.0
2016-11-13,55.0
2016-11-20,55.0
2016-11-27,51.0
