,Computer Hardware
2014-12-28,53.0
2015-01-04,54.0
2015-01-11,49.0
2015-01-18,54.0
2015-01-25,51.0
2015-02-01,53.0
2015-02-08,51.0
2015-02-15,54.0
2015-02-22,52.0
2015-03-01,53.0
2015-03-08,57.0
2015-03-15,54.0
2015-03-22,59.0
2015-03-29,59.0
2015-04-05,59.0
2015-04-12,56.0
2015-04-19,57.0
2015-04-26,57.0
2015-05-03,60.0
2015-05-10,59.0
2015-05-17,59.0
2015-05-24,55.0
2015-05-31,55.0
2015-06-07,54.0
2015-06-14,61.0
2015-06-21,72.0
2015-06-28,77.0
2015-07-05,73.0
2015-07-12,79.0
2015-07-19,76.0
2015-07-26,76.0
2015-08-02,77.0
2015-08-09,82.0
2015-08-16,77.0
2015-08-23,74.0
2015-08-30,74.0
2015-09-06,75.0
2015-09-13,66.0
2015-09-20,72.0
2015-09-27,66.0
2015-10-04,69.0
2015-10-11,79.0
2015-10-18,62.0
2015-10-25,69.0
2015-11-01,70.0
2015-11-08,59.0
2015-11-15,64.0
2015-11-22,60.0
2015-11-29,58.0
2015-12-06,59.0
2015-12-13,65.0
2015-12-20,71.0
2015-12-27,67.0
2016-01-03,65.0
2016-01-10,63.0
2016-01-17,62.0
2016-01-24,61.0
2016-01-31,63.0
2016-02-07,63.0
2016-02-14,68.0
2016-02-21,66.0
2016-02-28,63.0
2016-03-06,63.0
2016-03-13,64.0
2016-03-20,59.0
2016-03-27,62.0
2016-04-03,62.0
2016-04-10,63.0
2016-04-17,60.0
2016-04-24,58.0
2016-05-01,66.0
2016-05-08,64.0
2016-05-15,66.0
2016-05-22,63.0
2016-05-29,67.0
2016-06-05,68.0
2016-06-12,68.0
2016-06-19,72.0
2016-06-26,71.0
2016-07-03,75.0
2016-07-10,66.0
2016-07-17,75.0
2016-07-24,76.0
2016-07-31,83.0
2016-08-07,79.0
2016-08-14,73.0
2016-08-21,71.0
2016-08-28,75.0
2016-09-04,78.0
2016-09-11,78.0
2016-09-18,79.0
2016-09-25,80.0
2016-10-02,82.0
2016-10-09,75.0
2016-10-16,78.0
2016-10-23,76.0
2016-10-30,64.0
2016-11-06,63.0
2016-11-13,59.0
2016-11-20,61.0
2016-11-27,67.0
2016-12-04,65.0
2016-12-11,70.0
2016-12-18,74.0
2016-12-25,78.0
2017-01-01,74.0
2017-01-08,71.0
2017-01-15,68.0
2017-01-22,69.0
2017-01-29,67.0
2017-02-05,70.0
2017-02-12,66.0
2017-02-19,66.0
2017-02-26,65.0
2017-03-05,61.0
2017-03-12,59.0
2017-03-19,70.0
2017-03-26,69.0
2017-04-02,66.0
2017-04-09,69.0
2017-04-16,71.0
2017-04-23,69.0
2017-04-30,63.0
2017-05-07,69.0
2017-05-14,69.0
2017-05-21,71.0
2017-05-28,68.0
2017-06-04,67.0
2017-06-11,75.0
2017-06-18,78.0
2017-06-25,76.0
2017-07-02,78.0
2017-07-09,76.0
2017-07-16,79.0
2017-07-23,76.0
2017-07-30,77.0
2017-08-06,79.0
2017-08-13,81.0
2017-08-20,83.0
2017-08-27,75.0
2017-09-03,73.0
2017-09-10,75.0
2017-09-17,81.0
2017-09-24,71.0
2017-10-01,74.0
2017-10-08,79.0
2017-10-15,68.0
2017-10-22,69.0
2017-10-29,71.0
2017-11-05,67.0
2017-11-12,68.0
2017-11-19,70.0
2017-11-26,69.0
2017-12-03,69.0
2017-12-10,70.0
2017-12-17,75.0
2017-12-24,74.0
2017-12-31,71.0
2018-01-07,71.0
2018-01-14,68.0
2018-01-21,68.0
2018-01-28,70.0
2018-02-04,70.0
2018-02-11,71.0
2018-02-18,67.0
2018-02-25,69.0
2018-03-04,69.0
2018-03-11,76.0
2018-03-18,80.0
2018-03-25,76.0
2018-04-01,72.0
2018-04-08,72.0
2018-04-15,72.0
2018-04-22,75.0
2018-04-29,75.0
2018-05-06,77.0
2018-05-13,75.0
2018-05-20,83.0
2018-05-27,87.0
2018-06-03,84.0
2018-06-10,82.0
2018-06-17,78.0
2018-06-24,85.0
2018-07-01,83.0
2018-07-08,87.0
2018-07-15,89.0
2018-07-22,86.0
2018-07-29,87.0
2018-08-05,88.0
2018-08-12,86.0
2018-08-19,84.0
2018-08-26,84.0
2018-09-02,89.0
2018-09-09,91.0
2018-09-16,91.0
2018-09-23,89.0
2018-09-30,88.0
2018-10-07,99.0
2018-10-14,94.0
2018-10-21,100.0
2018-10-28,100.0
2018-11-04,79.0
2018-11-11,89.0
2018-11-18,89.0
2018-11-25,85.0
2018-12-02,86.0
2018-12-09,89.0
2018-12-16,93.0
2018-12-23,99.0
2018-12-30,95.0
2019-01-06,90.0
2019-01-13,82.0
2019-01-20,90.0
2019-01-27,91.0
2019-02-03,88.0
2019-02-10,88.0
2019-02-17,94.0
2019-02-24,85.0
2019-03-03,87.0
2019-03-10,90.0
2019-03-17,88.0
2019-03-24,92.0
2019-03-31,91.0
2019-04-07,83.0
2019-04-14,80.0
2019-04-21,85.0
2019-04-28,80.0
2019-05-05,84.0
2019-05-12,86.0
2019-05-19,84.0
2019-05-26,91.0
2019-06-02,91.0
2019-06-09,96.0
2019-06-16,88.0
2019-06-23,90.0
2019-06-30,85.0
2019-07-07,86.0
2019-07-14,93.0
2019-07-21,94.0
2019-07-28,93.0
2019-08-04,90.0
2019-08-11,85.0
2019-08-18,92.0
2019-08-25,92.0
2019-09-01,83.0
2019-09-08,86.0
2019-09-15,85.0
2019-09-22,93.0
2019-09-29,93.0
2019-10-06,83.0
2019-10-13,87.0
2019-10-20,83.0
2019-10-27,75.0
2019-11-03,84.0
2019-11-10,81.0
2019-11-17,83.0
2019-11-24,78.0
2019-12-01,80.0
2019-12-08,78.0
2019-12-15,84.0
2019-12-22,93.0
2019-12-29,100.0
2020-01-05,84.3968642822146
2020-01-12,79.95492405683488
2020-01-19,86.61783439490445
2020-01-26,82.17589416952474
2020-02-02,82.17589416952474
2020-02-09,84.3968642822146
2020-02-16,82.17589416952474
2020-02-23,75.51298383145516
2020-03-01,77.73395394414503
2020-03-08,71.07104360607545
2020-03-15,86.61783439490445
2020-03-22,64.40813326800587
2020-03-29,64.40813326800587
2020-04-05,62.187163155316014
2020-04-12,64.40813326800587
2020-04-19,64.40813326800587
2020-04-26,66.62910338069574
2020-05-03,71.07104360607545
2020-05-10,73.2920137187653
2020-05-17,88.83880450759432
2020-05-24,95.50171484566388
2020-05-31,95.50171484566388
2020-06-07,99.9436550710436
2020-06-14,97.72268495835374
2020-06-21,102.16462518373346
2020-06-28,99.9436550710436
2020-07-05,99.9436550710436
2020-07-12,102.16462518373346
2020-07-19,106.60656540911317
2020-07-26,104.38559529642332
2020-08-02,104.38559529642332
2020-08-09,106.60656540911317
2020-08-16,108.82753552180303
2020-08-23,104.38559529642332
2020-08-30,99.9436550710436
2020-09-06,104.38559529642332
2020-09-13,102.16462518373346
2020-09-20,97.72268495835374
2020-09-27,95.50171484566388
2020-10-04,93.28074473297403
2020-10-11,97.72268495835374
2020-10-18,99.9436550710436
2020-10-25,91.05977462028417
2020-11-01,82.17589416952474
2020-11-08,82.17589416952474
2020-11-15,84.3968642822146
2020-11-22,79.95492405683488
2020-11-29,84.3968642822146
2020-12-06,82.17589416952474
2020-12-13,84.3968642822146
2020-12-20,93.28074473297403
2020-12-27,91.05977462028417
2021-01-03,95.50171484566388
2021-01-10,84.3968642822146
2021-01-17,91.05977462028417
2021-01-24,84.3968642822146
2021-01-31,86.61783439490445
2021-02-07,84.3968642822146
2021-02-14,84.3968642822146
2021-02-21,84.3968642822146
2021-02-28,84.3968642822146
2021-03-07,84.3968642822146
2021-03-14,88.83880450759432
2021-03-21,84.3968642822146
2021-03-28,84.3968642822146
2021-04-04,91.05977462028417
2021-04-11,79.95492405683488
2021-04-18,82.17589416952474
2021-04-25,82.17589416952474
2021-05-02,82.17589416952474
2021-05-09,86.61783439490445
2021-05-16,88.83880450759432
2021-05-23,91.05977462028417
2021-05-30,95.50171484566388
2021-06-06,99.9436550710436
2021-06-13,97.72268495835374
2021-06-20,95.50171484566388
2021-06-27,97.72268495835374
2021-07-04,99.9436550710436
2021-07-11,95.50171484566388
2021-07-18,102.16462518373346
2021-07-25,99.9436550710436
2021-08-01,95.50171484566388
2021-08-08,97.72268495835374
2021-08-15,88.83880450759432
2021-08-22,91.05977462028417
2021-08-29,88.83880450759432
2021-09-05,86.61783439490445
2021-09-12,88.83880450759432
2021-09-19,86.61783439490445
2021-09-26,88.83880450759432
2021-10-03,91.05977462028417
2021-10-10,77.73395394414503
2021-10-17,84.3968642822146
2021-10-24,82.17589416952474
2021-10-31,68.8500734933856
2021-11-07,77.73395394414503
2021-11-14,79.95492405683488
2021-11-21,77.73395394414503
2021-11-28,79.95492405683488
2021-12-05,84.3968642822146
2021-12-12,86.61783439490445
2021-12-19,93.28074473297403
2021-12-26,91.05977462028417
2022-01-02,97.72268495835374
2022-01-09,99.9436550710436
2022-01-16,102.16462518373346
2022-01-23,102.16462518373346
2022-01-30,95.50171484566388
2022-02-06,97.72268495835374
2022-02-13,95.50171484566388
2022-02-20,99.9436550710436
2022-02-27,91.05977462028417
2022-03-06,95.50171484566388
2022-03-13,88.83880450759432
2022-03-20,95.50171484566388
2022-03-27,97.72268495835374
2022-04-03,93.28074473297403
2022-04-10,97.72268495835374
2022-04-17,93.28074473297403
2022-04-24,99.9436550710436
2022-05-01,97.72268495835374
2022-05-08,97.72268495835374
2022-05-15,97.72268495835374
2022-05-22,95.50171484566388
2022-05-29,95.50171484566388
2022-06-05,108.82753552180303
2022-06-12,104.38559529642332
2022-06-19,106.60656540911317
2022-06-26,99.9436550710436
2022-07-03,102.16462518373346
2022-07-10,106.60656540911317
2022-07-17,106.60656540911317
2022-07-24,111.04850563449288
2022-07-31,104.38559529642332
2022-08-07,106.60656540911317
2022-08-14,97.72268495835374
2022-08-21,102.16462518373346
2022-08-28,97.72268495835374
2022-09-04,99.9436550710436
2022-09-11,108.82753552180303
2022-09-18,117.71141597256246
2022-09-25,115.49044585987261
2022-10-02,99.9436550710436
2022-10-09,106.60656540911317
2022-10-16,102.16462518373346
2022-10-23,93.28074473297403
2022-10-30,102.16462518373346
2022-11-06,97.72268495835374
2022-11-13,104.38559529642332
2022-11-20,97.72268495835374
2022-11-27,95.50171484566388
2022-12-04,102.16462518373346
2022-12-11,111.04850563449288
2022-12-18,119.93238608525232
2022-12-25,133.25820676139148
2023-01-01,144.36305732484075
2023-01-08,148.80499755022046
2023-01-15,144.36305732484075
2023-01-22,142.1420872121509
2023-01-29,146.5840274375306
2023-02-05,159.90984811366977
2023-02-12,153.24693777560017
2023-02-19,151.02596766291032
2023-02-26,155.46790788829006
2023-03-05,157.6888780009799
2023-03-12,168.7937285644292
2023-03-19,162.13081822635962
2023-03-26,164.35178833904948
2023-04-02,168.7937285644292
2023-04-09,162.13081822635962
