,Computer Servers
2014-12-28,67.0
2015-01-04,63.0
2015-01-11,66.0
2015-01-18,71.0
2015-01-25,59.0
2015-02-01,61.0
2015-02-08,60.0
2015-02-15,61.0
2015-02-22,61.0
2015-03-01,58.0
2015-03-08,58.0
2015-03-15,61.0
2015-03-22,61.0
2015-03-29,69.0
2015-04-05,65.0
2015-04-12,66.0
2015-04-19,72.0
2015-04-26,78.0
2015-05-03,78.0
2015-05-10,76.0
2015-05-17,75.0
2015-05-24,78.0
2015-05-31,74.0
2015-06-07,68.0
2015-06-14,65.0
2015-06-21,70.0
2015-06-28,81.0
2015-07-05,84.0
2015-07-12,91.0
2015-07-19,83.0
2015-07-26,83.0
2015-08-02,81.0
2015-08-09,82.0
2015-08-16,81.0
2015-08-23,82.0
2015-08-30,81.0
2015-09-06,77.0
2015-09-13,75.0
2015-09-20,77.0
2015-09-27,76.0
2015-10-04,75.0
2015-10-11,80.0
2015-10-18,80.0
2015-10-25,81.0
2015-11-01,81.0
2015-11-08,65.0
2015-11-15,75.0
2015-11-22,72.0
2015-11-29,73.0
2015-12-06,76.0
2015-12-13,76.0
2015-12-20,100.0
2015-12-27,81.0
2016-01-03,73.0
2016-01-10,70.0
2016-01-17,69.0
2016-01-24,62.0
2016-01-31,68.0
2016-02-07,73.0
2016-02-14,69.0
2016-02-21,69.0
2016-02-28,68.0
2016-03-06,67.0
2016-03-13,71.0
2016-03-20,77.0
2016-03-27,73.0
2016-04-03,74.0
2016-04-10,73.0
2016-04-17,75.0
2016-04-24,86.0
2016-05-01,79.0
2016-05-08,82.0
2016-05-15,76.0
2016-05-22,81.0
2016-05-29,79.0
2016-06-05,80.0
2016-06-12,71.0
2016-06-19,73.0
2016-06-26,75.0
2016-07-03,81.0
2016-07-10,73.0
2016-07-17,76.0
2016-07-24,76.0
2016-07-31,78.0
2016-08-07,93.0
2016-08-14,77.0
2016-08-21,80.0
2016-08-28,86.0
2016-09-04,73.0
2016-09-11,71.0
2016-09-18,75.0
2016-09-25,76.0
2016-10-02,82.0
2016-10-09,76.0
2016-10-16,80.0
2016-10-23,89.0
2016-10-30,71.0
2016-11-06,72.0
2016-11-13,66.0
2016-11-20,70.0
2016-11-27,74.0
2016-12-04,77.0
2016-12-11,77.0
2016-12-18,87.0
2016-12-25,86.0
2017-01-01,79.0
2017-01-08,79.0
2017-01-15,74.0
2017-01-22,70.0
2017-01-29,74.0
2017-02-05,75.0
2017-02-12,75.0
2017-02-19,75.0
2017-02-26,72.0
2017-03-05,75.0
2017-03-12,68.0
2017-03-19,76.0
2017-03-26,73.0
2017-04-02,75.0
2017-04-09,91.0
2017-04-16,81.0
2017-04-23,89.0
2017-04-30,88.0
2017-05-07,89.0
2017-05-14,93.0
2017-05-21,96.0
2017-05-28,92.0
2017-06-04,83.0
2017-06-11,81.0
2017-06-18,87.0
2017-06-25,78.0
2017-07-02,81.0
2017-07-09,74.0
2017-07-16,79.0
2017-07-23,77.0
2017-07-30,81.0
2017-08-06,90.0
2017-08-13,81.0
2017-08-20,81.0
2017-08-27,79.0
2017-09-03,82.0
2017-09-10,79.0
2017-09-17,82.0
2017-09-24,93.0
2017-10-01,88.0
2017-10-08,93.0
2017-10-15,77.0
2017-10-22,82.0
2017-10-29,73.0
2017-11-05,74.0
2017-11-12,70.0
2017-11-19,79.0
2017-11-26,76.0
2017-12-03,80.0
2017-12-10,77.0
2017-12-17,99.0
2017-12-24,90.0
2017-12-31,80.0
2018-01-07,90.0
2018-01-14,79.0
2018-01-21,79.0
2018-01-28,73.0
2018-02-04,72.0
2018-02-11,75.0
2018-02-18,73.0
2018-02-25,78.0
2018-03-04,72.0
2018-03-11,73.0
2018-03-18,73.0
2018-03-25,84.0
2018-04-01,77.0
2018-04-08,80.0
2018-04-15,82.0
2018-04-22,94.0
2018-04-29,90.0
2018-05-06,89.0
2018-05-13,93.0
2018-05-20,87.0
2018-05-27,86.0
2018-06-03,80.0
2018-06-10,86.0
2018-06-17,81.0
