,Corporate Events
2014-12-28,34.0
2015-01-04,41.0
2015-01-11,36.0
2015-01-18,36.0
2015-01-25,34.0
2015-02-01,38.0
2015-02-08,37.0
2015-02-15,38.0
2015-02-22,35.0
2015-03-01,33.0
2015-03-08,35.0
2015-03-15,34.0
2015-03-22,34.0
2015-03-29,36.0
2015-04-05,37.0
2015-04-12,39.0
2015-04-19,35.0
2015-04-26,32.0
2015-05-03,34.0
2015-05-10,35.0
2015-05-17,40.0
2015-05-24,35.0
2015-05-31,34.0
2015-06-07,33.0
2015-06-14,34.0
2015-06-21,39.0
2015-06-28,42.0
2015-07-05,44.0
2015-07-12,47.0
2015-07-19,48.0
2015-07-26,47.0
2015-08-02,48.0
2015-08-09,51.0
2015-08-16,51.0
2015-08-23,41.0
2015-08-30,47.0
2015-09-06,54.0
2015-09-13,44.0
2015-09-20,45.0
2015-09-27,42.0
2015-10-04,47.0
2015-10-11,44.0
2015-10-18,44.0
2015-10-25,44.0
2015-11-01,42.0
2015-11-08,36.0
2015-11-15,53.0
2015-11-22,60.0
2015-11-29,43.0
2015-12-06,39.0
2015-12-13,43.0
2015-12-20,39.0
2015-12-27,38.0
2016-01-03,43.0
2016-01-10,46.0
2016-01-17,41.0
2016-01-24,39.0
2016-01-31,45.0
2016-02-07,42.0
2016-02-14,42.0
2016-02-21,41.0
2016-02-28,43.0
2016-03-06,39.0
2016-03-13,41.0
2016-03-20,33.0
2016-03-27,38.0
2016-04-03,40.0
2016-04-10,37.0
2016-04-17,45.0
2016-04-24,38.0
2016-05-01,43.0
2016-05-08,40.0
2016-05-15,38.0
2016-05-22,40.0
2016-05-29,39.0
2016-06-05,39.0
2016-06-12,39.0
2016-06-19,42.0
2016-06-26,44.0
2016-07-03,43.0
2016-07-10,46.0
2016-07-17,45.0
2016-07-24,46.0
2016-07-31,46.0
2016-08-07,46.0
2016-08-14,50.0
2016-08-21,45.0
2016-08-28,48.0
2016-09-04,43.0
2016-09-11,45.0
2016-09-18,49.0
2016-09-25,48.0
2016-10-02,48.0
2016-10-09,44.0
2016-10-16,52.0
2016-10-23,41.0
2016-10-30,45.0
2016-11-06,44.0
2016-11-13,58.0
2016-11-20,66.0
2016-11-27,48.0
2016-12-04,46.0
2016-12-11,44.0
2016-12-18,48.0
2016-12-25,46.0
2017-01-01,49.0
2017-01-08,51.0
2017-01-15,45.0
2017-01-22,43.0
2017-01-29,45.0
2017-02-05,43.0
2017-02-12,46.0
2017-02-19,46.0
2017-02-26,48.0
2017-03-05,42.0
2017-03-12,41.0
2017-03-19,46.0
2017-03-26,44.0
2017-04-02,43.0
2017-04-09,44.0
2017-04-16,44.0
2017-04-23,43.0
2017-04-30,41.0
2017-05-07,42.0
2017-05-14,41.0
2017-05-21,44.0
2017-05-28,44.0
2017-06-04,43.0
2017-06-11,45.0
2017-06-18,50.0
2017-06-25,47.0
2017-07-02,50.0
2017-07-09,47.0
2017-07-16,51.0
2017-07-23,50.0
2017-07-30,51.0
2017-08-06,50.0
2017-08-13,47.0
2017-08-20,48.0
2017-08-27,46.0
2017-09-03,46.0
2017-09-10,51.0
2017-09-17,48.0
2017-09-24,43.0
2017-10-01,42.0
2017-10-08,47.0
2017-10-15,36.0
2017-10-22,48.0
2017-10-29,50.0
2017-11-05,57.0
2017-11-12,78.0
2017-11-19,85.0
2017-11-26,61.0
2017-12-03,49.0
2017-12-10,50.0
2017-12-17,48.0
2017-12-24,48.0
2017-12-31,45.0
2018-01-07,52.0
2018-01-14,49.0
2018-01-21,50.0
2018-01-28,52.0
2018-02-04,54.0
2018-02-11,50.0
2018-02-18,53.0
2018-02-25,45.0
2018-03-04,47.0
2018-03-11,49.0
2018-03-18,48.0
2018-03-25,48.0
2018-04-01,49.0
2018-04-08,51.0
2018-04-15,48.0
2018-04-22,45.0
2018-04-29,50.0
2018-05-06,48.0
2018-05-13,50.0
2018-05-20,52.0
2018-05-27,52.0
2018-06-03,56.0
2018-06-10,50.0
2018-06-17,50.0
2018-06-24,52.0
2018-07-01,56.0
2018-07-08,51.0
2018-07-15,61.0
2018-07-22,63.0
2018-07-29,70.0
2018-08-05,73.0
2018-08-12,65.0
2018-08-19,63.0
2018-08-26,71.0
2018-09-02,77.0
2018-09-09,69.0
2018-09-16,77.0
2018-09-23,79.0
2018-09-30,74.0
2018-10-07,80.0
2018-10-14,66.0
2018-10-21,77.0
2018-10-28,82.0
2018-11-04,54.0
2018-11-11,84.0
2018-11-18,100.0
2018-11-25,84.0
2018-12-02,74.0
2018-12-09,75.0
2018-12-16,70.0
2018-12-23,69.0
2018-12-30,69.0
2019-01-06,75.0
2019-01-13,67.0
2019-01-20,67.0
2019-01-27,73.0
2019-02-03,67.0
2019-02-10,66.0
2019-02-17,69.0
2019-02-24,65.0
2019-03-03,62.0
2019-03-10,67.0
2019-03-17,58.0
2019-03-24,62.0
2019-03-31,59.0
2019-04-07,55.0
2019-04-14,50.0
2019-04-21,53.0
2019-04-28,50.0
2019-05-05,56.0
2019-05-12,56.0
2019-05-19,62.0
2019-05-26,65.0
2019-06-02,59.0
2019-06-09,60.0
2019-06-16,61.0
2019-06-23,62.0
2019-06-30,59.0
2019-07-07,65.0
2019-07-14,68.0
2019-07-21,67.0
2019-07-28,68.0
2019-08-04,63.0
