,Credit & Lending
2014-12-28,39.0
2015-01-04,36.0
2015-01-11,31.0
2015-01-18,34.0
2015-01-25,33.0
2015-02-01,36.0
2015-02-08,34.0
2015-02-15,32.0
2015-02-22,33.0
2015-03-01,37.0
2015-03-08,35.0
2015-03-15,34.0
2015-03-22,33.0
2015-03-29,36.0
2015-04-05,38.0
2015-04-12,34.0
2015-04-19,32.0
2015-04-26,35.0
2015-05-03,36.0
2015-05-10,33.0
2015-05-17,35.0
2015-05-24,36.0
2015-05-31,37.0
2015-06-07,35.0
2015-06-14,33.0
2015-06-21,37.0
2015-06-28,45.0
2015-07-05,44.0
2015-07-12,42.0
2015-07-19,42.0
2015-07-26,45.0
2015-08-02,46.0
2015-08-09,43.0
2015-08-16,43.0
2015-08-23,40.0
2015-08-30,45.0
2015-09-06,44.0
2015-09-13,39.0
2015-09-20,43.0
2015-09-27,48.0
2015-10-04,47.0
2015-10-11,45.0
2015-10-18,37.0
2015-10-25,44.0
2015-11-01,44.0
2015-11-08,32.0
2015-11-15,37.0
2015-11-22,40.0
2015-11-29,42.0
2015-12-06,39.0
2015-12-13,41.0
2015-12-20,41.0
2015-12-27,43.0
2016-01-03,38.0
2016-01-10,32.0
2016-01-17,34.0
2016-01-24,34.0
2016-01-31,37.0
2016-02-07,36.0
2016-02-14,34.0
2016-02-21,34.0
2016-02-28,38.0
2016-03-06,35.0
2016-03-13,36.0
2016-03-20,31.0
2016-03-27,37.0
2016-04-03,36.0
2016-04-10,34.0
2016-04-17,33.0
2016-04-24,35.0
2016-05-01,39.0
2016-05-08,35.0
2016-05-15,33.0
2016-05-22,38.0
2016-05-29,40.0
2016-06-05,39.0
2016-06-12,37.0
2016-06-19,38.0
2016-06-26,41.0
2016-07-03,41.0
2016-07-10,40.0
2016-07-17,40.0
2016-07-24,44.0
2016-07-31,47.0
2016-08-07,43.0
2016-08-14,39.0
2016-08-21,43.0
2016-08-28,46.0
2016-09-04,42.0
2016-09-11,40.0
2016-09-18,42.0
2016-09-25,45.0
2016-10-02,51.0
2016-10-09,39.0
2016-10-16,45.0
2016-10-23,42.0
2016-10-30,41.0
2016-11-06,43.0
2016-11-13,44.0
2016-11-20,45.0
2016-11-27,49.0
2016-12-04,49.0
2016-12-11,47.0
2016-12-18,52.0
2016-12-25,51.0
2017-01-01,63.0
2017-01-08,49.0
2017-01-15,48.0
2017-01-22,45.0
2017-01-29,53.0
2017-02-05,48.0
2017-02-12,47.0
2017-02-19,42.0
2017-02-26,46.0
2017-03-05,46.0
2017-03-12,44.0
2017-03-19,47.0
2017-03-26,50.0
2017-04-02,51.0
2017-04-09,46.0
2017-04-16,45.0
2017-04-23,48.0
2017-04-30,48.0
2017-05-07,48.0
2017-05-14,44.0
2017-05-21,50.0
2017-05-28,49.0
2017-06-04,52.0
2017-06-11,49.0
2017-06-18,52.0
2017-06-25,52.0
2017-07-02,55.0
2017-07-09,57.0
2017-07-16,55.0
2017-07-23,54.0
2017-07-30,59.0
2017-08-06,54.0
2017-08-13,50.0
2017-08-20,53.0
2017-08-27,56.0
2017-09-03,56.0
2017-09-10,55.0
2017-09-17,57.0
2017-09-24,54.0
2017-10-01,58.0
2017-10-08,57.0
2017-10-15,45.0
2017-10-22,60.0
2017-10-29,60.0
2017-11-05,56.0
2017-11-12,54.0
2017-11-19,51.0
2017-11-26,54.0
2017-12-03,59.0
2017-12-10,56.0
2017-12-17,57.0
2017-12-24,59.0
2017-12-31,59.0
2018-01-07,58.0
2018-01-14,53.0
2018-01-21,52.0
2018-01-28,61.0
2018-02-04,58.0
2018-02-11,55.0
2018-02-18,54.0
2018-02-25,56.0
2018-03-04,60.0
2018-03-11,58.0
2018-03-18,60.0
2018-03-25,62.0
2018-04-01,58.0
2018-04-08,55.0
2018-04-15,53.0
2018-04-22,56.0
2018-04-29,58.0
2018-05-06,54.0
2018-05-13,56.0
2018-05-20,55.0
2018-05-27,64.0
2018-06-03,62.0
2018-06-10,59.0
2018-06-17,58.0
2018-06-24,60.0
2018-07-01,65.0
2018-07-08,61.0
2018-07-15,62.0
2018-07-22,62.0
2018-07-29,70.0
2018-08-05,69.0
2018-08-12,60.0
2018-08-19,63.0
2018-08-26,70.0
2018-09-02,71.0
2018-09-09,64.0
2018-09-16,65.0
2018-09-23,66.0
2018-09-30,71.0
2018-10-07,73.0
2018-10-14,63.0
2018-10-21,67.0
2018-10-28,73.0
2018-11-04,56.0
2018-11-11,65.0
2018-11-18,63.0
2018-11-25,67.0
2018-12-02,71.0
2018-12-09,68.0
2018-12-16,68.0
2018-12-23,70.0
2018-12-30,74.0
2019-01-06,69.0
2019-01-13,60.0
2019-01-20,62.0
2019-01-27,71.0
2019-02-03,68.0
2019-02-10,63.0
2019-02-17,65.0
2019-02-24,65.0
2019-03-03,68.0
2019-03-10,64.0
2019-03-17,63.0
2019-03-24,64.0
2019-03-31,65.0
2019-04-07,60.0
2019-04-14,57.0
2019-04-21,58.0
2019-04-28,63.0
2019-05-05,61.0
2019-05-12,63.0
2019-05-19,64.0
2019-05-26,77.0
2019-06-02,71.0
2019-06-09,67.0
2019-06-16,68.0
2019-06-23,73.0
2019-06-30,70.0
2019-07-07,70.0
2019-07-14,72.0
2019-07-21,71.0
2019-07-28,78.0
2019-08-04,72.0
2019-08-11,62.0
2019-08-18,73.0
2019-08-25,82.0
2019-09-01,100.0
2019-09-08,84.0
2019-09-15,88.0
2019-09-22,78.0
2019-09-29,80.0
2019-10-06,69.0
2019-10-13,72.0
2019-10-20,63.0
2019-10-27,60.0
2019-11-03,68.0
2019-11-10,67.0
2019-11-17,66.0
2019-11-24,66.0
2019-12-01,71.0
2019-12-08,66.0
2019-12-15,66.0
2019-12-22,69.0
2019-12-29,73.0
2020-01-05,71.0
2020-01-12,62.0
2020-01-19,66.0
2020-01-26,64.0
2020-02-02,64.0
2020-02-09,66.0
2020-02-16,63.0
2020-02-23,63.0
2020-03-01,75.0
2020-03-08,64.0
2020-03-15,65.0
2020-03-22,43.0
2020-03-29,53.0
2020-04-05,45.0
2020-04-12,38.0
2020-04-19,36.0
2020-04-26,41.0
2020-05-03,47.0
2020-05-10,47.0
2020-05-17,50.0
2020-05-24,53.0
2020-05-31,64.0
2020-06-07,58.0
2020-06-14,53.0
2020-06-21,60.0
2020-06-28,67.0
2020-07-05,63.0
2020-07-12,61.0
2020-07-19,65.0
2020-07-26,68.0
2020-08-02,68.0
2020-08-09,67.0
2020-08-16,65.0
2020-08-23,65.0
2020-08-30,70.0
2020-09-06,73.0
2020-09-13,68.0
2020-09-20,66.0
2020-09-27,70.0
2020-10-04,69.0
2020-10-11,75.0
2020-10-18,69.0
2020-10-25,67.0
2020-11-01,69.0
2020-11-08,61.0
2020-11-15,59.0
2020-11-22,59.0
2020-11-29,66.0
2020-12-06,65.0
2020-12-13,64.0
2020-12-20,69.0
2020-12-27,67.0
2021-01-03,73.0
2021-01-10,61.0
2021-01-17,67.0
2021-01-24,62.0
2021-01-31,67.0
2021-02-07,65.0
2021-02-14,62.0
2021-02-21,63.0
2021-02-28,67.0
2021-03-07,63.0
2021-03-14,67.0
2021-03-21,60.0
2021-03-28,59.0
2021-04-04,61.0
2021-04-11,51.0
2021-04-18,49.0
2021-04-25,48.0
2021-05-02,49.0
2021-05-09,49.0
2021-05-16,50.0
