,Emergency Services
2014-12-28,32.0
2015-01-04,33.0
2015-01-11,30.0
2015-01-18,30.0
2015-01-25,30.0
2015-02-01,29.0
2015-02-08,32.0
2015-02-15,32.0
2015-02-22,35.0
2015-03-01,32.0
2015-03-08,34.0
2015-03-15,34.0
2015-03-22,32.0
2015-03-29,29.0
2015-04-05,31.0
2015-04-12,31.0
2015-04-19,33.0
2015-04-26,36.0
2015-05-03,31.0
2015-05-10,34.0
2015-05-17,35.0
2015-05-24,31.0
2015-05-31,34.0
2015-06-07,35.0
2015-06-14,38.0
2015-06-21,51.0
2015-06-28,49.0
2015-07-05,46.0
2015-07-12,49.0
2015-07-19,44.0
2015-07-26,43.0
2015-08-02,40.0
2015-08-09,46.0
2015-08-16,49.0
2015-08-23,40.0
2015-08-30,42.0
2015-09-06,39.0
2015-09-13,36.0
2015-09-20,37.0
2015-09-27,41.0
2015-10-04,44.0
2015-10-11,44.0
2015-10-18,37.0
2015-10-25,40.0
2015-11-01,38.0
2015-11-08,33.0
2015-11-15,40.0
2015-11-22,40.0
2015-11-29,40.0
2015-12-06,39.0
2015-12-13,36.0
2015-12-20,36.0
2015-12-27,35.0
2016-01-03,39.0
2016-01-10,37.0
2016-01-17,43.0
2016-01-24,39.0
2016-01-31,42.0
2016-02-07,41.0
2016-02-14,39.0
2016-02-21,37.0
2016-02-28,37.0
2016-03-06,38.0
2016-03-13,39.0
2016-03-20,33.0
2016-03-27,38.0
2016-04-03,34.0
2016-04-10,36.0
2016-04-17,36.0
2016-04-24,38.0
2016-05-01,44.0
2016-05-08,43.0
2016-05-15,44.0
2016-05-22,47.0
2016-05-29,43.0
2016-06-05,51.0
2016-06-12,56.0
2016-06-19,56.0
2016-06-26,50.0
2016-07-03,42.0
2016-07-10,44.0
2016-07-17,47.0
2016-07-24,46.0
2016-07-31,53.0
2016-08-07,52.0
2016-08-14,45.0
2016-08-21,50.0
2016-08-28,50.0
2016-09-04,46.0
2016-09-11,46.0
2016-09-18,53.0
2016-09-25,50.0
2016-10-02,48.0
2016-10-09,49.0
2016-10-16,56.0
2016-10-23,48.0
2016-10-30,45.0
2016-11-06,49.0
2016-11-13,48.0
2016-11-20,52.0
2016-11-27,52.0
2016-12-04,49.0
2016-12-11,48.0
2016-12-18,54.0
2016-12-25,56.0
2017-01-01,57.0
2017-01-08,50.0
2017-01-15,55.0
2017-01-22,48.0
2017-01-29,49.0
2017-02-05,52.0
2017-02-12,53.0
2017-02-19,51.0
2017-02-26,52.0
2017-03-05,50.0
2017-03-12,46.0
2017-03-19,53.0
2017-03-26,54.0
2017-04-02,53.0
2017-04-09,55.0
2017-04-16,56.0
2017-04-23,54.0
2017-04-30,52.0
2017-05-07,53.0
2017-05-14,56.0
2017-05-21,61.0
2017-05-28,60.0
2017-06-04,65.0
2017-06-11,71.0
2017-06-18,68.0
2017-06-25,64.0
2017-07-02,64.0
2017-07-09,63.0
2017-07-16,62.0
2017-07-23,60.0
2017-07-30,59.0
2017-08-06,54.0
2017-08-13,57.0
2017-08-20,56.0
2017-08-27,54.0
2017-09-03,52.0
2017-09-10,58.0
2017-09-17,56.0
2017-09-24,52.0
2017-10-01,55.0
2017-10-08,54.0
2017-10-15,42.0
2017-10-22,53.0
2017-10-29,54.0
2017-11-05,55.0
2017-11-12,57.0
2017-11-19,54.0
2017-11-26,56.0
2017-12-03,55.0
2017-12-10,54.0
2017-12-17,55.0
2017-12-24,58.0
2017-12-31,53.0
2018-01-07,55.0
2018-01-14,56.0
2018-01-21,51.0
2018-01-28,56.0
2018-02-04,53.0
2018-02-11,53.0
2018-02-18,60.0
2018-02-25,52.0
2018-03-04,60.0
2018-03-11,58.0
2018-03-18,56.0
2018-03-25,56.0
2018-04-01,54.0
2018-04-08,57.0
2018-04-15,56.0
2018-04-22,56.0
2018-04-29,59.0
2018-05-06,61.0
2018-05-13,63.0
2018-05-20,65.0
2018-05-27,67.0
2018-06-03,70.0
2018-06-10,82.0
2018-06-17,74.0
2018-06-24,80.0
2018-07-01,71.0
2018-07-08,71.0
2018-07-15,65.0
2018-07-22,67.0
2018-07-29,68.0
2018-08-05,68.0
2018-08-12,73.0
2018-08-19,75.0
2018-08-26,76.0
2018-09-02,77.0
2018-09-09,73.0
2018-09-16,76.0
2018-09-23,80.0
2018-09-30,81.0
2018-10-07,82.0
2018-10-14,69.0
2018-10-21,86.0
2018-10-28,82.0
2018-11-04,61.0
2018-11-11,71.0
2018-11-18,74.0
2018-11-25,76.0
2018-12-02,74.0
2018-12-09,77.0
2018-12-16,75.0
2018-12-23,80.0
2018-12-30,77.0
2019-01-06,79.0
2019-01-13,71.0
2019-01-20,72.0
2019-01-27,75.0
2019-02-03,71.0
2019-02-10,83.0
2019-02-17,75.0
2019-02-24,79.0
2019-03-03,75.0
2019-03-10,75.0
2019-03-17,73.0
2019-03-24,75.0
2019-03-31,71.0
2019-04-07,71.0
2019-04-14,76.0
2019-04-21,69.0
2019-04-28,82.0
2019-05-05,78.0
2019-05-12,75.0
2019-05-19,77.0
2019-05-26,91.0
2019-06-02,85.0
2019-06-09,100.0
2019-06-16,90.0
2019-06-23,98.0
2019-06-30,86.0
2019-07-07,79.0
2019-07-14,76.0
2019-07-21,78.0
2019-07-28,83.0
2019-08-04,76.0
2019-08-11,69.0
2019-08-18,78.0
2019-08-25,80.0
2019-09-01,70.0
2019-09-08,69.0
2019-09-15,74.0
2019-09-22,78.0
2019-09-29,80.0
2019-10-06,70.0
2019-10-13,73.0
2019-10-20,66.0
2019-10-27,67.0
2019-11-03,82.0
2019-11-10,72.0
2019-11-17,78.0
2019-11-24,74.0
2019-12-01,74.0
2019-12-08,73.0
2019-12-15,73.0
