,Energy & Utilities
2014-12-28,40.0
2015-01-04,42.0
2015-01-11,39.0
2015-01-18,40.0
2015-01-25,38.0
2015-02-01,44.0
2015-02-08,41.0
2015-02-15,42.0
2015-02-22,40.0
2015-03-01,39.0
2015-03-08,43.0
2015-03-15,39.0
2015-03-22,39.0
2015-03-29,39.0
2015-04-05,41.0
2015-04-12,39.0
2015-04-19,38.0
2015-04-26,37.0
2015-05-03,37.0
2015-05-10,38.0
2015-05-17,41.0
2015-05-24,37.0
2015-05-31,39.0
2015-06-07,39.0
2015-06-14,42.0
2015-06-21,48.0
2015-06-28,52.0
2015-07-05,52.0
2015-07-12,51.0
2015-07-19,51.0
2015-07-26,51.0
2015-08-02,53.0
2015-08-09,52.0
2015-08-16,54.0
2015-08-23,49.0
2015-08-30,53.0
2015-09-06,54.0
2015-09-13,52.0
2015-09-20,51.0
2015-09-27,49.0
2015-10-04,54.0
2015-10-11,50.0
2015-10-18,43.0
2015-10-25,49.0
2015-11-01,47.0
2015-11-08,35.0
2015-11-15,46.0
2015-11-22,44.0
2015-11-29,47.0
2015-12-06,47.0
2015-12-13,50.0
2015-12-20,46.0
2015-12-27,46.0
2016-01-03,44.0
2016-01-10,43.0
2016-01-17,46.0
2016-01-24,43.0
2016-01-31,46.0
2016-02-07,48.0
2016-02-14,48.0
2016-02-21,46.0
2016-02-28,45.0
2016-03-06,43.0
2016-03-13,47.0
2016-03-20,40.0
2016-03-27,44.0
2016-04-03,44.0
2016-04-10,44.0
2016-04-17,47.0
2016-04-24,47.0
2016-05-01,49.0
2016-05-08,47.0
2016-05-15,49.0
2016-05-22,49.0
2016-05-29,52.0
2016-06-05,55.0
2016-06-12,55.0
2016-06-19,60.0
2016-06-26,61.0
2016-07-03,54.0
2016-07-10,54.0
2016-07-17,59.0
2016-07-24,58.0
2016-07-31,61.0
2016-08-07,57.0
2016-08-14,50.0
2016-08-21,57.0
2016-08-28,59.0
2016-09-04,55.0
2016-09-11,56.0
2016-09-18,63.0
2016-09-25,61.0
2016-10-02,55.0
2016-10-09,51.0
2016-10-16,60.0
2016-10-23,45.0
2016-10-30,51.0
2016-11-06,55.0
2016-11-13,56.0
2016-11-20,56.0
2016-11-27,58.0
2016-12-04,54.0
2016-12-11,57.0
2016-12-18,58.0
2016-12-25,57.0
2017-01-01,57.0
2017-01-08,55.0
2017-01-15,56.0
2017-01-22,54.0
2017-01-29,56.0
2017-02-05,58.0
2017-02-12,59.0
2017-02-19,59.0
2017-02-26,58.0
2017-03-05,58.0
2017-03-12,56.0
2017-03-19,61.0
2017-03-26,57.0
2017-04-02,57.0
2017-04-09,59.0
2017-04-16,58.0
2017-04-23,58.0
2017-04-30,55.0
2017-05-07,54.0
2017-05-14,57.0
2017-05-21,61.0
2017-05-28,58.0
