,Home & Garden
2014-12-28,33.0
2015-01-04,30.0
2015-01-11,30.0
2015-01-18,30.0
2015-01-25,29.0
2015-02-01,31.0
2015-02-08,32.0
2015-02-15,33.0
2015-02-22,33.0
2015-03-01,32.0
2015-03-08,34.0
2015-03-15,35.0
2015-03-22,37.0
2015-03-29,35.0
2015-04-05,36.0
2015-04-12,36.0
2015-04-19,35.0
2015-04-26,34.0
2015-05-03,35.0
2015-05-10,37.0
2015-05-17,37.0
2015-05-24,36.0
2015-05-31,35.0
2015-06-07,34.0
2015-06-14,35.0
2015-06-21,39.0
2015-06-28,43.0
2015-07-05,45.0
2015-07-12,45.0
2015-07-19,44.0
2015-07-26,44.0
2015-08-02,46.0
2015-08-09,45.0
2015-08-16,43.0
2015-08-23,40.0
2015-08-30,43.0
2015-09-06,45.0
2015-09-13,42.0
2015-09-20,43.0
2015-09-27,45.0
2015-10-04,44.0
2015-10-11,47.0
2015-10-18,42.0
2015-10-25,45.0
2015-11-01,45.0
2015-11-08,37.0
2015-11-15,41.0
2015-11-22,38.0
2015-11-29,38.0
2015-12-06,39.0
2015-12-13,41.0
2015-12-20,42.0
2015-12-27,40.0
2016-01-03,39.0
2016-01-10,36.0
2016-01-17,38.0
2016-01-24,38.0
2016-01-31,40.0
2016-02-07,40.0
2016-02-14,40.0
2016-02-21,40.0
2016-02-28,39.0
2016-03-06,41.0
2016-03-13,42.0
2016-03-20,43.0
2016-03-27,44.0
2016-04-03,44.0
2016-04-10,42.0
2016-04-17,44.0
2016-04-24,40.0
2016-05-01,44.0
2016-05-08,43.0
2016-05-15,45.0
2016-05-22,46.0
2016-05-29,43.0
2016-06-05,44.0
2016-06-12,45.0
2016-06-19,45.0
2016-06-26,45.0
2016-07-03,48.0
2016-07-10,46.0
2016-07-17,48.0
2016-07-24,49.0
2016-07-31,47.0
2016-08-07,47.0
2016-08-14,43.0
2016-08-21,48.0
2016-08-28,48.0
2016-09-04,47.0
2016-09-11,49.0
2016-09-18,50.0
2016-09-25,52.0
2016-10-02,56.0
2016-10-09,50.0
2016-10-16,54.0
2016-10-23,51.0
2016-10-30,47.0
2016-11-06,44.0
2016-11-13,43.0
2016-11-20,44.0
2016-11-27,48.0
2016-12-04,47.0
2016-12-11,46.0
2016-12-18,51.0
2016-12-25,53.0
2017-01-01,52.0
2017-01-08,45.0
2017-01-15,48.0
2017-01-22,48.0
2017-01-29,51.0
2017-02-05,50.0
2017-02-12,52.0
2017-02-19,52.0
2017-02-26,53.0
2017-03-05,50.0
2017-03-12,47.0
2017-03-19,54.0
2017-03-26,61.0
2017-04-02,55.0
2017-04-09,55.0
2017-04-16,56.0
2017-04-23,53.0
2017-04-30,55.0
2017-05-07,53.0
2017-05-14,57.0
2017-05-21,61.0
2017-05-28,56.0
2017-06-04,59.0
2017-06-11,61.0
2017-06-18,70.0
2017-06-25,73.0
2017-07-02,66.0
2017-07-09,64.0
2017-07-16,64.0
2017-07-23,61.0
2017-07-30,60.0
2017-08-06,63.0
2017-08-13,67.0
2017-08-20,62.0
2017-08-27,56.0
2017-09-03,56.0
2017-09-10,58.0
2017-09-17,62.0
2017-09-24,58.0
2017-10-01,62.0
2017-10-08,66.0
2017-10-15,56.0
2017-10-22,58.0
2017-10-29,60.0
2017-11-05,57.0
2017-11-12,58.0
2017-11-19,56.0
2017-11-26,56.0
2017-12-03,56.0
2017-12-10,58.0
2017-12-17,57.0
2017-12-24,62.0
2017-12-31,57.0
2018-01-07,57.0
2018-01-14,57.0
2018-01-21,58.0
2018-01-28,59.0
2018-02-04,59.0
2018-02-11,64.0
2018-02-18,58.0
2018-02-25,55.0
2018-03-04,62.0
2018-03-11,64.0
2018-03-18,62.0
2018-03-25,66.0
2018-04-01,65.0
2018-04-08,64.0
2018-04-15,65.0
2018-04-22,63.0
2018-04-29,68.0
2018-05-06,64.0
2018-05-13,66.0
2018-05-20,68.0
2018-05-27,70.0
2018-06-03,67.0
2018-06-10,71.0
2018-06-17,68.0
2018-06-24,69.0
2018-07-01,72.0
2018-07-08,70.0
2018-07-15,69.0
2018-07-22,70.0
2018-07-29,72.0
2018-08-05,76.0
2018-08-12,71.0
2018-08-19,74.0
2018-08-26,76.0
2018-09-02,82.0
2018-09-09,82.0
2018-09-16,83.0
2018-09-23,89.0
2018-09-30,84.0
2018-10-07,91.0
