,Hospitals & Treatment Centers
2014-12-28,29.0
2015-01-04,29.0
2015-01-11,27.0
2015-01-18,28.0
2015-01-25,27.0
2015-02-01,29.0
2015-02-08,31.0
2015-02-15,33.0
2015-02-22,31.0
2015-03-01,29.0
2015-03-08,33.0
2015-03-15,34.0
2015-03-22,33.0
2015-03-29,32.0
2015-04-05,35.0
2015-04-12,31.0
2015-04-19,30.0
2015-04-26,29.0
2015-05-03,30.0
2015-05-10,34.0
2015-05-17,34.0
2015-05-24,33.0
2015-05-31,32.0
2015-06-07,33.0
2015-06-14,34.0
2015-06-21,35.0
2015-06-28,39.0
2015-07-05,42.0
2015-07-12,43.0
2015-07-19,40.0
2015-07-26,40.0
2015-08-02,41.0
2015-08-09,40.0
2015-08-16,42.0
2015-08-23,37.0
2015-08-30,40.0
2015-09-06,42.0
2015-09-13,37.0
2015-09-20,39.0
2015-09-27,39.0
2015-10-04,38.0
2015-10-11,36.0
2015-10-18,33.0
2015-10-25,36.0
2015-11-01,34.0
2015-11-08,28.0
2015-11-15,36.0
2015-11-22,36.0
2015-11-29,35.0
2015-12-06,39.0
2015-12-13,39.0
2015-12-20,38.0
2015-12-27,36.0
2016-01-03,36.0
2016-01-10,31.0
2016-01-17,33.0
2016-01-24,32.0
2016-01-31,35.0
2016-02-07,36.0
2016-02-14,37.0
2016-02-21,35.0
2016-02-28,36.0
2016-03-06,38.0
2016-03-13,38.0
2016-03-20,34.0
2016-03-27,37.0
2016-04-03,37.0
2016-04-10,36.0
2016-04-17,36.0
2016-04-24,37.0
2016-05-01,39.0
2016-05-08,39.0
2016-05-15,35.0
2016-05-22,39.0
2016-05-29,41.0
2016-06-05,38.0
2016-06-12,44.0
2016-06-19,43.0
2016-06-26,41.0
2016-07-03,42.0
2016-07-10,45.0
2016-07-17,46.0
2016-07-24,45.0
2016-07-31,43.0
2016-08-07,45.0
2016-08-14,42.0
2016-08-21,48.0
2016-08-28,46.0
2016-09-04,45.0
2016-09-11,45.0
2016-09-18,51.0
2016-09-25,46.0
2016-10-02,46.0
2016-10-09,43.0
2016-10-16,49.0
2016-10-23,39.0
2016-10-30,41.0
