,Hotels & Accommodations
2014-12-28,37.0
2015-01-04,34.0
2015-01-11,32.0
2015-01-18,34.0
2015-01-25,32.0
2015-02-01,34.0
2015-02-08,34.0
2015-02-15,36.0
2015-02-22,35.0
2015-03-01,35.0
2015-03-08,35.0
2015-03-15,36.0
2015-03-22,37.0
2015-03-29,38.0
2015-04-05,36.0
2015-04-12,37.0
2015-04-19,38.0
2015-04-26,39.0
2015-05-03,41.0
2015-05-10,42.0
2015-05-17,43.0
2015-05-24,41.0
2015-05-31,41.0
2015-06-07,41.0
2015-06-14,41.0
2015-06-21,45.0
2015-06-28,50.0
2015-07-05,50.0
2015-07-12,49.0
2015-07-19,48.0
2015-07-26,47.0
2015-08-02,49.0
2015-08-09,49.0
2015-08-16,46.0
2015-08-23,42.0
2015-08-30,46.0
2015-09-06,45.0
2015-09-13,46.0
2015-09-20,48.0
2015-09-27,46.0
2015-10-04,45.0
2015-10-11,45.0
2015-10-18,43.0
2015-10-25,43.0
2015-11-01,42.0
2015-11-08,38.0
2015-11-15,43.0
2015-11-22,46.0
2015-11-29,43.0
2015-12-06,44.0
2015-12-13,47.0
2015-12-20,53.0
2015-12-27,49.0
2016-01-03,43.0
2016-01-10,41.0
2016-01-17,44.0
2016-01-24,41.0
2016-01-31,44.0
2016-02-07,42.0
2016-02-14,44.0
2016-02-21,43.0
2016-02-28,41.0
2016-03-06,41.0
2016-03-13,46.0
2016-03-20,48.0
2016-03-27,42.0
2016-04-03,43.0
2016-04-10,45.0
2016-04-17,47.0
2016-04-24,46.0
2016-05-01,50.0
2016-05-08,49.0
2016-05-15,48.0
2016-05-22,51.0
2016-05-29,50.0
2016-06-05,50.0
2016-06-12,51.0
2016-06-19,51.0
2016-06-26,51.0
2016-07-03,49.0
2016-07-10,52.0
2016-07-17,51.0
2016-07-24,53.0
2016-07-31,53.0
2016-08-07,53.0
2016-08-14,47.0
2016-08-21,51.0
2016-08-28,50.0
2016-09-04,49.0
2016-09-11,52.0
2016-09-18,51.0
2016-09-25,51.0
2016-10-02,49.0
2016-10-09,47.0
2016-10-16,50.0
2016-10-23,43.0
2016-10-30,50.0
2016-11-06,47.0
2016-11-13,47.0
2016-11-20,50.0
2016-11-27,50.0
2016-12-04,55.0
2016-12-11,55.0
2016-12-18,61.0
2016-12-25,68.0
2017-01-01,58.0
2017-01-08,53.0
2017-01-15,53.0
2017-01-22,53.0
2017-01-29,53.0
2017-02-05,54.0
2017-02-12,55.0
2017-02-19,54.0
2017-02-26,53.0
2017-03-05,55.0
2017-03-12,52.0
2017-03-19,55.0
2017-03-26,54.0
2017-04-02,56.0
2017-04-09,61.0
2017-04-16,58.0
2017-04-23,61.0
2017-04-30,58.0
2017-05-07,62.0
2017-05-14,64.0
2017-05-21,67.0
2017-05-28,64.0
2017-06-04,66.0
2017-06-11,71.0
2017-06-18,71.0
2017-06-25,66.0
2017-07-02,70.0
2017-07-09,69.0
2017-07-16,70.0
2017-07-23,67.0
2017-07-30,68.0
2017-08-06,66.0
2017-08-13,73.0
2017-08-20,64.0
2017-08-27,60.0
2017-09-03,60.0
2017-09-10,63.0
2017-09-17,60.0
2017-09-24,60.0
2017-10-01,73.0
2017-10-08,63.0
2017-10-15,53.0
2017-10-22,64.0
2017-10-29,62.0
2017-11-05,62.0
2017-11-12,63.0
2017-11-19,61.0
2017-11-26,65.0
2017-12-03,64.0
2017-12-10,69.0
2017-12-17,76.0
2017-12-24,78.0
2017-12-31,67.0
2018-01-07,63.0
2018-01-14,66.0
2018-01-21,67.0
2018-01-28,68.0
2018-02-04,66.0
2018-02-11,69.0
2018-02-18,67.0
2018-02-25,61.0
2018-03-04,67.0
2018-03-11,66.0
2018-03-18,69.0
2018-03-25,71.0
2018-04-01,67.0
2018-04-08,71.0
