,Import & Export
2014-12-28,0.0
2015-01-04,0.0
2015-01-11,73.0
2015-01-18,70.0
2015-01-25,0.0
2015-02-01,57.0
2015-02-08,0.0
2015-02-15,56.0
2015-02-22,0.0
2015-03-01,0.0
2015-03-08,56.0
2015-03-15,0.0
2015-03-22,0.0
2015-03-29,0.0
2015-04-05,50.0
2015-04-12,0.0
2015-04-19,64.0
2015-04-26,0.0
2015-05-03,49.0
2015-05-10,0.0
2015-05-17,54.0
2015-05-24,0.0
2015-05-31,0.0
2015-06-07,57.0
2015-06-14,52.0
2015-06-21,0.0
2015-06-28,0.0
2015-07-05,0.0
2015-07-12,61.0
2015-07-19,0.0
2015-07-26,0.0
2015-08-02,0.0
2015-08-09,0.0
2015-08-16,97.0
2015-08-23,95.0
2015-08-30,90.0
2015-09-06,74.0
2015-09-13,51.0
2015-09-20,0.0
2015-09-27,71.0
2015-10-04,0.0
2015-10-11,62.0
2015-10-18,0.0
2015-10-25,77.0
2015-11-01,47.0
2015-11-08,0.0
2015-11-15,47.0
2015-11-22,0.0
2015-11-29,0.0
2015-12-06,0.0
2015-12-13,0.0
2015-12-20,62.0
2015-12-27,60.0
2016-01-03,0.0
2016-01-10,56.0
2016-01-17,66.0
2016-01-24,79.0
2016-01-31,0.0
2016-02-07,81.0
2016-02-14,0.0
2016-02-21,0.0
2016-02-28,54.0
2016-03-06,60.0
2016-03-13,0.0
2016-03-20,51.0
2016-03-27,49.0
2016-04-03,58.0
2016-04-10,74.0
2016-04-17,0.0
2016-04-24,0.0
2016-05-01,81.0
2016-05-08,0.0
2016-05-15,100.0
2016-05-22,50.0
2016-05-29,55.0
2016-06-05,61.0
2016-06-12,0.0
2016-06-19,58.0
2016-06-26,83.0
2016-07-03,0.0
2016-07-10,0.0
2016-07-17,0.0
2016-07-24,0.0
2016-07-31,82.0
2016-08-07,0.0
2016-08-14,57.0
2016-08-21,50.0
2016-08-28,0.0
2016-09-04,55.0
2016-09-11,0.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,0.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,0.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,0.0
2017-02-05,0.0
2017-02-12,46.0
2017-02-19,0.0
2017-02-26,0.0
2017-03-05,0.0
2017-03-12,45.0
2017-03-19,59.0
2017-03-26,0.0
2017-04-02,49.0
2017-04-09,0.0
2017-04-16,55.0
2017-04-23,0.0
2017-04-30,0.0
2017-05-07,86.0
2017-05-14,77.0
2017-05-21,71.0
2017-05-28,0.0
2017-06-04,0.0
2017-06-11,0.0
2017-06-18,0.0
2017-06-25,0.0
2017-07-02,0.0
2017-07-09,0.0
2017-07-16,0.0
2017-07-23,0.0
2017-07-30,0.0
2017-08-06,0.0
2017-08-13,0.0
2017-08-20,48.0
2017-08-27,0.0
2017-09-03,45.0
2017-09-10,67.0
2017-09-17,0.0
2017-09-24,0.0
2017-10-01,0.0
2017-10-08,0.0
2017-10-15,61.0
2017-10-22,75.0
2017-10-29,67.0
2017-11-05,0.0
2017-11-12,47.0
2017-11-19,0.0
2017-11-26,0.0
2017-12-03,44.0
2017-12-10,54.0
2017-12-17,75.0
2017-12-24,0.0
2017-12-31,0.0
2018-01-07,0.0
2018-01-14,0.0
2018-01-21,0.0
2018-01-28,61.0
2018-02-04,0.0
2018-02-11,63.0
2018-02-18,91.0
2018-02-25,47.0
2018-03-04,0.0
2018-03-11,43.0
2018-03-18,0.0
2018-03-25,70.0
2018-04-01,54.0
2018-04-08,0.0
2018-04-15,57.0
2018-04-22,0.0
2018-04-29,43.0
2018-05-06,52.0
2018-05-13,65.0
2018-05-20,49.0
2018-05-27,0.0
2018-06-03,77.0
2018-06-10,0.0
2018-06-17,54.0
2018-06-24,64.0
2018-07-01,0.0
2018-07-08,0.0
2018-07-15,59.0
2018-07-22,0.0
2018-07-29,55.0
2018-08-05,53.0
2018-08-12,67.0
2018-08-19,0.0
2018-08-26,47.0
2018-09-02,60.0
2018-09-09,0.0
2018-09-16,49.0
2018-09-23,0.0
2018-09-30,59.0
2018-10-07,67.0
