,Industrial Materials & Equipment
2014-12-28,19.0
2015-01-04,16.0
2015-01-11,19.0
2015-01-18,20.0
2015-01-25,21.0
2015-02-01,21.0
2015-02-08,22.0
2015-02-15,24.0
2015-02-22,24.0
2015-03-01,22.0
2015-03-08,26.0
2015-03-15,27.0
2015-03-22,26.0
2015-03-29,20.0
2015-04-05,19.0
2015-04-12,14.0
2015-04-19,22.0
2015-04-26,20.0
2015-05-03,21.0
2015-05-10,23.0
2015-05-17,24.0
2015-05-24,22.0
2015-05-31,20.0
2015-06-07,24.0
2015-06-14,23.0
2015-06-21,25.0
2015-06-28,23.0
2015-07-05,23.0
2015-07-12,26.0
2015-07-19,27.0
2015-07-26,22.0
2015-08-02,23.0
2015-08-09,23.0
2015-08-16,21.0
2015-08-23,22.0
2015-08-30,21.0
2015-09-06,23.0
2015-09-13,21.0
2015-09-20,22.0
2015-09-27,22.0
2015-10-04,23.0
2015-10-11,26.0
2015-10-18,23.0
2015-10-25,20.0
2015-11-01,24.0
2015-11-08,24.0
2015-11-15,24.0
2015-11-22,24.0
2015-11-29,22.0
2015-12-06,24.0
2015-12-13,24.0
2015-12-20,21.0
2015-12-27,23.0
2016-01-03,24.0
2016-01-10,23.0
2016-01-17,23.0
2016-01-24,23.0
2016-01-31,23.0
2016-02-07,28.0
2016-02-14,25.0
2016-02-21,23.0
2016-02-28,27.0
2016-03-06,27.0
2016-03-13,40.0
2016-03-20,27.0
2016-03-27,28.0
2016-04-03,21.0
2016-04-10,15.0
2016-04-17,20.0
2016-04-24,22.0
2016-05-01,24.0
2016-05-08,27.0
2016-05-15,22.0
2016-05-22,24.0
2016-05-29,29.0
2016-06-05,29.0
2016-06-12,39.0
2016-06-19,100.0
2016-06-26,69.0
2016-07-03,63.0
2016-07-10,63.0
2016-07-17,66.0
2016-07-24,70.0
2016-07-31,72.0
2016-08-07,81.0
2016-08-14,81.0
2016-08-21,75.0
2016-08-28,72.0
2016-09-04,74.0
2016-09-11,74.0
2016-09-18,83.0
2016-09-25,83.0
2016-10-02,83.0
2016-10-09,90.0
2016-10-16,92.0
2016-10-23,91.0
2016-10-30,85.0
2016-11-06,72.0
2016-11-13,72.0
2016-11-20,75.0
2016-11-27,78.0
2016-12-04,88.0
2016-12-11,79.0
2016-12-18,79.0
2016-12-25,73.0
2017-01-01,78.0
2017-01-08,71.0
2017-01-15,39.0
2017-01-22,37.0
2017-01-29,31.0
2017-02-05,30.0
2017-02-12,35.0
2017-02-19,37.0
2017-02-26,31.0
2017-03-05,33.0
2017-03-12,36.0
2017-03-19,31.0
2017-03-26,36.0
2017-04-02,31.0
2017-04-09,23.0
2017-04-16,30.0
2017-04-23,35.0
2017-04-30,33.0
2017-05-07,31.0
2017-05-14,37.0
2017-05-21,37.0
2017-05-28,35.0
2017-06-04,36.0
2017-06-11,42.0
2017-06-18,39.0
2017-06-25,35.0
2017-07-02,40.0
2017-07-09,40.0
2017-07-16,39.0
2017-07-23,41.0
2017-07-30,38.0
2017-08-06,36.0
2017-08-13,33.0
2017-08-20,31.0
2017-08-27,32.0
2017-09-03,29.0
2017-09-10,31.0
2017-09-17,30.0
2017-09-24,31.0
2017-10-01,31.0
2017-10-08,37.0
2017-10-15,36.0
2017-10-22,37.0
2017-10-29,35.0
2017-11-05,32.0
2017-11-12,34.0
2017-11-19,37.0
2017-11-26,36.0
2017-12-03,35.0
2017-12-10,31.0
2017-12-17,32.0
2017-12-24,27.0
