,Internet & Telecom
2014-12-28,100.0
2015-01-04,84.0
2015-01-11,88.0
2015-01-18,88.0
2015-01-25,89.0
2015-02-01,86.0
2015-02-08,88.0
2015-02-15,91.0
2015-02-22,88.0
2015-03-01,88.0
2015-03-08,86.0
2015-03-15,89.0
2015-03-22,89.0
2015-03-29,92.0
2015-04-05,88.0
2015-04-12,76.0
2015-04-19,94.0
2015-04-26,86.0
2015-05-03,89.0
2015-05-10,95.0
2015-05-17,95.0
2015-05-24,92.0
2015-05-31,91.0
2015-06-07,90.0
2015-06-14,88.0
2015-06-21,90.0
2015-06-28,91.0
2015-07-05,92.0
2015-07-12,91.0
2015-07-19,95.0
2015-07-26,88.0
2015-08-02,96.0
2015-08-09,92.0
2015-08-16,86.0
2015-08-23,87.0
2015-08-30,94.0
2015-09-06,92.0
2015-09-13,84.0
2015-09-20,89.0
2015-09-27,87.0
2015-10-04,91.0
2015-10-11,90.0
2015-10-18,86.0
2015-10-25,87.0
2015-11-01,88.0
2015-11-08,87.0
2015-11-15,86.0
2015-11-22,87.0
2015-11-29,87.0
2015-12-06,87.0
2015-12-13,91.0
2015-12-20,87.0
2015-12-27,95.0
2016-01-03,83.0
2016-01-10,80.0
2016-01-17,79.0
2016-01-24,80.0
2016-01-31,80.0
2016-02-07,85.0
2016-02-14,87.0
2016-02-21,86.0
2016-02-28,86.0
2016-03-06,83.0
2016-03-13,79.0
2016-03-20,81.0
2016-03-27,84.0
2016-04-03,80.0
2016-04-10,63.0
2016-04-17,81.0
2016-04-24,80.0
2016-05-01,83.0
2016-05-08,83.0
2016-05-15,75.0
2016-05-22,82.0
2016-05-29,84.0
2016-06-05,81.0
2016-06-12,82.0
2016-06-19,78.0
2016-06-26,84.0
2016-07-03,86.0
2016-07-10,86.0
2016-07-17,90.0
2016-07-24,89.0
2016-07-31,91.0
2016-08-07,91.0
2016-08-14,86.0
2016-08-21,86.0
2016-08-28,85.0
2016-09-04,90.0
2016-09-11,82.0
2016-09-18,84.0
2016-09-25,82.0
2016-10-02,78.0
2016-10-09,79.0
2016-10-16,81.0
2016-10-23,79.0
2016-10-30,79.0
2016-11-06,77.0
2016-11-13,77.0
2016-11-20,78.0
2016-11-27,75.0
2016-12-04,74.0
2016-12-11,78.0
2016-12-18,85.0
2016-12-25,84.0
2017-01-01,79.0
2017-01-08,73.0
2017-01-15,74.0
2017-01-22,78.0
2017-01-29,73.0
2017-02-05,70.0
2017-02-12,75.0
2017-02-19,75.0
2017-02-26,80.0
2017-03-05,70.0
2017-03-12,71.0
2017-03-19,74.0
2017-03-26,76.0
2017-04-02,72.0
2017-04-09,62.0
2017-04-16,71.0
2017-04-23,70.0
2017-04-30,75.0
2017-05-07,67.0
2017-05-14,70.0
2017-05-21,68.0
2017-05-28,74.0
2017-06-04,65.0
2017-06-11,69.0
2017-06-18,74.0
2017-06-25,71.0
2017-07-02,69.0
2017-07-09,72.0
2017-07-16,73.0
2017-07-23,70.0
2017-07-30,71.0
2017-08-06,68.0
2017-08-13,75.0
2017-08-20,73.0
2017-08-27,71.0
2017-09-03,70.0
2017-09-10,81.0
2017-09-17,73.0
2017-09-24,72.0
2017-10-01,70.0
2017-10-08,73.0
2017-10-15,72.0
2017-10-22,69.0
2017-10-29,70.0
2017-11-05,70.0
2017-11-12,68.0
2017-11-19,68.0
2017-11-26,66.0
2017-12-03,66.0
2017-12-10,66.0
2017-12-17,73.0
2017-12-24,68.0
2017-12-31,72.0
2018-01-07,62.0
2018-01-14,64.0
2018-01-21,64.0
2018-01-28,61.0
2018-02-04,63.0
2018-02-11,62.0
2018-02-18,63.0
2018-02-25,62.0
2018-03-04,64.0
2018-03-11,64.0
2018-03-18,62.0
2018-03-25,65.0
2018-04-01,61.0
2018-04-08,57.0
2018-04-15,54.0
2018-04-22,60.0
2018-04-29,57.0
2018-05-06,61.0
2018-05-13,61.0
2018-05-20,65.0
2018-05-27,63.0
