,Investing
2014-12-28,50.0
2015-01-04,23.0
2015-01-11,30.0
2015-01-18,40.0
2015-01-25,53.0
2015-02-01,53.0
2015-02-08,44.0
2015-02-15,53.0
2015-02-22,48.0
2015-03-01,43.0
2015-03-08,40.0
2015-03-15,43.0
2015-03-22,39.0
2015-03-29,48.0
2015-04-05,49.0
2015-04-12,59.0
2015-04-19,47.0
2015-04-26,43.0
2015-05-03,39.0
2015-05-10,39.0
2015-05-17,25.0
2015-05-24,28.0
2015-05-31,36.0
2015-06-07,33.0
2015-06-14,33.0
2015-06-21,39.0
2015-06-28,47.0
2015-07-05,53.0
2015-07-12,38.0
2015-07-19,52.0
2015-07-26,40.0
2015-08-02,48.0
2015-08-09,56.0
2015-08-16,64.0
2015-08-23,52.0
2015-08-30,47.0
2015-09-06,45.0
2015-09-13,51.0
2015-09-20,33.0
2015-09-27,53.0
2015-10-04,33.0
2015-10-11,47.0
2015-10-18,52.0
2015-10-25,55.0
2015-11-01,48.0
2015-11-08,56.0
2015-11-15,56.0
2015-11-22,53.0
2015-11-29,44.0
2015-12-06,47.0
2015-12-13,45.0
2015-12-20,37.0
2015-12-27,37.0
2016-01-03,48.0
2016-01-10,46.0
2016-01-17,79.0
2016-01-24,48.0
2016-01-31,62.0
2016-02-07,42.0
2016-02-14,46.0
2016-02-21,61.0
2016-02-28,55.0
2016-03-06,58.0
2016-03-13,66.0
2016-03-20,44.0
2016-03-27,48.0
2016-04-03,27.0
2016-04-10,55.0
2016-04-17,53.0
2016-04-24,53.0
2016-05-01,50.0
2016-05-08,27.0
2016-05-15,47.0
2016-05-22,60.0
2016-05-29,38.0
2016-06-05,42.0
2016-06-12,29.0
2016-06-19,47.0
2016-06-26,75.0
2016-07-03,60.0
2016-07-10,41.0
2016-07-17,49.0
2016-07-24,65.0
2016-07-31,54.0
2016-08-07,24.0
2016-08-14,70.0
2016-08-21,76.0
2016-08-28,27.0
2016-09-04,51.0
2016-09-11,41.0
2016-09-18,42.0
2016-09-25,27.0
2016-10-02,0.0
2016-10-09,19.0
2016-10-16,18.0
2016-10-23,39.0
2016-10-30,23.0
2016-11-06,0.0
2016-11-13,35.0
2016-11-20,28.0
2016-11-27,22.0
2016-12-04,21.0
