,Investment
2014-12-28,49.0
2015-01-04,46.0
2015-01-11,58.0
2015-01-18,59.0
2015-01-25,79.0
2015-02-01,75.0
2015-02-08,75.0
2015-02-15,74.0
2015-02-22,58.0
2015-03-01,83.0
2015-03-08,72.0
2015-03-15,79.0
2015-03-22,81.0
2015-03-29,72.0
2015-04-05,63.0
2015-04-12,60.0
2015-04-19,65.0
2015-04-26,56.0
2015-05-03,65.0
2015-05-10,61.0
2015-05-17,72.0
2015-05-24,72.0
2015-05-31,57.0
2015-06-07,68.0
2015-06-14,68.0
2015-06-21,67.0
2015-06-28,61.0
2015-07-05,61.0
2015-07-12,59.0
2015-07-19,69.0
2015-07-26,57.0
2015-08-02,57.0
2015-08-09,57.0
2015-08-16,68.0
2015-08-23,78.0
2015-08-30,53.0
2015-09-06,51.0
2015-09-13,65.0
2015-09-20,67.0
2015-09-27,60.0
2015-10-04,70.0
2015-10-11,70.0
2015-10-18,80.0
2015-10-25,53.0
2015-11-01,65.0
2015-11-08,57.0
2015-11-15,74.0
2015-11-22,59.0
2015-11-29,65.0
2015-12-06,50.0
2015-12-13,68.0
2015-12-20,48.0
2015-12-27,61.0
2016-01-03,66.0
2016-01-10,56.0
2016-01-17,50.0
2016-01-24,72.0
2016-01-31,55.0
2016-02-07,66.0
2016-02-14,67.0
2016-02-21,61.0
2016-02-28,66.0
2016-03-06,47.0
2016-03-13,49.0
2016-03-20,55.0
2016-03-27,49.0
2016-04-03,59.0
2016-04-10,37.0
2016-04-17,58.0
2016-04-24,58.0
2016-05-01,59.0
2016-05-08,70.0
2016-05-15,54.0
2016-05-22,70.0
2016-05-29,71.0
2016-06-05,70.0
2016-06-12,67.0
2016-06-19,56.0
2016-06-26,60.0
2016-07-03,54.0
2016-07-10,46.0
2016-07-17,53.0
2016-07-24,55.0
2016-07-31,50.0
2016-08-07,52.0
2016-08-14,50.0
2016-08-21,47.0
2016-08-28,46.0
2016-09-04,49.0
2016-09-11,54.0
2016-09-18,55.0
2016-09-25,54.0
2016-10-02,49.0
2016-10-09,53.0
2016-10-16,56.0
2016-10-23,45.0
2016-10-30,56.0
2016-11-06,51.0
