,Job Listings
2014-12-28,22.0
2015-01-04,24.0
2015-01-11,22.0
2015-01-18,21.0
2015-01-25,22.0
2015-02-01,24.0
2015-02-08,22.0
2015-02-15,24.0
2015-02-22,24.0
2015-03-01,22.0
2015-03-08,24.0
2015-03-15,24.0
2015-03-22,23.0
2015-03-29,23.0
2015-04-05,23.0
2015-04-12,23.0
2015-04-19,22.0
2015-04-26,24.0
2015-05-03,25.0
2015-05-10,26.0
2015-05-17,26.0
2015-05-24,24.0
2015-05-31,25.0
2015-06-07,25.0
2015-06-14,27.0
2015-06-21,32.0
2015-06-28,36.0
2015-07-05,36.0
2015-07-12,36.0
2015-07-19,36.0
2015-07-26,34.0
2015-08-02,32.0
2015-08-09,31.0
2015-08-16,31.0
2015-08-23,30.0
2015-08-30,36.0
2015-09-06,34.0
2015-09-13,29.0
2015-09-20,30.0
2015-09-27,30.0
2015-10-04,29.0
2015-10-11,26.0
2015-10-18,24.0
2015-10-25,28.0
2015-11-01,26.0
2015-11-08,19.0
2015-11-15,26.0
2015-11-22,27.0
2015-11-29,27.0
2015-12-06,28.0
2015-12-13,32.0
2015-12-20,31.0
2015-12-27,34.0
2016-01-03,35.0
2016-01-10,29.0
2016-01-17,34.0
2016-01-24,30.0
2016-01-31,32.0
2016-02-07,31.0
2016-02-14,31.0
2016-02-21,29.0
2016-02-28,29.0
2016-03-06,32.0
2016-03-13,30.0
2016-03-20,28.0
2016-03-27,29.0
2016-04-03,30.0
2016-04-10,28.0
2016-04-17,27.0
2016-04-24,29.0
2016-05-01,32.0
2016-05-08,33.0
2016-05-15,38.0
2016-05-22,36.0
2016-05-29,35.0
2016-06-05,36.0
2016-06-12,37.0
2016-06-19,40.0
2016-06-26,38.0
2016-07-03,39.0
2016-07-10,40.0
2016-07-17,39.0
2016-07-24,40.0
2016-07-31,40.0
2016-08-07,42.0
2016-08-14,38.0
2016-08-21,39.0
2016-08-28,36.0
2016-09-04,33.0
2016-09-11,38.0
2016-09-18,39.0
2016-09-25,37.0
2016-10-02,36.0
2016-10-09,37.0
2016-10-16,41.0
2016-10-23,33.0
2016-10-30,33.0
2016-11-06,37.0
2016-11-13,32.0
2016-11-20,34.0
2016-11-27,34.0
2016-12-04,36.0
2016-12-11,38.0
2016-12-18,38.0
2016-12-25,45.0
2017-01-01,43.0
2017-01-08,36.0
2017-01-15,35.0
2017-01-22,37.0
2017-01-29,37.0
2017-02-05,36.0
2017-02-12,35.0
2017-02-19,32.0
2017-02-26,32.0
2017-03-05,30.0
2017-03-12,33.0
2017-03-19,34.0
2017-03-26,36.0
2017-04-02,34.0
2017-04-09,35.0
2017-04-16,36.0
2017-04-23,35.0
2017-04-30,35.0
2017-05-07,35.0
2017-05-14,38.0
2017-05-21,40.0
2017-05-28,43.0
2017-06-04,51.0
2017-06-11,50.0
2017-06-18,45.0
2017-06-25,43.0
2017-07-02,48.0
2017-07-09,44.0
2017-07-16,42.0
2017-07-23,44.0
2017-07-30,48.0
2017-08-06,45.0
2017-08-13,45.0
2017-08-20,46.0
2017-08-27,50.0
2017-09-03,47.0
2017-09-10,45.0
2017-09-17,41.0
2017-09-24,38.0
2017-10-01,40.0
2017-10-08,43.0
2017-10-15,30.0
2017-10-22,42.0
2017-10-29,43.0
2017-11-05,43.0
2017-11-12,41.0
2017-11-19,41.0
2017-11-26,41.0
2017-12-03,41.0
2017-12-10,40.0
2017-12-17,50.0
2017-12-24,47.0
2017-12-31,42.0
2018-01-07,41.0
2018-01-14,47.0
2018-01-21,42.0
2018-01-28,48.0
2018-02-04,54.0
2018-02-11,55.0
2018-02-18,60.0
2018-02-25,53.0
2018-03-04,54.0
2018-03-11,49.0
2018-03-18,48.0
2018-03-25,55.0
2018-04-01,40.0
2018-04-08,39.0
2018-04-15,41.0
2018-04-22,39.0
2018-04-29,46.0
2018-05-06,39.0
2018-05-13,43.0
2018-05-20,51.0
2018-05-27,62.0
2018-06-03,64.0
2018-06-10,59.0
2018-06-17,53.0
2018-06-24,72.0
2018-07-01,54.0
2018-07-08,53.0
