,Jobs
2014-12-28,30.0
2015-01-04,32.0
2015-01-11,29.0
2015-01-18,31.0
2015-01-25,31.0
2015-02-01,33.0
2015-02-08,31.0
2015-02-15,34.0
2015-02-22,33.0
2015-03-01,30.0
2015-03-08,33.0
2015-03-15,34.0
2015-03-22,31.0
2015-03-29,33.0
2015-04-05,33.0
2015-04-12,30.0
2015-04-19,31.0
2015-04-26,31.0
2015-05-03,34.0
2015-05-10,35.0
2015-05-17,36.0
2015-05-24,35.0
2015-05-31,36.0
2015-06-07,35.0
2015-06-14,38.0
2015-06-21,43.0
2015-06-28,50.0
2015-07-05,48.0
2015-07-12,47.0
2015-07-19,49.0
2015-07-26,46.0
2015-08-02,46.0
2015-08-09,41.0
2015-08-16,43.0
2015-08-23,42.0
2015-08-30,49.0
2015-09-06,46.0
2015-09-13,42.0
2015-09-20,42.0
2015-09-27,40.0
2015-10-04,41.0
2015-10-11,37.0
2015-10-18,32.0
2015-10-25,37.0
2015-11-01,35.0
2015-11-08,26.0
2015-11-15,35.0
2015-11-22,36.0
2015-11-29,37.0
2015-12-06,38.0
2015-12-13,40.0
2015-12-20,41.0
2015-12-27,42.0
2016-01-03,44.0
2016-01-10,38.0
2016-01-17,43.0
2016-01-24,39.0
2016-01-31,41.0
2016-02-07,41.0
2016-02-14,41.0
2016-02-21,37.0
2016-02-28,37.0
2016-03-06,41.0
2016-03-13,41.0
2016-03-20,35.0
2016-03-27,41.0
2016-04-03,39.0
2016-04-10,36.0
2016-04-17,37.0
2016-04-24,39.0
2016-05-01,42.0
2016-05-08,44.0
2016-05-15,46.0
2016-05-22,47.0
2016-05-29,46.0
2016-06-05,48.0
2016-06-12,50.0
2016-06-19,49.0
2016-06-26,50.0
2016-07-03,50.0
2016-07-10,50.0
2016-07-17,51.0
2016-07-24,51.0
2016-07-31,52.0
2016-08-07,52.0
2016-08-14,46.0
2016-08-21,50.0
2016-08-28,49.0
2016-09-04,46.0
2016-09-11,48.0
2016-09-18,52.0
2016-09-25,49.0
2016-10-02,45.0
2016-10-09,45.0
2016-10-16,47.0
2016-10-23,41.0
2016-10-30,41.0
2016-11-06,46.0
2016-11-13,40.0
2016-11-20,43.0
2016-11-27,43.0
2016-12-04,47.0
2016-12-11,44.0
2016-12-18,49.0
2016-12-25,53.0
2017-01-01,51.0
2017-01-08,47.0
2017-01-15,46.0
2017-01-22,44.0
2017-01-29,49.0
2017-02-05,46.0
2017-02-12,45.0
2017-02-19,45.0
2017-02-26,45.0
2017-03-05,39.0
2017-03-12,41.0
2017-03-19,46.0
2017-03-26,47.0
2017-04-02,45.0
2017-04-09,47.0
2017-04-16,46.0
2017-04-23,47.0
2017-04-30,48.0
2017-05-07,47.0
2017-05-14,48.0
2017-05-21,52.0
2017-05-28,57.0
2017-06-04,59.0
2017-06-11,60.0
2017-06-18,57.0
2017-06-25,55.0
2017-07-02,59.0
2017-07-09,56.0
2017-07-16,56.0
2017-07-23,54.0
2017-07-30,57.0
2017-08-06,54.0
2017-08-13,55.0
2017-08-20,56.0
2017-08-27,58.0
2017-09-03,57.0
2017-09-10,55.0
2017-09-17,52.0
2017-09-24,46.0
2017-10-01,49.0
2017-10-08,51.0
2017-10-15,39.0
2017-10-22,50.0
2017-10-29,53.0
2017-11-05,51.0
2017-11-12,51.0
2017-11-19,52.0
2017-11-26,50.0
2017-12-03,52.0
2017-12-10,52.0
2017-12-17,58.0
2017-12-24,55.0
2017-12-31,47.0
2018-01-07,51.0
2018-01-14,56.0
2018-01-21,52.0
2018-01-28,58.0
2018-02-04,63.0
2018-02-11,63.0
2018-02-18,67.0
2018-02-25,58.0
2018-03-04,61.0
2018-03-11,59.0
2018-03-18,59.0
2018-03-25,63.0
2018-04-01,54.0
2018-04-08,51.0
2018-04-15,48.0
2018-04-22,50.0
2018-04-29,53.0
2018-05-06,54.0
2018-05-13,54.0
2018-05-20,62.0
2018-05-27,70.0
2018-06-03,72.0
2018-06-10,66.0
2018-06-17,66.0
2018-06-24,79.0
2018-07-01,64.0
2018-07-08,63.0
2018-07-15,68.0
2018-07-22,74.0
2018-07-29,69.0
2018-08-05,68.0
2018-08-12,60.0
2018-08-19,70.0
2018-08-26,73.0
2018-09-02,76.0
2018-09-09,99.0
2018-09-16,87.0
2018-09-23,73.0
2018-09-30,70.0
2018-10-07,68.0
2018-10-14,57.0
2018-10-21,62.0
2018-10-28,70.0
2018-11-04,46.0
2018-11-11,59.0
2018-11-18,67.0
2018-11-25,63.0
2018-12-02,80.0
2018-12-09,64.0
2018-12-16,70.0
2018-12-23,74.0
2018-12-30,69.0
2019-01-06,82.0
2019-01-13,73.0
2019-01-20,73.0
2019-01-27,76.0
2019-02-03,80.0
2019-02-10,80.0
2019-02-17,100.0
2019-02-24,83.0
2019-03-03,98.0
2019-03-10,86.0
2019-03-17,72.0
2019-03-24,93.0
2019-03-31,94.0
2019-04-07,69.0
2019-04-14,60.0
2019-04-21,77.0
2019-04-28,66.0
2019-05-05,65.0
2019-05-12,69.0
2019-05-19,72.0
2019-05-26,81.0
2019-06-02,76.0
2019-06-09,77.0
2019-06-16,81.0
2019-06-23,84.0
2019-06-30,78.0
2019-07-07,74.0
2019-07-14,74.0
2019-07-21,75.0
2019-07-28,74.0
2019-08-04,68.0
2019-08-11,64.0
2019-08-18,71.0
2019-08-25,73.0
2019-09-01,67.0
2019-09-08,76.0
2019-09-15,77.0
2019-09-22,72.0
2019-09-29,62.0
2019-10-06,59.0
2019-10-13,69.0
2019-10-20,55.0
2019-10-27,52.0
2019-11-03,64.0
2019-11-10,64.0
2019-11-17,68.0
2019-11-24,62.0
2019-12-01,63.0
2019-12-08,62.0
2019-12-15,61.0
2019-12-22,68.0
2019-12-29,73.0
2020-01-05,74.28131021194605
2020-01-12,65.75722543352602
2020-01-19,65.75722543352602
2020-01-26,64.53949903660886
2020-02-02,63.321772639691716
2020-02-09,59.66859344894027
2020-02-16,60.886319845857415
2020-02-23,58.45086705202312
2020-03-01,62.104046242774565
2020-03-08,49.92678227360308
2020-03-15,51.14450867052023
2020-03-22,37.7495183044316
2020-03-29,31.660886319845858
2020-04-05,28.007707129094413
2020-04-12,26.789980732177263
2020-04-19,28.007707129094413
2020-04-26,26.789980732177263
2020-05-03,31.660886319845858
2020-05-10,36.53179190751445
2020-05-17,43.83815028901734
2020-05-24,56.01541425818883
2020-05-31,43.83815028901734
2020-06-07,46.273603082851636
2020-06-14,43.83815028901734
2020-06-21,58.45086705202312
2020-06-28,53.579961464354525
2020-07-05,52.36223506743738
2020-07-12,58.45086705202312
2020-07-19,54.797687861271676
2020-07-26,52.36223506743738
2020-08-02,52.36223506743738
2020-08-09,57.23314065510597
2020-08-16,58.45086705202312
2020-08-23,54.797687861271676
2020-08-30,63.321772639691716
2020-09-06,63.321772639691716
2020-09-13,58.45086705202312
2020-09-20,60.886319845857415
2020-09-27,59.66859344894027
2020-10-04,57.23314065510597
2020-10-11,60.886319845857415
2020-10-18,56.01541425818883
2020-10-25,56.01541425818883
2020-11-01,54.797687861271676
2020-11-08,49.92678227360308
2020-11-15,58.45086705202312
2020-11-22,71.84585741811175
2020-11-29,65.75722543352602
2020-12-06,70.6281310211946
2020-12-13,86.45857418111753
2020-12-20,81.58766859344894
2020-12-27,73.0635838150289
2021-01-03,77.9344894026975
2021-01-10,66.97495183044316
2021-01-17,79.15221579961464
2021-01-24,69.41040462427746
2021-01-31,81.58766859344894
2021-02-07,76.71676300578035
2021-02-14,75.4990366088632
2021-02-21,86.45857418111753
2021-02-28,81.58766859344894
2021-03-07,75.4990366088632
2021-03-14,80.3699421965318
2021-03-21,91.32947976878613
2021-03-28,77.9344894026975
2021-04-04,79.15221579961464
2021-04-11,62.104046242774565
2021-04-18,54.797687861271676
