,Auto Financing
2014-12-28,36.0
2015-01-04,38.0
2015-01-11,42.0
2015-01-18,43.0
2015-01-25,48.0
2015-02-01,52.0
2015-02-08,56.0
2015-02-15,61.0
2015-02-22,54.0
2015-03-01,54.0
2015-03-08,55.0
2015-03-15,52.0
2015-03-22,60.0
2015-03-29,57.0
2015-04-05,48.0
2015-04-12,36.0
2015-04-19,69.0
2015-04-26,41.0
2015-05-03,42.0
2015-05-10,62.0
2015-05-17,65.0
2015-05-24,48.0
2015-05-31,56.0
2015-06-07,72.0
2015-06-14,55.0
2015-06-21,66.0
2015-06-28,56.0
2015-07-05,60.0
2015-07-12,49.0
2015-07-19,47.0
2015-07-26,55.0
2015-08-02,49.0
2015-08-09,64.0
2015-08-16,47.0
2015-08-23,52.0
2015-08-30,49.0
2015-09-06,63.0
2015-09-13,63.0
2015-09-20,39.0
2015-09-27,50.0
2015-10-04,70.0
2015-10-11,39.0
2015-10-18,47.0
2015-10-25,66.0
2015-11-01,56.0
2015-11-08,58.0
2015-11-15,53.0
2015-11-22,58.0
2015-11-29,43.0
2015-12-06,46.0
2015-12-13,44.0
2015-12-20,38.0
2015-12-27,54.0
2016-01-03,57.0
2016-01-10,42.0
2016-01-17,46.0
2016-01-24,56.0
2016-01-31,55.0
2016-02-07,59.0
2016-02-14,50.0
2016-02-21,64.0
2016-02-28,51.0
2016-03-06,48.0
2016-03-13,55.0
2016-03-20,55.0
2016-03-27,46.0
2016-04-03,53.0
2016-04-10,36.0
2016-04-17,62.0
2016-04-24,66.0
2016-05-01,62.0
2016-05-08,52.0
2016-05-15,56.0
2016-05-22,54.0
2016-05-29,62.0
2016-06-05,57.0
2016-06-12,58.0
2016-06-19,48.0
2016-06-26,63.0
2016-07-03,68.0
2016-07-10,49.0
2016-07-17,59.0
2016-07-24,85.0
2016-07-31,54.0
2016-08-07,37.0
2016-08-14,60.0
2016-08-21,51.0
2016-08-28,42.0
2016-09-04,61.0
2016-09-11,43.0
2016-09-18,55.0
2016-09-25,71.0
2016-10-02,54.0
2016-10-09,47.0
2016-10-16,71.0
2016-10-23,52.0
2016-10-30,62.0
2016-11-06,50.0
2016-11-13,57.0
2016-11-20,66.0
2016-11-27,43.0
2016-12-04,53.0
2016-12-11,50.0
2016-12-18,71.0
2016-12-25,43.0
2017-01-01,59.0
2017-01-08,40.0
2017-01-15,49.0
2017-01-22,61.0
2017-01-29,42.0
2017-02-05,58.0
2017-02-12,59.0
2017-02-19,58.0
2017-02-26,61.0
2017-03-05,56.0
2017-03-12,54.0
2017-03-19,59.0
2017-03-26,63.0
2017-04-02,57.0
2017-04-09,39.0
2017-04-16,45.0
2017-04-23,52.0
2017-04-30,52.0
2017-05-07,51.0
2017-05-14,48.0
2017-05-21,68.0
2017-05-28,62.0
2017-06-04,62.0
2017-06-11,67.0
2017-06-18,64.0
2017-06-25,62.0
2017-07-02,74.0
2017-07-09,55.0
2017-07-16,61.0
2017-07-23,67.0
2017-07-30,67.0
2017-08-06,55.0
2017-08-13,57.0
2017-08-20,60.0
2017-08-27,50.0
2017-09-03,47.0
2017-09-10,52.0
2017-09-17,63.0
2017-09-24,73.0
2017-10-01,61.0
2017-10-08,70.0
2017-10-15,71.0
2017-10-22,63.0
2017-10-29,55.0
2017-11-05,71.0
2017-11-12,72.0
2017-11-19,66.0
2017-11-26,62.0
2017-12-03,61.0
2017-12-10,60.0
2017-12-17,80.0
2017-12-24,54.0
2017-12-31,60.0
2018-01-07,69.0
2018-01-14,66.0
2018-01-21,48.0
2018-01-28,58.0
2018-02-04,57.0
2018-02-11,57.0
2018-02-18,72.0
2018-02-25,62.0
2018-03-04,73.0
2018-03-11,78.0
2018-03-18,82.0
2018-03-25,61.0
2018-04-01,70.0
2018-04-08,54.0
2018-04-15,66.0
2018-04-22,57.0
2018-04-29,69.0
2018-05-06,77.0
2018-05-13,80.0
2018-05-20,75.0
2018-05-27,68.0
2018-06-03,99.0
2018-06-10,86.0
2018-06-17,67.0
2018-06-24,55.0
2018-07-01,80.0
2018-07-08,74.0
2018-07-15,73.0
2018-07-22,78.0
2018-07-29,94.0
2018-08-05,96.0
2018-08-12,85.0
2018-08-19,87.0
2018-08-26,69.0
2018-09-02,68.0
2018-09-09,75.0
2018-09-16,68.0
2018-09-23,61.0
2018-09-30,57.0
2018-10-07,87.0
2018-10-14,70.0
2018-10-21,73.0
2018-10-28,66.0
2018-11-04,76.0
2018-11-11,62.0
2018-11-18,63.0
2018-11-25,81.0
2018-12-02,68.0
2018-12-09,76.0
2018-12-16,75.0
2018-12-23,71.0
2018-12-30,74.0
2019-01-06,81.0
2019-01-13,74.0
2019-01-20,94.0
2019-01-27,77.0
2019-02-03,73.0
2019-02-10,87.0
2019-02-17,64.0
2019-02-24,72.0
2019-03-03,80.0
2019-03-10,83.0
2019-03-17,83.0
2019-03-24,94.0
2019-03-31,72.0
2019-04-07,63.0
2019-04-14,41.0
2019-04-21,44.0
2019-04-28,75.0
2019-05-05,80.0
2019-05-12,57.0
2019-05-19,72.0
2019-05-26,81.0
2019-06-02,69.0
2019-06-09,69.0
2019-06-16,83.0
2019-06-23,81.0
2019-06-30,89.0
2019-07-07,91.0
2019-07-14,81.0
2019-07-21,98.0
2019-07-28,95.0
2019-08-04,100.0
2019-08-11,77.0
2019-08-18,98.0
2019-08-25,88.0
2019-09-01,86.0
2019-09-08,85.0
2019-09-15,80.0
2019-09-22,81.0
2019-09-29,85.0
2019-10-06,79.0
2019-10-13,81.0
2019-10-20,75.0
2019-10-27,98.0
2019-11-03,70.0
2019-11-10,72.0
2019-11-17,81.0
2019-11-24,88.0
2019-12-01,73.0
2019-12-08,79.0
2019-12-15,86.0
2019-12-22,80.0
2019-12-29,82.0
2020-01-05,92.57041453719478
2020-01-12,91.39863713798978
2020-01-19,90.22685973878478
2020-01-26,94.91396933560476
2020-02-02,84.36797274275979
2020-02-09,84.36797274275979
2020-02-16,97.25752413401476
2020-02-23,87.88330494037479
2020-03-01,89.05508233957978
2020-03-08,73.82197614991482
2020-03-15,71.47842135150482
2020-03-22,41.012208972174896
2020-03-29,62.10420215786485
2020-04-05,97.25752413401476
2020-04-12,89.05508233957978
2020-04-19,92.57041453719478
2020-04-26,92.57041453719478
2020-05-03,52.729982964224874
2020-05-10,74.99375354911982
2020-05-17,82.02441794434979
2020-05-24,76.16553094832481
2020-05-31,71.47842135150482
2020-06-07,83.19619534355479
2020-06-14,99.60107893242476
2020-06-21,100.77285633162975
2020-06-28,89.05508233957978
2020-07-05,94.91396933560476
2020-07-12,103.11641113003975
2020-07-19,99.60107893242476
2020-07-26,111.31885292447473
2020-08-02,79.68086314593981
2020-08-09,117.17773992049972
2020-08-16,112.49063032367972
2020-08-23,97.25752413401476
2020-08-30,107.80352072685973
2020-09-06,108.97529812606473
2020-09-13,108.97529812606473
2020-09-20,101.94463373083475
2020-09-27,89.05508233957978
2020-10-04,82.02441794434979
2020-10-11,91.39863713798978
2020-10-18,85.53975014196479
2020-10-25,67.96308915388984
2020-11-01,50.38642816581488
2020-11-08,66.79131175468484
2020-11-15,69.13486655309482
2020-11-22,79.68086314593981
2020-11-29,79.68086314593981
2020-12-06,98.42930153321976
2020-12-13,84.36797274275979
2020-12-20,87.88330494037479
2020-12-27,78.50908574673481
2021-01-03,87.88330494037479
2021-01-10,80.85264054514481
2021-01-17,71.47842135150482
2021-01-24,101.94463373083475
2021-01-31,59.76064735945485
2021-02-07,93.74219193639976
2021-02-14,91.39863713798978
2021-02-21,82.02441794434979
2021-02-28,92.57041453719478
2021-03-07,90.22685973878478
2021-03-14,89.05508233957978
2021-03-21,87.88330494037479
2021-03-28,82.02441794434979
2021-04-04,90.22685973878478
2021-04-11,71.47842135150482
2021-04-18,91.39863713798978
2021-04-25,97.25752413401476
2021-05-02,99.60107893242476
2021-05-09,89.05508233957978
2021-05-16,80.85264054514481
2021-05-23,60.93242475865985
2021-05-30,69.13486655309482
2021-06-06,77.33730834752981
2021-06-13,98.42930153321976
2021-06-20,79.68086314593981
2021-06-27,84.36797274275979
2021-07-04,103.11641113003975
2021-07-11,86.71152754116979
2021-07-18,87.88330494037479
2021-07-25,89.05508233957978
2021-08-01,92.57041453719478
2021-08-08,93.74219193639976
2021-08-15,62.10420215786485
2021-08-22,46.87109596819988
2021-08-29,69.13486655309482
2021-09-05,60.93242475865985
2021-09-12,72.65019875070982
2021-09-19,59.76064735945485
2021-09-26,82.02441794434979
2021-10-03,72.65019875070982
2021-10-10,56.24531516183986
2021-10-17,70.30664395229982
2021-10-24,72.65019875070982
2021-10-31,58.58886996024986
2021-11-07,79.68086314593981
2021-11-14,71.47842135150482
2021-11-21,70.30664395229982
2021-11-28,83.19619534355479
2021-12-05,84.36797274275979
2021-12-12,82.02441794434979
2021-12-19,86.71152754116979
2021-12-26,78.50908574673481
2022-01-02,91.39863713798978
2022-01-09,91.39863713798978
2022-01-16,79.68086314593981
2022-01-23,117.17773992049972
2022-01-30,86.71152754116979
2022-02-06,92.57041453719478
2022-02-13,74.99375354911982
2022-02-20,74.99375354911982
2022-02-27,86.71152754116979
2022-03-06,91.39863713798978
2022-03-13,86.71152754116979
2022-03-20,84.36797274275979
2022-03-27,79.68086314593981
2022-04-03,67.96308915388984
2022-04-10,70.30664395229982
2022-04-17,101.94463373083475
2022-04-24,104.28818852924475
2022-05-01,91.39863713798978
2022-05-08,59.76064735945485
2022-05-15,78.50908574673481
2022-05-22,87.88330494037479
2022-05-29,77.33730834752981
2022-06-05,83.19619534355479
2022-06-12,59.76064735945485
2022-06-19,65.61953435547984
2022-06-26,56.24531516183986
2022-07-03,66.79131175468484
2022-07-10,57.41709256104486
2022-07-17,70.30664395229982
2022-07-24,78.50908574673481
2022-07-31,66.79131175468484
2022-08-07,66.79131175468484
2022-08-14,85.53975014196479
2022-08-21,86.71152754116979
2022-08-28,73.82197614991482
2022-09-04,73.82197614991482
2022-09-11,71.47842135150482
2022-09-18,70.30664395229982
2022-09-25,73.82197614991482
2022-10-02,77.33730834752981
2022-10-09,72.65019875070982
2022-10-16,77.33730834752981
2022-10-23,60.93242475865985
2022-10-30,77.33730834752981
2022-11-06,60.93242475865985
2022-11-13,64.44775695627484
2022-11-20,63.275979557069846
2022-11-27,85.53975014196479
2022-12-04,76.16553094832481
2022-12-11,80.85264054514481
2022-12-18,63.275979557069846
2022-12-25,78.50908574673481
2023-01-01,80.85264054514481
2023-01-08,74.99375354911982
2023-01-15,71.47842135150482
2023-01-22,77.33730834752981
2023-01-29,74.99375354911982
2023-02-05,73.82197614991482
2023-02-12,79.68086314593981
2023-02-19,85.53975014196479
2023-02-26,98.42930153321976
2023-03-05,69.13486655309482
2023-03-12,74.99375354911982
2023-03-19,69.13486655309482
2023-03-26,86.71152754116979
2023-04-02,90.22685973878478
2023-04-09,53.901760363429865
2023-04-16,80.85264054514481
2023-04-23,80.85264054514481
2023-04-30,70.30664395229982
