,Aviation
2014-12-28,78.0
2015-01-04,57.0
2015-01-11,44.0
2015-01-18,56.0
2015-01-25,46.0
2015-02-01,52.0
2015-02-08,49.0
2015-02-15,55.0
2015-02-22,54.0
2015-03-01,40.0
2015-03-08,53.0
2015-03-15,53.0
2015-03-22,55.0
2015-03-29,42.0
2015-04-05,42.0
2015-04-12,44.0
2015-04-19,41.0
2015-04-26,47.0
2015-05-03,46.0
2015-05-10,47.0
2015-05-17,53.0
2015-05-24,51.0
2015-05-31,47.0
2015-06-07,61.0
2015-06-14,71.0
2015-06-21,72.0
2015-06-28,56.0
2015-07-05,57.0
2015-07-12,52.0
2015-07-19,46.0
2015-07-26,44.0
2015-08-02,57.0
2015-08-09,45.0
2015-08-16,40.0
2015-08-23,42.0
2015-08-30,49.0
2015-09-06,56.0
2015-09-13,54.0
2015-09-20,55.0
2015-09-27,51.0
2015-10-04,50.0
2015-10-11,47.0
2015-10-18,45.0
2015-10-25,55.0
2015-11-01,56.0
2015-11-08,61.0
2015-11-15,51.0
2015-11-22,51.0
2015-11-29,47.0
2015-12-06,44.0
2015-12-13,46.0
2015-12-20,47.0
2015-12-27,53.0
2016-01-03,56.0
2016-01-10,48.0
2016-01-17,63.0
2016-01-24,47.0
2016-01-31,37.0
2016-02-07,66.0
2016-02-14,55.0
2016-02-21,55.0
2016-02-28,53.0
2016-03-06,71.0
2016-03-13,45.0
2016-03-20,49.0
2016-03-27,59.0
2016-04-03,62.0
2016-04-10,42.0
2016-04-17,54.0
2016-04-24,54.0
2016-05-01,46.0
2016-05-08,56.0
2016-05-15,67.0
2016-05-22,56.0
2016-05-29,51.0
2016-06-05,44.0
2016-06-12,56.0
2016-06-19,62.0
2016-06-26,48.0
2016-07-03,58.0
2016-07-10,58.0
2016-07-17,57.0
2016-07-24,56.0
2016-07-31,69.0
2016-08-07,59.0
2016-08-14,54.0
2016-08-21,52.0
2016-08-28,62.0
2016-09-04,56.0
2016-09-11,58.0
2016-09-18,49.0
2016-09-25,44.0
2016-10-02,58.0
2016-10-09,48.0
2016-10-16,62.0
2016-10-23,54.0
2016-10-30,66.0
2016-11-06,59.0
2016-11-13,56.0
2016-11-20,59.0
2016-11-27,63.0
2016-12-04,60.0
2016-12-11,51.0
2016-12-18,60.0
2016-12-25,60.0
2017-01-01,59.0
2017-01-08,48.0
2017-01-15,54.0
2017-01-22,48.0
2017-01-29,61.0
2017-02-05,56.0
2017-02-12,61.0
2017-02-19,75.0
2017-02-26,57.0
2017-03-05,53.0
2017-03-12,64.0
2017-03-19,58.0
2017-03-26,56.0
2017-04-02,52.0
2017-04-09,45.0
2017-04-16,59.0
2017-04-23,59.0
2017-04-30,56.0
2017-05-07,42.0
2017-05-14,49.0
2017-05-21,51.0
2017-05-28,54.0
2017-06-04,55.0
2017-06-11,61.0
2017-06-18,54.0
2017-06-25,57.0
2017-07-02,54.0
2017-07-09,60.0
2017-07-16,53.0
2017-07-23,58.0
2017-07-30,64.0
2017-08-06,57.0
2017-08-13,95.0
2017-08-20,59.0
2017-08-27,57.0
2017-09-03,49.0
2017-09-10,53.0
2017-09-17,52.0
2017-09-24,51.0
2017-10-01,58.0
2017-10-08,49.0
2017-10-15,56.0
2017-10-22,61.0
2017-10-29,54.0
2017-11-05,52.0
2017-11-12,43.0
2017-11-19,52.0
2017-11-26,53.0
2017-12-03,54.0
2017-12-10,53.0
2017-12-17,54.0
2017-12-24,45.0
2017-12-31,53.0
2018-01-07,49.0
2018-01-14,54.0
2018-01-21,54.0
2018-01-28,48.0
2018-02-04,55.0
2018-02-11,55.0
2018-02-18,55.0
2018-02-25,54.0
2018-03-04,48.0
2018-03-11,42.0
2018-03-18,60.0
2018-03-25,60.0
2018-04-01,45.0
2018-04-08,45.0
2018-04-15,98.0
