,Building Materials & Supplies
2014-12-28,52.0
2015-01-04,43.0
2015-01-11,52.0
2015-01-18,52.0
2015-01-25,56.0
2015-02-01,55.0
2015-02-08,64.0
2015-02-15,62.0
2015-02-22,59.0
2015-03-01,59.0
2015-03-08,63.0
2015-03-15,65.0
2015-03-22,70.0
2015-03-29,63.0
2015-04-05,72.0
2015-04-12,49.0
2015-04-19,65.0
2015-04-26,61.0
2015-05-03,62.0
2015-05-10,71.0
2015-05-17,69.0
2015-05-24,72.0
2015-05-31,68.0
2015-06-07,71.0
2015-06-14,71.0
2015-06-21,69.0
2015-06-28,64.0
2015-07-05,73.0
2015-07-12,77.0
2015-07-19,78.0
2015-07-26,70.0
2015-08-02,71.0
2015-08-09,74.0
2015-08-16,64.0
2015-08-23,70.0
2015-08-30,73.0
2015-09-06,70.0
2015-09-13,75.0
2015-09-20,67.0
2015-09-27,67.0
2015-10-04,70.0
2015-10-11,72.0
2015-10-18,68.0
2015-10-25,64.0
2015-11-01,68.0
2015-11-08,71.0
2015-11-15,70.0
2015-11-22,65.0
2015-11-29,67.0
2015-12-06,68.0
2015-12-13,77.0
2015-12-20,68.0
2015-12-27,65.0
2016-01-03,72.0
2016-01-10,69.0
2016-01-17,68.0
2016-01-24,64.0
2016-01-31,68.0
2016-02-07,71.0
2016-02-14,72.0
2016-02-21,72.0
2016-02-28,77.0
2016-03-06,81.0
2016-03-13,82.0
2016-03-20,80.0
2016-03-27,79.0
2016-04-03,76.0
2016-04-10,66.0
2016-04-17,74.0
2016-04-24,87.0
2016-05-01,85.0
2016-05-08,74.0
2016-05-15,65.0
2016-05-22,69.0
2016-05-29,71.0
2016-06-05,68.0
2016-06-12,71.0
2016-06-19,73.0
2016-06-26,72.0
2016-07-03,84.0
2016-07-10,76.0
2016-07-17,78.0
2016-07-24,94.0
2016-07-31,92.0
2016-08-07,86.0
2016-08-14,82.0
2016-08-21,77.0
2016-08-28,78.0
2016-09-04,80.0
2016-09-11,81.0
2016-09-18,84.0
2016-09-25,76.0
2016-10-02,91.0
2016-10-09,88.0
2016-10-16,92.0
2016-10-23,82.0
2016-10-30,79.0
2016-11-06,83.0
2016-11-13,71.0
2016-11-20,77.0
2016-11-27,75.0
2016-12-04,81.0
2016-12-11,73.0
2016-12-18,91.0
2016-12-25,80.0
2017-01-01,86.0
2017-01-08,80.0
2017-01-15,78.0
2017-01-22,86.0
2017-01-29,84.0
2017-02-05,77.0
2017-02-12,84.0
2017-02-19,84.0
2017-02-26,88.0
2017-03-05,86.0
2017-03-12,89.0
2017-03-19,88.0
2017-03-26,96.0
2017-04-02,96.0
2017-04-09,68.0
2017-04-16,95.0
2017-04-23,98.0
2017-04-30,88.0
2017-05-07,80.0
2017-05-14,77.0
2017-05-21,80.0
2017-05-28,72.0
2017-06-04,69.0
2017-06-11,77.0
2017-06-18,82.0
2017-06-25,75.0
2017-07-02,82.0
2017-07-09,76.0
2017-07-16,86.0
2017-07-23,84.0
2017-07-30,80.0
2017-08-06,83.0
2017-08-13,92.0
2017-08-20,86.0
2017-08-27,72.0
2017-09-03,72.0
2017-09-10,80.0
2017-09-17,82.0
2017-09-24,81.0
2017-10-01,76.0
2017-10-08,83.0
2017-10-15,79.0
2017-10-22,83.0
2017-10-29,87.0
2017-11-05,82.0
2017-11-12,87.0
2017-11-19,82.0
2017-11-26,79.0
2017-12-03,79.0
2017-12-10,77.0
2017-12-17,75.0
2017-12-24,73.0
2017-12-31,80.0
2018-01-07,75.0
2018-01-14,75.0
2018-01-21,76.0
2018-01-28,74.0
2018-02-04,77.0
2018-02-11,80.0
2018-02-18,83.0
2018-02-25,81.0
2018-03-04,74.0
2018-03-11,78.0
2018-03-18,86.0
2018-03-25,87.0
2018-04-01,87.0
2018-04-08,62.0
2018-04-15,66.0
2018-04-22,77.0
2018-04-29,79.0
2018-05-06,77.0
2018-05-13,86.0
2018-05-20,76.0
2018-05-27,75.0
2018-06-03,80.0
2018-06-10,78.0
2018-06-17,81.0
2018-06-24,63.0
2018-07-01,81.0
2018-07-08,77.0
2018-07-15,81.0
2018-07-22,81.0
2018-07-29,86.0
2018-08-05,86.0
2018-08-12,85.0
2018-08-19,81.0
2018-08-26,83.0
2018-09-02,89.0
2018-09-09,82.0
2018-09-16,84.0
2018-09-23,80.0
2018-09-30,82.0
2018-10-07,85.0
2018-10-14,83.0
2018-10-21,85.0
2018-10-28,88.0
2018-11-04,81.0
2018-11-11,83.0
2018-11-18,75.0
2018-11-25,80.0
2018-12-02,85.0
2018-12-09,90.0
2018-12-16,84.0
2018-12-23,81.0
2018-12-30,81.0
2019-01-06,87.0
2019-01-13,81.0
2019-01-20,82.0
2019-01-27,86.0
2019-02-03,83.0
2019-02-10,90.0
2019-02-17,92.0
2019-02-24,92.0
2019-03-03,98.0
2019-03-10,88.0
2019-03-17,93.0
2019-03-24,100.0
2019-03-31,92.0
2019-04-07,85.0
2019-04-14,69.0
2019-04-21,64.0
