,Home Improvement
2014-12-28,44.0
2015-01-04,37.0
2015-01-11,38.0
2015-01-18,43.0
2015-01-25,44.0
2015-02-01,42.0
2015-02-08,48.0
2015-02-15,52.0
2015-02-22,53.0
2015-03-01,54.0
2015-03-08,56.0
2015-03-15,58.0
2015-03-22,61.0
2015-03-29,53.0
2015-04-05,55.0
2015-04-12,38.0
2015-04-19,52.0
2015-04-26,49.0
2015-05-03,51.0
2015-05-10,55.0
2015-05-17,52.0
2015-05-24,53.0
2015-05-31,51.0
2015-06-07,54.0
2015-06-14,54.0
2015-06-21,54.0
2015-06-28,50.0
2015-07-05,56.0
2015-07-12,55.0
2015-07-19,56.0
2015-07-26,53.0
2015-08-02,53.0
2015-08-09,57.0
2015-08-16,50.0
2015-08-23,51.0
2015-08-30,52.0
2015-09-06,53.0
2015-09-13,51.0
2015-09-20,52.0
2015-09-27,53.0
2015-10-04,53.0
2015-10-11,56.0
2015-10-18,53.0
2015-10-25,50.0
2015-11-01,53.0
2015-11-08,54.0
2015-11-15,52.0
2015-11-22,52.0
2015-11-29,52.0
2015-12-06,57.0
2015-12-13,59.0
2015-12-20,54.0
2015-12-27,55.0
2016-01-03,56.0
2016-01-10,56.0
2016-01-17,60.0
2016-01-24,53.0
2016-01-31,55.0
2016-02-07,60.0
2016-02-14,61.0
2016-02-21,59.0
2016-02-28,62.0
2016-03-06,69.0
2016-03-13,67.0
2016-03-20,63.0
2016-03-27,68.0
2016-04-03,65.0
2016-04-10,48.0
2016-04-17,61.0
2016-04-24,63.0
2016-05-01,61.0
2016-05-08,61.0
2016-05-15,50.0
2016-05-22,52.0
2016-05-29,60.0
2016-06-05,60.0
2016-06-12,60.0
2016-06-19,58.0
2016-06-26,59.0
2016-07-03,64.0
2016-07-10,61.0
2016-07-17,61.0
2016-07-24,74.0
2016-07-31,72.0
2016-08-07,69.0
2016-08-14,64.0
2016-08-21,62.0
2016-08-28,63.0
2016-09-04,67.0
2016-09-11,61.0
2016-09-18,65.0
2016-09-25,65.0
2016-10-02,72.0
2016-10-09,64.0
2016-10-16,71.0
2016-10-23,62.0
2016-10-30,65.0
2016-11-06,60.0
2016-11-13,59.0
2016-11-20,62.0
2016-11-27,62.0
2016-12-04,68.0
2016-12-11,65.0
2016-12-18,70.0
