,Investing
2014-12-28,55.0
2015-01-04,48.0
2015-01-11,59.0
2015-01-18,75.0
2015-01-25,65.0
2015-02-01,55.0
2015-02-08,70.0
2015-02-15,74.0
2015-02-22,60.0
2015-03-01,64.0
2015-03-08,68.0
2015-03-15,66.0
2015-03-22,70.0
2015-03-29,53.0
2015-04-05,60.0
2015-04-12,46.0
2015-04-19,64.0
2015-04-26,60.0
2015-05-03,62.0
2015-05-10,64.0
2015-05-17,69.0
2015-05-24,68.0
2015-05-31,60.0
2015-06-07,60.0
2015-06-14,61.0
2015-06-21,68.0
2015-06-28,56.0
2015-07-05,65.0
2015-07-12,70.0
2015-07-19,100.0
2015-07-26,83.0
2015-08-02,79.0
2015-08-09,78.0
2015-08-16,69.0
2015-08-23,84.0
2015-08-30,74.0
2015-09-06,73.0
2015-09-13,79.0
2015-09-20,70.0
2015-09-27,82.0
2015-10-04,80.0
2015-10-11,78.0
2015-10-18,73.0
2015-10-25,64.0
2015-11-01,72.0
2015-11-08,67.0
2015-11-15,71.0
2015-11-22,70.0
2015-11-29,68.0
2015-12-06,74.0
2015-12-13,72.0
2015-12-20,62.0
2015-12-27,69.0
2016-01-03,74.0
2016-01-10,76.0
2016-01-17,71.0
2016-01-24,71.0
2016-01-31,62.0
2016-02-07,80.0
2016-02-14,76.0
2016-02-21,71.0
2016-02-28,77.0
2016-03-06,74.0
2016-03-13,73.0
2016-03-20,69.0
2016-03-27,74.0
2016-04-03,75.0
2016-04-10,46.0
2016-04-17,66.0
2016-04-24,76.0
2016-05-01,72.0
2016-05-08,71.0
2016-05-15,67.0
2016-05-22,73.0
2016-05-29,71.0
2016-06-05,78.0
2016-06-12,81.0
2016-06-19,80.0
2016-06-26,85.0
2016-07-03,77.0
2016-07-10,76.0
2016-07-17,81.0
2016-07-24,83.0
2016-07-31,76.0
2016-08-07,77.0
2016-08-14,73.0
2016-08-21,80.0
2016-08-28,73.0
2016-09-04,81.0
2016-09-11,68.0
2016-09-18,74.0
2016-09-25,81.0
2016-10-02,81.0
2016-10-09,90.0
2016-10-16,79.0
2016-10-23,80.0
2016-10-30,80.0
2016-11-06,89.0
2016-11-13,79.0
2016-11-20,81.0
2016-11-27,88.0
2016-12-04,75.0
2016-12-11,80.0
2016-12-18,84.0
2016-12-25,80.0
2017-01-01,79.0
2017-01-08,73.0
2017-01-15,72.0
2017-01-22,79.0
2017-01-29,81.0
2017-02-05,76.0
2017-02-12,75.0
2017-02-19,76.0
2017-02-26,85.0
2017-03-05,75.0
2017-03-12,79.0
2017-03-19,83.0
2017-03-26,84.0
2017-04-02,76.0
2017-04-09,56.0
2017-04-16,91.0
2017-04-23,82.0
2017-04-30,70.0
2017-05-07,69.0
2017-05-14,81.0
2017-05-21,72.0
2017-05-28,70.0
2017-06-04,71.0
2017-06-11,66.0
2017-06-18,78.0
2017-06-25,73.0
2017-07-02,76.0
2017-07-09,75.0
2017-07-16,83.0
2017-07-23,73.0
2017-07-30,79.0
2017-08-06,76.0
2017-08-13,78.0
2017-08-20,76.0
2017-08-27,74.0
2017-09-03,71.0
2017-09-10,81.0
2017-09-17,86.0
2017-09-24,85.0
2017-10-01,79.0
2017-10-08,81.0
2017-10-15,71.0
2017-10-22,80.0
2017-10-29,76.0
2017-11-05,75.0
2017-11-12,82.0
2017-11-19,68.0
2017-11-26,71.0
2017-12-03,79.0
2017-12-10,82.0
2017-12-17,83.0
2017-12-24,77.0
2017-12-31,79.0
2018-01-07,83.0
2018-01-14,76.0
2018-01-21,83.0
2018-01-28,71.0
2018-02-04,77.0
2018-02-11,80.0
2018-02-18,79.0
2018-02-25,72.0
2018-03-04,74.0
2018-03-11,65.0
2018-03-18,78.0
2018-03-25,75.0
2018-04-01,61.0
2018-04-08,63.0
2018-04-15,79.0
2018-04-22,75.0
2018-04-29,72.0
2018-05-06,79.0
2018-05-13,78.0
2018-05-20,76.0
2018-05-27,72.0
2018-06-03,75.0
2018-06-10,71.0
2018-06-17,72.0
2018-06-24,69.0
2018-07-01,73.0
2018-07-08,78.0
2018-07-15,81.0
2018-07-22,73.0
2018-07-29,76.0
2018-08-05,77.0
2018-08-12,79.0
2018-08-19,78.0
2018-08-26,82.0
2018-09-02,77.0
2018-09-09,77.0
2018-09-16,83.0
2018-09-23,81.0
2018-09-30,77.0
